sample_id,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,mgs_level
2,2.1081674,2.900773,3.0993898,3.3346334,0.19899568,0.73689127,2.4589832,0.0,0.98205465,0.0,1.991072,3.945677,4.1864014,3.2644985,1.0044876,1.5678718,MGS1
4,1.5587857,4.2799892,1.5796696,3.6444902,0.017393462,0.8242079,2.8412108,0.0,0.5325756,0.0,0.8426082,2.158353,3.2455618,4.6025696,1.1512613,2.7086408,MGS1
6,2.0265155,2.121398,2.7796078,4.0523734,1.7153586,0.22891018,2.4957626,0.0,0.0,1.1221465,0.0,1.9301478,1.3717108,2.6438248,0.27446002,2.583885,MGS1
9,3.1039824,1.6886272,2.028729,2.75021,2.3545485,0.7218659,1.5443348,0.0,1.7178795,2.0874841,0.40100098,4.373265,4.5974536,3.0085015,1.4521558,2.4525647,MGS1
17,1.8244886,3.0715024,2.2178283,3.0404227,2.6439228,0.5825017,2.5864067,0.0,0.8041395,1.5159519,1.8082117,2.505489,3.3954294,4.132349,1.3772588,3.298772,MGS1
18,3.624563,1.5216525,1.0579832,3.8738177,1.7114158,0.6464088,0.662969,0.0,2.2734492,1.6061486,1.0270065,3.557855,3.1725993,3.1920924,1.0211295,3.429145,MGS1
32,1.7722214,3.0932882,0.0,2.9825473,1.2188762,0.0,0.95912313,0.0,3.5933447,0.46726197,3.4192722,1.3090043,2.5631812,4.2454925,0.5315572,3.8964286,MGS1
35,1.9300464,1.7798293,3.0684278,2.0318012,4.481486,0.26860863,2.8322473,0.0,3.8923416,3.8887346,3.997539,0.8282455,1.5229845,2.2212694,0.3785022,2.46206,MGS1
41,2.274026,0.64379114,4.7235904,3.047329,3.5918841,1.0217464,3.11678,0.0,2.2632494,3.5758917,2.4069443,3.0785668,2.0245242,1.3958943,1.1983742,1.5703613,MGS1
42,1.0624566,3.0769968,1.6360793,0.26654997,2.6536772,0.5275747,1.4856323,0.0,0.39759338,0.6682877,3.1304665,0.0,2.2604194,3.3144245,0.9868965,1.8959017,MGS1
43,3.7187011,1.4033223,3.8091893,1.6300632,3.1613312,0.48928088,1.9868524,0.0,2.475644,2.7800786,1.5124145,2.9577765,2.7247937,2.2628136,0.5194189,2.039635,MGS1
81,3.3349214,3.3020985,2.7964978,0.9584346,2.6467407,0.47026515,2.2054157,0.0,1.3030546,0.7921505,0.69786334,0.0,0.71747154,3.9178014,0.28265283,3.0699484,MGS1
89,3.2464845,2.928379,1.8121214,0.28595886,2.6557055,0.062001094,1.4836774,0.0,2.539452,0.9907385,1.4437169,0.0,1.0020599,3.617016,0.0,3.0201194,MGS1
99,2.479141,4.5054235,0.91516393,2.171762,1.3718971,0.46292573,2.0843315,0.0,0.7104379,0.0,0.8203641,1.127916,2.6946213,5.4666343,1.1771113,3.9182906,MGS1
109,2.804818,0.874282,1.9820468,2.6115708,3.417252,0.54077834,1.5798727,0.0,1.1303067,3.0741692,0.096542865,2.8571703,2.5311406,2.3667667,1.2783701,2.8543942,MGS1
115,2.5342152,1.3424003,2.9942174,3.3123038,3.7837477,0.6325809,2.1255975,0.0,1.6843166,3.2829344,1.9394416,2.8898118,2.7660441,2.7425559,1.3092649,3.0920851,MGS1
117,1.4985937,4.1532173,2.9814827,2.0606513,0.9912035,1.1166534,2.823768,0.0,1.1417172,0.0,3.321094,1.1087481,2.7364311,4.083692,1.1113273,1.817534,MGS1
119,2.8497803,1.7997186,2.307609,2.4099648,2.4302788,0.75830454,1.5532789,0.0,1.1961176,1.8990891,0.48333192,4.31706,4.694019,3.015607,1.4926372,2.378655,MGS1
120,2.832244,2.1682277,4.0856686,1.8935839,4.760037,0.9392585,3.3158112,0.0,2.04949,3.6643264,2.1324322,1.0103496,1.2848284,3.07592,0.99521804,3.0360405,MGS1
126,4.596776,0.81327987,1.5351129,0.89814174,2.5801835,0.87444097,0.059305627,0.0,4.4224367,2.3670805,3.053486,1.1659566,1.0990779,2.17797,0.42448345,2.572116,MGS1
137,3.5314786,2.214275,4.6330357,1.748564,2.5143166,1.3887866,2.6313229,0.0,1.8000634,1.5597771,2.0556042,2.4262218,2.2717783,2.900149,1.0396746,1.8975524,MGS1
139,2.1902385,4.3311415,2.7992995,2.7859006,0.0,0.18987627,3.0282555,0.0,1.2482445,0.0,1.3832238,2.1188915,3.0061765,3.903106,0.0,1.7321427,MGS1
142,2.4620776,1.2275199,3.0503721,3.482102,3.5108404,0.42401835,2.0179522,0.0,2.1254723,3.159742,2.333613,2.7317545,2.4129248,2.420625,0.9779768,3.0340235,MGS1
145,2.5393813,1.4283139,3.348775,3.4032712,3.1788683,0.7419361,2.0959568,0.0,1.394203,2.6883724,1.8456918,3.2238503,2.913298,2.6279957,1.2343454,2.765166,MGS1
149,1.0859473,2.1126738,2.5275643,3.420236,3.0817683,0.0,2.465657,0.0,1.6080701,2.1333122,2.4950447,1.3773108,1.5533743,2.8962555,0.46331662,3.045751,MGS1
153,3.42581,3.3560154,1.6783988,0.01996553,1.5349468,0.6234863,2.0094814,0.0,4.3361955,0.7798111,2.7745504,1.013704,2.772042,3.53048,0.3466874,1.6903067,MGS1
162,2.9643977,1.4864529,1.8273616,1.3850082,1.9177542,0.5641802,0.6905112,0.0,2.1203775,1.0243478,2.4629984,0.0,0.0,2.3485138,0.19562536,2.5236955,MGS1
163,2.3389976,2.4375193,0.67391956,2.6559038,1.975967,0.8723183,1.9718368,0.0,5.1680217,2.120678,3.2652857,3.2412698,4.713799,3.361936,1.6184194,2.6161568,MGS1
172,2.1083593,2.3657942,4.8340507,2.7272482,4.7151546,1.1073935,4.073711,0.0,2.9662375,3.697441,3.748657,0.9314891,1.3290215,2.760325,1.0043697,2.4224446,MGS1
173,1.3937477,4.039034,1.4291716,2.843521,0.98495746,0.62303954,2.349593,0.0,0.9337617,0.0,1.741245,1.9945538,3.5643163,4.519611,1.1985341,2.8074744,MGS1
177,4.154869,1.4524276,3.1124635,1.7287363,3.1085966,1.1569657,2.123674,0.0,3.2758093,2.8827472,1.158804,2.6514175,2.52198,2.7475376,1.2263588,2.5196893,MGS1
189,4.1155233,1.7021561,2.9609878,1.1194888,2.436842,0.98246235,1.86351,0.0,2.2324293,1.6868804,0.0,1.4037913,1.1092334,2.636331,0.6104289,2.2899892,MGS1
217,2.249994,0.49235535,3.3752375,3.384659,4.2078137,0.44394225,2.3721435,0.0,2.386429,4.1919017,1.8330237,3.1395142,2.429568,1.8239667,1.1140054,2.6451106,MGS1
218,2.8499196,1.2945209,4.9955964,3.3916695,3.0740805,1.0299776,3.1481237,0.0,4.0092993,3.2700372,3.5613687,4.189844,3.7547226,1.5299317,0.93670744,0.88018155,MGS1
