sample_id,z0,z1,z2,z3,z4,z5,z6,z7,mgs_level
2,0.35441047,1.8004645,1.2259569,1.8663995,3.1706626,4.748569,0.63718545,3.4500632,MGS1
4,1.3556569,2.2098002,2.3725486,1.4493034,3.8996294,3.7851472,0.0,3.2910032,MGS1
6,0.0,0.53765565,2.402624,0.0,3.3428466,2.853818,1.73617,1.0869975,MGS1
9,1.2744689,1.0307139,2.6389108,1.3648121,1.9563426,5.961769,1.534167,4.1583776,MGS1
17,2.0333006,1.6832193,2.0846791,0.9005644,3.263452,4.338902,1.8531616,3.875095,MGS1
18,2.4762504,0.0,1.9165423,2.065722,2.3641076,5.391125,1.049776,3.0963073,MGS1
32,3.1947954,0.22810897,1.4490469,2.42679,3.8120706,1.8168235,0.306435,3.2731657,MGS1
35,1.8302873,3.082724,2.2505763,3.9399288,2.044935,0.98520553,5.116331,2.71587,MGS1
41,1.7275543,2.420421,1.5417436,3.0934432,0.689296,3.2990403,4.257963,1.889536,MGS1
42,1.7116083,3.641543,0.8232298,0.948037,2.5823977,2.2079697,3.051715,5.1385527,MGS1
43,1.8606011,1.4239863,2.6341398,2.852731,1.3787776,3.731288,4.596055,3.7907896,MGS1
81,4.355786,1.9184012,2.6642716,1.1917591,3.0189679,1.8129989,4.428728,4.9913187,MGS1
89,4.3959775,2.0219493,2.1644642,2.1296225,2.7365797,0.6974535,4.1570015,5.381197,MGS1
99,4.2391047,2.0009422,2.794343,0.0,4.710797,2.573726,1.9285004,5.2438364,MGS1
109,1.3915493,0.93051684,3.5832763,0.34145778,1.9212792,3.9235978,2.7750442,2.5534692,MGS1
115,1.5625684,1.672896,3.1949131,0.89012367,2.2270696,4.0169296,3.8144338,2.717867,MGS1
117,3.3392396,3.7363038,1.0542362,2.3647683,3.7796075,4.0413213,1.684017,4.8111753,MGS1
119,1.3328488,0.98954123,2.1528275,0.92559665,2.0514998,5.747084,1.5404229,4.347221,MGS1
120,3.0021372,3.1110702,3.191162,1.9912727,2.3011446,2.741301,5.9689426,3.2295785,MGS1
126,4.4860845,0.8497635,1.0429494,4.0993447,0.6034521,1.7002814,4.0128546,2.6165767,MGS1
