sample_id,mgs_level,z0,z1,z2,z3
2,MGS1,0.017903915,0.010987788,-0.003513299,0.011623036
4,MGS1,0.008348366,0.00416989,0.015557941,0.010493249
6,MGS1,0.008620722,-0.005687646,0.014443891,-0.014729336
9,MGS1,0.016230268,0.02608952,-0.000950554,-0.007214079
17,MGS1,-0.002742967,-0.000377703,-0.014692456,0.003998503
18,MGS1,-0.007026026,-0.002793419,0.006121252,0.004420645
32,MGS1,-0.014948739,-0.024167426,-0.020765716,0.015843764
35,MGS1,-0.000148486,-0.004151014,0.000577424,-0.011807583
41,MGS1,-0.02167513,0.023855291,0.010010276,-0.012486476
42,MGS1,0.008709939,0.003759154,-0.003247898,0.011565708
43,MGS1,0.015473412,-0.008742712,0.005117212,-0.017379895
81,MGS1,-0.017129315,-0.037875704,0.00685769,-0.00568631
89,MGS1,-0.036671758,-0.06897631,-0.018308535,0.00462158
99,MGS1,-0.012137039,-0.008605323,-0.007799696,0.002598029
109,MGS1,-0.002821021,0.025274333,0.001339565,0.002311529
115,MGS1,-0.009727007,-0.006355694,-0.018743595,0.000976141
117,MGS1,-0.004619611,-0.011258836,0.013934929,0.014345437
119,MGS1,0.012392351,0.0243234,-0.000627023,0.003528915
120,MGS1,0.001458364,0.004076722,0.004045796,-0.007468086
126,MGS1,-0.008026386,-0.019110318,-0.000637907,0.005058758
137,MGS1,-0.014887152,-0.008624106,0.016227081,-0.003462427
139,MGS1,0.011281526,-0.027945608,0.002406586,7.23E-05
142,MGS1,0.013508784,0.002603733,-0.004375789,-0.018757269
145,MGS1,0.002114648,-0.009273986,-0.005602713,-0.011019088
149,MGS1,-0.03238286,-0.035734385,-0.004315339,-0.00179752
153,MGS1,-0.001745572,-0.020782508,0.006351244,0.011835024
162,MGS1,-0.00312219,0.000147336,-0.003515757,-0.010801729
163,MGS1,-0.003875686,0.007781803,0.004636087,-0.004564908
172,MGS1,0.012988536,0.016304933,0.004494086,-0.006713367
173,MGS1,0.001499666,-0.001820943,-0.006818633,0.006025071
177,MGS1,0.001859864,-0.00936365,0.020296672,0.005215195
189,MGS1,-0.012362158,-0.010736941,0.008905556,0.000402838
217,MGS1,-0.011047578,-0.001183166,0.004774419,-0.014294848
218,MGS1,0.047729164,0.028419465,-0.031542424,-0.041900933
229,MGS1,-0.005999517,-0.017834745,-0.004880648,-0.01031537
237,MGS1,0.006708155,0.012270526,-0.007297441,-0.014775474
243,MGS1,-0.00227022,-0.006355438,-0.017596811,-0.00993181
246,MGS1,-0.028557548,-0.040027015,-0.023469266,0.01258789
251,MGS1,-0.008325508,-0.008910751,-0.011544894,-0.007158652
254,MGS1,-0.010636797,0.006548,0.014349068,-0.00446095
264,MGS1,-0.006138483,0.010640957,0.007246551,-0.002172482
265,MGS1,-0.006594177,0.022694714,0.014408518,-0.006758996
266,MGS1,-0.012587288,-0.02549864,-0.005434524,-0.00456008
286,MGS1,0.008748749,0.003735718,-0.004707735,0.004624515
288,MGS1,-0.012543349,-0.014258563,0.006171395,0.006942158
291,MGS1,-0.001542788,-0.018978193,0.001335606,-0.000699252
292,MGS1,-0.010277631,-0.024492778,-0.024003927,0.021515058
293,MGS1,0.031479076,0.023182124,0.007457268,0.005137473
295,MGS1,0.004695913,0.008983848,7.83E-05,-0.007504928
307,MGS1,0.004952354,0.001597934,-0.002136878,-0.007922024
308,MGS1,0.016455205,0.014345613,-0.02128572,0.008437736
311,MGS1,-0.009365762,-0.029464923,-0.004176368,-0.005674616
313,MGS1,-0.005451439,-0.00204084,0.008082686,-0.009223716
314,MGS1,0.00694157,-0.005050964,0.03718696,0.003684684
315,MGS1,-0.012247397,0.001552188,0.008669328,0.000975791
316,MGS1,0.01903283,-0.01731383,0.002931435,-0.003674549
317,MGS1,0.004320674,0.00348723,0.005013742,-0.008623429
318,MGS1,-0.010992045,-0.028175272,0.005527329,0.009949636
319,MGS1,0.003565097,-0.009087638,-0.016141206,0.004210908
320,MGS1,-0.003580041,0.004923296,0.007827397,0.011479098
321,MGS1,0.012700597,0.023284104,-0.005457799,-0.00569553
322,MGS1,0.011753656,-0.035354186,-0.010976153,-0.001775317
324,MGS1,0.02071873,-0.01330709,0.026516404,-0.012036018
335,MGS1,-0.00577963,0.005991289,0.00179267,-0.003480867
347,MGS1,0.017461022,-0.002518854,0.02237831,-0.013848595
348,MGS1,-0.000320224,0.007182994,-0.004132457,0.00680365
349,MGS1,-0.000755945,0.005196058,0.019062568,0.006347037
