sample_id,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,mgs_level
2,-0.0035597915,0.011750506,-0.004597472,0.012433721,-0.010544997,-0.0010581566,0.017944902,-0.018138457,0.0018217005,0.019214738,-0.019250337,-0.0022837222,-0.0011733351,0.0022758693,0.012932459,0.0025977707,MGS1
4,-0.0045806062,-0.00994493,0.0044055786,1.7742626e-05,-0.0055723474,0.0039414866,0.008128602,-0.0010390505,0.0109017175,0.011705589,-0.010244478,0.008920625,-0.013850274,0.001756791,-0.0022328123,0.0014806231,MGS1
6,-0.0026297858,0.018416725,0.013781354,-0.0129889455,-0.0013320711,0.0019865455,-0.0010341406,-0.031666066,0.016903987,0.013482302,-0.010816406,-0.013028253,0.011857035,-0.0077653565,0.0054813996,0.01677322,MGS1
9,-0.0020640576,-0.010770957,-0.0018854765,0.018132303,-0.007573322,0.0032811547,0.00925776,-0.020546075,-0.0019576065,0.0011906903,0.006558154,-0.011609841,0.005974348,-0.0009564832,-0.0032285713,-0.005494588,MGS1
17,-0.002116179,0.005540913,0.004792247,0.009922301,-0.0059902775,-0.003523429,0.01684482,0.003558807,0.011325549,0.020827487,-0.0213947,0.00044002756,-0.0071736095,0.00059810653,-0.0129710175,0.015904153,MGS1
18,0.0010254309,-0.014008653,-0.0012556403,0.0078810975,-0.00815488,-0.0011269785,-0.004949758,0.0021394342,0.018294392,0.022026159,-0.021775268,-0.00035448,0.006913723,0.0019006506,0.023619682,0.005500053,MGS1
32,0.02373628,0.0314833,-0.000589767,-0.017625982,0.0021887566,-0.025087023,0.018301014,-0.0024240725,0.022801297,0.0062711984,-0.0022739843,0.011857729,0.0018742438,-0.0047023892,0.015352743,0.002675469,MGS1
35,0.022834577,0.008061975,0.0035334555,-0.00069334917,-0.009364158,0.004855943,0.005006887,-0.010176096,0.025485734,0.0025190488,-0.018660419,0.003203228,0.015975362,-0.010604192,-0.00454589,-0.001951213,MGS1
41,-0.0019420069,-0.009419109,-0.007507352,0.0032826895,-0.0046993284,0.00312969,0.01480122,-0.005189363,-0.013263632,-0.010063319,0.01887571,-0.0062363297,0.0037716567,0.006942775,-0.009182874,-0.0130463615,MGS1
42,-0.0029536625,0.009088522,-0.00036318973,0.0022376487,-0.0019723675,0.0023084236,-0.0055313203,-0.005162105,0.014229592,0.0021963418,-0.009565331,0.00047925115,0.003213745,0.0057190396,0.007209569,0.019080412,MGS1
43,0.012653372,0.00865404,-0.0020388165,0.023480918,0.00124464,0.01711762,0.0078117177,-0.0025387555,0.015377693,0.018754698,-0.019106224,0.008166514,0.0071106725,-0.011160437,-0.00868091,0.01623584,MGS1
81,0.0013124589,0.0007804055,0.012842668,0.0007642126,-0.0063684625,0.014511562,-0.00322189,-0.022202674,0.008420076,0.007133562,-0.0021634959,0.0015192181,0.011995144,-0.0061854087,-0.004030511,-0.0079922285,MGS1
89,0.013600272,0.021541875,0.012835139,-0.011220123,-0.017511783,0.00539074,-0.008549737,-0.03474598,0.02585343,-0.0024192836,-0.006028123,0.03730159,0.011594439,0.005838558,-0.0072577596,0.005382634,MGS1
