sample_id,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,mgs_level
2,0.009924914,-0.021668771,0.011912189,0.024260193,-0.024708327,0.004605055,0.023026943,-0.00048817787,0.015058635,-0.0055063963,-0.0036548376,-0.011403561,0.01462565,-0.028144127,0.014268547,-0.0020547463,MGS1
4,0.009150461,-0.0018662568,-0.008865621,-0.014623885,0.002262745,-0.0037407205,-0.0008280352,-0.014312606,0.012969688,-0.0009132605,-0.034256265,0.03715487,-0.0018302426,-0.0035722917,-0.025135862,-0.0032186704,MGS1
6,0.011067806,0.006200593,0.010824775,0.0027945228,-0.0063309968,0.008076919,0.013463646,-0.025692057,0.008080159,0.011953455,-0.018572323,0.017607972,-0.012271266,-0.021716747,0.0032645017,0.002892424,MGS1
9,-0.011082937,-0.010183513,-0.009284321,0.018034104,0.0061299894,0.0051667523,0.012799814,0.0009980137,-0.0039587263,0.023903158,-0.012723058,0.012424927,-0.013175674,-0.01234114,-0.0036193656,0.008042218,MGS1
17,0.014767699,-0.008118872,-0.007873952,-0.0035460833,0.0004708767,0.0048592035,0.026837151,0.03196362,-0.017366488,-0.0013763388,0.0154409185,-0.02515677,-0.00052681565,0.004148566,0.010755101,-0.013036515,MGS1
18,0.004544848,-0.006458901,0.0024101213,0.022816643,-0.014056709,-0.015084006,0.008702554,-0.0020624758,-0.017128244,0.010726682,0.00073685497,-0.013162609,0.00048907474,0.010867028,-0.023007121,-0.006825258,MGS1
32,0.020766456,-0.0114817,-0.0054245666,0.014932867,-0.004893761,0.013567237,0.0019448176,-0.004936312,-0.012838327,0.011297108,0.006365642,0.009225193,-0.0090625435,-0.0072906483,-0.0010844206,0.0044847364,MGS1
35,0.024372712,0.0074724276,0.0047842152,0.011511054,-0.006349463,0.013185212,0.002661474,-0.011354227,0.01615722,0.007800854,-0.021348588,-0.0009285603,-0.018398166,-0.010512877,-0.0007878251,0.011455099,MGS1
41,0.0006334926,0.0046011265,0.0025713593,0.011734605,-0.0021355972,-0.0192635,-0.012836769,0.005495208,-0.0006906437,0.00024556275,-0.02047968,0.005449839,-0.0008125268,-0.010538526,-0.012267585,-0.004168448,MGS1
42,-0.0072403755,-0.007329069,0.023034148,-0.012091817,0.017944686,0.00041224994,0.01859082,0.021734204,-0.024854317,-0.00062251557,0.040704653,-0.004984798,0.014860518,0.0063657532,-0.018984916,0.0068298155,MGS1
43,0.0025640116,-0.0032456256,-0.010110095,0.010422856,-0.017486103,0.019468201,-0.0033153445,-0.003573339,0.0071028126,0.007280932,-0.016155846,-0.011495361,-0.019963928,0.008495506,0.020893183,-0.0011710431,MGS1
81,0.011047915,-0.0094963405,0.0006805919,0.009301811,-0.008126076,0.0011221264,-1.34035945e-05,-0.011453282,-0.00071721245,0.0029909592,-0.019698016,0.012388676,-0.009623356,0.0046458663,-0.0018258968,-0.0063219564,MGS1
89,0.021127135,-0.010943266,-0.013614941,0.017860346,-0.019455802,0.01819268,-0.012927264,-0.0076514105,-0.012560981,0.003613389,-0.017570123,0.008394837,-0.018644638,0.0025494667,-0.00096391817,-0.0018559853,MGS1
99,0.011550901,-0.00224258,0.010160036,0.0075824372,-0.0008090306,0.0057086926,0.0023706406,-0.017867146,-0.0052051805,0.0055588866,-0.0073383823,-0.013300044,-0.01747182,-0.015788814,0.0069961147,0.018445557,MGS1
109,0.0072206995,-0.004939927,-0.014770359,-0.011054361,-0.011816766,0.005807964,-0.0056674406,-0.03329526,0.015360827,0.014381978,-0.030819878,0.02353723,-0.013113104,-0.002679377,-0.02124582,0.009564213,MGS1
115,0.020411447,-0.011753207,-0.006372776,0.007395327,-0.017126009,-0.002299238,-0.0019820854,-0.01500864,-0.013638702,0.008652245,-0.00059887767,-0.010382682,-0.02269639,-0.009002788,0.0035908292,0.0072345533,MGS1
117,-0.010678657,-0.02326812,0.011966422,-0.008434175,0.004270036,0.0057948288,0.012390591,0.0057826308,-0.015078771,-0.0028608995,-0.014554881,-0.017368916,0.002424892,0.025749668,-0.014604961,0.0066251024,MGS1
119,0.0053883623,-7.603504e-05,-0.020772796,0.024828866,-0.012872376,0.022561492,-0.014400676,-0.004781282,-0.004309823,0.014199982,-0.019557558,0.010303132,-0.0049167424,-0.032857224,0.009250505,-0.002288239,MGS1
120,0.0054286425,0.005463912,-0.0105448365,-0.0022706632,-0.004880622,0.01652337,-0.016387582,0.0052783913,0.007665997,0.020196699,-0.012524977,-0.0025406666,-0.015777394,-0.0029142504,-0.005859956,-0.0070492476,MGS1
126,0.013593309,0.0013548378,-0.008741453,0.019254733,-0.0077721253,0.006672865,0.0017970428,-0.017000195,-0.008154019,0.027012348,-0.026012704,-0.005618846,-0.014195979,-0.0049670446,-0.003030184,0.013393037,MGS1
137,-0.0015667202,0.009638437,-0.0012689568,0.0019480735,-0.006708607,-0.014897883,0.0033576488,-0.003666583,-0.025609598,-0.010666457,-0.0040365383,-0.0044808034,-0.0069847293,0.012687726,-0.013992031,0.007369936,MGS1
139,0.0027157958,-0.024247533,0.022823766,0.02331955,0.010576291,0.01014805,0.014670778,-0.01850974,0.0065235365,0.029797807,-0.009627834,0.029969621,-0.0003033057,-0.016566176,-0.020559791,-0.013572513,MGS1
142,0.008082307,0.0007440187,0.0008417368,-0.02071324,-0.010816846,-0.0021244902,0.0013441294,-0.0068956683,0.0108014,-0.009881788,-0.009945087,0.017472941,-0.02150806,-0.008895669,-0.0019450828,0.013121527,MGS1
145,0.017531283,-0.0130971465,0.005185753,0.016057316,-0.0025051162,-0.009993127,-0.001563698,-0.0053691124,-0.0080293855,0.015757933,-0.01184427,-0.0045395847,-0.017627433,-0.012130899,0.002023804,0.0079762805,MGS1
149,0.012128592,-0.014775528,0.0046754144,0.0063489676,-0.009747263,0.0072932597,-0.008267216,-0.025767453,-0.0051344037,-0.015479615,-0.010755889,0.02676469,-0.012738004,3.9851526e-05,-0.020406175,-0.007990005,MGS1
153,0.009010689,-0.015340289,-0.0071750395,-0.008742396,-0.009133972,0.0031932797,-0.010353155,-0.007075108,0.002368994,-0.00796803,-0.014592238,0.0009781048,-0.007120859,-0.016964965,-0.017685095,0.0050170217,MGS1
162,0.008974219,-0.008824507,-0.0008390546,0.013714395,-0.012773428,0.01369665,-0.013731495,-0.02599195,0.0031030797,0.009060078,-0.027059384,-0.006343575,-0.018766485,-0.01773211,-0.019012999,0.008440808,MGS1
163,0.008167776,-0.0012577809,-0.025278468,0.008280683,-0.012717318,0.005300807,-0.0060560703,0.008274817,-0.0096809855,0.0021741446,-0.011885881,-0.0076044276,-0.0046580285,-0.020514794,-8.649402e-05,-0.005213407,MGS1
172,-0.003721131,-0.006427869,-0.004999656,-0.0112852035,-0.020641655,0.0317232,-0.019643642,-0.012728613,-0.0033030855,-0.0028232755,0.0021344796,0.014836013,-0.010421522,-0.015268084,0.006834174,0.010801842,MGS1
173,0.0041551096,-0.018897047,0.0075314622,-0.0009831991,-0.0011462122,-0.002359528,0.01455925,-0.0075198053,0.006973329,0.01551132,-0.004964873,-0.0038222615,-0.008282911,0.0015179189,0.005308607,0.0090719825,MGS1
177,0.010878575,-0.0028729811,-0.009723358,0.0045835003,-0.0067487285,-0.00053956546,-0.0064511895,-0.004519544,0.007634362,-0.0008074185,-0.0130943805,0.007955421,-0.0184692,-0.014699722,0.009662409,0.0023531392,MGS1
189,0.00871714,-0.0021114964,-0.00486245,0.0002956409,-0.012287263,-0.0029807594,-0.007258877,-0.00652328,0.0010649832,-0.007717805,-0.022327997,0.0038721748,-0.028725915,0.0030160877,0.013474105,0.003172657,MGS1
217,0.00758798,-0.015212322,-0.009697463,0.02591763,-0.008513417,0.016731797,-0.0015684515,-0.0021026875,-0.012687118,0.0077923452,-0.0036952868,0.0024954043,-0.016795143,-0.0042427084,0.0062397355,-0.0033226553,MGS1
218,-0.008952652,-0.009150146,-0.0057564154,0.011615705,-0.0026247054,0.0073765535,-0.017964073,-0.0015864745,0.0009805383,0.0068877013,-0.0062305927,0.015594251,-0.012397919,-0.006059863,-0.0026658399,0.0016249572,MGS1
229,0.010314473,0.0025342368,-0.0011042543,0.013587579,-0.015777804,0.018335903,-0.0068896115,-0.032548383,-0.0078089545,0.0038258769,-0.0035385564,0.009318247,-0.039031327,-0.008989522,-0.02830014,0.02065301,MGS1
237,-0.014453501,0.017863542,-0.012519941,0.008502539,-0.0070855916,0.0021471586,-0.0013941005,0.0006086016,0.0013982067,0.005867346,-0.0073332414,-0.0052375775,-0.0037632994,-0.004857992,0.005322608,0.01087133,MGS1
243,-0.0025210595,-0.001210494,-0.018462516,0.008368999,-0.0117219165,-0.013686413,0.009783518,-0.011584783,-0.012093986,-0.00058525614,-0.0066225156,-0.0052602384,-0.01287251,-0.0042426074,0.0048271036,-0.005136801,MGS1
246,0.006995143,-0.0011499673,-0.006688889,0.011748675,-0.007941928,0.013370236,-0.0013887957,-0.00854631,-0.0057326397,0.011296981,-0.015967801,0.020137519,-0.0130988285,-0.0043133073,-0.025740754,0.0010353196,MGS1
251,0.0064654974,-0.0028929152,-0.008090485,0.010599226,-0.010946173,-0.014792993,-0.0061920807,-0.005839474,-0.0077869175,-0.0053654835,-0.008968972,-0.019107431,-0.003221631,0.021428538,0.006642488,-0.0073503917,MGS1
254,0.001090683,-0.005509818,-0.0044889376,-0.004513534,-0.0044835694,-0.0072511192,-0.025661469,-0.013222674,-0.004734462,0.0035165325,0.0030718297,0.012208398,-0.020878822,0.012695985,0.0009579144,-0.007748994,MGS1
264,-0.0027898178,-0.004965596,-0.0007768236,-0.016513513,0.017283779,-0.006128058,-0.041095138,0.003784569,0.0076663983,0.0010390049,0.014093224,0.0065828376,-0.009516224,-0.009264703,-0.005134248,-0.011039865,MGS1
265,0.013139903,-0.0030391421,0.001388289,0.005196959,-0.013448838,-0.00071610697,-0.022648022,0.0057338793,-0.004325725,0.0032648817,-0.02024874,-0.015403539,-0.028887734,-0.009604257,0.020379713,0.011581455,MGS1
266,0.009067604,-0.01582157,-0.0030722953,0.023358919,-0.012733076,0.007714158,-0.005409114,-0.0015676413,-0.010293278,0.004558268,0.0046504363,-0.014326338,-0.008707948,-0.02334004,0.007387976,-0.004456072,MGS1
286,-0.011424863,-0.0007311683,0.0020799488,-0.0040068533,0.0051787626,0.006537618,-0.011776179,-0.009744493,0.005184301,-0.0011052554,-0.0005790517,-0.0014454816,-0.022778839,-0.014509011,0.00669406,-0.0005486794,MGS1
288,-0.0033409633,-0.0023736227,-0.0097113475,0.010977466,-0.012200087,0.016707482,0.003707759,-0.022458762,0.0027205949,0.006341055,-0.015216164,0.008636504,-0.023066007,-0.0082901865,-0.0072619757,0.013679102,MGS1
291,0.0028788254,-0.018534726,0.003387168,-0.0017285813,0.0040371325,0.010951864,0.0038786232,-0.01308831,-0.0018536802,-0.0063901083,-0.014278077,0.016386066,-0.0057461075,-0.00024556252,-0.014212978,-0.0037159855,MGS1
292,0.017908193,-0.0036252644,-0.00046751276,0.014806192,0.0049492195,0.009500431,-0.009478651,-0.00766327,-0.026682064,-0.0023562969,0.012646876,-0.009896131,-0.005234394,0.008014405,0.0039984053,0.010249016,MGS1
293,-0.010152775,-0.007769417,-0.00477745,2.4585053e-05,-0.010988452,-0.0038639568,-0.0032468215,-0.0018562824,-0.0027920129,-0.008182544,-0.00068808347,0.01518425,-0.019117154,-0.016331377,0.0024532739,-0.023197766,MGS1
295,0.017418142,0.003700532,-0.001640059,0.0033276249,-0.0011339504,-0.008634197,-0.00054095685,-0.023526484,-0.0029387046,0.012826829,-0.011032112,0.006852284,0.0053429194,-0.006239631,-0.00031132204,-0.0014281692,MGS1
307,0.016233873,-0.005279498,-0.0033359006,0.01009373,-0.0039684176,0.00025893748,0.002635546,-0.012513367,0.008629511,0.007906762,-0.022022374,-0.007245632,-0.008133505,0.00201332,-0.0045959437,0.019790005,MGS1
308,0.0056563197,-0.0071620084,-0.0014378615,-0.0044850744,0.002450982,-0.0024449322,-0.019472562,-0.0040594754,-0.016865283,0.015112079,-0.0028494895,0.014863521,0.0033087656,-0.022588434,0.0015645775,-0.009810832,MGS1
311,0.015470821,-0.009839954,-0.0017154813,0.009916708,-0.0059014633,0.004076816,0.0010298342,-0.0011514272,0.0035171304,0.0057306606,-0.017420255,0.006327741,-0.004090514,-0.010704845,-0.0035913882,0.0055935364,MGS1
313,-0.0042075273,-0.0023184363,-0.0011030622,-0.0035017505,-0.006804798,-0.002300648,-0.006372325,-0.0067368266,0.0040808073,0.0037830286,-0.017085515,-0.0027018692,-4.235655e-05,0.006243548,-0.0072002104,0.012635783,MGS1
314,0.001261571,-0.016448526,0.0038780756,-0.015344064,-0.0036899988,-0.007660549,0.021871675,-0.005502911,7.2279945e-06,-0.01772463,-0.005773194,0.010218348,0.014857497,-0.008600449,-0.021520136,-0.0021017166,MGS1
315,-0.0046850434,0.0028537046,-0.0062897988,-0.009436965,-0.002558263,0.017526774,-0.015312642,-0.026748735,0.011898331,-0.004177813,-0.027264878,0.009640899,-0.018116333,-0.009859128,-0.023983594,0.006739672,MGS1
