,S100B,SYNC,PSMB8-AS1,C1S,BTN3A3,HCP5,HLA-DMB,LCTL,C3,PTGS1,HLA-DQA1,MOXD1,F5,CFB,C7,CYP21A2,PSMB8,MR1,FGF1,ANKRD35,B2M,CXCL12,C1R,RARRES3,HLA-B,HLA-DMA,PTX3,CCDC3,HLA-DRA,HLA-DPA1,SERPING1,PSMB9,ISLR,PLCG2,GYG2,PODN,RNASET2,TIMP4,PABPC1L,GDPD2,BTBD19,CTSZ,P2RY6,GAB3,TNFRSF11B,NNMT,VSTM4,FBLN5,LIX1,CYP4F12,TMEM98,SERPINA5,ENPP7P11,IGFN1,COPZ2,LST1,ACOX2,HFE,SLC9A9,SLC47A2,SCRG1,LINC01411,CUBN,ANO3,TMSB4X,APOBEC3C,C1RL,IGFBP7,RILPL2,TRIM22,DAAM2,CYTH4,C2,MAOB,CCND1,POM121L9P,DLGAP1-AS2,GALNT15,PLEKHS1,HLA-DOA,ARSD
0,0.40826336,-1.044772,0.0,0.13146563,-0.1544951,0.0,-0.031013763,-0.112350605,0.0,0.0,-0.11047202,0.73976684,0.07828188,0.0,0.08381067,-0.8764941,-0.030830024,-0.14739418,0.0,0.0,-0.0064178677,-0.75025976,0.0,0.0,0.0,0.0,0.054039575,-0.0913809,0.0,-0.08113758,-0.05309984,0.020112582,0.016870387,0.0,-0.0007496923,0.0,-0.07407406,-0.026459614,-0.04330744,0.0,-1.028589,0.0,0.028827555,-0.482935,-0.01037841,0.10446931,-0.07316205,0.0,0.15174404,-0.110031694,0.13029602,0.0,0.0073533677,0.026565976,0.0,0.08137509,0.0,0.013542078,0.0,0.09742242,0.0,-0.1828298,-0.09139301,0.029918233,-0.039152425,0.028584544,-0.16269994,0.0,0.19828214,-0.07166298,-0.06657963,0.0,-0.1077443,-0.088989444,0.043211423,0.71225995,-0.0064383447,-0.10113516,0.09338473,0.0,0.0
1,-0.2974637,-0.3487574,0.0,-0.004838899,-0.13552122,0.0,-0.031013763,-0.112350605,0.0,0.0,0.2550188,-1.1693645,-0.06715106,0.0,-0.06671557,1.0068194,-0.030830024,-0.07693375,0.0,0.0,-0.0136793405,0.08701505,0.0,0.0,0.0,0.0,0.056613557,0.009069592,0.0,-0.08113758,-0.43905804,-0.06422888,0.01230449,0.0,0.06971727,0.0,-0.10935016,-0.12690572,-0.04330744,0.0,-0.9592878,0.0,-0.09586179,0.7505067,-0.036452547,-0.1408087,-0.011069324,0.0,-0.024482632,-0.14854103,-0.090382054,0.0,0.01274978,-0.07803333,0.0,-0.22187147,0.0,0.07689517,0.0,0.09742242,0.0,-0.109215386,0.1934681,0.034972377,-0.062630266,-0.086181104,-0.16269994,0.0,-0.0063801184,0.005391229,0.06469083,0.0,0.012927173,-0.0659237,0.037268136,-0.39961338,-0.028970899,-0.021676674,0.18828142,0.0,0.0
2,-0.53185743,-1.0345005,0.0,0.03028031,-0.14623196,0.0,0.03935775,-0.092741534,0.0,0.0,0.11077751,-0.93123716,0.07828188,0.0,-0.06671557,-0.851396,0.048754387,-0.05282805,0.0,0.0,-0.0136793405,0.14227396,0.0,0.0,0.0,0.0,0.047934435,0.0072057527,0.0,0.06378965,-0.020315364,-0.013766727,0.01230449,0.0,-0.23607221,0.0,0.027521787,-0.026459614,-0.04330744,0.0,-0.7548947,0.0,-0.037655324,-0.59731764,-0.036452547,-0.1527541,-0.02151309,0.0,0.15174404,-0.1686534,0.13029602,0.0,0.0073533677,-0.07064128,0.0,-0.14285558,0.0,0.07689517,0.0,0.09742242,0.0,-0.0865915,-0.09576965,0.036638334,-0.034464825,0.028584544,0.0963763,0.0,0.19828214,-0.17974597,0.06469083,0.0,0.0077310167,0.12541352,0.043211423,-0.56190675,-0.04860847,0.056720346,-0.06577201,0.0,0.0
3,-0.3924742,-0.042284198,0.0,-0.012616799,-0.21387172,0.0,-0.031013763,0.030868933,0.0,0.0,-0.14148244,-1.1857613,0.07828188,0.0,-0.06671557,-1.0266802,0.048754387,-0.07693375,0.0,0.0,0.013220808,0.013066882,0.0,0.0,0.0,0.0,0.047934435,-0.046373334,0.0,-0.08113758,-0.020315364,-0.02268714,0.016870387,0.0,0.06780287,0.0,0.009915421,0.025879106,-0.01709955,0.0,-0.8240468,0.0,0.049325593,0.10481653,-0.036452547,0.10446931,-0.027789988,0.0,-0.07797052,-0.1296593,-0.12785977,0.0,-0.0327643,-0.057785943,0.0,0.12609032,0.0,-0.0493367,0.0,-0.118305765,0.0,-0.056473374,-0.12901497,-0.13011262,-0.04833253,-0.013539642,0.0963763,0.0,0.19129248,-0.1791002,-0.06657963,0.0,0.012927173,-0.11670656,-0.069723085,-0.5993078,-0.13213095,0.056720346,-0.283613,0.0,0.0
4,0.33395636,-1.0318408,0.0,-0.0068475874,0.35299814,0.0,-0.031013763,-0.17721017,0.0,0.0,0.08628978,0.709648,0.07828188,0.0,0.08381067,-0.9933999,-0.030830024,-0.12594698,0.0,0.0,-0.0064178677,-0.75025976,0.0,0.0,0.0,0.0,0.030922946,-0.06396991,0.0,0.06378965,-0.05309984,-0.013766727,0.01230449,0.0,-0.42988616,0.0,-0.05722282,-0.026459614,-0.04330744,0.0,-0.65808946,0.0,0.027232073,0.40964106,-0.01037841,-0.1408087,0.059053726,0.0,-0.07797052,-0.118989155,0.13029602,0.0,0.0073533677,-0.046407007,0.0,-0.22187147,0.0,0.013542078,0.0,-0.118305765,0.0,-0.22013567,-0.08833268,0.035188273,0.0022778362,0.028584544,0.0963763,0.0,0.19828214,-0.22959328,0.06469083,0.0,0.012927173,-0.0791527,0.043211423,-0.59449345,-0.020662153,-0.021676674,-0.22895333,0.0,0.0
5,0.4357613,-1.0261116,0.0,-0.012616799,-0.1544951,0.0,-0.031013763,-0.092741534,0.0,0.0,0.08628978,0.57302,0.07828188,0.0,-0.06671557,-0.9997304,-0.030830024,-0.24861178,0.0,0.0,-0.0064178677,0.10147408,0.0,0.0,0.0,0.0,-0.22487567,0.017872073,0.0,0.06378965,-0.020315364,-0.013766727,0.01230449,0.0,-0.05102796,0.0,-0.05722282,-0.013618546,-0.04330744,0.0,-0.9274042,0.0,0.03567425,-0.5594444,0.04591433,-0.1408087,-0.027789988,0.0,-0.07797052,0.06259096,0.0062575825,0.0,-0.016399082,-0.060858756,0.0,-0.14285558,0.0,-0.014028147,0.0,0.09742242,0.0,-0.34380367,-0.113335304,0.026146675,-0.113962,0.028584544,0.0963763,0.0,0.19828214,-0.14947511,0.06469083,0.0,0.012927173,0.054541804,0.043211423,-0.7200239,-0.00023288559,0.056720346,-0.13077769,0.0,0.0
6,-0.62845504,-0.13197112,0.0,0.01150367,-0.19339666,0.0,-0.031013763,0.050478004,0.0,0.0,0.14636031,-1.0082115,0.07828188,0.0,-0.06671557,-1.1598991,0.048754387,-0.05282805,0.0,0.0,0.013220808,0.037759393,0.0,0.0,0.0,0.0,0.047934435,-0.058925234,0.0,0.06378965,-0.020315364,-0.02268714,0.01230449,0.0,-0.05869796,0.0,0.011189766,0.00803417,-0.04330744,0.0,-0.6355769,0.0,0.049325593,1.0311428,-0.036452547,-0.1527541,0.029213846,0.0,-0.07797052,0.39904952,0.13029602,0.0,-0.09241018,-0.07223769,0.0,-0.22187147,0.0,-0.0493367,0.0,0.09742242,0.0,0.054441147,-0.09576965,0.08268383,-0.00075544417,0.022701833,0.0963763,0.0,0.19828214,-0.045339428,0.06469083,0.0,0.0077310167,0.01698795,0.043211423,-0.37249926,-0.087718196,-0.021676674,-0.3261184,0.0,0.0
7,-0.65399945,-1.04655,0.0,0.016434213,-0.14532183,0.0,-0.031013763,-0.092741534,0.0,0.0,0.11077751,-0.9143081,-0.06715106,0.0,-0.06671557,-0.91593593,0.048754387,-0.07693375,0.0,0.0,0.076466694,0.1450971,0.0,0.0,0.0,0.0,0.047934435,0.009069592,0.0,0.06378965,-0.020315364,-0.013766727,0.01230449,0.0,0.06480321,0.0,-0.030698998,-0.013618546,-0.04330744,0.0,-0.7733776,0.0,0.028827555,-0.50728816,-0.013121666,-0.1527541,0.045715317,0.0,0.15174404,-0.1686534,0.13029602,0.0,-0.016399082,-0.031850535,0.0,-0.14285558,0.0,0.07689517,0.0,0.09742242,0.0,-0.109215386,-0.09576965,0.026146675,-0.15433206,0.028584544,0.0963763,0.0,0.19828214,-0.17198159,0.06469083,0.0,0.0077310167,0.12541352,0.043211423,-0.6476886,0.2157643,0.056720346,-0.13077769,0.0,0.0
8,0.2991143,0.6204339,0.0,-0.0047931965,0.35304847,0.0,0.03935775,-0.17721017,0.0,0.0,-0.2550024,-1.2771181,-0.06715106,0.0,0.08381067,0.72125804,-0.030830024,0.040065117,0.0,0.0,-0.079118766,0.06649821,0.0,0.0,0.0,0.0,-0.10647826,0.011524466,0.0,-0.08113758,-0.04858531,0.05099472,0.016870387,0.0,-0.3983245,0.0,0.045784518,-0.009548863,-0.04330744,0.0,-0.71484774,0.0,0.07158046,0.94974643,-0.013121666,0.10446931,0.035066087,0.0,-0.0141745005,-0.3329831,0.09119253,0.0,-0.028433861,0.045561593,0.0,0.12609032,0.0,0.07689517,0.0,-0.118305765,0.0,0.04835756,0.12087476,0.07376589,-0.090113536,0.08341107,0.0963763,0.0,0.19129248,-0.28194413,-0.06657963,0.0,0.012927173,-0.07628527,-0.009996533,-0.39654398,0.12736215,-0.05463943,0.2483695,0.0,0.0
9,0.44494995,0.9221866,0.0,-0.006929658,-0.25619727,0.0,0.03935775,-0.112350605,0.0,0.0,0.12187256,1.2005655,-0.06715106,0.0,0.08381067,-0.88118476,-0.030830024,0.17655638,0.0,0.0,-0.0064178677,0.2552139,0.0,0.0,0.0,0.0,0.13077842,0.05282441,0.0,-0.08113758,0.06375537,-0.06422888,0.016870387,0.0,0.25044546,0.0,0.04893688,-0.009548863,0.016777894,0.0,-1.0219951,0.0,0.049325593,0.21840784,-0.01037841,0.10446931,-0.015638852,0.0,-0.027859006,-0.06698523,0.09119253,0.0,-0.028433861,-0.046163898,0.0,0.12609032,0.0,0.021863984,0.0,-0.118305765,0.0,0.119167514,0.14601086,0.07376589,0.035050012,0.08341107,0.0963763,0.0,0.00071372837,0.698281,0.06469083,0.0,0.012927173,-0.11287005,-0.0954603,-0.47572136,-0.0010245815,-0.05463943,0.17542693,0.0,0.0
