,ENSG00000160307,ENSG00000162520,ENSG00000204261,ENSG00000182326,ENSG00000111801,ENSG00000206337,ENSG00000242574,ENSG00000188501,ENSG00000125730,ENSG00000095303,ENSG00000196735,ENSG00000079931,ENSG00000198734,ENSG00000243649,ENSG00000112936,ENSG00000231852,ENSG00000204264,ENSG00000153029,ENSG00000113578,ENSG00000198483,ENSG00000166710,ENSG00000107562,ENSG00000159403,ENSG00000133321,ENSG00000234745,ENSG00000204257,ENSG00000163661,ENSG00000151468,ENSG00000204287,ENSG00000231389,ENSG00000149131,ENSG00000240065,ENSG00000129009,ENSG00000197943,ENSG00000056998,ENSG00000174348,ENSG00000026297,ENSG00000157150,ENSG00000101104,ENSG00000130055,ENSG00000222009,ENSG00000101160,ENSG00000171631,ENSG00000160219,ENSG00000164761,ENSG00000166741,ENSG00000165633,ENSG00000140092,ENSG00000145721,ENSG00000186204,ENSG00000006042,ENSG00000188488,ENSG00000250942,ENSG00000163395,ENSG00000005243,ENSG00000204482,ENSG00000168306,ENSG00000010704,ENSG00000181804,ENSG00000180638,ENSG00000164106,ENSG00000249306,ENSG00000107611,ENSG00000134343,ENSG00000205542,ENSG00000244509,ENSG00000139178,ENSG00000163453,ENSG00000150977,ENSG00000132274,ENSG00000146122,ENSG00000100055,ENSG00000166278,ENSG00000069535,ENSG00000110092,ENSG00000128262,ENSG00000262001,ENSG00000131386,ENSG00000148735,ENSG00000204252,ENSG00000006756,mgs_level
2,11.5164067747452,0.575820338737262,0.863730508105892,18.4262508395924,3.26298191951115,3.55089208887978,6.62193389547851,0,55.2787525187771,3.26298191951115,14.3955084684315,49.8084593007731,3.93477231470462,5.75820338737262,10.7486463230955,0.863730508105892,7.58163446004061,4.12671242761704,43.7623457440319,1.43955084684315,154.127910668674,2.59119152431768,18.714161008961,5.47029321800398,95.1063259481044,7.86954462940924,0.959700564562103,3.26298191951115,58.445764381832,29.4628073320565,73.8969434712819,5.08641299217914,1.82343107266799,2.30328135494905,3.55089208887978,0.863730508105892,9.50103558916482,0.191940112912421,2.30328135494905,2.11134124203663,1.15164067747452,13.1478977345008,0.671790395193472,2.49522146786147,0.479850282281051,2.11134124203663,7.67760451649682,1.24761073393073,51.3439802040725,0.479850282281051,17.4665502750303,104.703331593725,1.15164067747452,0.767760451649682,2.97507175014252,1.91940112912421,2.11134124203663,1.82343107266799,2.68716158077389,0.479850282281051,9.78894575853345,0.287910169368631,13.243867790957,6.62193389547851,128.120025369041,2.11134124203663,10.0768559279021,19.2899813476983,2.59119152431768,8.25342485523408,10.0768559279021,1.15164067747452,3.55089208887978,33.6854898161298,5.18238304863535,0.671790395193472,3.83880225824841,38.5799626953965,1.72746101621178,2.39925141140526,10.3647660972707,MGS1
4,7.39216092185555,0.938687101188006,1.17335887648501,29.6859795750707,4.92810728123703,2.69872541591552,4.57609961829153,0.469343550594003,18.5390702484631,3.75474840475202,7.04015325891004,10.2082222254196,6.33613793301904,6.92281737126154,8.21351213539505,2.22938186532151,7.04015325891004,5.28011494418253,59.1372873748444,4.81077139358853,134.936270795776,3.87208429240052,28.6299565862342,8.80019157363756,77.4416858480105,6.21880204537054,0.938687101188006,5.86679438242504,39.7768659128417,27.9259412603432,63.3613793301904,1.99471009002451,1.76003831472751,1.64270242707901,5.28011494418253,0.586679438242504,10.4428940007166,0.938687101188006,4.10675606769753,9.62154278717706,1.17335887648501,22.0591468779181,1.99471009002451,6.68814559596454,1.29069476413351,0.821351213539505,9.26953512423156,3.05073307886102,135.288278458721,1.29069476413351,25.2272158444277,35.3181021821987,1.05602298883651,0.117335887648501,5.74945849477654,0.704015325891004,6.10146615772204,2.22938186532151,4.92810728123703,1.05602298883651,8.44818391069205,0,54.2091800936073,1.40803065178201,129.421484076296,10.9122375513106,15.3710012819536,20.0644367878936,3.16806896650952,22.7631622038091,9.85621456247406,0.821351213539505,1.99471009002451,36.3741251710352,6.57080970831604,0.352007662945502,3.87208429240052,29.3339719121252,0.586679438242504,2.11204597767301,7.97884036009805,MGS1
6,5.59315613890745,0.438678912855486,1.20636701035259,18.8631932527859,5.48348641069357,5.48348641069357,16.231119775653,0.329009184641614,22.5919640120575,1.86438537963581,6.9091928774739,7.89622043139875,1.5353761949942,3.50943130284389,7.34787179032939,0.877357825710972,4.93513776962422,2.96108266177453,33.0105881923753,2.19339456427743,120.636701035259,3.29009184641614,17.8761656988611,5.59315613890745,119.649673481334,24.4563493916933,0.877357825710972,4.49645885676873,41.5648269930573,18.8631932527859,49.3513776962422,1.5353761949942,1.42570646678033,2.3030642924913,2.63207347713292,1.75471565142194,12.9410279292368,0.329009184641614,2.74174320534679,7.78655070318487,0.987027553924843,16.3407895038668,1.5353761949942,1.97405510784969,0.438678912855486,0.548348641069357,11.954000375312,1.86438537963581,73.8077270879355,0.877357825710972,16.0117803192252,14.1473949395894,0.877357825710972,0.329009184641614,2.85141293356066,0.548348641069357,3.39976157463002,1.5353761949942,4.38678912855486,0.987027553924843,5.70282586712132,0,28.0754504227511,5.04480749783809,109.34071902923,5.26414695426583,6.25117450819067,14.476404124231,2.19339456427743,13.0506976574507,7.45754151854326,1.20636701035259,1.75471565142194,24.8950283045488,5.59315613890745,0,2.63207347713292,22.8113034684853,0.329009184641614,2.3030642924913,4.93513776962422,MGS1
9,8.08401926577367,1.12278045357968,0.561390226789839,27.5081211127021,5.83845835861432,3.25606331538106,5.27706813182448,0.785946317505774,50.5251204110855,4.49112181431871,8.98224362863742,11.1155264904388,5.05251204110855,5.95073640397229,6.51212663076213,0.449112181431871,4.37884376896074,5.72618031325635,45.135774233903,4.15428767824481,95.8854507357044,3.70517549681293,16.0557604861894,6.28757054004619,38.174535421709,7.07351685755197,0.785946317505774,2.91922917930716,36.3780866959815,25.7116723869746,48.504115594642,1.90872677108545,1.34733654429561,3.36834136073903,5.50162422254042,1.68417068036952,11.4523606265127,1.34733654429561,2.91922917930716,6.84896076683603,1.34733654429561,18.3013213933487,0.673668272147806,4.04200963288684,0.785946317505774,1.12278045357968,10.2173021275751,1.57189263501155,119.239284170162,1.57189263501155,24.9257260694688,36.2658086506236,0.561390226789839,0.336834136073903,3.25606331538106,0.898224362863742,3.25606331538106,2.91922917930716,5.05251204110855,2.35783895251732,8.98224362863742,0,23.5783895251732,1.12278045357968,102.846689547898,8.64540949256351,5.83845835861432,13.922477624388,2.02100481644342,14.1470337151039,11.6769167172286,0.673668272147806,1.01050240822171,33.0097453352425,13.4733654429561,0.224556090715935,1.34733654429561,27.1712869766282,0.224556090715935,3.480619406097,7.52262903898384,MGS1
17,10.0538245400835,0.346683604830465,1.50229562093201,29.3525452089793,7.28035570143976,3.69795845152496,2.19566283059294,0.23112240322031,26.3479539671153,2.3112240322031,3.92908085474527,14.5607114028795,1.2711732177117,5.8936212821179,11.0938753545749,0.346683604830465,6.47142729016867,4.50688686279604,45.8777970392315,3.12015244347418,160.398947834895,2.42678523381325,18.9520370640654,8.89821252398193,100.191561796004,6.70254969338898,0.693367209660929,3.35127484669449,34.7839216846566,18.6053534592349,70.7234553854148,1.61785682254217,0.693367209660929,2.42678523381325,2.65790763703356,0.924489612881239,6.93367209660929,0.808928411271084,2.88903004025387,7.85816170949053,0.462244806440619,21.2632610962685,0.924489612881239,4.50688686279604,0.577806008050774,0.115561201610155,12.1339261690663,0.693367209660929,107.471917497444,0.23112240322031,21.1476998946583,15.4852010157608,0.808928411271084,0.23112240322031,4.04464205635542,0.808928411271084,5.54693767728743,2.3112240322031,3.00459124186403,1.50229562093201,7.85816170949053,0,17.4497414431334,2.65790763703356,134.744361077441,7.39591690304991,5.66249887889759,12.4806097738967,2.19566283059294,13.2895381851678,5.43137647567728,0.577806008050774,1.38673441932186,35.823972499148,6.81811089499914,0.23112240322031,2.08010162898279,32.4726976524535,0,2.3112240322031,5.8936212821179,MGS1
18,9.57028257523646,0.302219449744309,1.51109724872155,23.5731170800561,6.74956771095624,5.540689911979,2.92145468086166,0.100739816581436,16.622069735937,1.00739816581436,4.83551119590895,16.0176308364484,2.51849541453591,5.94364917830475,3.92885284667602,0.906658349232928,6.14512881146762,5.23847046223469,46.3403156274607,2.71997504769878,108.295302825044,3.42515376376884,15.2117123037969,6.14512881146762,74.1445050039372,4.4325519295832,0.503699082907182,3.92885284667602,28.4086282759651,13.1969159721682,48.0528925093452,1.20887779897724,0.604438899488619,1.20887779897724,3.52589358035027,0.302219449744309,6.54808807779337,0.402959266325746,3.62663339693171,7.35400661044486,0.906658349232928,15.3124521203783,0.604438899488619,2.82071486428022,0.302219449744309,0.805918532651491,9.26806312549215,0.805918532651491,139.121686698964,2.31701578137304,24.1775559795447,6.04438899488618,0.302219449744309,0.100739816581436,3.72737321351315,0.503699082907182,5.64142972856044,2.92145468086166,3.82811303009458,0.402959266325746,5.74216954514188,0.100739816581436,23.4723772634747,3.52589358035027,114.944130719419,6.74956771095624,6.6488278943748,13.5998752384939,2.11553614821016,18.4353864344029,7.95844550993348,0.705178716070055,1.61183706530298,27.5019699267321,6.95104734411911,0.100739816581436,2.92145468086166,24.2782957961262,0.100739816581436,1.41035743214011,5.33921027881613,MGS1
32,3.35968703279033,1.04266149293493,0.926810215942161,18.3045017648577,5.67671257264574,2.78043064782648,4.17064597173973,0.695107661956621,19.4630145347854,1.96947170887709,4.86575363369635,9.49980471340715,3.70724086376864,3.93894341775419,7.18277917355175,0.11585127699277,3.4755383097831,4.51819980271804,40.5479469474696,2.43287681684817,93.4919805331655,4.2864972487325,9.84735854438546,4.05479469474696,28.8469679711998,5.79256384963851,0.810958938949391,3.12798447880479,33.5968703279033,20.5056760277203,28.6152654172142,0.463405107971081,0.34755383097831,1.62191787789878,1.62191787789878,0.926810215942161,11.2375738682987,1.1585127699277,3.35968703279033,6.02426640362405,0.926810215942161,12.9753430231903,0.23170255398554,4.74990235670358,0.463405107971081,0.23170255398554,12.1643840842409,0.579256384963851,110.174564420124,2.54872809384094,18.652055595836,15.1765172860529,0.23170255398554,0.23170255398554,2.78043064782648,0.695107661956621,4.2864972487325,3.01213320181202,4.98160491068912,0,3.82309214076141,0.34755383097831,32.4383575579756,1.39021532391324,101.717421199652,4.86575363369635,4.86575363369635,12.8594917461975,2.43287681684817,16.7984351639517,5.32915874166743,0.23170255398554,0.695107661956621,26.7616449853299,9.84735854438546,0.11585127699277,1.62191787789878,32.0908037269973,0.11585127699277,3.24383575579756,4.63405107971081,MGS1
35,5.48174385747259,0.783106265353227,0.783106265353227,21.6257807124468,3.43361977885646,1.74692936117258,3.61433660932259,0.301194717443549,24.6377278868823,2.83123034396936,3.19266400490162,8.49369103190808,7.22867321864517,3.37338083536775,5.24078808351775,0.783106265353227,4.3372039311871,5.72269963142743,38.9745964371952,2.40955773954839,79.1539717441647,3.55409766583388,12.1682665847194,4.57815970514194,39.5769858720823,6.86723955771292,0.722867321864517,3.91553132676614,25.7822678131678,11.8670718672758,60.0582266582437,0.722867321864517,0.783106265353227,2.16860196559355,3.85529238327743,0.481911547909678,8.67440786237421,0.903584152330647,2.53003562652581,3.01194717443549,0.903584152330647,19.7583734642968,0.240955773954839,2.77099140048065,1.02406203930807,0.361433660932259,12.1682665847194,0.903584152330647,90.2379373460873,0.602389434887098,19.5776566338307,29.5773212529565,0.662628378375808,0.542150491398388,4.03600921374356,0.843345208841937,3.61433660932259,1.14453992628549,3.49385872234517,0.421672604420968,3.61433660932259,0.180716830466129,22.7703206387323,3.43361977885646,114.273275798082,4.21672604420969,4.09624815723227,13.07185073705,2.83123034396936,16.8669041768387,5.60222174445001,0.301194717443549,1.50597358721774,23.0112764126871,6.68652272724679,0.0602389434887098,4.45768181816452,21.6257807124468,0.0602389434887098,2.71075245699194,7.71058476655485,MGS1
41,11.0255349994737,1.8614539609501,2.43420902585783,37.8018342839098,7.15943831134655,10.1664024021121,10.0232136358852,0,60.9984144126726,10.309591168339,10.0232136358852,11.3119125319276,9.59364733720438,12.1710451292891,13.4597440253315,2.43420902585783,7.44581584380041,8.01857090870814,65.8668324643883,3.43653038944634,264.183273688688,5.01160681794259,31.071962271244,10.0232136358852,148.486750577327,12.7438001941969,0.286377532453862,5.01160681794259,84.6245608401162,34.0789263620096,173.401595900813,2.57739779208476,2.00464272717703,4.29566298680793,3.00696409076555,4.72522928548872,17.0394631810048,1.00232136358852,3.43653038944634,5.44117311662338,1.28869889604238,28.0649981804785,0.859132597361586,4.72522928548872,2.14783149340397,1.14551012981545,14.0324990902392,4.58204051926179,100.375325125079,0.715943831134655,23.6261464274436,41.3815534395831,0.715943831134655,0.859132597361586,4.152474220581,3.15015285699248,5.01160681794259,1.14551012981545,5.72755064907724,4.29566298680793,7.58900461002734,0.429566298680793,38.3745893488175,7.73219337625428,121.424073760438,6.0139281815311,8.44813720738893,12.0278563630622,2.00464272717703,18.0417845445933,13.8893103240123,1.8614539609501,1.71826519472317,37.6586455176829,13.1733664928777,0.429566298680793,6.87306077889269,35.9403803229597,0.429566298680793,2.72058655831169,9.45045857097745,MGS1
42,9.23505942543044,1.88470600518989,0.753882402075954,38.2595319053547,4.9002356134937,2.45011780674685,10.5543536290634,0.376941201037977,103.564594985184,11.2140007308798,7.25611811998106,14.2295303391836,10.2716477282849,8.66964762387347,12.5332949345127,0.848117702335449,6.50223571790511,7.35035342024056,52.1121210435003,4.24058851167724,179.706717594856,3.67517671012028,35.2440022970509,10.5543536290634,71.1476516959182,10.9312948301013,2.35588250648736,4.24058851167724,81.6077700247221,39.9557673100256,104.883889188817,1.6020001044114,2.54435310700635,4.52329441245573,6.50223571790511,2.82705900778483,16.1142363443735,0.753882402075954,4.9002356134937,6.5964710181646,1.03658830285444,22.8049426627976,0.65964710181646,4.05211791115825,1.97894130544938,5.93682391634814,11.9678831329558,2.63858840726584,131.835185063033,0.376941201037977,19.4124718534558,58.8028273619244,0.65964710181646,0.282705900778483,2.54435310700635,2.63858840726584,4.71176501297471,1.6962354046709,6.21952981712662,3.39247080934179,12.2505890337343,3.76941201037977,42.0289439157345,4.33482381193674,174.523776080583,5.84258861608865,6.78494161868359,17.4335305480064,3.20400020882281,24.8781192685065,7.16188281972157,1.13082360311393,2.54435310700635,36.7517671012028,13.5698832373672,0.0942353002594943,3.10976490856331,42.4058851167724,1.03658830285444,1.97894130544938,3.39247080934179,MGS1
