sample_id,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,mgs_level
2,-0.0052312007,0.007567215,-0.011960324,-0.006939876,-0.026810698,-0.033294246,-0.0045926403,0.0055557797,0.017969377,0.013775378,-0.0009365063,-0.025813676,-0.0055992156,0.0052811196,0.030854933,-0.010721988,MGS1
4,0.0014233068,-0.00027656928,-0.0065532806,0.0034854475,-0.018387327,-0.017530965,-0.016352598,0.0059804767,0.0036224052,0.036266938,0.0051357467,0.0055182967,-0.016333722,-0.00012646988,-0.0061770007,0.01214829,MGS1
6,-0.012652829,-0.019018909,0.004680233,0.0039002849,-0.0027384032,0.012672971,-0.017428163,-0.0024817698,-0.006175801,-0.014234297,0.037766904,0.016645337,0.016121585,-0.0012455033,0.020374775,-0.031038284,MGS1
9,-0.018107068,0.0038977684,-0.008451708,0.028853444,-0.012072774,0.003898358,-0.016765278,-0.0067031905,-0.018440276,-0.021501618,0.0021390133,0.0073857573,0.013149323,-0.011531539,-0.0030193515,-0.0022765188,MGS1
17,-0.028286004,0.0013646046,-0.013876827,0.0039576795,-0.038341396,0.013484096,-0.030401768,-0.0054388773,-0.010926053,-0.0054599904,-8.4068626e-05,0.015707161,0.0006648265,-0.008346859,0.040609017,-0.03991925,MGS1
18,-0.033643767,-0.0077624777,-0.008549259,0.025051305,-0.043439783,0.0014799442,-0.029049842,-0.02009346,-0.03911636,0.0027179085,0.008899784,0.035333768,0.026879564,-0.01387425,0.026315674,-0.0005235076,MGS1
32,-0.028450433,-0.0112540005,-0.01646553,-0.00016607763,-0.029480282,0.007383758,-0.009730486,-0.008692335,-0.01337643,-0.0039224178,0.0155039,0.020293865,-0.016715094,-0.024423126,0.020238407,-0.0020867728,MGS1
35,-0.014812882,-0.016918527,-0.007925437,-0.01009885,-0.0092727,0.012043968,-0.008920731,-0.00582237,0.004011754,-0.014394673,-0.010335512,-0.024158858,0.01836621,-0.013316936,0.017672671,0.0041289376,MGS1
41,0.0034540743,0.005321742,0.020105626,-0.0028631222,0.033864938,0.0145707205,0.019435681,0.0012876168,0.037211202,0.014191981,-0.016518606,0.0009999974,0.008758541,0.007624355,-0.012699887,0.025626723,MGS1
42,0.00034278445,0.002434194,-0.003581883,9.9942554e-05,0.002065342,-0.00550111,-0.0131169595,0.0065690884,0.0049327426,0.022198737,-0.00035782345,0.02764482,-0.0061229803,0.004056965,0.017834933,-0.017351331,MGS1
43,-0.0333879,-0.018809192,0.001183514,-0.011660123,-0.018251056,-0.010361638,-0.000820823,-0.0083203595,-0.014984183,-0.020191541,-0.010659049,0.023584051,0.0023577586,-0.011795534,0.034164384,-0.003162153,MGS1
81,-0.049086258,-0.015761334,-0.013021987,-0.004233526,-0.02093008,0.015295848,-0.016055379,0.0036797887,-0.017557427,0.0011113919,0.004154723,0.035660233,0.008355187,-0.032572713,0.037523884,-0.03100898,MGS1
89,-0.049493793,-0.019943735,0.0022863485,0.01682651,-0.021026056,0.017691975,0.004967697,-0.014025625,-0.014817387,-0.0052454025,0.008089341,0.008787757,-0.00011035055,-0.051722817,0.0046416335,-0.012882683,MGS1
99,-0.02252962,-0.017401151,-0.006884056,-0.024453372,-0.041870896,0.002534628,-0.020010976,-0.014254648,-0.012626082,-0.004619539,0.023440724,0.024087554,-0.005586896,-0.004085889,0.028764926,-0.012977991,MGS1
109,-0.028485913,-0.0049274904,-0.011129715,0.0134001495,-0.0032057352,-0.019568397,-0.0134918615,-0.0027223378,0.009158034,0.0010638312,0.014396941,0.008557492,0.0070775505,-0.02372462,-2.8107315e-05,-0.00723227,MGS1
115,-0.018220725,-0.0059070517,-0.0020736153,-0.000313899,-0.023839183,-0.01520971,-0.016998032,0.015799943,0.0016815774,-0.004255548,0.0030583572,-0.0041599525,-0.00071117654,-0.009538047,0.037388645,-0.009315973,MGS1
117,-0.007880315,-0.021540985,0.014828604,0.002788794,0.00035985373,-0.008134505,-0.01768815,0.0014556162,0.009564023,0.010887079,0.002021784,0.015721437,-0.024016388,0.0033635395,0.019306516,-0.0050243624,MGS1
119,-0.02989047,-0.017642662,0.0026763221,0.013542605,0.0032615801,0.001253359,-0.016567368,-0.020773258,0.0024995022,0.025736839,0.00815187,0.030643517,0.0102666505,-0.02338628,0.015785594,-0.009004194,MGS1
120,-0.004292316,-0.0069370195,-0.030172326,0.0011843354,-0.006197417,0.010625846,-0.033847287,-0.013126245,0.0040392913,-0.010161631,-0.00039401744,-0.0016429685,0.016687348,0.0024164347,0.018429684,-0.010169691,MGS1
126,-0.005674444,-0.02294232,-0.0152247,-0.0011583245,-0.0019790288,-0.009201728,-0.0052412106,-0.0073118676,-0.016210109,-0.0034630299,-0.008916823,0.033014916,0.02417059,-0.0126928855,0.024712982,-0.011364514,MGS1
137,-0.012846105,0.00070793275,-0.002346487,0.0014234595,-0.00776832,0.019723386,-0.0053326637,0.005913404,0.0007058382,-0.017180491,0.011669291,0.0041478314,0.013106551,0.0018630615,0.026155554,-0.0074500483,MGS1
139,-0.028351787,-0.019777399,-0.0014859801,0.006807931,-0.021986382,0.035984624,-0.041328937,-0.026421253,-0.022365436,-0.020045023,-0.0060499837,0.039803095,0.027843308,-0.012169962,0.05205057,-0.012390166,MGS1
142,-0.023081059,-0.034284893,-0.004741317,0.0040714014,-0.025770072,-0.011682564,-0.025940979,0.0037247054,-0.0085930675,-0.011538956,0.010108881,0.013563931,-0.011903428,-0.01341189,0.024052206,-0.009882489,MGS1
145,-0.029358761,-0.0047495067,-0.0051726922,0.0025108517,-0.025074579,-0.0063550808,-0.004397614,0.010352381,-0.004366964,-0.003372617,-0.0090022,0.010406913,0.0038166493,-0.015023675,0.0114523675,-0.039311882,MGS1
149,-0.033482533,-0.024153791,-0.016008273,0.008309275,-0.028957974,0.006486182,-0.03773444,-0.004386222,-0.006268844,-0.012612727,0.0047984496,0.022930825,0.0009479411,-0.04076842,0.044671822,-0.044568285,MGS1
153,-0.003677112,-0.008253509,-0.010334073,0.03158824,-0.0036473125,0.018484406,-0.007703308,-0.007525211,0.013845317,-0.021675345,0.00073496904,0.0036876644,0.017390054,-0.019110808,-0.0028854795,-0.01835531,MGS1
162,0.019938715,-0.013574804,-0.024402896,-0.02227622,-0.001567062,-0.0054131467,0.008132079,-0.007916827,0.031130522,0.0011364371,-0.0010734135,-0.010360962,0.018724006,-0.012579949,0.022223555,0.008671276,MGS1
163,-0.0067321453,-0.009036113,0.011641895,0.0052308855,-0.006954357,-3.4267083e-05,-0.002719285,0.019111214,-0.004685849,0.010741316,-0.0063278414,0.0017245822,-0.0065745898,-0.015484592,0.008523792,0.00095093384,MGS1
