sample_id,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,mgs_level
2,0.013840089,-0.013443695,-0.02797373,0.024050765,0.010792178,0.013207175,0.01557955,0.002795565,-0.023400482,-0.012232939,-0.02491336,-0.033637747,0.016216852,-0.006951716,-0.009368686,-0.0127487965,MGS1
4,-0.0026367996,-0.011966588,0.0028634034,-0.017986225,-0.0062511973,-0.00081689656,-0.0029380117,-0.01061872,-0.030535009,-0.0015528426,0.0053809816,0.01653299,-0.012097957,-0.0067036115,-0.01034708,0.008924458,MGS1
6,0.031364582,-0.029785167,-0.040222835,0.032750033,0.015366493,0.019684302,-0.01366579,-0.020591458,-0.0109293405,0.013765624,0.011299328,-0.011388024,0.04718855,0.0245202,-0.02427172,-0.016946655,MGS1
9,-0.011858838,-0.00865039,-0.02525739,0.009226709,0.002437857,0.019447789,-0.019084647,0.015742255,-0.02433216,-0.013387321,-0.0054623913,-0.015075075,0.0066018365,-0.030533526,0.01273219,-0.0044183955,MGS1
17,0.018206256,-0.025063237,-0.020577818,0.03405784,0.011479208,0.017651107,-0.032452554,0.005641373,-0.040972035,-0.0041458365,1.5145168e-05,0.0013625519,0.039704785,4.0858984e-05,-0.019936515,-0.0022123456,MGS1
18,0.011694754,-0.035229124,-0.0370583,0.021784239,0.003898968,0.01960041,-0.04016822,0.014859215,-0.04228999,-0.010094741,0.010140308,0.0004125405,0.047959454,0.021330373,-0.015974982,0.0063950904,MGS1
32,0.0357844,-0.02646194,-0.022240464,0.03159102,0.015642846,0.032415967,-0.028727664,-0.010137677,-0.033426255,-0.0002369117,0.01647292,-0.009448599,0.052300602,0.024330404,-0.014315187,-0.01405004,MGS1
35,0.021009313,-0.033651214,-0.038491555,0.034380984,-0.0030465964,0.009255951,-0.0042341985,-0.014103552,-0.04354364,-0.01846875,0.028995648,-0.01569176,0.0003405381,0.021696318,-0.019003212,-0.027517986,MGS1
41,-0.020026006,0.009999424,-0.014241621,0.014778597,-0.0034755245,-0.0146392435,0.0060849804,0.013750739,0.016731467,-0.030179879,0.012001599,-0.010029912,-0.028431874,-0.008739881,-0.004672136,-0.001141876,MGS1
42,0.0067446213,0.011783879,0.012602091,-0.007098932,0.016314171,-0.008657638,-0.0024926849,0.0054474575,0.009407598,0.02889009,-0.0049615316,-0.0054486343,-0.010740185,-0.011889763,-0.0013711768,-0.038358334,MGS1
43,0.0251826,-0.03270291,-0.03965993,0.063738346,0.0014323229,0.035124097,-0.044063978,-0.024003936,-0.050555784,0.00025354698,0.018655017,-0.03497853,0.06842163,0.030301772,-0.034439437,-0.02435759,MGS1
81,0.02512627,-0.018722542,-0.027160667,0.061232194,0.013104495,0.027456593,-0.02935942,-0.002762599,-0.037201215,0.013339823,0.019838251,-0.010858074,0.035630494,0.000707265,-0.031861305,-0.045382056,MGS1
89,0.029975886,-0.023228932,-0.04779896,0.037317388,0.027047321,0.032855336,-0.031812675,0.01312587,-0.025912713,0.012984337,0.020531226,-0.02519996,0.0553501,0.013990467,-0.031519342,-0.043619838,MGS1
99,0.0138351675,-0.0132437125,-0.010156497,0.033600606,-4.155282e-05,0.022041645,-0.027275084,-0.016436998,-0.01923525,0.016870687,0.017905701,0.008103661,0.022192925,0.0039989464,-0.020203305,-0.016460475,MGS1
109,-0.0041621625,-0.023018787,0.0012164805,0.022070015,0.00043488294,0.012826605,-0.01824245,0.011226166,-0.013580492,-0.001974117,0.011669719,-0.015330827,0.017405227,0.018854767,-0.020124732,-0.025741044,MGS1
115,0.02627275,-0.027354449,-0.016303413,0.017491516,0.0026338212,-0.006868094,-0.018220669,0.0058145206,-0.025684785,0.01863123,0.013001685,0.0009593656,0.024511863,0.0029928572,-0.012950146,-0.01886871,MGS1
117,-0.0051035564,-0.0314885,0.008093543,0.0053610187,0.037920147,0.00182233,0.00015580095,0.021852046,-0.032664645,0.009892963,-0.00088077225,0.03698107,-0.0075174347,0.014359424,-0.017158523,0.010549303,MGS1
119,0.021998202,-0.016103443,-0.004689891,0.0150067285,-0.012831848,0.0026418455,-0.023106325,-0.019405311,-0.0128317475,-0.024205187,0.0033319304,-0.020299308,0.031929903,0.01113335,-0.016143698,0.00686343,MGS1
120,0.009037441,-0.021215472,-0.0037720846,0.04676062,-0.00686381,0.0028980635,-0.028426051,0.003631711,-0.009472023,0.004724633,0.0067158425,-0.024157114,0.0101763345,-0.0024685934,-0.0033451742,-0.029683877,MGS1
126,0.02936645,-0.020558527,-0.014484886,0.010834903,0.008494657,0.008472744,-0.01227995,-0.008806808,-0.024540056,0.000960337,0.006351107,-0.010372472,0.032936886,0.02330114,-0.018346623,-0.015912663,MGS1
137,0.0018444601,-0.011914102,0.0051992694,0.015331281,0.015257295,0.00069404393,0.008290639,-0.0011407258,-0.001393632,0.025098925,-0.0058442513,-0.013157843,-0.00042274222,0.008427054,-0.0048415605,-0.024578702,MGS1
139,0.016675046,-0.031489372,-0.042218987,0.057668515,0.013505938,0.04129529,-0.02252614,-0.021087011,-0.047384053,0.02101592,-0.005691384,-0.009108127,0.056314938,0.016918695,-0.021847665,-0.023400482,MGS1
142,0.014953399,-0.013537748,-0.017400641,0.05559466,0.0058822413,0.038660165,-0.034334075,-0.009881498,-0.028595362,0.0026650056,0.018733785,-0.026261553,0.039325118,0.017763546,-0.0010190975,-0.0058178604,MGS1
145,0.010923939,-0.030063752,-0.013198409,0.04627688,0.008013082,0.022509562,-0.037258323,0.0051230937,-0.03889301,0.027152885,-0.000392898,0.017484589,0.0223984,0.024099817,0.0033764201,0.008943412,MGS1
149,0.032121003,-0.017500013,-0.025250725,0.034898095,0.025935423,0.053069655,-0.031437762,-0.005454017,-0.033436533,0.01495723,0.013397531,0.004814405,0.0567875,0.016711138,-0.034708902,-0.018335018,MGS1
153,0.010611722,-0.021024048,-0.03343849,0.021169204,0.0044847857,0.011514384,-0.027116988,-0.0031851865,-0.02160101,0.004449725,0.010874669,-0.008522547,0.043052934,-0.0015090518,-0.01986376,-0.010628752,MGS1
162,0.029847147,-0.032931883,-0.0061029457,0.046009503,0.031978246,0.032896712,-0.020503705,0.0024456223,-0.036163025,0.024898024,0.024441436,-0.01863997,0.025858464,0.013978448,-0.03799874,-0.023484107,MGS1
163,-0.00030047074,0.0026498325,-0.017543316,-0.03140954,-0.00042332057,-0.021674845,-0.010413858,0.0105371885,-0.012553186,-0.017153868,-0.014508023,0.013269167,0.005645021,0.005970657,-0.008529513,-0.020992499,MGS1
172,-0.023935447,0.023964122,-0.055208355,-0.0014139395,-0.0027733985,0.014431909,0.01809637,0.020414246,-0.028378285,-0.04046289,0.041177064,-0.021541901,-0.028910201,-0.04774661,0.020746477,-0.018145513,MGS1
173,0.008457752,0.0021962225,-0.02964567,-0.00076249614,0.0037378669,0.011407603,-0.012299468,-0.0071078353,-0.011238778,0.012007295,0.0021079807,-0.010357657,0.030775402,0.0081470795,-0.007472028,-0.0030999742,MGS1
177,0.015080208,-0.008628966,-0.01324863,0.0079042725,-0.0109064765,-0.0019400939,-0.015386504,-0.0015169904,-0.011493008,-0.001526799,-0.019561809,-5.572848e-05,0.029941192,8.7518245e-05,-0.014293994,-0.004937321,MGS1
189,0.015107734,-0.005942598,-0.008435838,-0.00906129,0.0018184874,0.011427231,-0.004205806,0.016853036,-0.0021831007,0.010656822,0.0022877948,-0.0019425852,0.020720504,-0.006337233,0.0016725915,-0.008422293,MGS1
217,0.013959905,-0.02500297,-0.023371194,0.012679318,0.009160521,0.017787889,-0.016971625,-0.00796861,-0.037310217,0.008982811,0.0005365694,-0.0093221795,0.019527387,-0.006822642,-0.0030428953,-0.006537646,MGS1
218,0.017964216,-0.0038081035,-0.02387767,0.02670119,0.02488566,0.03447475,0.0026776455,0.0015566219,-0.021381179,0.004141243,0.009722636,-0.044676036,0.03751847,0.00054360926,-0.011175925,-0.040827613,MGS1
229,0.022829203,-0.010778191,-0.022388376,0.05474449,0.012180394,0.062345903,-0.026154315,-0.002979599,-0.007913867,0.018207192,0.0147068305,-0.022487488,0.04208218,0.02418648,-0.013951545,-0.01909322,MGS1
237,-0.0026950203,-0.0052387603,-0.018993614,0.010915665,6.571505e-05,-0.00084035844,-0.00786512,0.0050878813,-0.009905225,-0.008739833,-0.0052968394,-0.027615845,0.0013103988,-0.006022673,-0.0071406355,-0.05461744,MGS1
243,0.0103727635,-0.021395708,-0.0020130873,0.043111928,0.022150835,0.016647758,-0.017401213,-0.016340205,-0.018110119,0.011862916,0.018104486,-0.0058885645,0.033191726,0.03287613,-0.015811175,-0.01815975,MGS1
246,0.017442977,-0.04170038,-0.026155889,0.056521654,-0.0062909797,0.028142538,-0.024900783,0.014707299,-0.029637262,0.027964793,0.00095206685,-0.019561604,0.060249545,0.013065148,-0.014670823,-0.031672906,MGS1
