sample_id,z0,z1,z2,z3,z4,z5,z6,z7,mgs_level
2,-0.021009816,0.019508068,-0.025234837,-0.009310696,-0.00061326055,0.020961603,0.008229449,0.012112705,MGS1
4,-0.021661503,0.00887261,-0.017090116,-0.018603522,0.011162203,0.008955447,-0.0009887281,0.003339475,MGS1
6,-0.022611609,0.047206406,-0.049817186,-0.04509859,0.022628449,0.0035764407,0.0121366205,0.0042364355,MGS1
9,-0.024044907,0.02486214,-0.0068374835,-0.0127049275,-0.0051862965,0.0066028293,-0.00044380757,-0.008563077,MGS1
17,0.0057625566,0.011608273,-0.023174424,0.0036389045,0.010341877,-0.0004308764,-0.004847805,-0.012767609,MGS1
18,-0.023656955,0.023553055,-0.04116157,-0.019104857,0.018656205,0.0024158712,-0.014438498,0.00752691,MGS1
32,-0.008282995,0.0497978,-0.045728136,-0.021607,0.013200469,-0.012838701,0.0015552614,-0.008773485,MGS1
35,-0.012086129,0.02391303,-0.018850524,-0.01066329,0.025289036,0.010985887,-0.0044093085,-0.023772912,MGS1
41,-0.006659856,-0.027003016,0.0063289404,0.0323891,-0.013089202,-0.015710754,0.0034509574,-0.0012189392,MGS1
42,-0.00013892911,0.017803002,0.025880184,-0.010211971,-0.0061795185,-0.008417675,-0.0052025123,0.00166375,MGS1
43,-0.034727015,0.03651325,-0.05007312,-0.02728029,0.010253064,0.0068586227,-0.009245704,-0.00076091476,MGS1
81,-0.02914775,0.051007744,-0.04989825,-0.018127698,0.0070604687,-0.009476939,0.0070316913,0.008581495,MGS1
89,-0.024233049,0.057103593,-0.067760915,-0.027590532,0.008395109,-0.014123501,0.0017857079,0.005929565,MGS1
99,-0.017781546,0.03170399,-0.040714763,0.013066869,-0.015617713,-0.011563847,-0.0058664745,-0.023648607,MGS1
109,-0.024221865,0.0063984003,-0.0059227496,-0.0067264475,0.0033822958,-0.003596278,0.0014695239,0.0026776176,MGS1
115,-0.010770446,0.032117482,-0.0348879,-0.015789915,0.010428362,-0.020221079,0.0060994374,0.0028373208,MGS1
117,-0.008322777,-0.006893415,0.008271518,0.0151699055,-0.0019769329,0.01781266,0.0036992778,0.009272339,MGS1
119,-0.0070927907,0.015882067,-0.015150588,8.7019056e-05,-0.009858884,-0.009471754,-0.004528786,-0.024871591,MGS1
120,-0.012241056,0.013162293,-0.011790972,-0.0023954697,-0.0067484747,0.004659673,-0.010156362,-0.004975641,MGS1
126,-0.011665976,0.03034864,-0.012961138,-0.02863251,0.0018475433,-0.007678712,0.00631426,0.00553987,MGS1
137,-0.0068204235,0.000991296,0.017743979,-0.007917743,-0.0038165967,-0.0044875536,-0.0054844012,0.003009146,MGS1
139,-0.031547286,0.034410182,-0.073503956,-0.03142943,0.02280471,0.017870402,0.009102543,0.00018603541,MGS1
142,-0.017742088,0.03698347,-0.053080488,-0.021587122,0.004057907,0.007510161,-0.005983117,-0.001944406,MGS1
145,-0.030716648,0.022388536,-0.010811124,-0.007232953,0.010663565,0.0068518054,-0.008157107,0.013115825,MGS1
149,-0.030996954,0.06795947,-0.062320326,-0.03084721,0.014524337,0.006671956,-0.0031925018,0.010945028,MGS1
153,-0.031090317,0.03260504,-0.05598623,-0.027326096,0.0033552577,-0.0020334702,-0.0018450196,-0.014057571,MGS1
162,-0.012258237,0.024562646,-0.046656933,-0.015656162,0.020824946,0.010777077,-0.0023519497,-0.01150706,MGS1
163,-0.009661986,-0.00063935295,-0.014117904,-0.011748664,0.007683604,-0.008910844,-0.0067892624,0.010180214,MGS1
172,0.0034157727,0.015974808,-0.009278271,0.0066745095,0.007018157,0.009289792,0.0153443115,-0.009865804,MGS1
173,-0.017525924,0.04343773,-0.03752087,-0.019060839,-0.005068339,-0.00285778,0.0004030813,-0.0014474895,MGS1
