sample_id,z0,z1,z2,z3,mgs_level
2,-0.073776305,0.06740677,-0.021837572,-0.02963718,MGS1
4,-0.044077396,0.04279173,0.012740849,-0.02383592,MGS1
6,-0.10640626,0.100972064,-0.025185497,-0.08252493,MGS1
9,-0.06706996,0.06600872,-0.011248933,-0.021019198,MGS1
17,-0.039150536,0.044473335,-0.02897785,-0.02659864,MGS1
18,-0.09105925,0.07694694,-0.04525414,-0.042724557,MGS1
32,-0.09297317,0.10550187,-0.03964123,-0.07457767,MGS1
35,-0.08102687,0.06923354,-0.023431102,-0.04865492,MGS1
41,0.02864346,-0.021207469,0.010814274,0.053643875,MGS1
42,0.00070491433,0.013390474,0.0055703875,-0.031022511,MGS1
43,-0.11659959,0.09637735,-0.04632336,-0.05328802,MGS1
81,-0.11463444,0.10933902,-0.04173229,-0.08413056,MGS1
89,-0.1331075,0.1078267,-0.056305178,-0.1233984,MGS1
99,-0.0711468,0.07531482,-0.025524294,-0.07001869,MGS1
109,-0.04490708,0.025724001,-0.0022229087,-0.009171151,MGS1
115,-0.05078891,0.054497406,-0.03623309,-0.03513,MGS1
117,-0.021933705,-0.0067925006,-0.007873515,-0.019597132,MGS1
119,-0.034147996,0.049626566,-0.010836432,-0.039099373,MGS1
120,-0.05557082,0.028663673,-0.017502273,-0.021021225,MGS1
126,-0.06238909,0.049685672,-0.030193226,-0.0440555,MGS1
137,-0.010280192,-0.0060185045,-0.009393806,0.0020042583,MGS1
139,-0.14637692,0.111392505,-0.03313733,-0.08571295,MGS1
142,-0.106985144,0.094710164,-0.02150228,-0.017182209,MGS1
145,-0.07357733,0.062584914,-0.016169997,-0.030373521,MGS1
149,-0.12967794,0.10871407,-0.04418868,-0.09521369,MGS1
153,-0.098354205,0.1016152,-0.0298531,-0.09152631,MGS1
162,-0.0895143,0.07209464,-0.028489226,-0.043540366,MGS1
163,-0.02249661,0.010957681,-0.0031218473,0.0010464229,MGS1
172,-4.4107437e-06,0.047255166,-0.012542823,0.009305015,MGS1
173,-0.0688305,0.08408854,-0.03197983,-0.07301039,MGS1
177,-0.038254738,0.036806203,-0.027853617,-0.022695668,MGS1
189,-0.02176927,0.03302613,-0.018385371,-0.0072166696,MGS1
217,-0.08809908,0.065957755,-0.031457856,-0.062040247,MGS1
218,-0.06236081,0.0701947,-0.020388419,-0.03227622,MGS1
229,-0.08864574,0.10111717,-0.032621272,-0.044098236,MGS1
237,-0.010334,0.00894808,-0.0011941437,-0.004547976,MGS1
243,-0.049009815,0.053026274,-0.020351453,-0.015438773,MGS1
246,-0.13110073,0.08858273,-0.03603828,-0.088586904,MGS1
251,-0.07455774,0.04631181,-0.026675226,-0.054851465,MGS1
254,-0.023970589,0.041485712,-0.0030793566,-0.015997432,MGS1
264,0.02440063,-0.024648998,-0.005321512,0.024172306,MGS1
265,-0.021392822,0.02765771,-0.0042399634,-0.00086108595,MGS1
266,-0.089583546,0.06665074,-0.03826508,-0.049925186,MGS1
286,-0.06745039,0.07008308,-0.013526773,-0.056342788,MGS1
288,-0.07571862,0.046001166,-0.023665043,-0.045751967,MGS1
291,-0.0873521,0.08273078,-0.046561033,-0.0757753,MGS1
292,-0.076949105,0.075981826,-0.038690403,-0.0465639,MGS1
293,-0.040295824,0.024152167,-0.026830835,-0.04132434,MGS1
295,-0.048176724,0.043009594,-0.015789194,-0.008657284,MGS1
307,-0.067618944,0.068821095,-0.046988092,-0.034853227,MGS1
308,-0.017738655,0.028476879,-0.014307367,-0.008689843,MGS1
311,-0.08123852,0.090433635,-0.047856383,-0.066126026,MGS1
313,-0.024377454,0.035368107,-0.004420122,-0.016842164,MGS1
314,-0.017470337,0.01230593,-0.016525174,0.023527049,MGS1
315,-0.08339615,0.07090122,-0.035344534,-0.05711422,MGS1
316,-0.120979205,0.09847594,-0.035787024,-0.06567154,MGS1
317,-0.060806677,0.062016346,-0.022986764,-0.030398823,MGS1
318,-0.074705735,0.076393165,-0.04229124,-0.062940635,MGS1
319,-0.04841566,0.031060614,-0.04215765,-0.02084092,MGS1
320,-0.00054739416,0.04612442,-0.0007454697,-0.023231514,MGS1
321,-0.0667129,0.07452734,-0.046729453,-0.027519919,MGS1
322,-0.114938274,0.074077465,-0.018164622,-0.06064675,MGS1
324,-0.112792134,0.079106316,-0.033104546,-0.03901414,MGS1
335,-0.104058206,0.07796971,-0.0032513011,-0.08622251,MGS1
347,-0.10372612,0.09594264,-0.046836533,-0.06460545,MGS1
348,-0.07037881,0.06274442,-0.027097581,-0.0691214,MGS1
349,-0.02547488,0.034961402,-0.0032510962,-0.003895454,MGS1
350,-0.109792545,0.08161432,-0.029152857,-0.063991435,MGS1
351,0.0981354,-0.075650536,0.035117567,0.07360228,MGS1
352,-0.12742396,0.10475484,-0.03402161,-0.07819001,MGS1
353,-0.013610512,0.020366535,-0.0044787843,0.019533321,MGS1
354,0.013098184,-0.008187804,0.012192627,0.026185662,MGS1
355,-0.092819884,0.05534958,-0.023370951,-0.020872243,MGS1
356,-0.06495077,0.05175139,-0.012708217,0.0049792603,MGS1
375,0.007709369,0.01757694,-0.010957608,-0.015812118,MGS1
376,0.0060890615,0.0024529211,-0.017962532,0.0048541054,MGS1
