sample_id,mgs_class,mgs_grade,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
2,0,MGS1,-0.21259294,-0.17970218,-0.15069059,0.21677546,0.2708041,1.788973,1.0356244,1.0973493,0.6487927,0.37653628,-1.529195,-1.2909825,0.0009825405,0.8624946,-1.1578737,-0.9009213
4,0,MGS1,1.0730342,1.5756332,1.130058,0.030023439,-0.83312994,0.273982,0.5640341,-0.60818636,0.9213037,0.72661495,-1.1504937,0.75142205,0.660431,0.3868017,-0.49941084,-0.31496602
6,0,MGS1,1.4290495,-1.3106806,1.0307249,0.13774368,-0.38465092,0.57351184,0.19859035,-0.0105772205,1.2166644,0.49865514,-2.0737834,-1.0683713,-1.1100026,0.4341047,-1.0170494,0.5110959
7,2,MGS3,1.4750773,1.0396587,0.6770345,-1.0802963,-0.9219381,-0.37997827,0.07259865,-1.5842528,-0.079211295,1.6382045,0.10917094,0.44942388,0.18378687,-0.41912657,-0.982873,0.960951
8,1,MGS2,1.178296,-1.2734076,-0.27046975,-0.78631854,-1.3591985,0.41164276,0.16993435,0.71367854,-0.6990851,-0.4207829,-0.47418225,-0.9378612,-0.40206772,-0.40870652,-1.880477,-0.39696372
9,0,MGS1,0.5234132,-1.82584,0.76271546,0.4227703,-0.6279218,-0.22469889,1.1667591,1.1274962,-0.30442953,-0.54342496,-1.2068883,-0.52131516,0.20803359,0.6264091,-1.3410327,-2.1808279
11,3,MGS4,-0.25628525,1.0991937,0.19775891,0.31353837,-0.09187879,-1.0536151,0.7822931,-1.129124,0.82222927,0.23118041,0.49108094,0.90134996,2.5364633,-0.38730684,-0.1969173,1.1080045
15,1,MGS2,1.1653166,0.9083747,0.055234127,-0.38261473,-0.2800921,0.026560588,-0.561747,-1.1054946,0.13337335,0.90484667,-0.10668281,0.29508644,-0.38160565,0.08854137,-0.7491727,0.79763305
17,0,MGS1,-0.61085767,-1.1538051,0.5966368,-0.48710096,-0.14194836,0.16127083,-0.13022098,0.9845629,0.36701453,-0.74548626,-1.3967668,-0.55444586,0.8008612,1.32881,0.25091988,-0.47686327
18,0,MGS1,-0.20105383,1.2726146,0.9311587,-0.35361123,-0.9000958,0.9190376,1.2394731,-0.6830196,0.5199355,0.265117,-0.075171605,-1.2927687,1.8341308,-0.42031345,-1.4801832,1.0536017
19,1,MGS2,1.3804687,1.0275581,-0.78767437,0.8228268,1.5853243,-0.29735416,-0.33084723,0.64628315,-0.8611272,0.8935235,0.31555104,-0.5526473,0.097845644,0.61463976,-1.5346997,-0.23518802
20,1,MGS2,-0.45635176,-2.1319385,0.12098139,0.2277193,0.90093935,-1.3813629,-0.33698592,-0.59672034,0.015572697,-0.11250702,-0.44130075,-0.2863286,-0.23165154,0.13598569,0.14530578,0.18242271
21,1,MGS2,1.0247022,-1.2049576,0.94263893,0.96326745,0.20406537,0.18629612,-1.2743484,-0.23719071,0.43916252,-0.41307828,-0.5742144,-1.40753,0.8563855,0.032713078,-1.3661454,1.4149209
22,1,MGS2,0.11947118,-2.8290997,0.3218913,-0.33450437,0.10607232,-0.9317879,-0.79383236,0.12269611,-0.6179214,0.105375655,-0.22514905,-0.8508559,0.3958936,0.45440617,-0.4772127,-0.18095422
23,1,MGS2,-1.3875011,-1.9322834,-0.27201673,1.104923,-0.4949369,0.979244,0.40103742,-0.5054479,0.792406,-1.778409,-0.75989246,-1.2845793,0.55854553,-0.62257624,-1.2111903,-0.21288525
24,1,MGS2,0.88639134,0.28605914,-0.37240234,0.89944685,2.406631,-1.1634732,0.19683444,-0.17576055,0.18449184,0.7501363,0.6228025,-1.3162286,1.1582435,1.0139712,0.010214009,0.45539972
25,2,MGS3,-0.49741703,1.0040749,-0.27446213,-0.869715,0.02064488,-0.16508205,0.1768434,-0.97820127,-0.8356572,1.184238,2.0202503,-0.7408677,1.0196327,-0.548903,-0.55297166,0.7115969
26,2,MGS3,0.45063844,2.9441168,-0.36817005,-0.047774795,-0.059465546,0.5636098,1.085427,-0.55486125,0.3839659,1.4349076,1.9516467,-0.0234542,1.5857507,-0.025987996,-1.5046403,-0.6808508
27,1,MGS2,1.0775299,2.0798273,0.1666559,-0.67102706,0.5091306,-0.5874396,0.0585711,-0.62038517,0.2716356,1.5084589,1.3872887,1.2428467,-0.09966885,0.51824296,-0.74652505,-0.07682077
28,1,MGS2,-1.0023282,-1.7744142,-0.32621866,0.08707102,-0.33615556,-0.44862914,0.65748495,0.6780533,0.20465353,-0.7570443,0.0314419,-0.38258168,1.1856049,-0.13421705,-0.6801941,-1.3956087
29,2,MGS3,-0.66887915,1.5775388,-0.4084114,-0.5626965,-0.42882982,0.23495544,1.1781224,-1.8003888,-0.4493251,0.17299388,1.8433384,-0.8162108,1.9220926,-0.71862674,-0.9288709,1.1623844
30,1,MGS2,-0.6047481,-0.7055429,-0.8075344,-0.33449954,0.45455605,0.07338413,-0.47516057,0.0939783,-0.58579826,0.07105178,0.86030966,-1.0539752,0.46153343,-0.69136155,-0.5269946,0.38446662
32,0,MGS1,-0.5496832,-1.7640193,0.95198727,0.5392337,0.098918185,-1.2945768,2.2981167,0.072965786,1.0704703,-1.6840599,-0.08352444,-1.1109442,1.7246224,0.6784525,0.4279005,-0.84080184
33,3,MGS4,-1.5093604,0.63998157,-0.46938223,0.24397327,2.076293,-0.47637337,0.68939877,-0.9301904,0.52565694,0.9686787,0.2160362,0.66855824,1.1023555,0.6759058,0.7163486,-0.42494434
34,1,MGS2,1.8599733,1.2628688,0.16732389,-1.3384134,-0.32163832,-0.8908906,0.6595623,-0.7993452,-0.48273277,1.0298029,1.462565,0.09165167,0.7746526,0.6182685,-0.21898374,-0.31683296
35,0,MGS1,1.4871582,-0.49959746,0.41411218,-1.848064,0.31945089,0.30831173,0.22948684,1.266429,-0.10406062,-0.05638654,0.698082,-0.51405257,-0.83722043,1.7232263,-0.7423671,-1.6850723
37,1,MGS2,0.25728175,-1.823384,-0.25653192,-0.69077593,0.9595598,-1.6935847,0.2508802,-0.27361983,-0.3690954,-1.5685824,0.33016145,-1.0217373,0.091176696,0.20417553,0.7734093,-0.21209353
38,1,MGS2,1.0094495,-0.28111032,1.1431868,0.1648857,0.44718188,-1.269587,2.236227,0.89686865,0.8224562,-0.062348984,0.014852699,0.023643414,0.58912027,1.5871818,-0.5314816,-2.4712062
39,1,MGS2,0.9812665,-1.1952901,0.7280041,-1.9542893,-1.1720756,-0.68526316,0.14992805,0.6630705,-1.443864,0.37458202,0.12904423,0.6652748,-0.7679618,1.3639202,-0.3627392,-1.0233703
40,1,MGS2,-0.28988156,-3.4019346,-0.434621,0.70038116,-0.07115573,-2.7435257,-0.49023965,0.88988733,-0.5590617,-1.482175,-0.2503009,0.56787866,0.23121521,0.56807315,0.4587282,-1.5641423
41,0,MGS1,1.804901,1.6957166,-1.0886952,-0.47027647,0.7182041,0.9529126,-0.29644185,0.46786308,0.27766562,1.386977,1.3690909,-0.80403316,0.28294915,0.23779242,-1.8363526,0.10451208
42,0,MGS1,-1.0593089,0.19877608,-1.4810157,0.94578046,2.1370664,-0.29679063,-0.050197143,-1.0165508,0.3001184,0.6276591,-0.34180847,0.3250969,1.4868212,0.7425616,0.7420691,-0.46227592
43,0,MGS1,0.037342682,-2.0313683,-0.65477943,-1.6673911,-1.0191606,0.093503244,1.3890482,1.1272902,-0.6888873,-0.29363644,0.3885746,-0.6847942,-1.0674664,0.4218799,-0.84996146,-1.253001
45,2,MGS3,0.52671534,1.358608,1.2720342,-1.1435822,0.6777235,-0.34402055,0.5407232,-0.1888969,0.8730243,2.1529398,0.50810856,-0.16672198,1.0421295,0.023321547,-0.26335463,1.2021838
46,3,MGS4,0.46840206,0.4948374,-0.7228439,-0.99993604,0.5787802,-0.3513844,1.3476001,-0.7546111,-2.2065706,-0.81751513,1.2607057,-1.451504,2.0524254,0.09034771,0.46253052,-0.41884953
47,3,MGS4,2.7820094,0.6989808,-0.06498989,-0.73535186,0.788167,-0.8134426,0.45241705,0.29473776,0.5719846,0.018049644,1.2636131,0.38264722,-0.014454756,0.10562284,-0.5907713,-1.1243317
48,1,MGS2,-0.009780716,-1.1737516,0.25061017,-0.5390196,-0.19426899,-0.59787077,0.40235654,0.9274365,-0.99815893,0.016403409,0.18400542,-1.0447085,0.77853715,-0.5538051,-0.68971115,0.16535024
49,1,MGS2,0.61766124,-0.22715962,0.08318453,-0.94234717,0.27330852,-1.1287199,0.4081993,0.29118088,0.12783997,0.38726753,0.37927812,1.2106729,-0.73257416,0.6543033,-0.6339725,-0.83408916
50,1,MGS2,1.3139327,1.1304376,-1.3186691,0.9778203,2.0382044,0.7309427,0.7917139,0.814195,-0.7641539,0.28851303,-0.4025521,-1.3704829,0.8001341,1.549438,-0.92318565,-1.5580829
51,1,MGS2,2.0780933,1.7431285,1.3118976,-0.9074031,-0.20520118,-0.86260474,1.8272117,0.3226698,0.8906944,0.6781416,0.24031161,0.5050059,1.421154,0.63411754,-0.8432859,-1.1915766
53,1,MGS2,1.8555037,0.7891437,0.4192923,-0.7009372,-0.8816871,-0.8403601,0.0066083046,0.35454777,-0.21438433,0.409222,-0.27373523,0.62954813,0.070614986,0.4510701,-0.56244403,0.17974769
55,2,MGS3,2.8716033,1.6939673,0.8971906,-2.0245633,-0.5815418,-0.6009993,1.4773991,0.3618611,0.1683371,1.6006198,0.13641396,-0.68503904,1.1066431,0.8679794,-0.452408,0.5114578
56,1,MGS2,1.1282054,-0.2023634,-0.29022914,1.3613125,1.840165,0.6805664,-1.1223071,2.1538703,0.26750466,-0.48467854,-1.2808841,0.7677834,0.097522706,1.760896,-0.7481247,-1.7127538
57,1,MGS2,1.1649582,-0.40523145,-0.8490291,1.628594,1.8924828,-1.8751911,0.5993384,0.7808703,-0.6174112,0.4466702,-1.0511194,0.42477882,1.2256243,2.1296978,-0.053854726,-1.5128952
58,1,MGS2,1.4833524,0.38048193,0.6533133,-1.6139861,-1.3306425,-0.095199466,0.47895655,1.1917421,-1.2934564,0.3077784,0.11830555,0.09491225,0.06716836,0.21470067,-1.47506,-0.5922606
59,2,MGS3,-0.52695745,1.7208186,-0.47275415,0.31409717,0.7593242,0.6462917,0.9932041,-1.1828688,2.1660554,-0.19845739,1.0275486,-0.7713706,1.8021913,-0.2451847,0.25560656,0.7664172
60,3,MGS4,-1.3726002,0.8159336,-1.3954221,0.46583775,1.5211025,0.6983727,0.28544772,-0.7072752,-0.6634117,0.78204423,0.80343896,-0.7064062,1.2941166,0.56343013,-0.0026821098,-0.57869977
62,1,MGS2,1.1932831,-0.8504847,0.20026617,-0.46268725,0.682452,-0.71739346,0.064065345,1.116067,-0.22050217,0.2232029,-1.6856567,0.21945585,-0.68536365,1.0080689,0.10604428,-0.42641485
