sample_id,mgs_class,mgs_grade,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
2,0,MGS1,-0.562127,-0.48058033,0.07160779,-0.5229613,-0.09419769,-0.32044274,-1.8192387,-0.44097552,-1.9138572,-0.5248352,0.19783363,-2.0850406,1.5382943,1.3612882,-0.79553974,0.22921792
4,0,MGS1,0.13860938,0.26310703,-0.83740216,0.3718663,0.7203537,-0.046277363,1.1518577,0.14173412,0.5999437,-0.653896,0.23334196,-2.727831,-0.116741315,0.14491333,-1.219169,0.51814467
6,0,MGS1,-0.33046037,-0.52698064,-0.06654945,-1.8593256,0.39001685,0.016064756,-0.69351697,0.11918028,0.8717444,-0.3350877,-1.0477984,-1.0168833,1.7105111,-1.5028989,-0.87585187,0.24169162
7,2,MGS3,0.012449689,-0.47267628,-0.19220987,-0.9274741,0.03880327,0.18631685,0.9967894,0.28652087,0.35904303,1.3927747,-0.08238358,-1.6806055,-0.0954262,-0.21740854,-0.22255525,-0.23279342
8,1,MGS2,-1.2194803,-0.17293096,2.2259235,0.85131204,-0.33089834,0.06744345,0.091185786,0.04904492,0.08801847,3.2028627,-1.0682765,1.3905491,1.0169775,0.075918615,-1.3346674,0.6474602
9,0,MGS1,0.86503166,0.047973644,0.40574825,-0.40274286,0.77510506,-0.0012459401,0.046994057,-0.88019335,0.43010846,0.9190352,-1.7194245,-0.38914195,0.35781914,0.5942355,1.3218873,-1.5015712
11,3,MGS4,-0.32102898,-1.5739198,-0.27460587,0.3405376,0.86544365,-0.05976739,0.66681784,0.022824986,-0.7824626,-0.83124495,0.591543,-3.5560172,-0.9979532,-0.76433724,1.3074526,0.5382447
15,1,MGS2,-0.5764941,-0.92807555,-0.037286654,1.7727178,-1.7525624,0.36643258,0.3106528,1.3549327,0.99472344,1.6337049,-2.046829,0.35000488,0.2861561,0.10739936,-1.8263872,1.1480016
17,0,MGS1,-0.8225227,-1.1655018,-0.06716855,0.34474823,2.0374057,0.55684173,0.37764823,0.38873306,-0.501892,-1.6174495,-0.59324014,-0.91614115,0.8405999,0.207183,-0.99250466,-0.55497205
18,0,MGS1,-0.09556067,-1.1224629,-0.09222319,0.03058242,-0.012105671,1.017526,0.5017206,1.6706849,0.0010524476,0.14536944,0.26315814,-0.80186117,-0.43621767,-0.401674,0.32138777,-1.130586
19,1,MGS2,-0.18502945,-0.40388545,0.5907777,-0.055581894,-0.7908796,-0.65385085,0.77853656,0.5129428,-0.66728306,0.9431414,-0.76227266,-0.38609925,-0.6641506,2.2798915,0.667379,0.9918666
20,1,MGS2,-0.8330592,-0.32775274,0.32434344,0.72345287,1.0000848,-0.38850984,0.4228813,-0.29764372,-0.3532144,0.63411134,-0.89843875,0.28162923,0.010045152,0.14362675,0.8257932,-0.43209827
21,1,MGS2,0.2625088,1.0938995,0.7139694,0.33011764,1.0997169,0.73735917,0.41668242,-0.55066866,0.51065886,-2.2594993,0.025425468,-1.5250808,-0.31134352,0.67590594,0.48537904,-0.03785312
22,1,MGS2,0.7100367,-0.7522768,-2.2221286,1.0734686,1.7017562,0.08248156,-0.07668237,0.33060712,0.11637534,-0.74453336,-2.0664752,-0.77969366,0.05534963,0.10270105,-0.1589348,-2.1161578
23,1,MGS2,-1.7793192,-0.6070285,0.25713035,0.52146196,0.7132238,-0.2543506,-0.70495594,0.10904371,-0.5354816,-0.69643867,-1.051993,0.58927214,1.0833448,0.6445397,0.4656656,-0.030034462
