sample_id,mgs_level,z0,z1,z2,z3
2,MGS1,0.075541735,0.10041369,-1.4804012,-0.90176404
4,MGS1,1.0171609,0.52385354,-0.38128954,-0.086439505
6,MGS1,0.8744518,-0.80292743,0.04243145,-0.84273225
9,MGS1,-0.6217661,0.8584565,-1.4001906,0.69193625
17,MGS1,0.6828841,0.550932,-0.6818896,-0.5214109
18,MGS1,0.15611361,1.1930778,-1.6766704,-0.13136488
32,MGS1,1.4433928,1.9301813,-1.0027155,0.4000493
35,MGS1,0.6149726,-0.03211213,0.96752083,0.5043037
41,MGS1,-0.8347037,-0.8486979,-0.12608814,-0.030089375
42,MGS1,1.6470573,0.282674,-0.13069972,-0.50100946
43,MGS1,-1.0974933,0.3933857,0.07676319,-0.5815018
81,MGS1,0.87997025,0.8510606,0.8132106,-0.8752888
89,MGS1,1.038704,0.857355,0.58864236,-1.0357966
99,MGS1,1.1782848,1.3090434,-0.4808248,-0.4384049
109,MGS1,-0.8353094,-0.33322036,-0.18055162,1.1158735
115,MGS1,-0.5178451,-0.29609936,0.15957758,-0.5295594
117,MGS1,0.86061394,0.47638774,-0.8795505,-0.7468847
119,MGS1,-0.74422693,0.6420167,-1.527613,0.26172358
120,MGS1,0.20541939,-0.21113783,1.270692,0.5470584
126,MGS1,0.47232118,1.1735526,-0.06411289,0.044794124
137,MGS1,-0.32955614,-0.476211,-0.04819525,-1.009433
139,MGS1,0.5215132,1.1859674,-0.447382,-0.82626337
142,MGS1,-1.062328,0.3078866,-0.06837675,0.040851016
145,MGS1,-0.101950675,-0.6908158,-0.33459148,-1.2819079
149,MGS1,0.036307525,0.5192254,0.21333799,-0.6462515
153,MGS1,0.88507205,1.8146207,-0.36086193,1.0349967
162,MGS1,1.0210654,0.595039,0.47279036,0.5250372
163,MGS1,0.15529826,1.3531718,-0.8214919,1.0038881
172,MGS1,0.33101168,-0.82889515,1.4026421,0.72532463
173,MGS1,1.192655,0.6271896,-0.63300407,-0.6927121
177,MGS1,-0.838248,0.22425678,0.5086165,-0.07590206
189,MGS1,-1.0151753,0.44785464,0.3710452,-0.13548985
217,MGS1,-1.247558,0.008267315,-0.25415173,-0.38089332
218,MGS1,-0.17137584,-1.1382935,0.2038238,-0.5369443
229,MGS1,0.171527,0.6066328,1.1707054,0.14017011
237,MGS1,0.7803891,-0.73730797,-0.5461972,-0.64332443
243,MGS1,0.31162098,-0.15564567,0.038296647,0.37014875
246,MGS1,0.96618116,1.9418447,0.04275904,-0.39132175
251,MGS1,-0.12803546,1.528553,-1.364052,-0.5557642
254,MGS1,0.7335984,-0.07516371,0.8877301,1.2348844
264,MGS1,0.09686583,0.3098663,1.2299659,0.8845195
265,MGS1,-0.48984405,-0.63251424,-0.47940576,0.31036952
266,MGS1,0.17020789,1.5059552,-0.051659107,-0.50075144
286,MGS1,0.98436606,1.3118126,0.11509428,1.1497293
288,MGS1,-0.014031593,0.38426244,1.4536449,0.72298414
291,MGS1,0.73843014,0.22079286,0.9877578,-0.63081855
292,MGS1,1.3945386,2.3458555,-0.3645576,0.9393693
293,MGS1,-0.70401555,0.72022355,-0.51259935,-0.055737093
295,MGS1,-1.033749,-0.01141035,0.757027,0.07236105
307,MGS1,-1.2647401,-0.46171474,0.09754965,-0.70378274
308,MGS1,-1.1167432,0.37001008,-1.0640863,-0.10125196
311,MGS1,0.45183203,0.20081043,0.8051396,-1.0746038
313,MGS1,-1.3293191,0.27927223,0.72491217,-0.31044212
314,MGS1,-0.15219422,-0.69116527,-0.451512,-0.62801677
315,MGS1,0.8636188,0.254003,0.6971991,0.48888108
316,MGS1,-0.31885803,1.1333628,-1.3334244,-1.1458473
317,MGS1,-0.50266683,-0.48331416,-0.29715076,-1.1303889
318,MGS1,0.69731665,1.4004769,-0.17272808,-0.0996484
319,MGS1,1.0688236,-0.62952405,0.6823226,-0.72983146
320,MGS1,0.45333692,-0.29709592,1.0626702,0.41556123
321,MGS1,-1.0139949,-0.5486942,0.09701576,-0.38661894
322,MGS1,0.09764874,0.097819395,-0.10892927,-1.8569106
324,MGS1,-0.46168712,-0.1298973,-0.0967704,-1.2786627
335,MGS1,0.80903614,1.2587315,0.74333453,0.7991841
347,MGS1,-0.37077442,1.1246381,-1.4553827,-0.9725212
348,MGS1,1.116913,-0.21016318,0.003245207,-0.55001
