sample_id,mgs_level,z0,z1,z2,z3
2,MGS1,-1.1229794,-1.1827393,-1.7241794,0.12736577
4,MGS1,1.5498328,-0.68426096,2.1079354,0.6219582
6,MGS1,-0.54601246,0.42608416,-1.0274425,-1.6514684
9,MGS1,0.93759906,-0.7754167,1.9661876,0.6159343
17,MGS1,0.72632915,-0.40381888,0.52169853,1.9081602
18,MGS1,0.94534045,0.6135553,0.83462894,-0.24488932
32,MGS1,1.489207,0.1322324,-0.7722022,-0.41606656
35,MGS1,0.22952336,-1.9824083,-0.2081488,0.74348676
41,MGS1,-1.3672268,0.06489357,-0.95130175,0.4900488
42,MGS1,0.71589184,1.2275152,-1.2063575,1.8972325
43,MGS1,-0.18891439,-0.9020143,-0.8461244,-1.0106819
81,MGS1,0.7788658,0.26703092,-1.2615124,0.26669964
89,MGS1,0.5209666,0.6070971,-1.7166266,-0.5143404
99,MGS1,1.2466601,0.20082447,-0.7340848,1.5530913
109,MGS1,-0.38893065,-1.5773857,-0.2947026,0.06779029
115,MGS1,0.5558864,0.69843245,-0.20292594,0.013752349
117,MGS1,-0.18056832,1.0714837,-1.1051053,0.4861034
119,MGS1,0.34272853,-0.8650683,-0.33312643,0.63716626
120,MGS1,0.26222977,-1.9454108,0.9292775,0.73178804
126,MGS1,0.39385575,0.51083493,-0.40948677,-0.40823802
137,MGS1,-0.886146,0.83793205,-1.2678157,0.72315913
139,MGS1,0.1315378,-1.9813933,-1.5340848,-0.55460244
142,MGS1,-0.08701567,-1.213069,-0.20246936,-0.69529
145,MGS1,0.025809307,1.4503711,-0.2983654,-1.1961753
149,MGS1,1.4942361,0.4147985,-2.1471922,-0.54114586
153,MGS1,0.24618375,-1.4141399,0.21085103,-1.1650281
162,MGS1,-0.6969958,-0.5814412,-1.7178122,-1.1787192
163,MGS1,1.246885,0.23238565,1.251021,0.44791576
172,MGS1,0.9325163,-0.15355453,3.0630012,-0.09555777
173,MGS1,0.87093,0.9345442,0.28416604,1.1369091
177,MGS1,0.5758971,0.77138,0.6851953,0.55969995
189,MGS1,-0.29392704,0.9034758,-0.07671988,0.590414
217,MGS1,0.62433976,1.176861,-0.42270052,-0.8408447
218,MGS1,-0.42748064,0.4668002,0.5735567,-1.1579769
229,MGS1,0.85012406,-0.6389306,-0.2013622,-0.975167
237,MGS1,0.18416876,1.2722006,-0.49298602,1.3260605
243,MGS1,1.1735157,0.4754879,1.2249079,-0.76500493
246,MGS1,1.6589416,-0.21674046,0.046158403,0.46042255
251,MGS1,0.47797072,0.26890242,-0.6410143,1.5229585
254,MGS1,-0.72721875,-0.56336194,-0.7717842,0.03971275
264,MGS1,-0.37273675,-0.867078,0.8128346,0.2502419
265,MGS1,0.026250433,0.35654533,-0.02061408,0.068574704
266,MGS1,1.1355962,0.21127537,-0.11724295,0.03700261
286,MGS1,1.7098631,-0.90006024,2.443953,-0.3306757
288,MGS1,0.7916584,-1.4197683,0.6418658,0.60283905
291,MGS1,0.752611,0.9932123,0.065735236,0.5480026
292,MGS1,2.1286447,-0.22887057,1.2623972,0.39116296
293,MGS1,-0.3380291,-0.7327376,1.2160848,1.4340456
295,MGS1,-0.39338243,-0.6866073,1.1613162,-0.20568874
307,MGS1,-1.2550923,-0.36330545,-1.1973177,-0.4931174
308,MGS1,-0.3197474,-1.5668253,-0.6791482,1.3815489
311,MGS1,0.4294563,0.9786702,-0.56653106,-0.8497026
313,MGS1,-0.09201661,-0.8207998,1.3043306,0.105287485
314,MGS1,-0.44028422,1.1752102,-0.784778,-0.92912775
315,MGS1,-0.2847861,-1.0525805,-0.8877325,0.13334998
316,MGS1,1.216431,-0.23242685,0.08595942,-0.39068022
317,MGS1,0.12807627,1.2292801,0.28157508,0.25869492
318,MGS1,1.389733,0.42529035,0.80607104,0.49849346
319,MGS1,0.060435,0.34634894,0.74618983,0.20593295
320,MGS1,-1.0385032,0.08883848,1.2893035,-0.03464786
321,MGS1,-0.5794631,-0.15952379,0.9714525,-0.5693329
322,MGS1,-0.2748975,1.1831608,-0.89788127,-0.21776375
324,MGS1,0.47488523,0.86895156,-0.059093148,-1.1566995
335,MGS1,1.0758748,-1.1046115,-0.29907483,0.23240188
347,MGS1,1.1669741,0.6392182,-0.17389797,0.47634897
348,MGS1,0.0448183,1.2626162,-0.26108277,-0.3282121
349,MGS1,0.9411956,0.7255574,1.1526959,-0.2424806
350,MGS1,0.030203577,0.12732692,0.31389648,-1.6268928
351,MGS1,-0.9564982,1.5473107,0.74042183,0.6191493
352,MGS1,1.9731575,0.56972206,0.8377983,-1.0264941
353,MGS1,-0.79086107,-0.51322186,1.3038458,-0.11102557
354,MGS1,-1.0040714,0.4105726,0.24049427,-0.90968984
355,MGS1,0.027874049,-0.4605091,0.6536911,-0.84185106
356,MGS1,0.14621805,-0.76832813,1.6482762,-0.9476667
375,MGS1,-0.5026287,-0.8062319,0.8103806,1.3446529
376,MGS1,-0.5311511,-1.1444553,0.9362569,0.54594475
377,MGS1,0.63286704,-0.89079773,0.30059606,0.29160705
379,MGS1,0.7867767,0.93798,1.4025092,-0.42921788
384,MGS1,-0.2809784,1.4051592,0.6233395,1.9451153
386,MGS1,1.186997,1.5219758,0.28956354,-0.48818743
389,MGS1,-0.16862506,-1.1059489,1.1479167,-0.13335708
394,MGS1,0.6303107,-1.2946565,0.6092824,1.6795964
396,MGS1,1.2210212,0.28286013,0.29229605,1.1867784
404,MGS1,-0.018880393,-0.48545223,0.086222455,-0.67411554
405,MGS1,0.8631344,0.6475653,0.8650155,-0.5452382
406,MGS1,0.2908539,1.2279177,1.2404152,0.6859401
413,MGS1,0.9027048,-1.6716899,-0.70174193,-0.92686564
414,MGS1,0.052663315,-1.4512323,0.14416234,-0.23348567
415,MGS1,0.20541173,-0.7270633,-0.8480997,-1.1465136
425,MGS1,-0.21881065,-0.8376364,-0.24872361,-1.3283045
447,MGS1,0.18066701,1.7509947,0.59764016,-0.5762286
452,MGS1,-2.0815263,0.28732076,1.2057371,-0.48465657
466,MGS1,0.59952396,-1.7540479,-1.5320939,0.053654112
468,MGS1,0.91974616,0.89698,-0.19908828,-1.3344622
480,MGS1,-0.42030936,0.14071466,0.8138293,1.0190761
490,MGS1,0.18156838,0.011899217,-2.4270563,-0.64336866
491,MGS1,0.4136706,-0.8632466,-2.3081558,-0.29907036
495,MGS1,-1.1282908,-1.2322754,-1.6926758,-0.28185204
499,MGS1,-0.19819824,-1.2002766,0.17594014,-0.3832342
501,MGS1,1.0287954,0.27124104,-1.0320884,0.9952827
503,MGS1,0.46389058,0.7889567,0.16130686,-0.146898
506,MGS1,0.8404505,0.88987255,0.7460124,0.66077846
517,MGS1,1.7091368,0.52088505,0.38081193,-0.22843543
518,MGS1,-0.23056453,-1.2674954,0.062222585,0.04425309
526,MGS1,0.07469462,0.4163261,1.1531886,1.6790779
11,MGS4,0.11591664,0.5998536,0.17193672,-1.1444625
33,MGS4,1.1467296,0.19580421,-0.83648646,1.1122901
46,MGS4,0.49801296,0.53212017,0.21270202,1.569673
47,MGS4,-0.8574795,0.004235662,-0.18875144,0.37456042
60,MGS4,0.5964145,0.80855256,-1.093001,0.5147154
73,MGS4,-0.86093706,-0.21965541,-0.45677316,0.42377505
94,MGS4,-0.44114363,0.5323438,-1.1923596,-0.3726751
95,MGS4,0.6216907,-0.9561525,-1.3314456,0.61504716
106,MGS4,0.18511093,-1.1468558,-0.6418722,-0.6461828
107,MGS4,-1.5227615,-1.0410221,0.52507526,1.9413085
116,MGS4,-0.5286661,-0.66448164,-1.0989937,0.014146276
124,MGS4,-1.3887374,0.109834425,-0.567929,0.38062558
125,MGS4,-0.5996182,-0.8013413,1.5179346,0.01498986
133,MGS4,-1.8618975,0.04101289,0.5768146,1.9340693
148,MGS4,-1.1184591,-0.97578,-0.9317931,-0.006961756
150,MGS4,-0.8519207,-0.80311185,-0.051364094,2.6531165
157,MGS4,-0.14458075,0.18902926,0.85319394,-1.6228058
160,MGS4,-0.61991936,1.2228031,-0.64675915,1.2482085
178,MGS4,0.8301118,-0.001725168,0.62482315,-0.6466496
198,MGS4,1.7066321,0.29755056,-0.36625946,1.3190483
