sample_id,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,mgs_level
2,0.039052498,0.075316906,0.12344966,-0.057317633,-0.10541435,-0.07106062,-0.051931154,-0.14557627,0.016704304,0.029281918,0.19067013,-0.073566705,0.2105838,-0.029499086,0.041310694,0.076368585,MGS1
4,-0.0016706362,-0.0017334502,0.021181284,-0.0016775844,-0.015866917,-0.016933782,-0.022836776,-0.012294129,0.02207164,-0.032639273,0.013593748,-0.006319543,0.05025955,0.030067066,0.026820712,0.01749663,MGS1
6,0.035954878,0.0940049,0.11482322,-0.058947694,-0.073978506,-0.056371853,-0.06024428,-0.15151355,0.017796373,0.012377387,0.16872053,-0.13223368,0.20787314,-0.044532754,0.029668178,0.08977321,MGS1
9,0.04485056,0.04175573,0.07043828,-0.043593355,-0.06853061,-0.025197307,-0.04817515,-0.110425904,0.029973725,-0.014911333,0.12880862,-0.059511185,0.18096858,-0.023673058,0.04243336,0.068546906,MGS1
17,0.036212705,0.028128497,0.09955309,-0.05453725,-0.059863575,-0.037320506,-0.041536942,-0.13393003,-0.011347678,-0.0009293149,0.12093455,-0.06637734,0.19842437,-0.05861928,0.026117373,0.10960434,MGS1
18,0.06025296,0.10375251,0.11155443,-0.07540344,-0.085306905,-0.06545724,-0.049380068,-0.1519061,0.04283993,-0.002381316,0.18650147,-0.11260663,0.2506389,-0.03994196,0.047942877,0.107541114,MGS1
32,0.049483087,0.12813474,0.13880123,-0.1040886,-0.1101519,-0.083178975,-0.055956043,-0.19559394,0.028390074,0.00043921336,0.22244126,-0.13387981,0.31691667,-0.04123163,0.06851517,0.15921389,MGS1
35,0.021790128,0.08583826,0.117791735,-0.061537657,-0.076276354,-0.024344927,-0.03168313,-0.13374011,-0.019128757,-0.009952671,0.15511978,-0.09635906,0.17474914,-0.03533975,0.031364713,0.116801634,MGS1
41,0.0026675109,-0.06417571,-0.07689233,0.041827366,0.03842321,0.032000925,0.0064638574,0.037127316,0.015959965,0.025977379,-0.11548003,0.047900222,-0.13205624,0.030423911,-0.01669604,-0.041897725,MGS1
42,0.019941144,-0.01075832,0.019183798,0.002735274,0.0054836897,0.008609558,-0.030257316,0.00507617,-0.014554992,0.005973379,0.009327635,0.008802671,0.0032038726,0.001207333,-0.01190675,-5.9085898e-05,MGS1
43,0.06517017,0.11213249,0.16558298,-0.07592352,-0.14365654,-0.07768586,-0.07852641,-0.24971451,0.05205226,0.017263778,0.25020742,-0.16998412,0.34761512,-0.07568274,0.070628665,0.14975278,MGS1
81,0.06571159,0.115740225,0.16010323,-0.08269422,-0.12056477,-0.068954855,-0.06748664,-0.21784325,0.016629452,0.00575968,0.2300548,-0.18064575,0.3106184,-0.075061664,0.052679326,0.16064519,MGS1
89,0.07235432,0.13655859,0.17992258,-0.09233603,-0.11596789,-0.068095304,-0.050705273,-0.23464103,0.032182716,0.008040617,0.24199772,-0.17661113,0.3452907,-0.054169916,0.058389496,0.15796407,MGS1
99,0.048412558,0.08272523,0.14678866,-0.045872405,-0.09961297,-0.07913291,-0.08044839,-0.15078114,0.026918208,-0.014714271,0.17504704,-0.11094297,0.26365593,-0.04544478,0.061461117,0.12807107,MGS1
109,0.04666629,0.049315117,0.049760338,-0.023800334,-0.027215078,-0.030922376,-0.002706308,-0.0259397,-0.015003789,-0.0012427329,0.058908112,-0.051069506,0.10237354,-0.0104773585,0.012199293,0.044132765,MGS1
115,0.03687993,0.051755425,0.061751228,-0.0398503,-0.05060055,-0.04525569,-0.03268171,-0.12397167,0.00867934,0.014696132,0.13153479,-0.075142175,0.15408576,-0.038826913,0.041220844,0.098324694,MGS1
117,-0.01852141,-0.016457781,-0.020084303,0.007945986,0.02995606,-0.0030647325,-0.009174285,0.0061439853,-0.010979661,-0.0046358868,-0.03364016,0.012507835,-0.04817585,0.011095202,0.001002973,-0.014903546,MGS1
