sample_id,z0,z1,z2,z3,mgs_level
2,0.0,0.0,0.0,2.480782,MGS1
4,0.0,0.0,0.0,4.880454,MGS1
6,0.0,0.0,0.0,4.843658,MGS1
9,0.0,0.0,0.0,2.286917,MGS1
17,0.0,0.0,0.0,3.7954638,MGS1
18,0.0,0.0,0.0,2.2348065,MGS1
32,0.0,0.0,0.0,5.1960874,MGS1
35,0.0,0.0,0.0,3.5038126,MGS1
41,0.0,0.0,0.0,1.3844662,MGS1
42,0.0,0.0,0.0,4.933286,MGS1
43,0.0,0.0,0.0,2.2200105,MGS1
81,0.0,0.0,0.0,6.970127,MGS1
89,0.0,0.0,0.0,6.94979,MGS1
99,0.0,0.0,0.0,6.549637,MGS1
109,0.0,0.0,0.0,1.790823,MGS1
115,0.0,0.0,0.0,1.9895909,MGS1
117,0.0,0.0,0.0,4.86252,MGS1
119,0.0,0.0,0.0,2.0671165,MGS1
120,0.0,0.0,0.0,3.732585,MGS1
126,0.0,0.0,0.0,2.1271405,MGS1
137,0.0,0.0,0.0,1.5749488,MGS1
139,0.0,0.0,0.0,6.2085557,MGS1
142,0.0,0.0,0.0,2.0207229,MGS1
145,0.0,0.0,0.0,2.0003242,MGS1
149,0.0,0.0,0.0,5.79094,MGS1
153,0.0,0.0,0.0,5.166137,MGS1
162,0.0,0.0,0.0,5.5768504,MGS1
163,0.0,0.0,0.0,1.5296143,MGS1
172,0.0,0.0,0.0,3.042304,MGS1
173,0.0,0.0,0.0,5.627055,MGS1
177,0.0,0.0,0.0,1.832551,MGS1
189,0.0,0.0,0.0,1.7775729,MGS1
217,0.0,0.0,0.0,1.862545,MGS1
218,0.0,0.0,0.0,1.583706,MGS1
229,0.0,0.0,0.0,6.6642823,MGS1
237,0.0,0.0,0.0,1.5864094,MGS1
243,0.0,0.0,0.0,1.456639,MGS1
246,0.0,0.0,0.0,7.8301716,MGS1
251,0.0,0.0,0.0,2.4236717,MGS1
254,0.0,0.0,0.0,4.0145173,MGS1
264,0.0,0.0,0.0,5.4569397,MGS1
265,0.0,0.0,0.0,1.5859782,MGS1
266,0.0,0.0,0.0,2.1432366,MGS1
286,0.0,0.0,0.0,5.495567,MGS1
288,0.0,0.0,0.0,5.626877,MGS1
291,0.0,0.0,0.0,5.304423,MGS1
292,0.0,0.0,0.0,5.28483,MGS1
293,0.0,0.0,0.0,2.1755877,MGS1
295,0.0,0.0,0.0,1.8999498,MGS1
307,0.0,0.0,0.0,2.0187595,MGS1
308,0.0,0.0,0.0,2.1397657,MGS1
311,0.0,0.0,0.0,6.6282163,MGS1
313,0.0,0.0,0.0,1.7962784,MGS1
314,0.0,0.0,0.0,2.0492988,MGS1
315,0.0,0.0,0.0,5.282517,MGS1
316,0.0,0.0,0.0,2.523949,MGS1
317,0.0,0.0,0.0,1.911663,MGS1
318,0.0,0.0,0.0,5.5963106,MGS1
319,0.0,0.0,0.0,3.4888053,MGS1
320,0.0,0.0,0.0,4.736126,MGS1
321,0.0,0.0,0.0,2.0281692,MGS1
322,0.0,0.0,0.0,2.0989738,MGS1
324,0.0,0.0,0.0,2.0341954,MGS1
335,0.0,0.0,0.0,6.90479,MGS1
347,0.0,0.0,0.0,2.2536952,MGS1
348,0.0,0.0,0.0,4.99327,MGS1
349,0.0,0.0,0.0,2.0601902,MGS1
350,0.0,0.0,0.0,5.4303956,MGS1
351,0.0,0.0,0.0,1.2585428,MGS1
352,0.0,0.0,0.0,5.739705,MGS1
353,0.0,0.0,0.0,1.8359632,MGS1
354,0.0,0.0,0.0,1.7143329,MGS1
355,0.0,0.0,0.0,2.1439083,MGS1
356,0.0,0.0,0.0,3.496141,MGS1
375,0.0,0.0,0.0,1.9271331,MGS1
376,0.0,0.0,0.0,3.307742,MGS1
377,0.0,0.0,0.0,5.2339625,MGS1
379,0.0,0.0,0.0,2.0397522,MGS1
384,0.0,0.0,0.0,4.748805,MGS1
386,0.0,0.0,0.0,5.21449,MGS1
389,0.0,0.0,0.0,1.9665673,MGS1
394,0.0,0.0,0.0,1.9400539,MGS1
396,0.0,0.0,0.0,1.9958339,MGS1
404,0.0,0.0,0.0,7.0399585,MGS1
405,0.0,0.0,0.0,1.611063,MGS1
406,0.0,0.0,0.0,2.1425228,MGS1
413,0.0,0.0,0.0,5.141963,MGS1
414,0.0,0.0,0.0,1.697952,MGS1
415,0.0,0.0,0.0,1.5724479,MGS1
425,0.0,0.0,0.0,6.896629,MGS1
447,0.0,0.0,0.0,1.6649625,MGS1
452,0.0,0.0,0.0,1.4417139,MGS1
466,0.0,0.0,0.0,6.1160626,MGS1
468,0.0,0.0,0.0,1.5588772,MGS1
480,0.0,0.0,0.0,3.8173046,MGS1
490,0.0,0.0,0.0,5.3640256,MGS1
491,0.0,0.0,0.009480327,4.805469,MGS1
495,0.0,0.0,0.0,7.041899,MGS1
499,0.0,0.0,0.0,2.2057807,MGS1
501,0.0,0.0,0.0,2.1373367,MGS1
503,0.0,0.0,0.0,2.1673753,MGS1
506,0.0,0.0,0.0,5.096948,MGS1
517,0.0,0.0,0.0,1.6037631,MGS1
518,0.0,0.0,0.0,2.0803785,MGS1
526,0.0,0.0,0.0,1.9844942,MGS1
11,0.0,0.0,0.0,4.977782,MGS4
33,0.0,0.0,0.0,4.9497933,MGS4
46,0.0,0.0,0.0,2.0680323,MGS4
47,0.0,0.0,0.0,2.2413707,MGS4
60,0.0,0.0,0.0,2.0853298,MGS4
73,0.0,0.0,0.0,1.3963459,MGS4
94,0.0,0.0,0.0,3.5163078,MGS4
95,0.0,0.0,0.0,6.684802,MGS4
106,0.0,0.0,0.0,2.0801656,MGS4
107,0.0,0.0,0.0,1.4154544,MGS4
116,0.0,0.0,0.0,4.8177476,MGS4
124,0.0,0.0,0.0,1.4161308,MGS4
125,0.0,0.0,0.0,2.8479753,MGS4
133,0.0,0.0,0.0,1.1842748,MGS4
148,0.0,0.0,0.0,3.4655168,MGS4
150,0.0,0.0,0.0,1.1800126,MGS4
157,0.0,0.0,0.0,1.6568744,MGS4
160,0.0,0.0,0.0,1.9841504,MGS4
178,0.0,0.0,0.0,5.059567,MGS4
198,0.0,0.0,0.0,2.3870082,MGS4
203,0.0,0.0,0.0,1.5233458,MGS4
