sample_id,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,mgs_level
2,0.9792323,0.0,3.071604,1.6247057,3.0706673,1.3354461,0.0,1.8933059,0.0,3.2885635,0.92168564,0.8441661,0.3671289,3.01185,2.0585449,1.6332104,MGS1
4,0.95691514,0.0,1.2863079,1.2502929,1.3328354,1.187503,0.0,1.1072656,0.0,1.2289852,0.55503136,0.37913394,2.0644455,1.6031371,1.2047137,0.5667422,MGS1
6,1.0623803,0.0,1.1268758,1.1205366,1.3013111,0.98465276,0.0,1.1233536,0.0,1.0129904,0.52646756,0.2940059,1.3670852,1.3328708,0.6031635,0.46816707,MGS1
9,0.44778484,0.0,2.9055202,2.013701,2.9508595,1.9427347,0.0,2.094481,0.0,3.3871698,1.4781084,1.2390988,1.5157714,3.0228102,2.5998852,1.7591196,MGS1
17,0.7353709,0.0,2.091643,1.0083603,1.7907953,0.8557838,0.0,1.3452787,0.0,1.170155,0.6048146,0.36652106,1.4413581,1.4397773,2.109409,1.43487,MGS1
18,0.7323408,0.0,1.2959353,1.2322507,1.2525029,1.0110234,0.0,1.147387,0.0,0.6531236,0.52340716,0.20769021,1.8634312,1.2384268,1.392169,0.7574817,MGS1
32,0.98679954,0.0,1.1491858,1.3177747,1.1853169,1.0970503,0.0,1.2092321,0.0,0.5637932,0.4338941,0.107105576,1.8781574,0.9215398,1.1805767,0.37887868,MGS1
35,0.07610297,0.0,3.977521,2.4803123,3.9042208,2.030766,0.0,2.9065866,0.0,3.8583815,2.2654421,1.5230931,0.6193394,3.0076091,3.2172787,2.6620672,MGS1
41,0.6921793,0.0,3.0442946,2.1868105,3.2289627,1.8233365,0.0,2.4951055,0.0,3.3185136,2.0157025,1.5500242,0.640411,2.9665625,2.215164,1.8540739,MGS1
42,0.73135734,0.0,0.7982842,0.8685601,0.8038486,0.79388595,0.0,0.871213,0.0,0.31274942,0.38651747,0.24772343,1.5028757,1.4158436,1.4653301,0.5112095,MGS1
43,0.41513124,0.0,2.774792,2.0679605,2.918007,1.9038825,0.0,2.13644,0.0,3.1798096,1.4332491,1.1290568,1.4094256,2.6276627,2.2119443,1.5296518,MGS1
81,0.80749375,0.0,0.9792907,1.1525251,1.0477601,0.8955604,0.0,1.0808816,0.0,0.2178947,0.4025863,0.07626606,1.8369331,0.51553804,0.91988015,0.39786088,MGS1
89,0.82852566,0.0,0.9518511,1.098464,1.0101529,0.882447,0.0,1.0706313,0.0,0.3660668,0.31765065,0.056825586,1.6325366,0.3389163,0.8860812,0.31227458,MGS1
99,0.88172156,0.0,1.0709447,1.1719247,1.1048901,0.93270564,0.0,1.1097053,0.0,0.29826742,0.47237062,0.13939762,1.9077972,0.72927415,1.0608143,0.5065928,MGS1
109,0.720169,0.0,2.1613054,1.7159607,2.3035665,1.6153773,0.0,1.714139,0.0,2.5541193,1.3685232,1.1774704,1.8870364,1.8428493,2.0232232,1.3907043,MGS1
115,0.89837265,0.0,1.0996338,1.1486838,1.1262113,0.92404556,0.0,1.0588549,0.0,0.46119252,0.49821386,0.20263988,1.992442,0.8210366,1.082337,0.5970255,MGS1
117,0.99337727,0.0,0.83638597,1.0122916,1.0184228,0.8188864,0.0,0.9553782,0.0,0.355021,0.53111184,0.2911203,1.7589272,0.4139687,0.5987776,0.44431412,MGS1
119,0.35098085,0.0,3.0679948,2.0665119,3.1415203,1.941713,0.0,2.2307305,0.0,3.4512632,1.6267146,1.3438416,1.4393218,2.9786205,2.5837824,1.7803731,MGS1
120,0.45733428,0.0,3.3896902,1.6940644,3.2289062,1.624038,0.0,2.1407359,0.0,3.3554235,1.5776834,1.2880895,1.3983179,2.4509397,2.7945755,2.3088758,MGS1
126,0.87931556,0.0,1.0667411,1.1024779,1.0947694,0.89527094,0.0,1.0251138,0.0,0.46600863,0.47512224,0.20085034,1.9166132,0.7958895,1.0431368,0.56223965,MGS1
137,0.81358564,0.0,1.0776252,1.0558977,1.1431795,0.8453373,0.0,1.0194949,0.0,0.5776202,0.62348807,0.31925452,1.4678597,1.0304757,1.0583079,0.7438885,MGS1
139,1.423352,0.0,1.8607864,1.4171923,1.9698395,1.1631948,0.0,1.393551,0.0,2.5681465,0.36103752,0.46007165,0.22358014,1.9097104,1.0481683,0.5636985,MGS1
142,1.0695664,0.0,2.6504722,1.9161856,2.8841956,1.5965914,0.0,1.9905734,0.0,3.5127952,1.2451761,1.1593227,0.62242943,1.9606316,1.4449584,1.4777168,MGS1
145,0.794549,0.0,1.0117098,1.0216651,1.0123097,0.82819927,0.0,0.9711543,0.0,0.36628795,0.44405678,0.15814269,1.7438058,0.8025743,1.0461891,0.5324812,MGS1
149,0.8681227,0.0,0.9389821,1.1380386,1.0474709,0.8982098,0.0,1.0869852,0.0,0.36403427,0.3766082,0.11032639,1.7033826,0.18557262,0.821549,0.3313317,MGS1
153,0.9756099,0.0,2.4391394,2.02381,2.6353273,1.9016534,0.0,1.9189434,0.0,3.0490017,1.249502,1.0923339,1.736528,2.8169746,2.0497975,1.3274808,MGS1
162,1.2703943,0.0,1.5587426,1.3941666,1.8123505,1.0823693,0.0,1.3377439,0.0,2.0891542,0.71455765,0.63492846,0.85388803,1.2101777,0.7373401,0.74115,MGS1
163,0.5895849,0.0,1.6325766,1.754946,1.7044724,1.5178599,0.0,1.550373,0.0,1.0535754,1.2212274,0.61606216,2.4775295,2.239161,1.8134451,1.3617744,MGS1
172,0.18425477,0.0,3.5783896,2.1531239,3.4691331,1.90862,0.0,2.5603938,0.0,3.385924,2.0806503,1.3538107,1.1542145,2.920752,2.952164,2.5992813,MGS1
173,0.88754606,0.0,1.0124571,1.1577088,1.0761744,0.95010793,0.0,1.0668551,0.0,0.2821516,0.46456856,0.1351785,1.8898766,0.9478259,1.00731,0.448858,MGS1
177,0.9151114,0.0,1.2654624,1.2991958,1.302825,1.0974321,0.0,1.1679296,0.0,0.6393768,0.6121012,0.30661526,2.342748,1.1078258,1.2872308,0.74137294,MGS1
189,0.9624758,0.0,1.0790427,1.1365955,1.1434553,0.93334043,0.0,1.0518878,0.0,0.52718437,0.58756715,0.31106701,2.0011346,0.81118965,1.0553694,0.66151774,MGS1
217,0.93901026,0.0,1.0530504,1.1204906,1.0955749,0.9074981,0.0,1.0242637,0.0,0.48334894,0.50868744,0.2315987,1.9482617,0.8158656,1.0209153,0.60993326,MGS1
218,0.24059525,0.0,3.3402188,2.6497579,3.5572019,2.2501433,0.0,2.7777736,0.0,3.423023,2.238994,1.5822829,0.92203516,4.2633157,2.5346987,1.9973177,MGS1
229,0.7447775,0.0,1.5247012,1.5940849,1.7423865,1.4825227,0.0,1.4451104,0.0,1.7243823,0.98677176,0.7145063,1.9285285,1.6952469,1.4081244,0.75516975,MGS1
237,0.81215256,0.0,1.2056955,1.1354592,1.226646,0.9076959,0.0,1.1254859,0.0,0.4955134,0.7298959,0.40993106,1.7303823,0.9972484,1.2141817,0.78750014,MGS1
243,0.61615133,0.0,1.3331901,1.5797731,1.4252602,1.2658733,0.0,1.4275135,0.0,0.57538444,1.0785474,0.39401847,2.1892772,1.3793838,1.348923,1.1151595,MGS1
246,0.847282,0.0,1.159582,1.3483886,1.1619616,1.1089704,0.0,1.2104328,0.0,0.5115144,0.3963371,0.0509656,1.9219626,0.99007714,1.28754,0.41405892,MGS1
251,0.8886193,0.0,1.202332,1.0621606,1.1447088,0.8768599,0.0,1.0447644,0.0,0.64405626,0.503827,0.26476115,1.7704859,0.9085172,1.2534324,0.7255765,MGS1
254,0.53147626,0.0,2.14524,2.1507854,2.3743258,1.7441512,0.0,2.0929732,0.0,2.1102548,1.7818207,1.1369461,1.4211956,2.4758039,1.89869,1.3503621,MGS1
264,0.92183656,0.0,1.3223253,1.4035408,1.5817269,1.3438288,0.0,1.2576064,0.0,1.4662833,1.0567127,0.8610896,2.4272485,1.2718798,1.3523912,0.7831986,MGS1
265,0.8428352,0.0,1.0285856,1.2012919,1.104747,0.94455683,0.0,1.0951416,0.0,0.4054819,0.74365586,0.3581806,1.9511424,0.87440157,1.101634,0.7971431,MGS1
266,0.8231651,0.0,1.0655512,1.0229228,1.0409526,0.85721576,0.0,0.96578616,0.0,0.44453114,0.41927937,0.17153537,1.8204343,0.9394189,1.1241825,0.5741951,MGS1
