sample_id,z0,z1,z2,z3,z4,z5,z6,z7,mgs_level
2,1.8397056,0.563749,0.0,3.4272115,2.900429,1.7978485,0.0,1.8609042,MGS1
4,0.9927958,0.0,0.0,2.0218618,1.6372781,1.6201279,0.0,0.8562032,MGS1
6,1.1742711,0.22615835,0.0,2.6223273,2.23945,1.582413,0.0,1.1427863,MGS1
9,1.7054057,0.0,0.0,3.423512,2.955317,2.611361,0.0,2.0658429,MGS1
17,0.73546183,0.0,0.0,0.38679415,0.7853125,0.8191947,0.0,0.0,MGS1
18,0.78173006,0.0,0.0,0.25993258,0.8009767,1.0437722,0.0046658292,0.0,MGS1
32,0.65466726,0.0,0.0,0.4312502,0.8045601,1.0606,0.005420916,0.0,MGS1
35,1.1290915,0.22293264,0.0,5.4268584,5.123487,2.8999712,0.0,3.6661012,MGS1
41,1.403591,0.0,0.0,3.3943543,3.022131,2.286051,0.0,2.1459553,MGS1
42,0.64751124,0.0,0.0,0.20033231,0.4891637,0.66014814,0.0,0.0,MGS1
43,1.646065,0.0,0.0,3.8203416,3.681657,2.6405787,0.0,2.2838283,MGS1
81,0.7321243,0.0,0.0,0.2855932,0.7657228,0.9774165,0.0,0.0,MGS1
89,0.54114187,0.0,0.0,0.26987606,0.74138296,0.9002328,0.0,0.0,MGS1
99,0.72328293,0.0,0.0,0.29991496,0.76288414,1.0427163,0.024750434,0.0,MGS1
109,1.3377755,0.0,0.0,3.0911212,2.9615192,2.374092,0.0,2.0016098,MGS1
115,0.7261659,0.0,0.0,0.22765687,0.82003576,0.98734075,0.0,0.0,MGS1
117,0.5703045,0.0,0.010882931,0.37771875,0.7079423,0.9533583,0.020790003,0.0,MGS1
119,1.516272,0.0,0.0,3.292154,2.8780205,2.360366,0.0,1.9089198,MGS1
120,1.1836983,0.0,0.0,3.3605785,3.379127,2.436712,0.0,2.2320728,MGS1
126,0.7304882,0.0,0.0,0.20443088,0.7858297,0.9560716,0.0,0.0,MGS1
137,0.6449544,0.0,0.013933914,0.24474674,0.67127913,0.6946274,0.0,0.0,MGS1
139,1.3896139,0.5091857,0.0,3.2177668,2.614102,1.7012558,0.0,1.3627007,MGS1
142,1.591566,0.0,0.0,3.5375483,3.4776423,2.5519247,0.0,2.239269,MGS1
145,0.73287594,0.0,0.004068047,0.16571528,0.69054705,0.83434784,0.0,0.0,MGS1
149,0.63280046,0.0,0.0,0.25606743,0.7404154,0.90832216,0.0,0.0,MGS1
153,1.5827843,0.0,0.0,3.4684856,2.9652915,2.8347707,0.0,1.8047931,MGS1
162,1.0374343,0.0,0.023098664,2.5947075,2.2788482,1.8596113,0.0,1.18743,MGS1
163,1.008737,0.0,0.0,0.999978,1.3877594,1.4574692,0.0,0.60313594,MGS1
172,1.3345765,0.0,0.0,4.120692,3.7398071,2.6432989,0.0,2.815308,MGS1
173,0.5847459,0.0,0.016129239,0.32604277,0.6774448,0.91015315,0.021294132,0.0,MGS1
177,0.82952785,0.0,0.0,0.3346082,0.96577936,1.1860222,0.0,0.0881764,MGS1
189,0.7282069,0.0,0.0,0.36981043,0.9444634,1.1283269,0.0,0.09645733,MGS1
217,0.720218,0.0,0.0,0.28618684,0.8637573,1.0222509,0.0,0.021960586,MGS1
218,2.006497,0.035545,0.016590731,4.091935,3.6897461,2.5667055,0.0,2.6053665,MGS1
229,1.1983128,0.0,0.0,3.3124917,2.9851336,2.447557,0.0,1.7258353,MGS1
237,0.66160107,0.0,0.005430987,0.27499616,0.6944232,0.6630825,0.0,0.047901273,MGS1
243,0.94276476,0.0,0.016720382,0.8292551,1.2993269,1.2112039,0.0,0.48408958,MGS1
246,0.6474861,0.0,0.0,0.5980724,0.8957048,1.1135888,0.0,0.0,MGS1
251,0.8151881,0.0,0.0,0.47074246,0.87185365,1.0872219,0.0,0.0,MGS1
254,1.251365,0.0,0.0,4.7949786,4.0953455,2.8423204,0.0,2.9622092,MGS1
264,0.9509654,0.0,0.0,2.3229623,2.0846493,1.9987794,0.0,1.2598102,MGS1
265,0.61664593,0.0,0.0048437323,0.29832745,0.73645365,0.7042149,0.0,0.094266176,MGS1
266,0.7305195,0.0,0.0,0.25502187,0.8137108,0.8940517,0.0,0.001394555,MGS1
286,1.4373313,0.0,0.0,3.7300625,2.9262857,2.5138938,0.0,1.9962945,MGS1
288,1.1733462,0.0,0.0,3.119645,2.8162935,2.5272706,0.0,1.8099623,MGS1
291,0.68443257,0.0,0.0,0.23893043,0.72730905,0.95392114,0.0023728535,0.0,MGS1
292,0.7430217,0.0,0.0,0.48683038,0.88311076,1.166471,0.0,0.0,MGS1
293,2.039449,0.0,0.0,3.6710582,3.3922734,2.914556,0.0,2.5353258,MGS1
295,1.8117253,0.0,0.0,3.4663434,3.3705602,2.7808483,0.0,2.3848882,MGS1
307,1.6070848,0.0,0.0,3.3333187,3.0190377,2.2403634,0.0,1.9788418,MGS1
308,1.7492085,0.0,0.0,3.2773027,2.837467,2.1621897,0.0,1.8660276,MGS1
311,0.69594204,0.0,0.0,0.21805772,0.72698754,0.94094664,0.0,0.0,MGS1
313,1.5004101,0.0,0.0,3.0765529,3.0131216,2.4610827,0.0,2.078743,MGS1
314,0.49979252,0.0,0.0,0.09998356,0.54274875,0.5986972,0.0,0.0,MGS1
315,1.0698848,0.0,0.0,2.942265,2.5882952,2.2190368,0.0,1.553366,MGS1
316,0.76763636,0.210176,0.0,0.329786,0.85667294,0.7379106,0.0,0.0,MGS1
317,0.8809856,0.0,0.0027466714,0.28081983,0.8944426,0.98347116,0.0,0.0,MGS1
318,0.78415716,0.0,0.0,0.49593288,0.89954525,1.1880482,0.004408017,0.0,MGS1
319,0.39492947,0.327378,0.0,0.101570345,0.81086755,0.6347101,0.0,0.059501886,MGS1
320,1.3810035,0.0,0.0,3.0937972,2.6894627,2.4262555,0.0,1.7080233,MGS1
321,1.8329129,0.0,0.0,3.5558968,3.3239312,2.502432,0.0,2.1551843,MGS1
322,0.72358525,0.30094704,0.0,0.2570461,0.91196626,0.6864531,0.0,0.0,MGS1
324,0.5465232,0.16583863,0.0,0.14973223,0.65160966,0.6010861,0.0,0.0,MGS1
335,2.059477,0.0,0.0,3.5470405,2.6835046,2.2451112,0.0,1.7867687,MGS1
347,0.92270696,0.0,0.0,0.4330951,0.85241115,0.9971593,0.0,0.0,MGS1
348,0.7181823,0.0,0.0,0.23922616,0.69707364,0.9432162,0.012480509,0.0,MGS1
349,0.78519046,0.0,0.0,0.20250571,0.6906665,0.87616825,0.0,0.0,MGS1
350,1.2064373,0.2107667,0.0,2.6708572,2.2973642,1.7105795,0.0,1.2941456,MGS1
351,0.8186947,0.0,0.0,0.57339835,1.1755997,1.4585598,0.0,0.44424924,MGS1
352,0.546939,0.0033335295,0.0,0.30622673,0.64898217,0.7831101,0.0,0.0,MGS1
353,2.12048,0.0,0.0,3.8692803,3.5732439,3.1456406,0.0,2.6942518,MGS1
354,1.4659804,0.0,0.0,2.9261038,2.7333307,2.1222415,0.0,1.9711418,MGS1
355,1.6778042,0.0,0.0,3.7352173,3.4497092,2.6374338,0.0,2.3857183,MGS1
356,1.3757361,0.6079181,0.0,3.3665876,3.7067466,2.486941,0.0,2.4317436,MGS1
375,1.6302153,0.0,0.0,3.0694234,2.7172194,2.403375,0.0,1.8444829,MGS1
