sample_id,z0,z1,z2,z3,mgs_level
2,0.9712926,0.0,0.0,3.3392937,MGS1
4,1.1760322,0.0,0.0,4.3131123,MGS1
6,1.3500618,0.0,0.0,4.7915125,MGS1
9,1.616736,0.0,0.0,5.0624547,MGS1
17,0.013551012,0.0,0.0,0.5165077,MGS1
18,0.021509439,0.0,0.0,0.52584326,MGS1
32,0.0,0.0,0.0,0.5526186,MGS1
35,2.198825,0.0,0.0,7.1396675,MGS1
41,1.790683,0.0,0.0,5.264674,MGS1
42,0.030730724,0.0,0.0,0.5873304,MGS1
43,1.5765084,0.0,0.0,5.0655155,MGS1
81,0.055943698,0.0,0.0,1.0350724,MGS1
89,0.05347261,0.0,0.0,1.0854362,MGS1
99,0.0,0.0,0.0,0.32315698,MGS1
109,1.4811232,0.0,0.0,4.62823,MGS1
115,0.09845519,0.0,0.0,0.79020905,MGS1
117,0.07771012,0.0,0.0,0.66880304,MGS1
119,1.4432093,0.0,0.0,4.2412148,MGS1
120,1.5101193,0.0,0.0,4.891179,MGS1
126,0.0,0.0,0.0,0.49141845,MGS1
137,0.100946575,0.0,0.0,0.80868036,MGS1
139,1.2362602,0.0,0.0,4.5194254,MGS1
142,1.7195419,0.0,0.0,5.3957767,MGS1
145,0.08564341,0.0,0.0,0.7232987,MGS1
149,0.053117216,0.0,0.0,1.1023977,MGS1
153,1.4847924,0.0,0.0,5.2394557,MGS1
162,1.4913387,0.0,0.0,4.9914002,MGS1
163,0.06647709,0.0,0.0,0.76469094,MGS1
172,1.934635,0.0,0.0,6.182976,MGS1
173,0.0,0.0,0.0,0.37973484,MGS1
177,0.07323161,0.0,0.0,0.7229841,MGS1
189,0.16006124,0.0,0.0,1.018994,MGS1
217,0.13052502,0.0,0.0,0.8473356,MGS1
218,1.6076878,0.0,0.0,5.021236,MGS1
229,1.3784345,0.0,0.0,4.9010506,MGS1
237,0.057827145,0.0,0.0,0.664786,MGS1
243,0.1847342,0.0,0.0,1.0173746,MGS1
246,0.0,0.0,0.0,0.63145936,MGS1
251,0.07092777,0.0,0.0,0.6862842,MGS1
254,2.2486577,0.0,0.0,7.4116945,MGS1
264,1.3035945,0.0,0.0,4.3954716,MGS1
265,0.014213398,0.0,0.0,0.5181604,MGS1
266,0.0,0.0,0.0,0.5664255,MGS1
286,1.4855273,0.0,0.0,5.2353415,MGS1
288,1.4490947,0.0,0.0,5.1398306,MGS1
291,0.013376489,0.0,0.0,0.8054297,MGS1
292,0.0,0.0,0.0,0.33929133,MGS1
293,1.4439424,0.0,0.0,4.358598,MGS1
295,1.6034395,0.0,0.0,4.919944,MGS1
307,1.4711202,0.0,0.0,4.710269,MGS1
308,1.1705077,0.0,0.0,3.6226313,MGS1
