"gene","frequency"
"B2M",39
"C1R",39
"HLA-DRA",37
"SERPING1",28
"HLA-DPA1",16
"MAOB",7
"APOBEC3C",6
"CYC1",6
"EDF1",6
"ERO1A",6
"ILVBL",6
"NKIRAS2",6
"OTUB1",6
"PACS2",6
"SH2B1",6
"BTBD2",5
"CIC",5
"IPO13",5
"PCIF1",5
"PPP1R37",5
"QTRT2",5
"RAB1B",5
"RPS15",5
"VWC2",5
"AK4",4
"ATP13A2",4
"BSG",4
"CAMTA2",4
"CLUH",4
"CRNKL1",4
"CYP27A1",4
"DDX1",4
"DNAJB14",4
"FAM13B",4
"FASTKD2",4
"FMR1",4
"GABRG2",4
"GPAA1",4
"GPR137",4
"KIF1A",4
"LCOR",4
"LITAF",4
"LLGL2",4
"LMTK3",4
"LTBP3",4
"LZTR1",4
"MAP2K1",4
"MIR100HG",4
"NUP54",4
"PAK4",4
"PLOD2",4
"POLR2E",4
"POLRMT",4
"PPARD",4
"PPP2R5B",4
"RAB2A",4
"RIF1",4
"SLFNL1",4
"SNX10",4
"STUB1",4
"TWF1",4
"USF2",4
"VAPA",4
"ZNF148",4
"ZNF271P",4
"ZNF395",4
"AK1",3
"AKAP12",3
"AKT1",3
"ALG5",3
"ANKIB1",3
"AP1B1",3
"AP2A1",3
"API5",3
"ARFRP1",3
"ARHGAP20",3
"ARSA",3
"ATE1",3
"ATP13A1",3
"ATP2B3",3
"AZIN2",3
"BIN2",3
"BNIP3",3
"C19orf25",3
"C4orf47",3
"CAST",3
"CCNI",3
"CCT4",3
"CD164",3
"CHIC1",3
"CHPF",3
"CKB",3
"CNN3",3
"COG1",3
"CSK",3
"CTB-50L17.10",3
"DCUN1D4",3
"DHX30",3
"DIP2C",3
"DVL1",3
"DVL2",3
"EEF1A2",3
"EHMT2",3
"EXOC5",3
"EXTL3-AS1",3
"FAM162A",3
"FAM204A",3
"FAM3C",3
"FAM69B",3
"FBXO30",3
"FIS1",3
"GLMN",3
"GOPC",3
"GPM6A",3
"GTF2IRD1",3
"HBEGF",3
"HILPDA",3
"HLA-E",3
"IER3",3
"INPP5J",3
"JKAMP",3
"JMJD8",3
"KB-1460A1.5",3
"LAPTM5",3
"LRRC8A",3
"LYPLA2",3
"MAK16",3
"MAP3K10",3
"MAP3K14",3
"MPHOSPH10",3
"MSTO1",3
"MXI1",3
"NAT14",3
"NCBP1",3
"NDUFA11",3
"NEBL",3
"NMNAT2",3
"NOL3",3
"NUCB1",3
"NUMA1",3
"NUS1",3
"OGFR",3
"OPA1",3
"P4HB",3
"PACSIN3",3
"PALM",3
"PCDH19",3
"PCNX3",3
"PDZD4",3
"PEX16",3
"PIGL",3
"PIN1",3
"PLA2G6",3
"PLXNC1",3
"PMP22",3
"PNPLA6",3
"POLR1C",3
"POLR2B",3
"PPIG",3
"PPP1R12C",3
"PRKAA2",3
"PRKACB",3
"PRPF8",3
"PSD",3
"PTOV1",3
"PTPN23",3
"PUS10",3
"PYCR2",3
"RAB3A",3
"RFNG",3
"RHOT2",3
"RMND5A",3
"RNF141",3
"SBF1",3
"SDAD1P1",3
"SECISBP2L",3
"SELO",3
"SH3GLB2",3
"SHARPIN",3
"SLC2A1",3
"SNX13",3
"SPOPL",3
"STK25",3
"SYT4",3
