gene,frequency
C1R,99
HLA-DRA,84
SERPING1,84
LIX1,71
PTGS1,68
B2M,66
MAOB,58
APOBEC3C,56
F5,36
TMEM98,34
HLA-DPA1,23
C1S,19
ANKRD35,17
CTSZ,17
TMSB4X,17
ARSD,13
CCND1,12
GYG2,11
HLA-DMB,9
FGF1,8
SCRG1,8
COPZ2,7
CFB,6
HLA-DMA,6
SCYL1,6
ACAP3,5
ACOX2,5
CEP57,5
CUL4B,5
GPX4,5
HIST1H2AC,5
JMJD8,5
MCRIP1,5
NCOR2,5
SERPINA5,5
SHARPIN,5
SRPRB,5
TAB3,5
ZNF268,5
ACAP2,4
ACTB,4
ADGRB1,4
ADGRB3,4
AK3,4
AP1B1,4
ARHGEF12,4
ASPSCR1,4
ATP1B1,4
BAP1,4
BRSK2,4
C3,4
CARM1,4
CLIP2,4
COMMD7,4
CUBN,4
CYB5R3,4
CYP4F12,4
DAAM2,4
DGCR2,4
EHMT2,4
ELMOD2,4
FASTKD2,4
FBXO28,4
FBXW5,4
FKBP8,4
GIT1,4
GPS1,4
HDAC5,4
KDM6B,4
KIAA1429,4
KIF2A,4
LGALS3,4
MIR100HG,4
NDUFS1,4
NR2E1,4
NRL,4
NUCB1,4
OSBPL10,4
PACS2,4
PALM,4
PARL,4
PKN1,4
PPP2R1A,4
PPP6R1,4
PRKAB1,4
PSMD8,4
PXN,4
ROBO2,4
SIRT2,4
SLC1A1,4
SLC25A40,4
SNX10,4
SUPT6H,4
SYNJ2BP,4
TIMP4,4
TMA7,4
TMEM129,4
TMEM170B,4
TMEM184B,4
TUFM,4
U47924.6,4
UBXN4,4
XXbac-BPG283O16.9,4
ZBED5,4
AC009506.1,3
ACTR2,3
AFAP1L2,3
AGPAT3,3
AIPL1,3
AKAP6,3
AP000997.2,3
APLP1,3
ARFGEF1,3
ARMCX5,3
ASB8,3
BCAP31,3
BRPF1,3
C4orf3,3
CACFD1,3
CASD1,3
CCDC85C,3
CCNT2,3
CERS6,3
CHD9,3
CLDN15,3
CLUH,3
COPS3,3
CPLX2,3
CSK,3
CTD-2561B21.8,3
CTSD,3
CYP27A1,3
DICER1,3
DMPK,3
EEF1D,3
EFNA3,3
EIF4A3,3
ERCC8,3
EVI5L,3
FAM57B,3
FBXO3,3
FBXO4,3
FBXO44,3
FKBP10,3
FRYL,3
GFAP,3
GGA1,3
GLMN,3
GNB2,3
GPAA1,3
GRAMD1A,3
GRINA,3
GTF2IRD1,3
GTPBP4,3
HFE,3
HILPDA,3
HINT3,3
IFT22,3
JRKL,3
KCTD3,3
KDM5D,3
LETM1,3
LITAF,3
LTBP3,3
LYPLA2,3
LZTR1,3
MAFF,3
9-Mar,3
MED15,3
MYBBP1A,3
MYNN,3
NAPA,3
NEK9,3
NMNAT2,3
NR1H2,3
NUMA1,3
OTUB1,3
PCGF5,3
PDE6G,3
PIK3CA,3
PIK3CB,3
PIP5K1C,3
PITPNM1,3
PKD1,3
PMM2,3
PPFIA3,3
PPM1A,3
PPP1R12A,3
PPP2R5E,3
PRKCSH,3
PRRC2A,3
QKI,3
RAB2A,3
RANGAP1,3
RBM3,3
RMND5A,3
RP11-110I1.12,3
RPL35,3
RPL36A,3
RPL4,3
RPLP0,3
SAMD7,3
SCRT1,3
SDAD1P1,3
9-Sep,3
SH2B1,3
SLC25A22,3
SLC25A39,3
SLC30A9,3
SLC35A5,3
SMC3,3
SMIM13,3
SSNA1,3
STAC2,3
STK35,3
STK38,3
SYNGR1,3
TAF6,3
TATDN3,3
TCERG1,3
TDRD7,3
THOP1,3
TMEM106B,3
TMEM130,3
TMEM199,3
TMEM259,3
TMTC1,3
TPP2,3
TRIM28,3
TSC22D4,3
UBE2W,3
UBL3,3
UCHL5,3
UFL1,3
UTP11,3
YLPM1,3
ZER1,3
ZNF248,3
ZNF395,3
ABHD14A,2
ABI2,2
AC020951.1,2
ACIN1,2
ACTR1B,2
ADCY8,2
ADGRB2,2
AES,2
AGAP3,2
AGPS,2
AHCTF1,2
AHNAK,2
AHSA1,2
AIP,2
AKAP1,2
AKAP12,2
AKT1,2
ALS2,2
AMPD2,2
ANKRD46,2
APBB1,2
ARHGAP5,2
ARID4B,2
ARMC6,2
ASIC4,2
ATAD3A,2
ATG4B,2
ATG4D,2
ATP11B,2
ATP13A1,2
ATP13A2,2
ATP5B,2
ATP6V1D,2
AURKAIP1,2
B4GALT7,2
BCAR1,2
BCL3,2
BCL6,2
BNIP3L,2
BRAT1,2
BRCA1,2
BRSK1,2
BRWD1,2
BTBD2,2
C14orf37,2
C18orf21,2
C2CD5,2
C2orf68,2
C3orf35,2
C4orf47,2
C6orf48,2
C7orf55-LUC7L2,2
C8orf48,2
C9orf114,2
CACNA2D3,2
CAMK2B,2
CAMSAP3,2
CAMTA2,2
CASP8AP2,2
CCNT1,2
CCT6A,2
CD164,2
CD302,2
CD74,2
CDC27,2
CDC37,2
CDC42SE2,2
CDC73,2
CDK12,2
CDO1,2
CEL,2
CENPT,2
CEP19,2
CHUK,2
CIAPIN1,2
CIC,2
CIRBP,2
CKB,2
CLEC2L,2
CLIC4,2
CLIP3,2
CLPP,2
CLU,2
CNGA1,2
CNTN4,2
CNTNAP2,2
COL18A1,2
COMT,2
COPB1,2
COX8A,2
CPSF3L,2
CRB2,2
CROT,2
CTB-131B5.5,2
CTD-2383M3.1,2
CTDSPL2,2
CUL3,2
CWC25,2
CXXC1,2
CYC1,2
CYP4X1,2
CYTH1,2
DAB2IP,2
DCC,2
DCTN4,2
DDAH2,2
DDI2,2
DDX1,2
DDX39A,2
DDX42,2
DGAT1,2
DHDDS,2
DHX29,2
DHX35,2
DICER1-AS1,2
DIS3,2
DIS3L,2
DLG2,2
DLG4,2
DLGAP1,2
DMXL1,2
DNAJA2,2
DNASE1,2
DPF2,2
DPP6,2
DPP7,2
DSTN,2
DYNLL1,2
EBF3,2
ECE1,2
ECI1,2
EDF1,2
EDIL3,2
EEF1G,2
EEF2,2
EFNA1,2
EIF4G2,2
ELAVL3,2
ELK4,2
ELOVL5,2
ENO1P4,2
EPB41L3,2
EPS8L2,2
ERAL1,2
ERBIN,2
ERLEC1,2
ESF1,2
ETNK1,2
EXOC5,2
FAM134B,2
FAM162A,2
FAM179B,2
FAM199X,2
FAM3A,2
FAM50A,2
FAM69C,2
FAM8A1,2
FAR2,2
FARSA,2
FARSB,2
FAT3,2
FBXW2,2
FCF1P2,2
FEM1B,2
FGF9,2
FKBP2,2
FKTN,2
FMR1,2
FUT9,2
FYCO1,2
G2E3,2
GABRG2,2
GACAT2,2
GAD1,2
GADD45B,2
GAPDH,2
GATB,2
GCC2,2
GDAP2,2
GDF15,2
GGTA2P,2
GIPC1,2
GMFB,2
GNA11,2
GNAI2,2
GNB3,2
GNG4,2
GOLGA4,2
GOLGB1,2
GOLM1,2
GPC1,2
GPI,2
GPM6A,2
GPR137,2
GPR162,2
GPRC5A,2
GRM3,2
GRN,2
GUCY1A3,2
GUK1,2
HACL1,2
HBEGF,2
HNRNPM,2
HOMER3,2
HSF4,2
HSPA12A,2
HSPA8,2
IBTK,2
IFI16,2
IGFBP5,2
IL1R1,2
INTS8,2
IP6K1,2
IPO7,2
ITGA10,2
ITSN1,2
KANSL1L,2
KAZN,2
KCNC4,2
KCNH2,2
KCNJ10,2
KIF9,2
KIFC3,2
KLC2,2
KPNA4,2
L3MBTL2,2
LA16c-380H5.5,2
LAMB2,2
LAMP2,2
LAMTOR4,2
LANCL1,2
LARP4,2
LARS2,2
LCTL,2
LEMD3,2
LINC00641,2
LINC01411,2
LLGL2,2
LMAN1,2
LMBRD2,2
LMOD1,2
LTV1,2
LZTS2,2
MAGED1,2
MAK16,2
MAPK10,2
MAPK8IP3,2
11-Mar,2
6-Mar,2
MATR3,2
MECR,2
MED29,2
MFSD6,2
MICU3,2
MINPP1,2
MLST8,2
MMGT1,2
MOB4,2
MORC3,2
MRPL35,2
MRPL40,2
MYH9,2
NARF,2
NBEAL1,2
NCAPH2,2
NCDN,2
NCKAP1,2
NCS1,2
NDUFA1,2
NDUFA3,2
NDUFA5,2
NELFB,2
NFX1,2
NGLY1,2
NIPBL,2
NIT2,2
NKIRAS1,2
NLK,2
NME3,2
NME6,2
NOL3,2
NOM1,2
NPAT,2
NPDC1,2
NRARP,2
NRCAM,2
NSD1,2
NUBP2,2
NXNL1,2
OSMR,2
PABPC1L,2
PAK1IP1,2
PAK3,2
PANK3,2
PAQR4,2
PARP2,2
PAXBP1,2
PCDH11Y,2
PCDH19,2
PCYOX1L,2
PDCD2,2
PDE4A,2
PDPN,2
PDZD4,2
PFKFB3,2
PHB2,2
PHF20L1,2
PHF3,2
PHF6,2
PIDD1,2
PIK3R4,2
PIN1,2
PITPNM2,2
PKN2,2
PLA2G6,2
PLCB1,2
PLCD4,2
PLEKHO1,2
PLOD2,2
PLXNB2,2
PNPLA4,2
PNPLA6,2
PNRC1,2
POLR2E,2
POLR3A,2
POP4,2
POT1,2
PPIL1,2
PPP1R16A,2
PPP1R2,2
PPP1R37,2
PPP1R3B,2
PPP2R5B,2
PPP4R2,2
PPP6R2,2
PPT1,2
PRDX5,2
PRPF4B,2
PRPF8,2
PRR13,2
PSMB8-AS1,2
PSMC2,2
PTPRU,2
PYGO1,2
QRICH2,2
RAB10,2
RAB11B,2
RAB1A,2
RAB3C,2
RALYL,2
RANGRF,2
RAP1A,2
RARRES2,2
RASGRP1,2
RAVER2,2
RB1,2
RB1CC1,2
RBBP5,2
RBMS1,2
RBPJ,2
RCBTB2,2
RCHY1,2
RCN2,2
RD3,2
RELA,2
RGL1,2
RIMS1,2
RIOK3,2
RMDN1,2
RNASEH2C,2
RNF170,2
RNF24,2
