gene,frequency
C1R,94
HLA-DRA,70
B2M,64
SERPING1,43
APOBEC3C,39
PTGS1,39
LIX1,29
TMEM98,29
C3,22
HLA-DPA1,21
F5,17
DAAM2,16
CCND1,14
ISLR,13
MAOB,13
FGF1,12
SYNC,12
RNASET2,9
SERPINA5,9
VSTM4,9
CUBN,8
HFE,7
COPZ2,6
MCRIP1,6
PPP1R16A,6
CAMTA2,5
CTSZ,5
CUL5,5
DHX36,5
EHMT2,5
FAM69C,5
GPS1,5
NCOR2,5
NEURL4,5
PLCG2,5
PLD3,5
THEM6,5
TRAF7,5
ABHD8,4
AES,4
ARSD,4
ATG4D,4
ATP13A2,4
CASP4,4
CYB5R3,4
ENPP7P11,4
FAM3C,4
GDPD2,4
GRK6,4
HAGH,4
HDAC5,4
IGSF8,4
KPNA5,4
LCTL,4
LYPLA2,4
MIER1,4
MLLT1,4
OSMR,4
PABPC1L,4
PCDH9,4
POLR2B,4
PPARD,4
SCAF1,4
SCYL1,4
SLC27A4,4
SLC9A9,4
SPSB3,4
TRMT5,4
VPS28,4
ACTN4,3
ANKRD13D,3
AQP4,3
ATP13A1,3
BIN1,3
BRSK1,3
BRSK2,3
BTN3A3,3
C16orf58,3
C1RL,3
C3orf18,3
C7,3
C9orf114,3
CADPS2,3
CCDC43,3
CDC40,3
CDK19,3
CHPF,3
CLASP2,3
COMT,3
CYP27A1,3
DARS-AS1,3
DHX34,3
DPY19L3,3
ECSIT,3
EEF1A2,3
EFNA1,3
ELMOD2,3
ERO1A,3
FAM199X,3
FASTKD2,3
FBXO28,3
FKBP8,3
FMR1,3
G2E3,3
GAB3,3
GCC2,3
GIT1,3
GPAA1,3
GPRC5A,3
GRIA4,3
GRN,3
IGFBP7,3
JADE2,3
KCNE3,3
KCNJ9,3
KIAA0513,3
KLC2,3
LINC01411,3
LRP3,3
LRRN2,3
LZTR1,3
MAP2K7,3
MAPK3,3
MICU3,3
MRPL28,3
NAA30,3
NAA50,3
NCKIPSD,3
NFIA,3
NKIRAS2,3
NMNAT2,3
NR2E1,3
PALM,3
PDZD4,3
PER1,3
PEX7,3
PFKP,3
PIP5K1C,3
PNKD,3
PNPLA6,3
POT1,3
PPFIBP1,3
PPP1R37,3
PPP6R2,3
PRKAR1A,3
PRR12,3
PSD,3
PTAR1,3
PTGES2,3
PTOV1,3
QKI,3
RAB11FIP5,3
RAB1B,3
RANBP3,3
RBFOX3,3
RILPL2,3
ROBO2,3
RP11-274H2.5,3
RPS28,3
RUSC2,3
SDAD1P1,3
SEMA4B,3
SETX,3
SGSM3,3
SHARPIN,3
SIRT2,3
SLC16A3,3
SLC1A3,3
SLC2A1,3
SNX13,3
SV2A,3
SVOP,3
TAB1,3
TMEM129,3
TRIM22,3
TTYH1,3
TUBGCP6,3
U2AF2,3
UBE2K,3
USP1,3
USP5,3
VAPA,3
VEZT,3
WDR46,3
XPO6,3
YEATS2,3
ZNF358,3
ZNF891,3
ABCA2,2
ABHD13,2
ABTB1,2
ABTB2,2
AC007743.1,2
ADAM23,2
ADAMTS9,2
ADAMTSL1,2
ADGRG1,2
ADM,2
ADORA2B,2
AKAP9,2
AKT1,2
AKT2,2
ALDH1L2,2
ALG1,2
AMPD2,2
AMPH,2
ANGPT2,2
ANGPTL4,2
AP001046.5,2
AP1B1,2
AP5M1,2
APPBP2,2
ARHGEF11,2
ARIH1,2
ARL1,2
ARL4C,2
ARMCX5,2
ASAH2B,2
ASIC4,2
ATAD3A,2
ATF2,2
ATG2A,2
ATOH8,2
ATP1A3,2
AURKAIP1,2
B4GALT1,2
BAG6,2
BANF1,2
BCAT2,2
BRK1,2
BSG,2
C1orf159,2
C2CD2L,2
C5orf15,2
C7orf43,2
CACYBP,2
CAMSAP3,2
CC2D1A,2
CCAR2,2
CCNA1,2
CCNT2,2
CCPG1,2
CCT3,2
CCT4,2
CCT5,2
CD164,2
CD93,2
CDK18,2
CECR2,2
CELF4,2
CFB,2
CHMP1A,2
CIRBP,2
CIT,2
CKB,2
CLCF1,2
CLCN4,2
CLDN1,2
CLIC5,2
CLIP4,2
CLPP,2
CLRN1,2
CLUH,2
CNN3,2
CNTN4,2
COASY,2
CORO7,2
CRELD1,2
CSDE1,2
CTB-50L17.10,2
CTDSP2,2
CTNNB1,2
CTSD,2
CUL4B,2
CXCL12,2
CYP21A2,2
CYP4F12,2
DARS,2
DBNDD2,2
DCAF12,2
DCAF15,2
DCUN1D1,2
DCUN1D4,2
DDX17,2
DDX21,2
DIS3L,2
DNAJB2,2
DNAL1,2
DPH2,2
DTX3,2
DTX3L,2
DTX4,2
DYNC2LI1,2
EDIL3,2
EEF2,2
EIF3G,2
EOGT,2
ERCC6L2,2
ERLIN2,2
ESD,2
ESPN,2
ESRRA,2
EXOC5,2
FABP5,2
FADS3,2
FAM131C,2
FAM13B,2
FAM234A,2
FASTK,2
FAT3,2
FBL,2
FBXO44,2
FBXO9,2
FBXW5,2
FEZF1,2
FGF11,2
FLNA,2
FLT1,2
FNTB,2
FPGS,2
FSIP1,2
FXR2,2
G3BP2,2
GABPA,2
GCC1,2
GDF15,2
GGA3,2
GLIS3,2
GNA11,2
GNAQ,2
GOT1,2
GPR22,2
GPX4,2
GRIA2,2
GRIN2B,2
GRK2,2
GTF3C2,2
GYG2,2
GZF1,2
HABP2,2
HACD4,2
HDC,2
HEATR6,2
HECTD1,2
HGS,2
HIF1A-AS2,2
HLA-DMA,2
HSPA5,2
IER3IP1,2
IFIT2,2
IFT46,2
IGFBP5,2
IGIP,2
ILVBL,2
IMPAD1,2
INPP5J,2
IP6K1,2
IRF2BP2,2
IRGQ,2
JMJD8,2
KIAA0040,2
KIAA1715,2
KIF1B,2
KIF6,2
KLHL17,2
KPNA1,2
KPNB1,2
KPTN,2
LAMB2,2
LAMP2,2
LANCL1,2
LANCL2,2
LDHA,2
LEO1,2
LGMN,2
LIN7A,2
LINC00950,2
LITAF,2
LMAN1,2
LMLN,2
LRRC75B,2
MAN2A2,2
MAP3K10,2
MAP4K3,2
MAP4K5,2
MAPK1IP1L,2
MAPK8,2
MAPK8IP2,2
1-Mar,2
5-Mar,2
MED1,2
MED16,2
MET,2
MFGE8,2
MIA3,2
MINA,2
MIR210HG,2
MLST8,2
MMADHC,2
MOB3B,2
MON1A,2
