"gene","frequency"
"SERPING1",94
"C1R",93
"HLA-DRA",81
"CFB",65
"CTSZ",59
"MR1",54
"C1S",47
"B2M",46
"HLA-DPA1",31
"TMEM98",31
"PTGS1",26
"MAOB",24
"PSMB9",24
"ACOX2",23
"GAB3",22
"PLCG2",20
"SERPINA5",19
"LCTL",17
"C2",16
"CCND1",16
"DAAM2",16
"F5",16
"ISLR",16
"ARSD",14
"C1RL",13
"HFE",13
"RILPL2",13
"ANKRD35",12
"PABPC1L",12
"S100B",12
"COPZ2",11
"FBLN5",11
"FGF1",11
"HLA-B",11
"SYNC",11
"TMSB4X",11
"APOBEC3C",9
"LIX1",9
"POM121L9P",8
"LINC01411",7
"BTBD19",6
"ACTN4",5
"CUBN",5
"CYP21A2",5
"CYTH4",5
"DNAJC4",5
"EXOC5",5
"HLA-DOA",5
"KMT5C",5
"LMAN1",5
"ORC4",5
"PKD1",5
"PODN",5
"SCRG1",5
"SCRIB",5
"SERBP1",5
"YAF2",5
"AKT1",4
"ANO3",4
"ARHGEF10L",4
"C3",4
"CACTIN",4
"CDC73",4
"CENPT",4
"COPE",4
"CTDSP1",4
"CXCL12",4
"FBXW5",4
"GALNT15",4
"GCA",4
"GCN1",4
"GIPC1",4
"GNAI2",4
"GNB2",4
"GTDC1",4
"HLA-DMB",4
"HMGA1",4
"IGFN1",4
"INF2",4
"OTUB1",4
"PSMB8",4
"PSMB8-AS1",4
"R3HDM4",4
"RAB33B",4
"RBM10",4
"RHOT2",4
"SCYL1",4
"SORBS3",4
"STX3",4
"SYMPK",4
"TIMP4",4
"TLN1",4
"TMEM259",4
"TSPAN9",4
"TUBA1B",4
"UBE2D1",4
"UBE2D3",4
"USP20",4
"XYLT2",4
"ZC3H3",4
"AANAT",3
"ABCC3",3
"ACBD5",3
"AGAP3",3
"AGPAT3",3
"AHDC1",3
"APLN",3
"ARFGAP1",3
"ARHGAP10",3
"ARHGAP5",3
"ARHGEF17",3
"B3GAT3",3
"BABAM1",3
"BAG6",3
"BTG2",3
"CASKIN1",3
"CCDC124",3
"CCDC150P1",3
"CCSER2",3
"CERS6",3
"CHMP5",3
"CHPF",3
"CIC",3
"CLIP2",3
"CLIP4",3
"CLUH",3
"CNOT7",3
"CSK",3
"CTDSPL2",3
"CXXC1",3
"CYP4F12",3
"DCLK1",3
"DHX30",3
"DIS3",3
"DPYD",3
"DTNA",3
"DUS1L",3
"DVL1",3
"ERCC6",3
"FOXP4",3
"FXYD5",3
"GDPD2",3
"GDPD5",3
"GGA1",3
"GOLT1B",3
"GPAA1",3
"GSK3A",3
"GTF3C5",3
"GYG2",3
"HCFC1",3
"HDAC11",3
"HDAC5",3
