from,to,weight
S100B,SYNC,0.030306376621429553
S100B,PSMB8-AS1,0.016709948918943947
S100B,C1S,0.048883443359101414
S100B,BTN3A3,0.028358580563423042
S100B,HCP5,0.04476607415594
S100B,HLA-DMB,0.03520539525936853
S100B,LCTL,0.05022584704707377
S100B,C3,0.045220085281991416
S100B,PTGS1,0.08247124052594823
S100B,HLA-DQA1,0.021630883243395585
S100B,MOXD1,0.0422499258379393
S100B,F5,0.07354423366077908
S100B,CFB,0.023588127425149756
S100B,C7,0.03324544771154787
S100B,CYP21A2,0.002401288465585461
S100B,PSMB8,0.029770236901086638
S100B,MR1,0.046228882982833806
S100B,FGF1,0.046219463249781934
S100B,ANKRD35,0.03673012087863547
S100B,B2M,0.05122503548865364
S100B,CXCL12,0.002664602847889218
S100B,C1R,0.031027012091878265
S100B,RARRES3,0.010418924350169528
S100B,HLA-B,0.03221719666211808
S100B,HLA-DMA,0.03178714544404557
S100B,PTX3,0.04356039143830311
S100B,CCDC3,0.023773201997440804
S100B,HLA-DRA,0.044879904070212785
S100B,HLA-DPA1,0.05548998370923862
S100B,SERPING1,0.03551739473029531
S100B,PSMB9,0.015068490955464522
S100B,ISLR,0.07096671888827868
S100B,PLCG2,0.05632425430669288
S100B,GYG2,0.03993128309887242
S100B,PODN,0.022758769519237495
S100B,RNASET2,0.021179851682747317
S100B,TIMP4,0.04476428426278272
S100B,PABPC1L,0.02055663933600569
S100B,GDPD2,0.02077353914234211
S100B,BTBD19,0.0031787112013725396
S100B,CTSZ,0.04102222136413892
S100B,P2RY6,0.030737633304159254
S100B,GAB3,0.02954498949562572
S100B,TNFRSF11B,0.032506834539959846
S100B,NNMT,0.04188779402814643
S100B,VSTM4,0.023996215795013296
S100B,FBLN5,0.01625948605465873
S100B,LIX1,0.05115673332265009
S100B,CYP4F12,0.018253567044733885
S100B,TMEM98,0.047325164510421965
S100B,SERPINA5,0.06032200087912892
S100B,ENPP7P11,0.004090726855750915
S100B,IGFN1,0.02667614970405109
S100B,COPZ2,0.025820101440260493
S100B,LST1,0.02326167777939449
S100B,ACOX2,0.016286389551807195
S100B,HFE,0.025001063665781
S100B,SLC9A9,0.03896720881259399
S100B,SLC47A2,0.038561148043613935
S100B,SCRG1,0.09280974167088307
S100B,LINC01411,0.05240389095889294
S100B,CUBN,0.008070329844855775
S100B,ANO3,0.007614881550846201
S100B,TMSB4X,0.061524837648614675
S100B,APOBEC3C,0.027645796402745663
S100B,C1RL,0.01175757337577473
S100B,IGFBP7,0.027226226420228348
S100B,RILPL2,0.009647501869612858
S100B,TRIM22,0.019051764962850236
S100B,DAAM2,0.04399213708255763
S100B,CYTH4,0.006219308255925899
S100B,C2,0.03723438917415079
S100B,MAOB,0.05917602948757628
S100B,CCND1,0.03983286961426173
S100B,POM121L9P,0.008506455450216128
S100B,DLGAP1-AS2,0.011824348121483273
S100B,GALNT15,0.02903978908381578
S100B,PLEKHS1,0.0500183286997055
S100B,HLA-DOA,0.018017949668123007
S100B,ARSD,0.013049524076068256
S100B,AL022393.9,0.004641206318259217
S100B,TFEC,0.029235975575800884
S100B,C1orf131,0.0
S100B,CTIF,0.0009594437232644818
S100B,POLA2,0.015268135708809425
S100B,U2AF1L5,0.0
S100B,AC107982.4,0.003038206281099481
S100B,RP11-459O16.8,0.0012754108861532157
S100B,RPS19,0.00012060861691351628
S100B,PTBP3,0.00899434714387017
S100B,HRASLS5,0.05876006948640076
S100B,TPPP,0.0
S100B,OLFM2,0.0
S100B,BIRC2,0.002107625974224345
S100B,SCP2,0.009049373636039588
S100B,BNIP2,0.007782807828265384
S100B,PSD2,0.011437343058712994
S100B,MFSD12,0.0
S100B,RP11-88H9.2,0.016864591396613237
S100B,RUNDC3B,0.004506080444588148
S100B,RP1-266L20.9,0.0027760848346054397
S100B,KIAA0930,0.000964774940124991
S100B,LDLRAD4,0.004700997519687199
S100B,FPR3,0.017871114607616766
S100B,RP11-359J14.2,0.0
S100B,KBTBD11-OT1.1,0.0
S100B,RP11-337C18.10,0.0
S100B,FCGR1A,0.015115602926739463
S100B,GLDN,0.0132346989501211
S100B,SLC5A6,0.0
S100B,CCDC43,0.0063856594055466355
S100B,MMRN1,0.00769443343462178
S100B,CCDC28B,0.0016964201951457248
S100B,FAM24B,0.0
S100B,RAB1A,0.0
S100B,RP11-363N22.3,0.007868629517152892
S100B,TBC1D19,0.0013661066221051165
S100B,KITLG,0.0
S100B,MEX3B,0.0008236700591305335
S100B,LYN,0.013510980239889768
S100B,PDGFC,0.020043921354685974
S100B,ENTPD7,0.016395995318197902
S100B,RASGRF2,0.01036193403504909
S100B,SEPT4,0.0003558724458139989
S100B,RP11-111M22.4,0.0
S100B,RP11-231P20.2,0.0
S100B,UNC13A,0.007816664451769014
S100B,ARMCX6,0.017771266467202205
S100B,UQCR11,0.0002177257050534038
S100B,LA16c-390H2.4,0.0
S100B,HAUS3,0.0016006427745898547
S100B,UBQLN2,0.012755082023353816
S100B,CHAC1,0.0
S100B,LRRC56,0.0
S100B,RP11-650L12.2,0.0
S100B,FAM162A,0.0
S100B,PAN3,0.0
S100B,GAPDHP62,0.003175282216037824
S100B,RP11-344N10.5,0.0008010784875280845
S100B,ATP6V0E1,0.017593017018972097
S100B,SNHG14,0.0
S100B,KIF3A,0.0
S100B,PCDHA12,0.0
S100B,ZNF420,0.0
S100B,C7orf55-LUC7L2,0.0
S100B,PPIP5K2,0.0
S100B,DYNLL1,0.0
S100B,FBXO3,0.0002197497812556972
S100B,DYNLRB2,0.008091591317646559
