from,to,weight
S100B,SYNC,0.0
S100B,PSMB8-AS1,0.0
S100B,C1S,0.03900279303364968
S100B,BTN3A3,0.011524909619122009
S100B,HCP5,0.020098327230437002
S100B,HLA-DMB,0.0
S100B,LCTL,0.0
S100B,C3,0.0
S100B,PTGS1,0.03903027187921073
S100B,HLA-DQA1,0.018942685864466364
S100B,MOXD1,0.010230154088431375
S100B,F5,0.011956494796018896
S100B,CFB,0.004106419956775435
S100B,C7,0.0
S100B,CYP21A2,0.01191715746115079
S100B,PSMB8,0.006536197485254596
S100B,MR1,0.0
S100B,FGF1,0.0
S100B,ANKRD35,0.0
S100B,B2M,0.013392748684859334
S100B,CXCL12,0.0
S100B,C1R,0.027978265108671258
S100B,RARRES3,0.0
S100B,HLA-B,0.0
S100B,HLA-DMA,0.004136996412768468
S100B,PTX3,0.0
S100B,CCDC3,0.00890553551874993
S100B,HLA-DRA,0.01930507066750435
S100B,HLA-DPA1,0.029493193667247883
S100B,SERPING1,0.03296697724253866
S100B,PSMB9,0.0
S100B,ISLR,0.0
S100B,PLCG2,0.039522296551091456
S100B,GYG2,0.0
S100B,PODN,0.07328364763017725
S100B,RNASET2,0.015010551683719857
S100B,TIMP4,0.013211199574839268
S100B,PABPC1L,0.0
S100B,GDPD2,0.0
S100B,BTBD19,0.0
S100B,CTSZ,0.0012362963725243506
S100B,P2RY6,0.023110662589840084
S100B,GAB3,0.0
S100B,TNFRSF11B,0.0
S100B,NNMT,0.004918394486394074
S100B,VSTM4,0.004749417282683229
S100B,FBLN5,0.006074749269366896
S100B,LIX1,0.017367317810905922
S100B,CYP4F12,0.009348979184953836
S100B,TMEM98,0.00431783210578636
S100B,SERPINA5,0.0
S100B,ENPP7P11,0.0
S100B,IGFN1,0.019597541679681186
S100B,COPZ2,0.002310878875329022
S100B,LST1,0.0
S100B,ACOX2,0.024323645840362586
S100B,HFE,0.0
S100B,SLC9A9,0.056328793172870005
S100B,SLC47A2,0.03527825997447991
S100B,SCRG1,0.03725559869417506
S100B,LINC01411,0.018453758803017632
S100B,CUBN,0.012167193528027592
S100B,ANO3,0.020460712033474972
S100B,TMSB4X,0.0072296772183353146
S100B,APOBEC3C,0.0
S100B,C1RL,0.018662073341596565
S100B,IGFBP7,0.025398228343167267
S100B,RILPL2,0.0
S100B,TRIM22,0.000986260305647557
S100B,DAAM2,0.0
S100B,CYTH4,0.0
S100B,C2,0.0
S100B,MAOB,0.057852965402255305
S100B,CCND1,0.0
S100B,POM121L9P,0.0
S100B,DLGAP1-AS2,0.04569651308992032
S100B,GALNT15,0.0117057453121399
S100B,PLEKHS1,0.004568581589665355
S100B,HLA-DOA,0.0
S100B,ARSD,0.012849528188803465
S100B,SH3GLB2,0.00026220411657381455
S100B,ZNF121,0.0
S100B,CTD-2366F13.1,0.0
S100B,PPP1R3E,0.0
S100B,RALGAPA1P1,0.0
S100B,TDRD9,0.0
S100B,GMIP,0.0
S100B,CD274,0.0
S100B,SAMD9L,0.0
S100B,TBCC,0.012930587051969405
S100B,MRPS17,0.008111565538815056
S100B,RP11-681B3.4,0.0168366692211593
S100B,UBE2Q2P2,0.0
S100B,SLA2,0.0006238755026095987
S100B,ACTR1B,0.0
S100B,DNM2,0.0021992435561700406
S100B,RP5-906A24.1,0.0
S100B,MYSM1,0.0
S100B,PRC1,0.0
S100B,WASF1,0.0
S100B,LINC00893,0.0
S100B,C9orf16,0.001906772543993185
S100B,RSRC2,0.0
S100B,SH3TC2,0.035990457674246634
S100B,MESP2,0.0
S100B,NUTM2A,0.0
S100B,FER,0.0
S100B,GBP1P1,0.0
S100B,RPSA,0.02791782561368742
S100B,GHDC,0.0022803024193359892
S100B,FAM65A,0.021143046694250826
S100B,RGPD8,0.0
S100B,RP11-977G19.11,0.019878154202551013
S100B,HIST4H4,0.0
S100B,PARP11,0.0
S100B,UG0898H09,0.0
S100B,TRAF3IP1,0.0
S100B,MSTN,0.024686030643400553
S100B,H1F0,0.0
S100B,TIGD5,0.0
S100B,BCAS2,0.029092184946344
S100B,LMTK2,0.007106896826871505
S100B,KPNA5,0.0
S100B,TMLHE,0.0
S100B,FHOD1,0.0
S100B,MROH7,0.018342123483858642
S100B,SFRP2,0.0
S100B,PITRM1,0.0
S100B,MKX,0.0
S100B,AP3M1,0.025579064036185113
S100B,DOCK7,0.03537803680433182
S100B,SIGIRR,0.0
S100B,HIST1H1C,0.0
S100B,VPS37A,0.017198340607195068
S100B,F11R,0.0
S100B,NGDN,0.0
S100B,EIF2A,0.0
S100B,TMEM254-AS1,0.004387745896647473
S100B,GEMIN4,0.007468568212907271
S100B,VEZT,0.0
S100B,RP5-991G20.2,0.0
S100B,ABL2,0.0
S100B,ATP2C1,0.0
S100B,DGCR5.1,0.031152718194406265
S100B,RP11-11M20.4,0.023822860289606805
S100B,KIF26B,0.00104360219019942
S100B,TASP1,0.0
S100B,RP11-458J1.1,0.011413274299963047
S100B,EXOSC7,0.018441900313710576
S100B,HSD17B7,0.0
S100B,PDCD2,0.0
S100B,HNRNPCP1,0.0
S100B,RARS,0.0
S100B,C1orf123,0.0
