from,to,weight
C1R,SERPING1,0.3263207413990842
C1R,HLA-DRA,0.11889879229654161
C1R,B2M,0.08500780134861312
C1R,APOBEC3C,0.0040670826219073655
C1R,HLA-DPA1,0.08496607982031526
C1R,MAOB,0.06134736834572826
C1R,BRCA1,0.03645261930713651
C1R,LINC01024,0.00905650817277698
C1R,CMPK2,0.02019810406028894
C1R,NRAV,0.0
C1R,NUP214,0.007580203532066253
C1R,SMDT1,0.012711127441085664
C1R,EMCN,0.0
C1R,TMEM163,0.0
C1R,ZMYM4,0.08101547620111141
C1R,MAK16,0.050434475739908766
C1R,VRK2,0.00033140449043273407
C1R,THSD1,0.0
C1R,TCTN2,0.0
C1R,ATG2B,0.009698792081682537
C1R,S100A8,0.04444109489409776
C1R,SMPD1,0.02762845221194253
C1R,SIN3B,0.02451634002268749
C1R,PSPC1,0.004206196786627388
C1R,CTD-2008E3.1,0.006324785336243698
C1R,FOXO6,0.0
C1R,CA14,0.0
C1R,CTD-2366F13.1,0.01579194975734547
C1R,PKD1P5,0.018161287790840787
C1R,HERC2P4,0.0
C1R,C2orf71,0.0
C1R,RP11-42O15.3,0.01521886622229878
C1R,CXorf40A,0.0
C1R,NACC2,0.0862513610551286
C1R,EEF2K,0.022147715406194403
C1R,UBTD1,0.017198340607195068
C1R,PLA2R1,0.006044172813373854
C1R,UBIAD1,0.0
C1R,IQCG,0.013784996526888124
C1R,ZNF772,0.025117615820297458
C1R,IKBKB,0.03013619099315566
C1R,TCAF2,0.06614577049070046
C1R,IQSEC1,0.0014870458564033456
C1R,TAL1,0.0
C1R,GNE,2.3313122001857972e-05
C1R,SBF1,0.030960024012081335
C1R,CCSER2,0.056358656211860786
C1R,TTLL9,0.0
C1R,TAF12,0.0
C1R,RP11-488L18.10,0.010772661167485034
C1R,PYM1,0.0
C1R,DHRS12,0.01328111336570037
C1R,AC007000.10,0.008092847572129061
C1R,DNAAF3,0.02751681689278353
C1R,RP11-616M22.1,0.007930729845797173
C1R,SPRYD3,0.020029126856578074
C1R,DLGAP1-AS2,0.02550676605189423
C1R,SDHAP1,0.0
C1R,CARD11,0.0
C1R,MTX1,0.0
C1R,SCP2,0.03667279233502247
C1R,PLCG1,0.0416408851007078
C1R,RP5-1057I20.4,0.0
C1R,RAB18,0.004037219582916534
C1R,MTMR12,0.0
C1R,SLFNL1,0.025228537722454203
C1R,RP11-973D8.5,0.010381126742458427
C1R,IBA57,0.03086024718222941
C1R,SMAP2,0.0
C1R,SRRM4,0.0469213548297498
C1R,VIM,0.12968671115105873
C1R,PRDM11,0.0
C1R,IRX3,0.003675548196880768
C1R,PGGT1BP1,0.00543175194345912
C1R,CPS1,0.0
C1R,LINC01011,0.030247112895312428
C1R,TMEM79,0.03907199340750859
C1R,CLEC5A,0.02953491519554574
C1R,ZZEF1,0.0
C1R,C12orf4,0.021103709359382765
C1R,LARS,0.03837851367442789
C1R,VPS52,0.0017370819232801389
C1R,MROH7,0.0
C1R,RBPJ,0.0
C1R,PILRB,0.006004835478505793
C1R,ANKRD31,0.0
C1R,ARPP21,0.046309647376837265
C1R,VSTM2B,0.003424798713001755
C1R,COG4,0.0
C1R,ZNF106,0.036923541818901465
C1R,LINC00998,0.011135045970522991
C1R,WDR34,0.003693552746564552
C1R,ANKRD16,0.003636210862012689
C1R,SLC17A7,0.0
C1R,SRGAP2B,0.0
C1R,ACSF3,0.0
C1R,CACNA2D3,0.0
C1R,RBPMS,0.0
C1R,DAZAP1,0.0021992435561700497
C1R,PRPF18,0.008805758688897958
C1R,FAM175B,0.029436100310924654
C1R,CCDC121,0.016643261621832196
C1R,PLEKHS1,0.06925478506952355
C1R,SERF2,0.06751043981225224
C1R,RP11-401P9.6,0.0
C1R,SMAD1,0.009336407278644614
C1R,RP5-967N21.11,0.012891963134103528
C1R,AC114730.3,0.0
C1R,QSOX2,0.0
C1R,OLFM1,0.026342457560126945
C1R,GPR4,0.02365316966889374
C1R,ASL,0.0
C1R,NCAPG2,0.0
C1R,RB1,0.0
C1R,TNFSF13B,0.005461614982449943
C1R,BCAS3,0.0
C1R,RP3-508I15.9,0.010912488749207258
C1R,ZBED6,0.0
C1R,TTC1,0.020209962549595957
C1R,SPRTN,0.0023800792491879327
C1R,HSDL2,0.0
C1R,C1QTNF5,0.09056369948537905
C1R,SETD5,0.025047702029436326
C1R,MED26,0.0
C1R,TMEM189-UBE2V1,0.005073225043300492
C1R,FOXD1,0.020711461517353955
C1R,DNMT3B,0.0
C1R,IRF5,0.04099788777479999
C1R,NDUFA2,0.020448853544167915
C1R,AMT,0.0
C1R,USP43,0.04681043292759307
C1R,AC016723.4,0.0804208113526518
C1R,OPLAH,0.0
C1R,AMOTL1,0.0028116644260848104
C1R,HPS4,0.0
C1R,LEFTY2,0.07805147331915646
C1R,HINT3,0.0
C1R,PLAGL1,0.0006632128374776687
C1R,LUM,0.0
C1R,CRTC2,0.03217372067960606
C1R,ZNF783,0.0
C1R,ASH2LP1,0.0
C1R,TMEM151A,0.0076918388512252165
C1R,SNTG1,0.01930507066750435
C1R,AC007326.1,0.0
C1R,MZT2B,0.011847243670289687
C1R,TCEANC2,0.0
C1R,SPRY1,0.0770409070750648
C1R,VSX2,0.016474284418121363
C1R,RP11-265E18.1,0.026373034016119994
C1R,VWC2,0.02124211010710056
C1R,TPST1,0.03851101688999759
C1R,RAB3A,0.02643037590067182
C1R,ICA1L,0.044731181712844896
C1R,GLB1L2,0.039322742891387624
C1R,AC010127.3,0.04375947365032413
C1R,ALDH1L1,0.030860960599231612
C1R,CUZD1,0.0
C1R,ATP1B1,0.07052206175465316
C1R,PLSCR4,0.0
C1R,LTBR,0.17627956826721666
C1R,RP11-196E1.3,0.0
C1R,FAAH,0.0
C1R,ZDHHC9,0.0
C1R,POLR3GL,0.04135366162868767
C1R,KLHL11,0.03738499003478919
C1R,BMPER,0.0
C1R,RP11-45M22.2,0.0
C1R,SLC48A1,0.031110996666108386
C1R,CDKAL1,0.028883870407765067
C1R,ELOVL2,0.05503403764217937
C1R,GALE,0.04426025920107984
C1R,ARRDC1-AS1,0.00993768307625451
C1R,ACE,0.0
C1R,PTCH1,0.02027987634045709
C1R,MAFG,0.007160476844476395
C1R,RP11-54D18.2,0.0
C1R,HCG4,0.015611114064327587
C1R,ASTN1,0.032073230432751884
C1R,LINC01057,0.11469505500002901
C1R,HIF1A,0.04904065679636837
C1R,PTPN20,0.016042699241224447
C1R,HDC,0.0
C1R,ST7-AS1,0.0
C1R,SNRNP48,0.007761039225084136
C1R,BIRC3,0.01668569656713226
C1R,KCNJ4,0.018230488164699705
C1R,HPS5,0.016935732634009035
C1R,FOXJ2,0.019666742053540107
C1R,DIXDC1,0.014829002573699762
C1R,REV1,0.027055368676895886
C1R,TRIP11,0.027736989920669537
C1R,IKZF1,0.02655386970913786
C1R,MVB12A,0.005793423329494868
C1R,CDR2L,0.03688420448403337
C1R,ZNF85,0.009668215625689522
C1R,GHITM,0.017910538306961755
C1R,PRUNE1,0.0021693805171792094
C1R,KIF13B,0.007148618355169357
C1R,RNF13,0.04889844502121638
C1R,RHOBTB3,0.0
C1R,KCNAB3,0.0
C1R,HBP1,0.0
C1R,SBF2,0.0
C1R,PPP6C,0.024616830269541642
C1R,VTI1A,0.030456140850893546
C1R,MIR1302-9,0.022135856916887336
C1R,TRIM41,0.0
C1R,CBX2,0.02046071203347495
C1R,CTD-2270P14.5,0.0
C1R,MAATS1,0.06507118798789581
C1R,ZRANB1,0.0
C1R,NOL7,0.0
C1R,NOP16,0.0
C1R,RP11-177G23.2,0.0
C1R,RP1-130H16.18,0.025005980501138475
C1R,KCNK12,0.0
C1R,FGFR3,0.022205057290746247
C1R,LINC01089,0.026973596396727716
C1R,ATF7IP,0.04609752181082418
C1R,KIAA0430,0.0
C1R,RP11-526I2.5,0.03013619099315566
C1R,DNAJC24,0.03304803610570463
C1R,NOX4,0.03966665825596824
C1R,RP11-758H9.2,0.024656167604409748
C1R,SNRK,0.032115665378051966
C1R,CPEB4,0.0
C1R,KHDRBS3,0.005542673845615882
C1R,VSTM2A-OT1,0.013060940337814372
C1R,STAM2,0.0
C1R,ZNF778,0.00958715676252359
C1R,CADPS2,0.019054321183625336
C1R,RAB23,0.020017268367271062
C1R,RBMS3,0.0
C1R,LIF,0.11999495611275927
C1R,CDH3,0.012961163507962437
C1R,ADAMTS15,0.0
C1R,RPL3P4,0.03016676744914869
C1R,CTB-25B13.12,0.0010554606795064676
C1R,CTBP2,0.0
C1R,RP11-120K24.3,0.0
C1R,RP11-98D18.9,0.0
C1R,FBXO27,0.010811998502353103
C1R,CACHD1,0.0
C1R,SEC24C,0.0
C1R,TMEM123,0.007330167465189469
C1R,SLU7,0.035878822355087665
C1R,COL2A1,0.0
C1R,ST6GALNAC3,0.0
C1R,RP11-69E11.4,0.07282148599728734
C1R,NTHL1,0.0
C1R,PPP5D1,0.0
C1R,RP11-68I18.10,0.0
C1R,RAD54L2,0.0
C1R,GHET1,0.0
C1R,MAD2L2,0.05301522592241497
C1R,OTUB1,0.040215776284172194
C1R,TIMMDC1,0.013573584377877208
C1R,ZNF674,0.02282933664996808
C1R,TAB3,0.06783348728042216
C1R,SEPT7P2,0.0
C1R,ZFP91,0.012780327814944573
C1R,C17orf100,0.04495373893416062
C1R,PRKAR1B,0.005612587636476976
C1R,PRKCE,0.0
C1R,RP11-973H7.3,0.02027987634045709
C1R,C11orf65,0.052652841119376986
C1R,MIEF1,0.0
C1R,ALG3,0.036311120948986725
C1R,CCDC183,0.0
C1R,CECR6,0.02279071273210218
C1R,FBXO32,0.047271881143480764
C1R,REC8,0.0
C1R,TOMM34,0.003524575542853698
C1R,AGAP7P,0.03204336739376107
C1R,NAT10,0.010923633821512076
C1R,SYCP2L,0.012780327814944556
C1R,LPXN,0.0
C1R,LIMD2,0.002130043182311112
C1R,NETO2,0.0
C1R,SDHA,0.025117615820297447
C1R,MYO1B,0.0
C1R,C17orf96,0.027447616518924675
C1R,ACTR2,0.04989125524385286
C1R,DBH-AS1,0.0
C1R,CACUL1,0.022398464890073397
C1R,RP11-341D18.5,0.0065056210292615815
C1R,FAM19A4,0.0
C1R,STK36,0.03369103343161242
C1R,RGS6,0.0034129402236947257
C1R,RP11-303E16.8,0.0
C1R,PRRC2B,0.0529547864274311
C1R,C1orf115,0.008624209578877882
C1R,TRIM65,0.02963540544239987
C1R,FAM200B,0.0015868226862552888
C1R,RP11-164P12.5,0.0047494172826832385
C1R,DVL3,0.00589320015934682
C1R,USP3,0.0
C1R,USP35,0.0
C1R,SLC39A14,0.02655386970913786
C1R,ENDOD1,0.002589107204769067
C1R,LINC01508,0.0
C1R,CGREF1,0.0
C1R,ATF4,0.034122618608509285
C1R,DHRS9,0.0
C1R,ZNF133,0.02927302063936192
C1R,SERPINC1,0.016935732634009062
C1R,GPR35,0.08241000856165397
C1R,C2orf73,0.0034546617519926044
C1R,TFE3,0.06503256407002991
C1R,TFAP2A,0.0020184078631521486
C1R,MAEL,0.0065056210292615815
C1R,SAMD13,0.009698792081682563
C1R,THUMPD1,0.008986594381915859
C1R,EIF5,0.03271622775865968
C1R,MAP3K3,0.029604828986406855
C1R,SNHG20,0.023892060663465716
C1R,PGAM5,0.007148618355169366
C1R,ZNF254,0.015260587750596641
C1R,TRIB2,0.047253876593797
C1R,HNRNPA3P6,0.021142333277248623
C1R,VPS26B,0.0
C1R,RP1-37E16.12,0.0
C1R,MAPK6,0.04787840448124746
C1R,NKIRAS1,0.02213585691688733
C1R,HTR2C,0.0
C1R,LINC01266,0.0038445254005916216
C1R,PPP2R5D,0.028741658632613062
C1R,PIN1,0.0
C1R,ADK,0.033760233805471336
C1R,MED17,0.025298451513315324
C1R,LRRK2,0.0
C1R,TMEM109,0.0
C1R,CTD-2203K17.1,0.0
C1R,RPE,0.0
