"gene","frequency"
"B2M",97
"HLA-DRA",94
"C1R",58
"CTSZ",37
"DPP7",35
"LYPLA2",33
"PACS2",32
"ABCA2",29
"APOBEC3C",29
"SBF1",25
"SLC9A9",25
"TRIM28",24
"PKN1",23
"CUL5",22
"DGCR2",22
"EVI5L",21
"GIPC1",21
"GMFB",21
"GPS1",21
"RPS15",21
"SDF4",21
"GNB2",20
"MAPK8IP3",20
"NDUFA5",20
"RNF40",20
"BRSK1",19
"MCRIP1",19
"PACSIN1",19
"PLEC",19
"PTOV1",19
"SLC39A13",19
"PIGQ",18
"PPP1R37",18
"PRRC2A",18
"RAB1B",18
"WDR3",18
"ACAP3",17
"B3GNT7",17
"CC2D1A",17
"CNN3",17
"CNOT7",17
"CSNK1E",17
"EEF2",17
"HDAC6",17
"JMJD8",17
"PPM1G",17
"STRN",17
"ZDHHC17",17
"AAMP",16
"AIPL1",16
"ATF2",16
"BCL6",16
"EHMT2",16
"LAMB2",16
"PPFIA3",16
"PPP6R2",16
"SART1",16
"SH3GLB2",16
"TSC2",16
"TUBGCP6",16
"AIMP2",15
"ARHGAP29",15
"ARHGEF10L",15
"CTB-50L17.10",15
"CTSD",15
"DVL1",15
"EPS8L2",15
"ITGA2",15
"MAPK8IP2",15
"NAA30",15
"NDRG3",15
"NFIB",15
"PDS5A",15
"PIK3CB",15
"STUB1",15
"TMEM30A",15
"ZNF248",15
"ZNF449",15
"BAP1",14
"DDI2",14
"HDAC5",14
"KPNA3",14
"MAU2",14
"NR2E1",14
"POLR2B",14
"PRR12",14
"SPOPL",14
"SPTLC2",14
"SUZ12",14
"UBXN6",14
"USP33",14
"USP5",14
"ANKS1B",13
"APBB1",13
"C12orf56",13
"CIRBP",13
"CLCN7",13
"CLUH",13
"CNTN4",13
"CYP27A1",13
"FADS3",13
"FAM53B",13
"FXR1",13
"GTPBP1",13
"PNPLA2",13
"PNPLA6",13
"PPP1R11",13
"PSME3",13
"RBM10",13
"RELT",13
"STK36",13
"TMEM39A",13
"ZCCHC12",13
"ZNF354C",13
"ABCG4",12
"AFTPH",12
"BTBD2",12
"CENPT",12
"CHL1",12
"CSF1",12
"ERGIC2",12
"FAM57B",12
"FBXO9",12
"GNAI2",12
"HS6ST1",12
"IMPDH1",12
"KCNA2",12
"KCNH2",12
"MAPK8IP1",12
"MINK1",12
"NIT2",12
"NUP54",12
"PARL",12
"PKD1",12
"PLOD1",12
"RAB26",12
"RBM3",12
"RBP3",12
"RMDN3",12
"RPL4",12
"RRBP1",12
"SCYL1",12
"STOM",12
"TMEM130",12
"TNFRSF21",12
"UBL3",12
"ZFP36L1",12
"BCAP31",11
"C7orf43",11
"CAND1",11
"CDC27",11
"CDC42EP1",11
"CELF3",11
"CNTNAP2",11
"DCTPP1",11
"EBF1",11
"GGA2",11
"GPI",11
"IGSF8",11
"MRPL24",11
"NAXE",11
"NCKAP1",11
"OTUB1",11
"PDZD4",11
"PGK1",11
"PRCP",11
"RASGRP1",11
"RP11-99J16__A.2",11
"SAMD9",11
"SEPT9",11
"SLC2A1",11
"SLITRK6",11
"SOS2",11
"TBCEL",11
"TMEM237",11
"USP48",11
"VPS28",11
"ZNF271P",11
"APOL3",10
"ARHGEF17",10
"ARL3",10
"ATP2B2",10
"B4GALNT1",10
"BSG",10
"CHRNA6",10
"COL10A1",10
"CYB5R3",10
"DCLRE1C",10
"DLG4",10
"DNAJC10",10
"DNAJC6",10
"DNASE1",10
"EIF2S2",10
"FAIM2",10
"FH",10
"GLS",10
"GNAT1",10
"HABP2",10
"HIST1H2AC",10
"KLHL22",10
"NCOA2",10
"NEGR1",10
"NSD1",10
"PBLD",10
"PCDH9",10
"PCYOX1L",10
"PCYT1B",10
"PHAX",10
"PHB2",10
"PLA2G6",10
"POU6F2",10
"PPP1R3B",10
"PPP1R3E",10
"RBFOX2",10
"RP1-95L4.4",10
"RP11-35J10.5",10
"SGSH",10
"SLC38A10",10
"SLC5A3",10
"SLC7A6OS",10
"TMEM106B",10
"UBA5",10
"UTP11",10
"ZBTB6",10
"ZNF33A",10
"ABCC2",9
"ABCC4",9
"AC010226.4",9
"AC096949.1",9
"AP001046.5",9
