"gene","frequency"
"C1R",387
"HLA-DRA",218
"LIX1",196
"SERPING1",184
"B2M",181
"PTGS1",150
"APOBEC3C",135
"MAOB",129
"F5",93
"TMEM98",80
"ARSD",38
"ANKRD35",37
"JMJD8",37
"HLA-DPA1",36
"GYG2",34
"CTSZ",32
"C1S",31
"PACS2",28
"MCRIP1",27
"CCND1",26
"ASPSCR1",25
"PALM",25
"SCYL1",23
"COMMD7",22
"RPL36A",22
"TMSB4X",22
"FRYL",21
"ACAP3",20
"GPS1",20
"MATR3",20
"SCRG1",20
"TUFM",20
"PPP2R1A",19
"FKBP8",18
"GGA1",18
"HDAC5",18
"EHMT2",17
"CARM1",16
"PRKAB1",16
"PRKCSH",16
"PSMD8",16
"RBM3",16
"SHARPIN",16
"ACTB",15
"AES",15
"CACFD1",15
"CSK",15
"TAF6",15
"TM7SF3",15
"COPZ2",14
"CTSD",14
"DSTN",14
"EEF2",14
"FGF1",14
"FGF9",14
"GIT1",14
"GNB2",14
"OTUB1",14
"PKN1",14
"SGTA",14
"SRPRB",14
"SYNGR1",14
"ADGRB3",13
"BTBD2",13
"CCNT2",13
"CDC27",13
"CYB5R3",13
"HLA-DMA",13
"HLA-DMB",13
"KCTD3",13
"PPM1A",13
"PPP6R1",13
"PRRC2A",13
"TIMP4",13
"ACOX2",12
"ACTR2",12
"ATAD3A",12
"DGCR2",12
"GPR162",12
"KCNH2",12
"NCOR2",12
"NDUFA1",12
"NRL",12
"NUCB1",12
"PNPLA6",12
"PPP1R16A",12
"PRPF4B",12
"QKI",12
"SLC1A1",12
"SYNJ2BP",12
"TMA7",12
"AKT1",11
"ATG4B",11
"BRCA1",11
"CUBN",11
"CYP4F12",11
"FBXO18",11
"FBXO3",11
"GABRG2",11
"GOLGA4",11
"GPRC5A",11
"HIST1H2AC",11
"KLC2",11
"LGALS3",11
"LYPLA2",11
"MICAL2",11
"MLST8",11
"PNMA2",11
"PPIL1",11
"PRPF8",11
"PXN",11
"RAB3C",11
"RP11-110I1.12",11
"RPL17",11
"SIRT2",11
"THOP1",11
"TMEM129",11
"TMEM151B",11
"TSC22D4",11
"ZNF75D",11
"ZSWIM8",11
"AP1B1",10
"ASIC4",10
"ATG4D",10
"BAP1",10
"C10orf10",10
"C2CD5",10
"CCT6B",10
"CIAPIN1",10
"CPLX2",10
"CX3CL1",10
"DAAM2",10
"EPS8L2",10
"FBXO44",10
"FBXW5",10
"GRINA",10
"HHIP-AS1",10
"ITSN1",10
"KHDRBS2",10
"LCTL",10
"LINC00473",10
"NDUFS1",10
"PARL",10
"PCGF5",10
"PHB2",10
"PKD1",10
"PLXNB2",10
"PPP2R5E",10
"PRR13",10
"PSMC2",10
"SCAF1",10
"SEPT9",10
"SGPP1",10
"SLC25A39",10
"SLC25A40",10
"SNX10",10
"TMEM130",10
"TMEM45A",10
"UBL3",10
"UNC119",10
"ZNF542P",10
"AC009506.1",9
"ACTR1B",9
"ACVR2B",9
"AIPL1",9
"BRSK2",9
"CDC37",9
"CLIP2",9
"CLUH",9
"CYP27A1",9
"DPP6",9
"ETNK1",9
"FAM50A",9
"FASTKD2",9
