from,to,distance,weight
ENSG00000160307,ENSG00000162520,0.0,1.0
ENSG00000160307,ENSG00000204261,0.0,1.0
ENSG00000160307,ENSG00000182326,0.0,1.0
ENSG00000160307,ENSG00000111801,0.0,1.0
ENSG00000160307,ENSG00000206337,0.0,1.0
ENSG00000160307,ENSG00000242574,0.0,1.0
ENSG00000160307,ENSG00000188501,1.597870760030702e-07,0.9803473010372294
ENSG00000160307,ENSG00000125730,0.0,1.0
ENSG00000160307,ENSG00000095303,0.0,1.0
ENSG00000160307,ENSG00000196735,0.0,1.0
ENSG00000160307,ENSG00000079931,0.0,1.0
ENSG00000160307,ENSG00000198734,0.0,1.0
ENSG00000160307,ENSG00000243649,0.0,1.0
ENSG00000160307,ENSG00000112936,0.0,1.0
ENSG00000160307,ENSG00000231852,1.2457013197189379e-10,0.9999846787402046
ENSG00000160307,ENSG00000204264,0.0,1.0
ENSG00000160307,ENSG00000153029,0.0,1.0
ENSG00000160307,ENSG00000113578,0.0,1.0
ENSG00000160307,ENSG00000198483,0.0,1.0
ENSG00000160307,ENSG00000166710,0.0,1.0
ENSG00000160307,ENSG00000107562,0.0,1.0
ENSG00000160307,ENSG00000159403,0.0,1.0
ENSG00000160307,ENSG00000133321,0.0,1.0
ENSG00000160307,ENSG00000234745,0.0,1.0
ENSG00000160307,ENSG00000204257,0.0,1.0
ENSG00000160307,ENSG00000163661,0.0,1.0
ENSG00000160307,ENSG00000151468,0.0,1.0
ENSG00000160307,ENSG00000204287,0.0,1.0
ENSG00000160307,ENSG00000231389,0.0,1.0
ENSG00000160307,ENSG00000149131,0.0,1.0
ENSG00000160307,ENSG00000240065,0.0,1.0
ENSG00000160307,ENSG00000129009,0.0,1.0
ENSG00000160307,ENSG00000197943,0.0,1.0
ENSG00000160307,ENSG00000056998,0.0,1.0
ENSG00000160307,ENSG00000174348,0.0,1.0
ENSG00000160307,ENSG00000026297,0.0,1.0
ENSG00000160307,ENSG00000157150,0.0,1.0
ENSG00000160307,ENSG00000101104,0.0,1.0
ENSG00000160307,ENSG00000130055,0.0,1.0
ENSG00000160307,ENSG00000222009,0.0,1.0
