"gene","frequency"
"TMEM98",67
"CTSZ",44
"MAOB",30
"TMSB4X",7
"NRBP1",6
"CNOT1",5
"NOVA1",5
"ZFR",5
"ACAP3",4
"AKT1",4
"AP2M1",4
"BCL2L2",4
"BRD2",4
"CHMP4B",4
"CUL3",4
"CYLD",4
"DCTN2",4
"ENSA",4
"GRB2",4
"IPO9",4
"KPNB1",4
"NAPA",4
"NUP133",4
"PSMF1",4
"SAR1A",4
"SELT",4
"SERBP1",4
"SF3A3",4
"SH2B1",4
"SIRT2",4
"SLC11A2",4
"TNKS",4
"TRIP12",4
"TTC17",4
"UBA2",4
"UBE2D3",4
"UBE2H",4
"UBE2L3",4
"XPO7",4
"ADNP",3
"AP2A1",3
"APBA1",3
"ARCN1",3
"ARHGEF11",3
"ARIH1",3
"ARL8A",3
"ATF2",3
"ATG9A",3
"BAG6",3
"BTRC",3
"C1S",3
"CADPS",3
"CAMTA1",3
"CBX1",3
"CIAO1",3
"CIZ1",3
"COPB1",3
"CSNK2A2",3
"DNAJA2",3
"DNAJC7",3
"EPM2AIP1",3
"EXOC5",3
"FMR1",3
"HNRNPUL2",3
"JKAMP",3
"KIAA0368",3
"KLHL7",3
"KPNA4",3
"KPNA6",3
"MBD1",3
"MFN2",3
"MLF2",3
"MRPS27",3
"MSN",3
"NAP1L1",3
"NAP1L4",3
"NDST2",3
"NEBL",3
"NPEPPS",3
"NSFL1C",3
"PDAP1",3
"PICALM",3
"PIP4K2B",3
"PLD3",3
"POLDIP2",3
"POMGNT1",3
"PPP1R8",3
"PTCD3",3
"PTK2",3
"RANBP3",3
"RASA1",3
"RBM26",3
"RBM39",3
"RER1",3
"RIC8A",3
"RTFDC1",3
"SAMD8",3
"SCAF8",3
"SENP3",3
"SNX1",3
"SORCS1",3
"SPOP",3
"STAT5B",3
"TAB3",3
"TM9SF4",3
"TMEM167A",3
"TMEM259",3
"TNRC6A",3
"UBQLN1",3
"UBR1",3
"UFM1",3
"UVRAG",3
"VTI1B",3
"WTAP",3
"ZFAND6",3
"ZFP91",3
"ABCA2",2
"ACTR1A",2
"ACTR2",2
"AFTPH",2
"AGGF1",2
"AGO1",2
"ALDH9A1",2
"AMPH",2
"ANKFY1",2
"ANKRD46",2
"APPBP2",2
"AQR",2
"ARFGAP1",2
"ARHGEF28",2
"ARID4B",2
"ARL2BP",2
"ASAH1",2
"ATP5F1",2
"ATP6V1E1",2
"AZI2",2
"AZIN1",2
"BABAM1",2
"BAP1",2
"BBS12",2
"BRSK2",2
"BSDC1",2
"CAPZA1",2
"CASK",2
"CCNY",2
"CDC37",2
"CDH2",2
"CDIPT",2
"CHCHD7",2
"CHD7",2
"CHN1",2
"CLASP1",2
"CLCN6",2
"CNBP",2
"CNOT2",2
"CNOT8",2
"COG2",2
"COPB2",2
"COPS4",2
"COPS6",2
"COX4I1",2
"COX7A2L",2
"CPSF2",2
"CPSF7",2
"CREB1",2
"CSNK2A1",2
"CTNNA1",2
"CUL4A",2
"DCAF7",2
"DCTN3",2
"DDOST",2
"DENND5A",2
"DERL1",2
"DKC1",2
"DLST",2
"DNAJA3",2
"DNAJB12",2
"DNM2",2
"DOK6",2
"DTNB",2
"EHMT2",2
"EIF2AK1",2
"EIF2S1",2
"EIF3A",2
"EIF3H",2
"EIF4EBP2",2
"EIF5",2
"EIF5A",2
"EPB41L2",2
"ERGIC1",2
"FAM160B2",2
"FASTKD2",2
"FBXO21",2
"FBXO38",2
"FBXW4",2
"FEZ1",2
"FLII",2
"FNBP1",2
"FYTTD1",2
"GAA",2
"GALNT11",2
"GDI1",2
"GIPC1",2
"GMPR2",2
"GNA11",2
"GNPTG",2
"GORASP1",2
"GPAA1",2
"GPBP1",2
"GTF2F1",2
"GTF3C2",2
"GTF3C3",2
"HARS",2
"HDLBP",2
"HGS",2
"HMG20A",2
"HUWE1",2
"ICE1",2
"IFT122",2
"INIP",2
"IPO5",2
"KANSL3",2
"KCND3",2
"KHSRP",2
"KIAA0319L",2
"LAMP1",2
"LRPAP1",2
"LRRC41",2
"MAPK1",2
"MEAF6",2
"MED24",2
"MFSD14A",2
"MKRN1",2
"MORF4L1",2
"MPRIP",2
"NAE1",2
"NDRG3",2
"NEO1",2
"NFIB",2
"NISCH",2
"NONO",2
"NORAD",2
"NUCB1",2
"NUMA1",2
"NUP50",2
"OCIAD1",2
"OCRL",2
"OPA1",2
"OSBPL6",2
"OTUB1",2
"PAK2",2
"PDCD2",2
"PEX19",2
"PFKL",2
"PHF20",2
"PHF8",2
"PITPNM2",2
"PKN1",2
"PLA2G6",2
"PLEKHA5",2
"PLEKHB2",2
"POLR2K",2
"POMT2",2
"PPIP5K1",2
"PPP1R12A",2
"PPP1R13B",2
"PPP2CA",2
"PPP4R3B",2
"PPP6R2",2
"PRCC",2
"PRCP",2
"PRKAG1",2
"PSMA7",2
"PSMC6",2
"PSMD11",2
"PSMD14",2
"PSMD3",2
"PTP4A2",2
"PTPA",2
"PTPRA",2
"RAB14",2
"RAB1A",2
"RAB22A",2
"RAB35",2
"RAB3GAP1",2
"RAB5B",2
"RAB5C",2
"RAD1",2
"RAD23A",2
"RAE1",2
"RAF1",2
"RAI1",2
"RALGAPB",2
"RAN",2
"RBBP4",2
"RBM23",2
"RBM25",2
"REPIN1",2
"REV1",2
"RHOT2",2
"RIF1",2
"RIMKLB",2
"RIMS1",2
"RNF11",2
"RNF115",2
"RNPS1",2
"RPS19BP1",2
"RUNDC3A",2
"RYR2",2
"SCRN3",2
"SDHB",2
"SECISBP2L",2
"SENP5",2
"SERF2",2
"SERINC3",2
"SETD2",2
"SF3B3",2
"SLC25A46",2
"SLC39A13",2
"SLC39A9",2
"SLC41A3",2
"SLC9A6",2
"SMAD2",2
"SMARCA2",2
"SMARCC1",2
"SMG5",2
"SMS",2
"SMU1",2
"SNTA1",2
"SP3",2
"SPG7",2
"SPRYD3",2
"SSBP2",2
"SSU72",2
"STOML2",2
"SUSD6",2
"SYT11",2
"TAF11",2
"TAF7",2
"TCF12",2
"TCF25",2
"TEX2",2
"TGOLN2",2
"THRA",2
"TMBIM6",2
"TMCO1",2
"TMED8",2
"TMEM183A",2
"TMEM50A",2
"TMUB2",2
"TNPO2",2
"TNPO3",2
"TP53BP1",2
"TRIM39",2
"TRIM41",2
"TRPC4AP",2
"TSPAN3",2
"TUSC2",2
"TYW3",2
"U2AF2",2
"UBA3",2
"UBE2Q1",2
"UBE2V1",2
"UBE3A",2
"UBE4A",2
"UBFD1",2
"UBN1",2
"USF2",2
"USP33",2
"VCP",2
"VIPAS39",2
"VPS26B",2
"VPS33A",2
"VPS39",2
"VPS45",2
"VPS72",2
"WDR48",2
"WDR82",2
"WIPF2",2
"YTHDF1",2
"ZBED5",2
"ZER1",2
"ZFYVE27",2
"ZNF512",2
"AAMP",1
"AARS",1
"AASDHPPT",1
"ABCD4",1
"ABHD10",1
"ABHD12",1
"ABHD12B",1
"ABHD16A",1
"ABI2",1
"AC025335.1",1
"ACAA1",1
"ACAP2",1
"ACBD3",1
"ACOX1",1
"ACOX2",1
"ACP1",1
"ACTG1",1
"ACTR10",1
"ACTR3",1
"ACVR1B",1
"ACVR2A",1
"ADAM22",1
"ADGRL2",1
"ADPGK",1
"ADRM1",1
"AEBP2",1
"AFF1",1
"AGPAT1",1
"AGPS",1
"AHCTF1",1
"AHCYL1",1
"AKAP13",1
"AKAP6",1
"AKTIP",1
"ALG9",1
"ANAPC13",1
"ANAPC2",1
"ANGEL1",1
"ANKIB1",1
"ANKRD13B",1
"ANKS3",1
"ANP32E",1
"AP1B1",1
"AP1M1",1
"AP3D1",1
"AP3M2",1
"AP4M1",1
"APBB1",1
"APMAP",1
"APPL1",1
"ARAF",1
"ARF1",1
"ARF4",1
"ARF5",1
"ARGLU1",1
"ARHGDIA",1
"ARHGEF10L",1
"ARHGEF12",1
"ARIH2",1
"ARL1",1
"ARL6IP4",1
"ARPC1A",1
"ARPC2",1
"ASCC2",1
"ASH1L",1
"ASH2L",1
"ATAD1",1
"ATAD2B",1
"ATAT1",1
"ATF6",1
"ATG2B",1
"ATG3",1
"ATM",1
"ATP13A2",1
"ATP2A2",1
"ATP6AP1",1
"ATP6V0D1",1
"ATP6V1B2",1
"ATP6V1C1",1
"ATXN2L",1
"AURKAIP1",1
"AVL9",1
"BACE1",1
"BAHD1",1
"BBS1",1
"BBS10",1
"BBS4",1
"BBS9",1
"BCAP31",1
"BCCIP",1
"BCL2L13",1
"BCLAF1",1
"BHLHB9",1
"BOD1L1",1
"BPGM",1
"BRAF",1
"BRD7",1
"BRF1",1
"BRK1",1
"BTBD1",1
"BTF3L4",1
"C12orf49",1
"C12orf76",1
"C18orf25",1
"C19orf25",1
"C19orf66",1
"C1orf43",1
"C2CD5",1
"C3orf18",1
"C5orf15",1
"C6orf48",1
"C6orf89",1
"C9orf72",1
"CAB39",1
"CALCOCO2",1
"CALM2",1
"CAMK4",1
"CAMTA2",1
"CAND1",1
"CAP1",1
"CAPN1",1
"CAPRIN1",1
"CAPZB",1
"CARM1",1
"CASC3",1
"CASP3",1
"CBWD3",1
"CC2D1A",1
"CCAR2",1
"CCDC149",1
"CCDC159",1
"CCDC43",1
"CCDC88A",1
"CCDC93",1
"CCDC97",1
"CCNT1",1
"CCNT2",1
"CCT6A",1
"CD164",1
"CD81",1
"CDC16",1
"CDC42",1
"CDC42SE2",1
"CDK12",1
"CDK20",1
"CDK8",1
"CEP170",1
"CEP295",1
"CEP63",1
"CERKL",1
"CETN3",1
"CHAMP1",1
"CHD3",1
"CHD4",1
"CHD6",1
"CHD8",1
"CHKB",1
"CHMP2A",1
"CHTOP",1
"CIC",1
"CISD1",1
"CLCN3",1
"CLCN5",1
"CLDN12",1
"CLIP4",1
"CLK2",1
"CLNS1A",1
"CLTC",1
"CNGA1",1
"CNOT6",1
"CNOT6L",1
"CNOT7",1
"CNPY2",1
"CNST",1
"CNTN1",1
"COA5",1
"COG1",1
"COG6",1
"COL4A3BP",1
"COMMD2",1
"COPA",1
"COPS2",1
"COPS3",1
"COPS5",1
