"gene","frequency"
"CTSZ",39
"TMEM98",23
"OTUB1",7
"PSMD3",7
"TMED2",7
"TMSB4X",7
"AVL9",5
"CAPZA1",5
"CSNK2A1",5
"EIF5A",5
"GRB2",5
"IPO5",5
"LIX1",5
"MAOB",5
"NUP133",5
"PPP3CB",5
"PTCD3",5
"RPRD1A",5
"SMU1",5
"TMBIM6",5
"AP2M1",4
"API5",4
"BAP1",4
"CBX1",4
"COPB2",4
"DNM2",4
"EI24",4
"FBXW4",4
"HMCES",4
"KPNA6",4
"MDH2",4
"NELFCD",4
"NRBP1",4
"PTPRA",4
"RUNDC3A",4
"SENP5",4
"SERF2",4
"SETX",4
"SF3B3",4
"WDR82",4
"ZFYVE27",4
"ZNF664",4
"ADAR",3
"AKT1",3
"APMAP",3
"APPL1",3
"ARHGEF28",3
"ARPC2",3
"BAZ1B",3
"BBS1",3
"CADPS",3
"CAPZB",3
"CNBP",3
"CNOT7",3
"COPS5",3
"CSNK2B",3
"CTAGE5",3
"CUL3",3
"DNAJC8",3
"DNPEP",3
"DPP8",3
"DYNLRB1",3
"EFCAB14",3
"FAM168B",3
"FAM3A",3
"GGA1",3
"GRIA1",3
"HDAC6",3
"HNRNPD",3
"KDM3B",3
"KLHDC10",3
"LAMTOR1",3
"LRRC41",3
"MAP3K13",3
"MAPK1",3
"MBD1",3
"MORF4L1",3
"MRPS14",3
"MYT1L",3
"NAA30",3
"NCOR1",3
"NONO",3
"NPEPPS",3
"NUDT21",3
"NUMA1",3
"OCRL",3
"PBX2",3
"PEBP1",3
"PMPCB",3
"PPP1R12C",3
"PPP5C",3
"PRDX5",3
"PSMA7",3
"RAB5B",3
"RABGAP1",3
"RAD23A",3
"RALGAPB",3
"REV1",3
"RGS11",3
"RNF220",3
"SLC39A13",3
"SMARCE1",3
"SPIN1",3
"SRGAP3",3
"SRSF4",3
"STAT5B",3
"STAU2",3
"SUB1",3
"SUMO2",3
"TBC1D9",3
"THAP4",3
"THUMPD3",3
"TK2",3
"TMEM57",3
"TTC17",3
"UBA2",3
"UBA5",3
"UBE2D3",3
"VPS26B",3
"ZFR",3
"ZNF512",3
"ABI2",2
"ACP1",2
"ACTR2",2
"ADI1",2
"ADNP",2
"ADRM1",2
"AGO4",2
"AHCTF1",2
"AKT2",2
"AP2A1",2
"AP3M2",2
"APPBP2",2
"ARCN1",2
"ARID1B",2
"ARID4A",2
"ARMC8",2
"ARPC3",2
"ATF7",2
"ATG12",2
"ATG4B",2
"BAG5",2
"BAG6",2
"BAZ2B",2
"BCL2L2",2
"BCOR",2
"BRAF",2
"BRD7",2
"BSG",2
"BTRC",2
"C4orf3",2
"CAND1",2
"CBX5",2
"CCAR2",2
"CCNDBP1",2
"CCNT2",2
"CCNY",2
"CDC123",2
"CDH6",2
"CDK13",2
"CES2",2
"CFL1",2
"CHD8",2
"CHMP3",2
"CHP1",2
"CIZ1",2
"CLTC",2
"CNTROB",2
"COG3",2
"COMMD9",2
"COPB1",2
"COPG1",2
"CORO2B",2
"CPSF7",2
"CSDE1",2
"CTSB",2
"CUL5",2
"CUX1",2
"CYLD",2
"DAP3",2
"DAPK1",2
"DCAF5",2
"DGAT1",2
"DGCR2",2
"DHX30",2
"DHX38",2
"DLST",2
"DNM1",2
"DOK6",2
"DSTN",2
"DTX3",2
"EFTUD2",2
"EIF3F",2
"EIF3M",2
"ELAVL1",2
"ELP2",2
"EPB41",2
"EPB41L3",2
"FAM13A",2
"FAM193A",2
"FBRS",2
"FBXO3",2
"FEM1B",2
"FMR1",2
"FRS2",2
"FSTL1",2
"GABPA",2
"GCC2",2
"GDI1",2
"GLO1",2
"GTF3C5",2
"H2AFY",2
"HACD3",2
"HDGF",2
"HOOK3",2
"HUWE1",2
"ILKAP",2
"INTS10",2
"JKAMP",2
"JPH4",2
"KIAA0368",2
"KIDINS220",2
"KIF21A",2
"KLHL22",2
"KPNA4",2
"KPNB1",2
"L3MBTL2",2
"LAMTOR4",2
"LARP1",2
"LCLAT1",2
"MAP2K7",2
"MAPK8",2
"MAPK8IP3",2
"MCM3AP",2
"MCRS1",2
"MED17",2
"MED9",2
"MFN2",2
"MID1",2
"MIEF1",2
"MKKS",2
"MKLN1",2
"MKRN1",2
"MOCS2",2
"MPHOSPH8",2
"MRFAP1",2
"MRPL28",2
"MYCBP2",2
"MYO5A",2
"NBR1",2
"NCL",2
"NCOA6",2
"NDUFS3",2
"NDUFS8",2
"NECAP1",2
"NEK4",2
"NEMF",2
"NFATC3",2
"NFIB",2
"NFIC",2
"NIPBL",2
"NIT1",2
"NKIRAS2",2
"NLK",2
"NPTN",2
"NRDC",2
"NUP50",2
"OTUD5",2
"PAFAH1B1",2
"PARK7",2
"PBRM1",2
"PDAP1",2
"PDCD6",2
"PITHD1",2
"PLD3",2
"PLEKHA5",2
"PLEKHB2",2
"POLDIP2",2
"POLR1D",2
"POLR2C",2
"PPFIA1",2
"PPM1A",2
"PPP4R3B",2
"PPP6R1",2
"PPP6R2",2
"PRRC2A",2
"PSMA5",2
"PSMC4",2
"PSMC5",2
"PSMC6",2
"PSMD2",2
"PSMD6",2
"PSME3",2
"PTBP3",2
"PTK2",2
"PTP4A2",2
"R3HDM4",2
"RAB11A",2
"RAB14",2
"RAB22A",2
"RAB3GAP1",2
"RAB3GAP2",2
"RALA",2
"RANBP1",2
"RANBP3",2
"RAVER2",2
"RBM10",2
"RBM39",2
"RCN2",2
"RER1",2
"RNF14",2
"RNF157",2
"RNF187",2
"RPL32",2
"RPLP1",2
"RPRD2",2
"RRNAD1",2
"RUNDC1",2
"SACM1L",2
"SAMD8",2
"SAR1A",2
"SART1",2
"SART3",2
"SEC24B",2
"SELT",2
"SENP2",2
"SENP3",2
"SETD2",2
"SETDB1",2
"SGSM3",2
"SH2B1",2
"SIK3",2
"SKP1",2
"SLC25A12",2
"SMARCD1",2
"SMIM13",2
"SNRPD3",2
"SNX2",2
"SOCS7",2
"SPG7",2
"SPON1",2
"SREK1",2
"SRPK2",2
"SRPRA",2
"SSRP1",2
"ST7",2
"SUGP2",2
"SUPT20H",2
"SZRD1",2
"TCEA2",2
"TGOLN2",2
"TM9SF2",2
"TM9SF3",2
"TMCO1",2
"TMEM183A",2
"TMEM219",2
"TMEM55B",2
"TPP2",2
"TRAPPC1",2
"TRAPPC13",2
"TRAPPC3",2
"TRAPPC8",2
"TRIP12",2
"TRPC4AP",2
"TSPAN3",2
"TSR2",2
"UBAC2",2
"UBE2Z",2
"UBE3A",2
"UBE4A",2
"UBE4B",2
"UBQLN1",2
"UBXN4",2
"UNC50",2
"UPF1",2
"UQCRC2",2
"USF2",2
"USP11",2
"USP48",2
"UVRAG",2
"VPS33B",2
"WHSC1L1",2
"XRN2",2
"YME1L1",2
"ZC3H11A",2
"ZC3H15",2
"ZC3H3",2
"ZFP91",2
"ZMYM4",2
"ZNF197",2
"ZYG11B",2
"AAAS",1
"AAGAB",1
"AAK1",1
"AAMP",1
"AARS",1
"AASDHPPT",1
"ABCA3",1
"ABCB7",1
"ABCD4",1
"ABHD16A",1
"ABL2",1
"ABR",1
"ACAD8",1
"ACAP3",1
"ACBD5",1
"ACBD6",1
"ACD",1
"ACIN1",1
"ACSL4",1
"ACTR1A",1
"ACTR6",1
"ADAM19",1
"ADAM22",1
"ADAM23",1
"ADCK4",1
"ADCY6",1
"ADGRB2",1
"ADGRL2",1
"ADO",1
"AEBP2",1
"AGAP3",1
"AGBL5",1
"AGO1",1
