"gene","frequency"
"FGF1",13
"APOBEC3C",11
"CTSZ",9
"DCAF5",8
"NUP133",8
"NAP1L4",7
"ADGRL1",6
"ATP6AP1",6
"EGLN2",6
"GOLGA2",6
"OTUD5",6
"PAIP2",6
"THOP1",6
"TM9SF4",6
"ZNF664",6
"BAG5",5
"C1orf43",5
"CADM3",5
"COPB1",5
"COPS6",5
"DCAF12",5
"GRK2",5
"KDM3B",5
"KPNB1",5
"MGAT5",5
"MKRN1",5
"MRPS16",5
"NUDCD3",5
"PMPCB",5
"PRCP",5
"RAB5B",5
"TBC1D20",5
"TMBIM6",5
"APBB1",4
"ARMC8",4
"BRD7",4
"EHMT1",4
"ESD",4
"HGS",4
"ING5",4
"IPO5",4
"KDM1A",4
"MEGF8",4
"MFN2",4
"MON2",4
"MTO1",4
"OTUB1",4
"PACS2",4
"PCNP",4
"POMGNT2",4
"PPP2CA",4
"PPP2R1A",4
"PSMD3",4
"PSMD4",4
"R3HDM2",4
"RALGAPB",4
"RHOA",4
"SDHB",4
"SEC16A",4
"SMU1",4
"TMCO1",4
"TMEM59",4
"TUBGCP2",4
"UBE2D3",4
"UBR3",4
"VPS50",4
"ZMYM4",4
"AAMP",3
"ADAR",3
"AKT3",3
"ALS2",3
"APLP1",3
"ARHGAP21",3
"ARMC10",3
"ATP2C1",3
"ATPAF1",3
"AZIN1",3
"BABAM1",3
"C18orf25",3
"CALCOCO2",3
"CAMTA2",3
"CAPZA1",3
"CHD4",3
"CHD8",3
"CHERP",3
"CHMP2A",3
"CNIH4",3
"CREBZF",3
"CTR9",3
"CYLD",3
"DDX23",3
"DNM2",3
"DPH3",3
"DSTN",3
"ENTPD6",3
"EXOC5",3
"EXOC7",3
"FAM96A",3
"FBXO3",3
"FMR1",3
"FYTTD1",3
"GCN1",3
"GON4L",3
"GOSR1",3
"HAX1",3
"HBS1L",3
"HINFP",3
"KAT7",3
"KIAA0368",3
"KIAA1191",3
"KLHDC10",3
"KLHL12",3
"KPNA4",3
"LINC00998",3
"LYPLA2",3
"LZTR1",3
"MAP3K13",3
"MAZ",3
"MLLT1",3
"NAA20",3
"NF1",3
"NUDT16",3
"PAFAH1B1",3
"PCED1A",3
"PHF12",3
"PHF8",3
"PPIL2",3
"PPP1R12A",3
"PPP2R5C",3
"PPP6R1",3
"PPP6R2",3
"PRCC",3
"PRKCSH",3
"PSMA6",3
"PSMC2",3
"PSMD14",3
"PSMD2",3
"PSMF1",3
"PTPN11",3
"RAB11FIP2",3
"RAB5C",3
"RAB7A",3
"RBM10",3
"RBM25",3
"RBSN",3
"RECQL5",3
"RGS7",3
"RNF20",3
"SECISBP2",3
"SENP3",3
"SERF2",3
"SET",3
"SETDB1",3
"SF3B1",3
"SH3GLB1",3
"SIRT3",3
"SMG7",3
"SNX13",3
"SRP68",3
"STK25",3
"STPG1",3
"STX7",3
"SUPT16H",3
"SUPT20H",3
"SYMPK",3
"SYT11",3
"TBC1D14",3
"TIMP2",3
"TMEM222",3
"TMEM98",3
"TRAPPC11",3
"TRIP12",3
"TTC17",3
"TXNL4A",3
"U2SURP",3
"UBA2",3
"UBR2",3
"VAPA",3
"VPS52",3
"WASF3",3
"WDR82",3
"XRCC5",3
"YLPM1",3
"ZFYVE21",3
"ZFYVE27",3
"ZSWIM8",3
"AAK1",2
"AASDHPPT",2
"ABCD4",2
"ACAP3",2
"ACSL1",2
"AFTPH",2
"AK6",2
"AKAP8",2
"ALDH3A2",2
"ALG9",2
"AMFR",2
"ANKIB1",2
"AP2A1",2
"AP3M1",2
"APPBP2",2
"APPL1",2
"ARCN1",2
"ARF1",2
"ARF3",2
"ARFGAP1",2
"ARHGEF12",2
"ARIH1",2
"ARL1",2
"ARMC1",2
"ATF2",2
"ATM",2
"ATP13A1",2
"ATP5C1",2
"ATP6AP2",2
"ATP6V1B2",2
"ATP6V1H",2
"ATXN10",2
"AVL9",2
"BAP1",2
"BBS10",2
"BCR",2
"BET1",2
"BFAR",2
"BLZF1",2
"BSG",2
"C17orf80",2
"C5orf51",2
"C6orf136",2
"CA10",2
"CALU",2
"CAMSAP2",2
"CAPRIN1",2
"CAPRIN2",2
"CAPZA2",2
"CBX1",2
"CCNI",2
"CCT6A",2
"CDC23",2
"CDC42BPB",2
"CDIPT",2
"CDK8",2
"CHCHD7",2
"CHMP7",2
"CIC",2
"CLDN12",2
"CLIP1",2
"CNBP",2
"CNDP2",2
"CNOT1",2
"CNOT9",2
"COA5",2
"COPB2",2
"COPS5",2
"COPS7B",2
"CPSF3",2
"CPSF7",2
"CRK",2
"CSDE1",2
"CSNK2A1",2
"CSNK2B",2
"CTIF",2
"CTSA",2
"CUL9",2
"DCAF11",2
"DCLRE1A",2
"DCP1A",2
"DCUN1D4",2
"DDX42",2
"DERL1",2
"DGCR2",2
"DHX15",2
"DHX38",2
"DLST",2
"DNAJA2",2
"DNAJB12",2
"DNAJC14",2
"DYNLRB1",2
"EIF2B1",2
"EIF3A",2
"EIF4EBP2",2
"EIF4ENIF1",2
"EIF4G2",2
"ELAC2",2
"ELAVL1",2
"ELK4",2
"ELMOD2",2
"ELP2",2
"EPB41L3",2
"ETFB",2
"EXD2",2
