"gene_ENSG","frequency"
"NRBP1",7
"STAT5B",7
"CAPZA1",6
"COPB1",6
"EHMT2",6
"MFSD14A",6
"PDAP1",6
"ARF3",5
"DCAF11",5
"DCAF5",5
"GANAB",5
"GORASP1",5
"KIAA0368",5
"KIF1A",5
"PMPCB",5
"SYMPK",5
"TEX2",5
"TSG101",5
"YTHDC1",5
"ABI2",4
"ACTR2",4
"APPBP2",4
"BABAM1",4
"BAG6",4
"COPS4",4
"CTCF",4
"DDI2",4
"DNAJB12",4
"ELP2",4
"FAM199X",4
"HNRNPR",4
"ILF3",4
"ILK",4
"LMBR1",4
"MATR3",4
"MED24",4
"MKRN1",4
"MRPS14",4
"MTMR2",4
"PCNP",4
"POLR2B",4
"PPP6R2",4
"PRPF4B",4
"PSMC6",4
"PSMF1",4
"RAB5B",4
"RALGAPB",4
"RBM26",4
"RNF220",4
"SPOP",4
"TBC1D17",4
"TM9SF4",4
"UBE2L3",4
"WDR82",4
"ZMYM4",4
"AASDHPPT",3
"ACTR1A",3
"ADAR",3
"ARCN1",3
"ARF1",3
"ARFGAP1",3
"ASH2L",3
"ATAD1",3
"ATF2",3
"AVL9",3
"BAZ1B",3
"BSDC1",3
"C11orf58",3
"CAPZB",3
"CCAR2",3
"CDIPT",3
"CIAO1",3
"CIZ1",3
"CNOT2",3
"CNOT6",3
"COG7",3
"CPSF7",3
"CREB1",3
"CSNK1D",3
"CTDSPL2",3
"DHX29",3
"DNAJC8",3
"EBLN3",3
"EIF3M",3
"EIF4ENIF1",3
"EIF4G2",3
"ELAVL1",3
"EWSR1",3
"EXOC7",3
"FAM127A",3
"FBXW4",3
"FGFR1OP2",3
"FMR1",3
"GCN1",3
"GPAT4",3
"GPBP1",3
"HDLBP",3
"HGS",3
"HNRNPUL2",3
"JKAMP",3
"KEAP1",3
"KPNA5",3
"LRPAP1",3
"MCM3AP",3
"MRPS27",3
"NARS",3
"NCOA1",3
"NEBL",3
"NELFCD",3
"NEO1",3
"NRDC",3
"NRXN3",3
"NUP133",3
"OTUD5",3
"PACS2",3
"PDCD2",3
"PI4KB",3
"PISD",3
"PLA2G6",3
"PLEKHM2",3
"POLR2C",3
"POMGNT1",3
"PPIG",3
"PPP2CA",3
"PPP2R5C",3
"PRKCSH",3
"PRPF40A",3
"PRPS1",3
"PSD",3
"PSMB1",3
"PSMD3",3
"R3HDM1",3
"RAD21",3
"RBM39",3
"RGL2",3
"RHOA",3
"SCAF8",3
"SCFD1",3
"SCMH1",3
"SELT",3
"SERINC3",3
"SHOC2",3
"SLC25A11",3
"SMARCD1",3
"SP3",3
"SUPT16H",3
"TADA3",3
"TMEM219",3
"TPR",3
"TRIM23",3
"UBA2",3
"UBE4B",3
"UBL3",3
"UBQLN1",3
"USO1",3
"VTI1B",3
"WBP1L",3
"XRCC5",3
"ZFP91",3
"ZFR",3
"ZNF197",3
"ACAP2",2
"ACAP3",2
"ACIN1",2
"ACTR3",2
"ADGRL3",2
"ADIPOR1",2
"AEBP2",2
"AGGF1",2
"AKT1",2
"AP2B1",2
"AP3D1",2
"API5",2
"APMAP",2
"APPL1",2
"ARHGAP5",2
"ARHGEF11",2
"ARHGEF12",2
"ARID1A",2
"ARL3",2
"ARMC8",2
"ATMIN",2
"ATP6AP1",2
"ATP6V1G1",2
"AZI2",2
"BAP1",2
"BRF1",2
"BTF3",2
"C1orf122",2
"CASKIN2",2
"CCDC43",2
"CDK5R1",2
"CENPT",2
"CHD7",2
"CNBP",2
"CNOT7",2
"CNTN1",2
"COPG1",2
"COPS5",2
"COQ9",2
"CORO2B",2
"CRTC1",2
"CSE1L",2
"CTNNBL1",2
"CTTN",2
"CUL3",2
"DCAF1",2
"DCAF7",2
"DCAF8",2
"DCTN5",2
"DDOST",2
"DEF8",2
"DERL1",2
"DGAT1",2
"DHX15",2
"DHX30",2
"DHX33",2
"DHX38",2
"DHX9",2
"DLGAP4",2
"DLST",2
"DNAJA2",2
"DNAJA3",2
"DOK6",2
"DROSHA",2
"DST",2
"DUS1L",2
"EDC4",2
"EEF2",2
"EFCAB14",2
"EIF4E2",2
"ENTPD6",2
"ENY2",2
"EPB41",2
"EPC1",2
"EPM2AIP1",2
"FAM168B",2
"FAM179B",2
"FAM192A",2
"FARSA",2
"FBXO21",2
"FBXO3",2
"FBXO38",2
"FEZ1",2
"FIS1",2
"FNDC3A",2
