"gene","frequency"
"SETX",7
"BTRC",6
"DCAF7",6
"VAPA",6
"CNOT1",5
"CNOT2",5
"CSDE1",5
"CSNK2A1",5
"FAM3A",5
"GIPC1",5
"HNRNPR",5
"MFN2",5
"POLR2B",5
"RER1",5
"RNF220",5
"SF3A3",5
"SKP1",5
"SSU72",5
"TMBIM6",5
"VPS45",5
"ARL2BP",4
"ATF6",4
"ATP6AP1",4
"AVL9",4
"CBX1",4
"CNBP",4
"CNOT7",4
"EIF4ENIF1",4
"EXD2",4
"GORASP1",4
"GRB2",4
"HIPK1",4
"KDM3B",4
"MATR3",4
"MTMR2",4
"NAP1L4",4
"NCOR2",4
"NUP133",4
"OCRL",4
"OTUB1",4
"RXRB",4
"SEC24C",4
"SF3B3",4
"SGTA",4
"SPCS1",4
"TADA3",4
"TMCO1",4
"TMEM98",4
"UBA2",4
"UBAC2",4
"UBE2L3",4
"UBE4B",4
"WDR82",4
"YIPF6",4
"ZMYM4",4
"ZZZ3",4
"ACTR2",3
"AFG3L2",3
"AGPAT1",3
"AKT1",3
"ANKH",3
"AP2M1",3
"ARCN1",3
"ARHGEF12",3
"ATF2",3
"ATP5F1",3
"ATP6V0A1",3
"ATPAF1",3
"BCL2L2",3
"BSG",3
"C11orf58",3
"CAMTA2",3
"CASC3",3
"CCNY",3
"CDC42",3
"COPZ1",3
"CSNK1D",3
"CTCF",3
"DHPS",3
"DLST",3
"DNAJB14",3
"DNAJC8",3
"ECD",3
"EFTUD2",3
"ELAVL1",3
"EMC7",3
"EXOC7",3
"FAM193A",3
"FAM199X",3
"FBXW2",3
"FMR1",3
"GDI1",3
"GLG1",3
"GOLGA2",3
"GOLGA7",3
"HADHA",3
"HEATR5B",3
"HNRNPUL2",3
"HTATSF1",3
"ICMT",3
"ILVBL",3
"IPO5",3
"KAT5",3
"KIAA0368",3
"LYPLA2",3
"MAPK1",3
"MAPK8IP3",3
"MLEC",3
"MTURN",3
"MUS81",3
"NAPA",3
"NCOA4",3
"NCSTN",3
"NELFB",3
"OTUD5",3
"PDAP1",3
"PHF20",3
"PMPCB",3
"PPP1R9A",3
"PRDX2",3
"PRPF39",3
"PRRC2A",3
"PSMC6",3
"PSME3",3
"R3HDM1",3
"RAB11FIP3",3
"RBBP4",3
"RBM39",3
"RHOA",3
"RPL6",3
"SCAF1",3
"SCAF8",3
"SENP5",3
"SET",3
"SF3A1",3
"SH2B1",3
"SP3",3
"ST13",3
"SUMO1",3
"SYMPK",3
"SYVN1",3
"TCTN1",3
"TEX2",3
"TPR",3
"UBE2H",3
"UBE2I",3
"UBE3A",3
"USP22",3
"YME1L1",3
"ZER1",3
"ZNF12",3
"ZNF451",3
"ABHD13",2
"ABI2",2
"ACP1",2
"ACTR3",2
"ADAM10",2
"ADAR",2
"AFTPH",2
"AHCTF1",2
"AK1",2
"AKAP8L",2
"AKR1B1",2
"AKTIP",2
"ALAS1",2
"ANGEL2",2
"ANKS1A",2
"AP2B1",2
"AP3D1",2
"API5",2
"APOOL",2
"APPBP2",2
"APPL1",2
"ARF3",2
"ARFGAP2",2
"ARMC10",2
"ARMC8",2
"ARPC2",2
"ASH1L",2
"ASH2L",2
"ATAT1",2
"ATG3",2
"ATP2A2",2
"ATP6V1B2",2
"ATP6V1H",2
"BAG6",2
"BAZ1B",2
"BBS1",2
"BCL2L13",2
"BRD8",2
"BSDC1",2
"C1D",2
"CAMSAP2",2
"CAND1",2
"CAPZA1",2
"CAPZB",2
"CCNT2",2
"CCT4",2
"CDC34",2
"CDK13",2
"CENPT",2
"CEP295",2
"CHD2",2
"CHD7",2
"CHD8",2
"CHID1",2
"CHMP3",2
"CHMP5",2
"CHMP7",2
"CLNS1A",2
"CNOT4",2
"COG7",2
"COPB1",2
"COPB2",2
"COPG1",2
"COPS4",2
"CPT1C",2
"CRAMP1",2
"CUL2",2
"CUL3",2
"CUL4B",2
"DCAF1",2
"DCAF11",2
"DCAF5",2
"DCTN2",2
"DDX6",2
"DENND5A",2
"DHX38",2
"DNAJA2",2
"DST",2
"DZIP3",2
"EBLN3",2
"EDC4",2
"EDNRB",2
"EFCAB14",2
"EIF2S1",2
"EIF3M",2
"ELP2",2
"ENSA",2
"EPS8",2
"ERLIN2",2
"FAM120B",2
"FARP2",2
"FBXO21",2
"FBXO28",2
"FEZ1",2
"FMN1",2
"FYN",2
"FYTTD1",2
"GABARAP",2
"GALNT11",2
"GCC2",2
"GLYR1",2
"GNA11",2
"GPBP1",2
"GPR173",2
"GSK3B",2
"GTF2A1",2
"GTF3C5",2
"HAGH",2
"HGS",2
"HINT1",2
"HMG20A",2
"HP1BP3",2
"HSPA9",2
"IDH3B",2
"ILF3",2
"ILKAP",2
"INPP5A",2
"IPO13",2
"IPO9",2
"KHDRBS1",2
"KIAA0895",2
"KIAA1191",2
"KLHDC10",2
"KPNB1",2
"LAMP1",2
"LAMTOR3",2
"LEMD2",2
"LMAN1",2
"LSM14A",2
"MAP2K7",2
"MAP3K13",2
"MCPH1",2
"MDH2",2
"MED22",2
"MGAT3",2
"MIEF1",2
"MLLT1",2
"MLLT10",2
"MOCS1",2
"MPPE1",2
"MPV17",2
"MRFAP1",2
"MTMR9",2
"MYEF2",2
"NAA35",2
"NAPEPLD",2
"NCL",2
"NCOA1",2
"NDST2",2
"NDUFAB1",2
"NDUFV3",2
"NECAP1",2
"NELFCD",2
"NISCH",2
"NORAD",2
"NR1H2",2
"NSG1",2
"NT5C2",2
"NUDCD3",2
"NUS1",2
"OCIAD1",2
"P4HTM",2
"PACS1",2
"PACS2",2
"PATZ1",2
"PCMT1",2
"PFDN5",2
"PGBD5",2
"PHB2",2
"PHKA2",2
"PI4KB",2
"PIGT",2
"PIK3CB",2
"PJA2",2
"PMPCA",2
"POLR3A",2
"POT1",2
"PPIL2",2
"PPP1R12A",2
"PPP1R37",2
"PPP2CA",2
"PPP2R1A",2
"PPP2R5B",2
"PRDM4",2
"PRR12",2
"PSMD13",2
"PSMD14",2
"PSMD3",2
"PTCD3",2
"PTDSS2",2
"PTK2",2
"PUM1",2
"RAB14",2
"RAB1A",2
"RAB3GAP1",2
"RAB5C",2
"RAB6A",2
"RABGAP1",2
"RACK1",2
"RAD23A",2
"RAD23B",2
"RBM10",2
"RBM25",2
"RBSN",2
"RIC8A",2
"RMDN3",2
"RNF115",2
"RPRD1A",2
"RSRC2",2
"SAMD8",2
"SAMM50",2
"SAP18",2
"SCAF4",2
"SCAP",2
"SEC13",2
"SEC31A",2
"SEC62",2
"SECISBP2L",2
"SENP6",2
"SERINC3",2
"SETDB1",2
"SH3GLB2",2
"SLC25A46",2
"SLC7A14",2
"SMAD2",2
"SMARCA2",2
"SMARCA5",2
"SMARCB1",2
"SMG7",2
"SMIM13",2
"SMU1",2
"SNX5",2
"SNX6",2
"SPIN1",2
"SRP68",2
"SSB",2
"SSRP1",2
"STAM2",2
"STARD7",2
"STAU2",2
"STRN3",2
"STT3B",2
"STX12",2
"STX7",2
"SUPT16H",2
"SYNRG",2
"TAB3",2
"TAF6",2
"TALDO1",2
"TCF12",2
"TCP1",2
"TERF2",2
"TEX261",2
"TFCP2",2
"TJP1",2
"TM9SF3",2
"TMED8",2
"TMEM131",2
"TMEM167A",2
"TMEM183A",2
"TMEM94",2
"TMSB4X",2
"TNKS",2
"TP53BP1",2
"TPM1",2
"TRAF3IP1",2
"TRAPPC6B",2
"TRIM24",2
"TSPAN5",2
"TTI1",2
"TUBGCP2",2
"TUBGCP6",2
"UBE2D2",2
"UBE2E1",2
"UBE2K",2
"UBE2O",2
"UBE2V2",2
"UBE2W",2
"UBE3B",2
"UBL3",2
"UBL5",2
"UBN1",2
"UBR3",2
"UNK",2
"URM1",2
"USF2",2
"USO1",2
"USP20",2
"USP33",2
"VPS13D",2
"VPS26B",2
"WASL",2
"WHSC1L1",2
"WIZ",2
"XPO7",2
"YIPF4",2
"YWHAE",2
"ZBTB11",2
"ZDBF2",2
"ZFP90",2
"ZFP91",2
"ZFR",2
"ZNF354C",2
"ZNF397",2
"ZNF592",2
"ZNF76",2
"AAGAB",1
"AAMP",1
"ABCA2",1
"ABCB8",1
"ABHD16A",1
"ABLIM2",1
"ACACA",1
"ACAP3",1
"ACBD5",1
"ACER3",1
"ACOT7",1
"ACOX1",1
"ACSL6",1
"ACTN1",1
"ACTR1A",1
"ACTR1B",1
"ACVR1B",1
"ADD3",1
"ADGRB3",1
"ADGRL1",1
"ADGRL3",1
"ADIPOR2",1
"ADRM1",1
"AES",1
"AFF4",1
"AGAP3",1
"AGBL5",1
"AGFG1",1
"AGGF1",1
"AKAP10",1
"AKIRIN1",1
"AKT3",1
"ALDH18A1",1
"ALG10B",1
"ALG9",1
"ALS2",1
"AMFR",1
"AMIGO1",1
"AMMECR1L",1
"ANAPC1",1
"ANGEL1",1
"ANKIB1",1
"ANKRD40",1
"ANP32A",1
"ANXA7",1
"AP2A1",1
"AP3M2",1
"AP3S1",1
"AP5M1",1
"APBB1",1
"ARFGEF2",1
"ARFIP2",1
"ARID1A",1
"ARIH1",1
"ARIH2",1
"ARL5A",1
"ARL6IP4",1
"ARMC6",1
"ARPC3",1
"ARRDC1-AS1",1
"ASB1",1
"ASB6",1
"ASPH",1
"ATG16L1",1
"ATG4A",1
"ATG9A",1
"ATIC",1
"ATM",1
"ATP2B1",1
"ATP5B",1
"ATP5C1",1
"ATP5G3",1
"ATP6V0B",1
"ATP6V1C1",1
"ATP6V1E1",1
"ATP6V1G1",1
"ATP6V1G2",1
