Feature:,Flag:,Collapse Group:,Notes:
mh_AA repair,MH: Abdominal aortic aneurysm (AAA),Abdominal aortic aneurysm (AAA),"AAA = abdominal aortic aneurysm. ""mh_aneurysm"" alone is ambiguous (could be aortic or cerebral) -- verify before merging into this group"
mh_AAA,MH: Abdominal aortic aneurysm (AAA),Abdominal aortic aneurysm (AAA),"AAA = abdominal aortic aneurysm. ""mh_aneurysm"" alone is ambiguous (could be aortic or cerebral) -- verify before merging into this group"
mh_abdominal aortic aneurysm-s/p sx,MH: Abdominal aortic aneurysm (AAA),Abdominal aortic aneurysm (AAA),"AAA = abdominal aortic aneurysm. ""mh_aneurysm"" alone is ambiguous (could be aortic or cerebral) -- verify before merging into this group"
mh_Alcohol abuse,MH: Alcohol abuse,Alcohol abuse,"EtOH = ethanol/alcohol, standard medical shorthand"
mh_EtOH,MH: Alcohol abuse,Alcohol abuse,"EtOH = ethanol/alcohol, standard medical shorthand"
mh_EtOH abuse,MH: Alcohol abuse,Alcohol abuse,"EtOH = ethanol/alcohol, standard medical shorthand"
mh_alcohol abuse,MH: Alcohol abuse,Alcohol abuse,"EtOH = ethanol/alcohol, standard medical shorthand"
mh_Alzheimer's,MH: Alzheimer's disease,Alzheimer's disease,"Alzheimer's, including compound entries like ""Alzheimer's depression"" and ""early Alzheimers"" -- the depression component should probably also count toward a depression flag if compound entries get split. "
mh_Alzheimers,MH: Alzheimer's disease,Alzheimer's disease,"Alzheimer's, including compound entries like ""Alzheimer's depression"" and ""early Alzheimers"" -- the depression component should probably also count toward a depression flag if compound entries get split. "
mh_alzheimer's,MH: Alzheimer's disease,Alzheimer's disease,"Alzheimer's, including compound entries like ""Alzheimer's depression"" and ""early Alzheimers"" -- the depression component should probably also count toward a depression flag if compound entries get split. "
mh_early Alzheimers,MH: Alzheimer's disease,Alzheimer's disease,"Alzheimer's, including compound entries like ""Alzheimer's depression"" and ""early Alzheimers"" -- the depression component should probably also count toward a depression flag if compound entries get split. "
mh_Anemia,MH: Anemia,Anemia,
mh_anemic,MH: Anemia,Anemia,
mh_chronic anemia,MH: Anemia,Anemia,
mh_aortic anersym,MH: Abdominal aortic aneurysm (AAA),Aortic aneurysm (location unspecified),"AAA = abdominal aortic aneurysm. ""mh_aneurysm"" alone is ambiguous (could be aortic or cerebral) -- verify before merging into this group. "
mh_aortic aneurysm,MH: Abdominal aortic aneurysm (AAA),Aortic aneurysm (location unspecified),"AAA = abdominal aortic aneurysm. ""mh_aneurysm"" alone is ambiguous (could be aortic or cerebral) -- verify before merging into this group. "
mh_A Fib,MH: Atrial fibrillation,Atrial fibrillation (A Fib),"A Fib = atrial fibrillation (irregular heartbeat). Several rows also append other conditions (e.g. ""high cholesterol"") in the same cell -- these are compound entries that should be split before collapsing. Includes a row noting Coumadin (a blood thinner) prescribed for A Fib"
mh_A fib,MH: Atrial fibrillation,Atrial fibrillation (A Fib),"A Fib = atrial fibrillation (irregular heartbeat). Several rows also append other conditions (e.g. ""high cholesterol"") in the same cell -- these are compound entries that should be split before collapsing. Includes a row noting Coumadin (a blood thinner) prescribed for A Fib"
mh_A. Fib,MH: Atrial fibrillation,Atrial fibrillation (A Fib),"A Fib = atrial fibrillation (irregular heartbeat). Several rows also append other conditions (e.g. ""high cholesterol"") in the same cell -- these are compound entries that should be split before collapsing. Includes a row noting Coumadin (a blood thinner) prescribed for A Fib"
mh_A. fib,MH: Atrial fibrillation,Atrial fibrillation (A Fib),"A Fib = atrial fibrillation (irregular heartbeat). Several rows also append other conditions (e.g. ""high cholesterol"") in the same cell -- these are compound entries that should be split before collapsing. Includes a row noting Coumadin (a blood thinner) prescribed for A Fib"
mh_Afib,MH: Atrial fibrillation,Atrial fibrillation (A Fib),"A Fib = atrial fibrillation (irregular heartbeat). Several rows also append other conditions (e.g. ""high cholesterol"") in the same cell -- these are compound entries that should be split before collapsing. Includes a row noting Coumadin (a blood thinner) prescribed for A Fib"
mh_on Coumadin for A Fib,MH: Atrial fibrillation,Atrial fibrillation (A Fib),"A Fib = atrial fibrillation (irregular heartbeat). Several rows also append other conditions (e.g. ""high cholesterol"") in the same cell -- these are compound entries that should be split before collapsing. Includes a row noting Coumadin (a blood thinner) prescribed for A Fib"
mh_Bladder cancer with mets,MH: Bladder cancer,Bladder cancer,
mh_bladder cancer,MH: Bladder cancer,Bladder cancer,
mh_bladder cancer diagnosed 11/04,MH: Bladder cancer,Bladder cancer,
mh_Breast cancer,MH: Breast cancer,Breast cancer,
mh_Masectomy,MH: Breast cancer,Breast cancer,
mh_breast cancer,MH: Breast cancer,Breast cancer,
mh_breast cancer(s/p mastectomy),MH: Breast cancer,Breast cancer,
"oc_""laser for cataract surgery""",OC: Cataract surgery,Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataract surgery,OC: Cataract surgery,Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_cataracts surgery,OC: Cataract surgery,Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataracts,OC: Cataracts (general/unspecified),Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_cataract,OC: Cataracts (general/unspecified),Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_cataracts,OC: Cataracts (general/unspecified),Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataracts (no surgery),OC: Cataracts (no surgery),Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_cataracts (no surgery),OC: Cataracts (no surgery),Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_develop cataract,OC: Cataracts (no surgery),Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_senile cataracts (no surgery),OC: Cataracts (no surgery),Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_radiation cataracts,OC: Cataracts (general/unspecified),Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataracts (OD),OC: Cataracts (general/unspecified),Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_cataracts (OD),OC: Cataracts (general/unspecified),Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataracts (OS),OC: Cataracts (general/unspecified),Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_cataracts (OS),OC: Cataracts (general/unspecified),Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataract surgery (OU),OC: Cataract surgery,Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataract surgery (OU) 1 yr before death,OC: Cataract surgery,Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataract surgery OU in 2008,OC: Cataract surgery,Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataracts (surgery OU),OC: Cataract surgery,Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_cataract surgery OU in 2008,OC: Cataract surgery,Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_cataract surgery ou approx 5 yrs before death,OC: Cataract surgery,Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataracts (OU),OC: Cataracts (general/unspecified),Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataracts OU,OC: Cataracts (general/unspecified),Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
