Feature:,Collapse Group:,Notes:
mh_-,0,treating as missing data
mh_N/A,0,treating as missing data
oc_AMD (Avastin injections),0,"This restates the AMD diagnosis itself and should be excluded from features, not just consolidated. ""oc_AMD (wet)"" was flagged separately as having slipped past the current leakage filter -- confirm it and all AMD-note variants here are excluded."
oc_AMD (Lucentis injections),0,"This restates the AMD diagnosis itself and should be excluded from features, not just consolidated. ""oc_AMD (wet)"" was flagged separately as having slipped past the current leakage filter -- confirm it and all AMD-note variants here are excluded."
oc_AMD (OD),0,"This restates the AMD diagnosis itself and should be excluded from features, not just consolidated. ""oc_AMD (wet)"" was flagged separately as having slipped past the current leakage filter -- confirm it and all AMD-note variants here are excluded."
oc_AMD (took vitamins),0,"This restates the AMD diagnosis itself and should be excluded from features, not just consolidated. ""oc_AMD (wet)"" was flagged separately as having slipped past the current leakage filter -- confirm it and all AMD-note variants here are excluded."
oc_AMD (wet),0,"This restates the AMD diagnosis itself and should be excluded from features, not just consolidated. ""oc_AMD (wet)"" was flagged separately as having slipped past the current leakage filter -- confirm it and all AMD-note variants here are excluded."
oc_AMD -took vitamins,0,"This restates the AMD diagnosis itself and should be excluded from features, not just consolidated. ""oc_AMD (wet)"" was flagged separately as having slipped past the current leakage filter -- confirm it and all AMD-note variants here are excluded."
oc_AMD?,0,"This restates the AMD diagnosis itself and should be excluded from features, not just consolidated. ""oc_AMD (wet)"" was flagged separately as having slipped past the current leakage filter -- confirm it and all AMD-note variants here are excluded."
oc_macular degeneraton,0,"Likely typo for ""macular degeneration"" -- another AMD chart note that restates the label; should be excluded as leakage, same as the oc_AMD variants."
oc_on Ocuvite,0,"Retinal injections and Ocuvite (a vitamin supplement) are typically AMD treatments -- like the AMD chart notes above, these may indirectly restate AMD status and are worth reviewing as potential leakage, not just typos to merge."
oc_retinal injection,0,"Retinal injections and Ocuvite (a vitamin supplement) are typically AMD treatments -- like the AMD chart notes above, these may indirectly restate AMD status and are worth reviewing as potential leakage, not just typos to merge."
oc_Saw eye doctor,0,"Records that an eye exam occurred, not a specific diagnosis -- low information value as a feature."
oc_drops at time of surgery,0,"Refers to drops used during/around a surgical procedure, not a chronic dry-eye diagnosis -- keep separate from the dry eye group above."
oc_?,0,treating as missing data
oc_n/a,0,treating as missing data
oc_unknown,0,treating as missing data
A69S_GG,A69S_GG,"AMD-associated genotype (ARMS2 gene, A69S SNP). GG/GT/TT are the three genotype states"
A69S_GT,A69S_GT,"AMD-associated genotype (ARMS2 gene, A69S SNP). GG/GT/TT are the three genotype states"
A69S_TT,A69S_TT,"AMD-associated genotype (ARMS2 gene, A69S SNP). GG/GT/TT are the three genotype states"
mh_AA repair,Abdominal aortic aneurysm (AAA); chronic inflammatory issue,"AAA = abdominal aortic aneurysm. ""mh_aneurysm"" alone is ambiguous (could be aortic or cerebral)"
mh_AAA,Abdominal aortic aneurysm (AAA); chronic inflammatory issue,"AAA = abdominal aortic aneurysm. ""mh_aneurysm"" alone is ambiguous (could be aortic or cerebral)"
mh_abdominal aortic aneurysm-s/p sx,Abdominal aortic aneurysm (AAA); chronic inflammatory issue,"AAA = abdominal aortic aneurysm. ""mh_aneurysm"" alone is ambiguous (could be aortic or cerebral)"
mh_Alcohol abuse,Alcohol abuse; chronic inflammatory issue,"EtOH = ethanol/alcohol, standard medical shorthand"
mh_EtOH,Alcohol abuse; chronic inflammatory issue,"EtOH = ethanol/alcohol, standard medical shorthand"
mh_EtOH abuse,Alcohol abuse; chronic inflammatory issue,"EtOH = ethanol/alcohol, standard medical shorthand"
mh_alcohol abuse,Alcohol abuse; chronic inflammatory issue,"EtOH = ethanol/alcohol, standard medical shorthand"
