"gene","frequency"
"SERPING1",89
"MAOB",88
"PTGS1",87
"HLA-DRA",85
"C1R",78
"C1S",69
"APOBEC3C",61
"SLC9A9",60
"TMEM98",47
"PLEKHS1",45
"CTSZ",35
"LIX1",35
"PSMB8",32
"C3",29
"CFB",29
"ANKRD35",26
"FBLN5",26
"B2M",24
"PSMB8-AS1",22
"LINC01411",21
"PTX3",19
"FGF1",16
"F5",14
"HLA-DPA1",14
"ACOX2",13
"PSMB9",12
"HLA-B",10
"MR1",9
"HLA-DMB",8
"ISLR",8
"DAAM2",7
"POLR2B",7
"SERPINA5",7
"SLC39A13",7
"CNTN1",6
"TRIM33",6
"AASDHPPT",5
"C1RL",5
"CASD1",5
"CASP8AP2",5
"CCND1",5
"CEP295",5
"GCC2",5
"GIT1",5
"LZTFL1",5
"PRKACB",5
"SELT",5
"SP3",5
"ARSD",4
"ATG12",4
"ATRNL1",4
"CAMTA2",4
"CAND1",4
"CAPZA2",4
"CCDC43",4
"CCNC",4
"CDH18",4
"CUL5",4
"DSTN",4
"EDC4",4
"FYTTD1",4
"GOPC",4
"HLA-DQA1",4
"JMJD8",4
"KPNA1",4
"LZTR1",4
"MED13",4
"MED24",4
"MTDH",4
"NMD3",4
"NRXN1",4
"NUCB1",4
"OTUD6B-AS1",4
"PCNP",4
"PCNX3",4
"PNRC2",4
"POM121L9P",4
"PPARD",4
"PPP1R12C",4
"PRKCB",4
"PTPN23",4
"REEP5",4
"RIF1",4
"RNF19A",4
"ROBO2",4
"SNX13",4
"SOX6",4
"SPPL2B",4
"STUB1",4
"TAOK1",4
"TBL3",4
"TM9SF3",4
"TRIM22",4
"UBE2D3",4
"UBL3",4
"UBR1",4
"UFM1",4
"UPF1",4
"VPS28",4
"WAC",4
"YIPF6",4
"ABCA3",3
"AFTPH",3
"ANKS1B",3
"APBB1",3
"APPBP2",3
"ARL8B",3
"ARSA",3
"BRSK1",3
"BSG",3
"BTBD2",3
"C2",3
"CHD9",3
"CNN3",3
"CNOT2",3
"COL4A3BP",3
"CPSF3L",3
"CSMD3",3
"CTBP1",3
"CTSO",3
"CUL2",3
"DARS",3
"DCK",3
"DIS3",3
"DLG2",3
"DPP8",3
"ECE1",3
"EIF3K",3
"EIF3M",3
"ELFN1",3
"EPHA7",3
"FAM73B",3
"FAM8A1",3
"FASTKD2",3
"FBXW5",3
"FGF14",3
"FLII",3
"FUK",3
"GCN1",3
"GGA1",3
"GRK2",3
"HBS1L",3
"HPS1",3
"IDH3G",3
"IGSF8",3
"IL1R1",3
"IPMK",3
"JAK2",3
"KB-1460A1.5",3
"KIF5B",3
"KMT2B",3
"LSAMP",3
"LUC7L2",3
"MAPK8IP1",3
"MARCH7",3
"MCRIP1",3
"NCL",3
"NDUFA5",3
"NDUFS8",3
"NUP54",3
"PANK3",3
"PHIP",3
"PLEKHM2",3
"PLOD2",3
"PNPLA6",3
"POT1",3
"PPP4R3B",3
"PPP6C",3
"PPP6R1",3
"PSD",3
"PSMD1",3
"PSMD12",3
"PTGES2",3
