"gene","frequency"
"HLA-DRA",82
"C1R",70
"LIX1",46
"SERPING1",43
"PTGS1",33
"HLA-DPA1",29
"CFB",22
"HLA-B",20
"PSMB8",20
"SLC9A9",20
"MAOB",18
"C3",14
"FGF1",11
"F5",9
"C1S",8
"RARRES3",8
"B2M",7
"TMEM98",7
"DGCR2",6
"DLGAP1-AS2",6
"HFE",6
"ZFAND6",6
"APOBEC3C",5
"CCND1",5
"FGF14",5
"GPS1",5
"MOXD1",5
"RIF1",5
"SP3",5
"TCEA2",5
"TMEM170B",5
"ACAP3",4
"ARVCF",4
"BCLAF1",4
"CALD1",4
"CAPN1",4
"CAST",4
"CDIPT",4
"CTB-50L17.10",4
"DGAT1",4
"DNM1L",4
"FERMT2",4
"FUT11",4
"GOLGA5",4
"HDAC2",4
"HECTD1",4
"HECW2",4
"INHBA",4
"KLHL22",4
"MYBBP1A",4
"ORC4",4
"P2RY6",4
"PIK3CB",4
"PIN1",4
"POT1",4
"PPP1R37",4
"PSMB9",4
"SCFD1",4
"SNX13",4
"TMEM259",4
"VIM",4
"VPS13A",4
"ACD",3
"ACTR3",3
"AES",3
"AGAP3",3
"AKT1",3
"ANO3",3
"AP2A1",3
"ARAP2",3
"ARHGEF28",3
"ARSA",3
"ATP6V0E1",3
"ATP7A",3
"BAP1",3
"BRF1",3
"C2CD5",3
"CCDC43",3
"CERKL",3
"CHD9",3
"CHIC1",3
"COMT",3
"COPS2",3
"CUEDC2",3
"CUL5",3
"DCTN4",3
"DDX18",3
"DNAJB14",3
"EBLN3",3
"EDEM3",3
"EDIL3",3
"FAM13B",3
"FBRS",3
"FLYWCH2",3
"FMR1",3
"FYTTD1",3
"GABPA",3
"GABRG2",3
"GALNT15",3
"GPBP1",3
"GPR137",3
"GRM5",3
"HGS",3
"HPCAL1",3
"HSPA13",3
"ICE2",3
"ITGB1",3
"KIF1A",3
"LAMC1",3
"LAMTOR4",3
"LHFPL2",3
"LIFR",3
"MAP3K5",3
"MAPK8IP3",3
"MATR3",3
"MRPL13",3
"MUS81",3
"NAE1",3
"NCLN",3
"NEURL4",3
"NFIB",3
"NIPBL",3
"NRIP3",3
"OSBPL8",3
"PAXBP1",3
"PHTF2",3
"PI4KB",3
"PIGK",3
"PLD3",3
"PLEKHM2",3
"PMPCB",3
"PMS1",3
"POLR2E",3
"PPIG",3
"PPM1A",3
"PPM1K",3
"PRKCB",3
"PRKCSH",3
"PRPF40A",3
"PSMB8-AS1",3
"PTBP2",3
"PTPN4",3
"RALYL",3
"RDX",3
"RFK",3
"RHOU",3
"RNASET2",3
"RP11-155G14.6",3
"RP11-274H2.5",3
"SART1",3
"SBF1",3
"SELT",3
"SENP1",3
"SERGEF",3
"SH3GL1",3
"SH3GLB2",3
"SH3RF1",3
"SHARPIN",3
"SLC38A10",3
"STAT3",3
"STK11",3
"TAB3",3
"THUMPD1",3
"TM9SF3",3
"TMEM94",3
"TNFRSF1B",3
"TNPO2",3
"TRAPPC6B",3
"UPF1",3
"UTP3",3
"WWTR1",3
"ZC3H11A",3
"ZC3H3",3
"ZMYM2",3
"ABCB6",2
"ABCG4",2
"ABI2",2
"AC125232.1",2
"ACHE",2
"ACOX1",2
"ACSL4",2
"AFAP1L2",2
"AFTPH",2
"AGPS",2
"AHCTF1",2
"AIP",2
"AK1",2
"AMPH",2
"ANAPC11",2
"ANAPC4",2
"ANKS1B",2
"ANTXR1",2
"ANXA5",2
"AP3S1",2
"ARFGEF1",2
"ARHGAP33",2
"ARHGEF10L",2
"ARHGEF17",2
"ARHGEF9",2
"ARL8B",2
"ASPSCR1",2
"ATAD2B",2
"ATG2A",2
"ATP1B1",2
"ATP1B3",2
"ATP6V1B2",2
"ATP6V1C1",2
"ATRNL1",2
"ATRX",2
"AURKAIP1",2
"AVL9",2
"AZI2",2
"BIRC2",2
"BRAT1",2
"BRIX1",2
"BTN3A3",2
"C19orf25",2
"C1QBP",2
"C2",2
"C7orf43",2
"CAPZA2",2
"CASKIN2",2
"CASP4",2
"CCDC130",2
"CCDC47",2
"CCDC50",2
"CCDC91",2
"CD58",2
"CDC42EP3",2
"CDH11",2
"CDK9",2
"CENPB",2
"CEP57",2
"CGGBP1",2
"CLPP",2
"CLPTM1",2
"CLPTM1L",2
"CNOT3",2
"COA7",2
"COPB1",2
"COPE",2
"COPS7A",2
"COPZ2",2
"COX5A",2
"CPSF2",2
"CPSF3L",2
"CPTP",2
"CRELD1",2
"CRIP2",2
"CRNKL1",2
"CTD-2292P10.4",2
"CTDSP1",2
"CTSZ",2
"CYC1",2
"CYLD",2
"DBN1",2
"DBNDD1",2
"DCAF11",2
"DCAF13",2
"DCK",2
"DCP2",2
"DDX1",2
"DHX15",2
"DHX29",2
"DHX30",2
"DHX36",2
"DHX57",2
"DLAT",2
"DLD",2
"DLG1",2
"DLG2",2
"DMXL1",2
"DMXL2",2
"DNAJB12",2
"DNAL1",2
"DOCK7",2
"DOK6",2
"DPP6",2
"DPP8",2
"DRAM1",2
"DRAP1",2
"DUS1L",2
"EEF2",2
"EFR3A",2
"EGFR",2
"EGLN2",2
"EIF2S1",2
"EIF4E",2
"EIF4G2",2
"ELFN2",2
"EMSY",2
"EPHA5",2
"EPRS",2
"ERO1A",2
"ESCO1",2
"ESYT2",2
"ETNPPL",2
"EXOC5",2
"FAM160B2",2
"FAM199X",2
"FAM3A",2
"FAM3C",2
"FAR2",2
"FAT3",2
"FBXO3",2
"FBXW4",2
"FBXW5",2
"FGF12",2
"FIS1",2
"FKBP2",2
"FKBP8",2
"FLT1",2
"FNDC3A",2
"FOXP2",2
"FPGS",2
"FREM1",2
"GAA",2
"GAB3",2
"GABRG3",2
"GCC2",2
"GDPD5",2
"GGNBP2",2
"GLIS3",2
"GLRA2",2
"GNA11",2
"GOLGB1",2
"GPR107",2
"GPRC5A",2
"GPX4",2
"GRIA1",2
"GRIA2",2
"GRIN2B",2
"GRN",2
"GTPBP1",2
"HACD3",2
"HACL1",2
"HDAC5",2
"HECTD2",2
"HELB",2
"HNRNPCP1",2
"HNRNPR",2
"HRAS",2
"HSF2",2
"IER3IP1",2
"IGFBP7",2
"IRAK4",2
"ITCH",2
"ITPKC",2
"JADE2",2
"JAK2",2
"KAT2B",2
"KCNH2",2
"KDM6B",2
"KIRREL3",2
"KLHDC10",2
"KPNA1",2
"KPNA3",2
"KRR1",2
"LANCL1",2
"LARP4",2
"LETM1",2
"LINC01411",2
"LITAF",2
"LMAN1",2
"LMAN2L",2
"LRBA",2
"LRPAP1",2
"LRRC37BP1",2
"LRRC7",2
"LTBP1",2
"LTV1",2
"LYPLA2",2
"LZTFL1",2
"MAK16",2
"MAP10",2
"MAP2K2",2
"MAP7D1",2
"MAPK12",2
"MCRIP1",2
"MCRS1",2
"MDGA2",2
"METAP2",2
"MID1",2
"MIR4435-2HG",2
"MLLT1",2
"MRPL54",2
"MRPS23",2
"MSN",2
"MTURN",2
"MTX3",2
"MXD4",2
"MYL12A",2
"MYL9",2
