"","from","to","NA"
"1","ENSG00000243649","ENSG00000149131",0.94140910894965
"2","ENSG00000182326","ENSG00000069535",0.93216835221033
"3","ENSG00000204287","ENSG00000231389",0.924307078367684
"4","ENSG00000181804","ENSG00000069535",0.91577885996235
"5","ENSG00000159403","ENSG00000149131",0.908888038500873
"6","ENSG00000182326","ENSG00000149131",0.906529236640641
"7","ENSG00000182326","ENSG00000243649",0.906460064626611
"8","ENSG00000243649","ENSG00000180638",0.90246567345499
"9","ENSG00000125730","ENSG00000159403",0.897125049773568
"10","ENSG00000125730","ENSG00000149131",0.896054218559734
"11","ENSG00000166710","ENSG00000204287",0.895414720748852
"12","ENSG00000149131","ENSG00000180638",0.891194390780462
"13","ENSG00000182326","ENSG00000204287",0.889937104496203
"14","ENSG00000149131","ENSG00000069535",0.88948412284377
"15","ENSG00000125730","ENSG00000128262",0.889218462617736
"16","ENSG00000242574","ENSG00000204257",0.887994658968586
"17","ENSG00000125730","ENSG00000166278",0.887260277338483
"18","ENSG00000182326","ENSG00000181804",0.886208479007563
"19","ENSG00000182326","ENSG00000159403",0.885026628124105
"20","ENSG00000243649","ENSG00000159403",0.884915280649084
"21","ENSG00000153029","ENSG00000069535",0.882368138055136
"22","ENSG00000243649","ENSG00000069535",0.880479488019237
"23","ENSG00000204287","ENSG00000069535",0.878777727882011
"24","ENSG00000153029","ENSG00000149131",0.878092267090122
"25","ENSG00000149131","ENSG00000164761",0.875570038672656
"26","ENSG00000149131","ENSG00000166278",0.875538755441694
"27","ENSG00000243649","ENSG00000164761",0.872803564385713
"28","ENSG00000182326","ENSG00000153029",0.872317602969586
"29","ENSG00000159403","ENSG00000139178",0.868917054341714
"30","ENSG00000243649","ENSG00000166278",0.867566343081577
"31","ENSG00000164761","ENSG00000069535",0.867295313988616
"32","ENSG00000163453","ENSG00000069535",0.866144707638615
"33","ENSG00000204264","ENSG00000240065",0.863376021070534
"34","ENSG00000204287","ENSG00000181804",0.861895201559242
"35","ENSG00000153029","ENSG00000181804",0.859932490689797
"36","ENSG00000182326","ENSG00000112936",0.856873347465307
"37","ENSG00000149131","ENSG00000140092",0.852930581999154
"38","ENSG00000153029","ENSG00000163453",0.84968188770124
"39","ENSG00000159403","ENSG00000128262",0.848794460633705
"40","ENSG00000182326","ENSG00000166710",0.848441389953028
"41","ENSG00000204264","ENSG00000234745",0.847103541028196
