sample_id,z0,z1,z2,z3,z4,z5,z6,z7,mgs_level
2,-0.001393538,-0.009662144,-0.001238171,-0.0014237091,0.00082567707,-0.014814576,-0.0003695041,-0.0026731156,MGS1
4,0.0037709177,-0.006677091,0.005832333,0.0087568015,-0.007564349,-0.00026972778,-0.006907083,0.0029626489,MGS1
6,-0.008603718,0.01006116,-0.0011802278,0.0052441433,0.002999926,0.0006077904,0.014574945,0.001606565,MGS1
9,0.008907352,-0.004089713,-0.011230502,0.01857873,0.0023342576,-0.006235076,0.0040524304,-0.003060881,MGS1
17,-0.0067140795,0.013022259,-0.005442962,0.0038308278,-0.004385626,-0.007005973,0.0014119297,0.011695545,MGS1
18,0.008126732,-0.0031526834,-0.0004820116,0.0041926727,-0.0070769135,-0.008269554,0.0073678344,0.027897995,MGS1
32,0.012455393,0.00021258742,-0.013697956,-0.0046393797,0.013174774,-0.0082528535,-0.0012635365,0.012865048,MGS1
35,-0.0016096644,-0.008350074,0.008872222,0.003089644,-0.0058355983,0.0034045074,-0.0049551874,0.0016233027,MGS1
41,-0.0053116344,-0.007897884,-0.0004539974,-0.00490357,-0.007749265,-0.006065225,0.005734861,-0.0033686683,MGS1
42,-0.0062996894,0.0015737563,0.0028734468,0.0033113211,0.002377594,0.008231545,-0.011748195,-0.0034010895,MGS1
43,-0.009920295,0.002115421,0.0013932623,0.015387423,0.001882433,0.015658041,0.002152726,0.0047516935,MGS1
81,-0.0021928065,-0.004182175,0.010852914,-0.0096909925,0.008567596,0.008231381,-0.0068849325,-0.010372538,MGS1
89,-0.0011627786,0.014782384,-0.0018260963,-0.008057378,0.0067434255,-0.0011783596,-0.016912177,-0.0026979856,MGS1
99,-0.0058159344,-0.006349921,-0.005386431,0.0014456585,-0.0016174484,0.0007159021,-0.0017677769,0.012166496,MGS1
109,0.00542653,0.009032398,0.00509445,0.010005422,0.010121474,-0.01211671,0.0019808188,-0.0027089603,MGS1
115,0.0010270663,0.00414028,0.0032436065,-0.00572706,0.006541116,0.0071902927,0.006107971,0.0057105087,MGS1
117,-0.018326607,-0.0032561868,0.0013038181,-0.00635574,-0.010499587,0.0055961255,-0.009112477,-0.011213627,MGS1
119,-0.0045841374,0.013239458,-0.003998991,-0.0020281672,0.0015302431,-0.0063114744,0.0036148205,0.014831271,MGS1
120,-0.0050562285,-0.0038365498,0.00028435513,-0.014410727,0.0034323204,0.005233513,0.009292781,0.008462422,MGS1
126,-0.008209806,0.0028718263,0.0031310879,-0.0104164705,-1.0272488e-05,-0.001514731,0.0016310066,-0.0007698536,MGS1
137,0.0066731833,0.0056087226,0.004988514,-0.0002745241,-0.010193313,-0.0019049775,-0.01563745,-0.0012906566,MGS1
139,0.0064891614,-0.00019216537,-0.015144855,-0.002079673,-0.00808177,0.0016398598,-0.0016555637,0.010624822,MGS1
142,-0.012138676,0.009328358,-0.006901134,0.010448851,-0.002171239,-0.00075998716,-0.00078276545,-0.00774638,MGS1
145,-0.001723703,0.0048838183,0.0016046353,-0.01015275,0.0060158875,-0.00012311898,0.003993064,-0.0034274124,MGS1
149,-0.01113705,-0.007015839,0.0048790537,0.0073182955,0.0069430936,0.0026529338,0.006768763,0.00573878,MGS1
153,-0.011324625,0.0005520135,0.011488367,-0.0036260262,-0.0017129239,-0.0014568418,0.015831754,0.010413747,MGS1
162,0.005319897,-0.007976398,0.002122324,0.008034013,0.0025623608,-0.008259302,-0.016474798,-0.012504641,MGS1
163,-0.00909568,-0.00480216,0.0014760084,-0.0075475685,0.007029349,-0.009060865,-0.0030472055,-0.0028572716,MGS1
172,-0.014230195,-0.003500618,0.0045759194,-0.020050116,-0.0062501477,0.008368263,-0.010651842,-0.00024641678,MGS1
173,-0.0015547834,-0.0022048205,-0.0017080121,0.011512317,-0.00024920516,-0.00011262484,0.0045734346,0.00036211312,MGS1
177,0.010365903,0.0055516735,-0.0035949089,-0.0029466003,0.0004484076,-0.008164754,-0.01556091,-0.0057184845,MGS1
189,0.0005933158,0.002908133,-0.0024787486,0.0032615215,0.0043094903,-0.0031459313,0.01141651,-0.011027897,MGS1
217,-0.014122296,0.0040462166,0.0021703653,-0.017344259,0.00011608936,-0.0019320324,-0.008325085,0.003805872,MGS1
218,-0.0077555142,-0.008159488,-0.0039031543,-0.0059712306,0.005886713,-0.008857911,-0.009289011,0.0017179139,MGS1
229,0.007312048,0.0007315427,0.008314859,0.009425916,0.0024018828,-0.0017074104,0.0013295561,0.006045293,MGS1
237,-0.0052035637,0.0045662224,0.0014253147,-0.007599771,-0.010254243,0.006720038,-0.013782769,-0.002772674,MGS1
243,0.00471111,-0.0014736503,0.0069247745,0.0008180514,0.011783807,-0.018143697,0.0027179122,0.0060580783,MGS1
246,-0.009245988,-0.011874557,0.009587046,-0.002658777,0.0135100875,-0.0039952192,0.0012674108,-0.020622466,MGS1
251,0.0031872801,-0.0038610697,-0.0015007891,-0.001782015,-0.0021294355,-0.009304872,0.0066469386,0.0044654235,MGS1
254,-0.013118338,-0.008361146,0.00939564,-0.0039382502,-0.011310352,-0.0005907621,-0.012181506,-0.006551359,MGS1
264,-0.0028161965,0.0059888735,-0.0062474553,-0.015130043,-0.020840308,-0.010036884,0.0032190233,-0.0087723695,MGS1
265,-0.012539569,-0.0034686923,-0.0015996695,0.0013469085,0.0024946276,0.0010815542,0.009932309,0.012013722,MGS1
266,-0.007741373,0.01208733,0.0067613833,0.012040116,0.006305257,-1.837127e-05,0.012600884,0.010619301,MGS1
286,-0.008171324,0.0007135123,-0.006026488,-0.0017484277,-0.0063403132,-0.011752745,-0.005663775,0.014223486,MGS1
288,0.0044119544,-0.0042368174,0.0058872364,0.009664573,-0.002347445,-0.003698228,-0.00040122867,0.006504696,MGS1
291,-0.0035651587,0.012885347,0.004213523,0.012055986,-0.008602506,0.019774297,0.0050227195,0.0042633787,MGS1
292,-0.0021190606,-0.014563218,0.0036345683,-0.0043947026,-0.010332784,-0.00052577816,-0.008226737,0.007136397,MGS1
293,4.2025e-05,-0.0036081,-0.022295985,0.0014680028,0.00237176,0.00064590387,0.0031428337,0.008135285,MGS1
295,-0.00419781,0.008978099,0.003050983,-0.00097518414,-0.0047958386,-0.0068252664,0.0074933916,-0.0006221868,MGS1
307,0.0001972802,-0.0006160438,0.00609497,-0.0052572303,-0.012157848,0.008540193,0.0005155057,-0.005781386,MGS1
308,0.0026605614,0.0025600493,0.0014312826,0.0031151623,0.005546389,0.000509629,0.0012117028,-0.004793454,MGS1
311,-0.006697636,-0.0045734197,0.0027242713,0.004054643,-0.004900938,-0.00096075423,-0.00063714385,-0.0006602444,MGS1
313,0.0050122924,0.0053752884,-0.000500042,-0.0066109486,-0.010434872,0.0045961533,-0.008830652,-0.016805524,MGS1
