"","ENSG00000160307","ENSG00000162520","ENSG00000204261","ENSG00000182326","ENSG00000111801","ENSG00000206337","ENSG00000242574","ENSG00000188501","ENSG00000125730","ENSG00000095303","ENSG00000196735","ENSG00000079931","ENSG00000198734","ENSG00000243649","ENSG00000112936","ENSG00000231852","ENSG00000204264","ENSG00000153029","ENSG00000113578","ENSG00000198483","ENSG00000166710","ENSG00000107562","ENSG00000159403","ENSG00000133321","ENSG00000234745","ENSG00000204257","ENSG00000163661","ENSG00000151468","ENSG00000204287","ENSG00000231389","ENSG00000149131","ENSG00000240065","ENSG00000129009","ENSG00000197943","ENSG00000056998","ENSG00000174348","ENSG00000026297","ENSG00000157150","ENSG00000101104","ENSG00000130055","ENSG00000222009","ENSG00000101160","ENSG00000171631","ENSG00000160219","ENSG00000164761","ENSG00000166741","ENSG00000165633","ENSG00000140092","ENSG00000145721","ENSG00000186204","ENSG00000006042","ENSG00000188488","ENSG00000250942","ENSG00000163395","ENSG00000005243","ENSG00000204482","ENSG00000168306","ENSG00000010704","ENSG00000181804","ENSG00000180638","ENSG00000164106","ENSG00000249306","ENSG00000107611","ENSG00000134343","ENSG00000205542","ENSG00000244509","ENSG00000139178","ENSG00000163453","ENSG00000150977","ENSG00000132274","ENSG00000146122","ENSG00000100055","ENSG00000166278","ENSG00000069535","ENSG00000110092","ENSG00000128262","ENSG00000262001","ENSG00000131386","ENSG00000148735","ENSG00000204252","ENSG00000006756"
"2",18.9813750781118,9.45346266873193,11.9136011998266,8.82183148497683,7.31940299692745,12.8185695897031,14.8085498851861,6.2962344884497,16.8283724899868,14.2070902145124,23.4576884341502,34.7408147814662,11.9136011998266,12.5071065209542,16.3574524179676,13.3711989514394,18.6761685752494,9.5130352316924,12.317109879479,7.06657259838414,17.8882881361169,10.1780304818515,13.3711989514394,11.3211015749954,17.9654366813586,14.8856058860518,17.8882881361169,10.7106484444702,16.9557958928337,17.4689299171376,14.8085498851861,43.3259217822415,16.5480454932306,12.113710366473,14.2887003699131,11.2526946303703,10.6386780134075,6.77199006126217,7.06657259838414,5.82907072896699,11.523008962906,7.06657259838414,12.2392473819621,8.98905970146037,11.0211384957946,22.2645620654292,7.67916881592944,12.6722419043128,6.77199006126217,8.2639495987422,8.2639495987422,34.7408147814662,20.4495626141763,16.2767448635772,9.0920715910959,23.4576884341502,6.77199006126217,8.82183148497683,9.18438460965461,9.94965743941633,17.4689299171376,13.6113513656732,4.73754013445057,24.7050868871106,16.0496935664448,4.73754013445057,17.7829115194616,17.2120222361849,12.8185695897031,7.06657259838414,14.6954323365792,18.0907982378563,24.7050868871106,16.2767448635772,7.67916881592944,19.2909063458828,16.6964729024874,19.7961621614573,24.2955192816879,11.523008962906,19.7961621614573
"4",13.1676143170759,12.4384495531899,13.7863407581405,15.6790434388214,10.7106484444702,10.5568125466132,11.0211384957946,12.113710366473,8.89593394801544,15.5654879937685,14.2887003699131,11.653890597121,15.6790434388214,14.8856058860518,13.1676143170759,21.2189032672194,16.4666920320912,12.8927354962363,19.7961621614573,19.099172892856,15.9610496969094,14.8856058860518,17.8882881361169,16.5480454932306,15.8620532023643,12.0421576810946,17.3804417874051,24.2955192816879,12.6722419043128,16.2767448635772,12.1793178968556,15.0584068357436,16.0496935664448,9.69462381968931,22.2645620654292,9.60466566628851,12.113710366473,12.8185695897031,11.5704536075892,18.9813750781118,11.7276202082385,13.6874560957395,25.3082856711356,37.7704771563822,18.5340738125828,13.7863407581405,10.9448125102708,22.9677856713212,20.0289555424328,12.6003065443399,15.8620532023643,17.4689299171376,19.2909063458828,8.42219297588017,23.9898642836904,11.3871761672908,18.2295503476517,10.2964103147827,15.9610496969094,13.2222459269552,15.2898601067958,8.08656067201723,43.3259217822415,12.8185695897031,16.5480454932306,21.4637988284973,25.7992072766759,17.9654366813586,15.6790434388214,19.099172892856,13.6874560957395,13.6113513656732,16.9557958928337,17.7829115194616,9.0920715910959,13.6874560957395,16.9557958928337,13.7863407581405,17.7829115194616,10.0170535896966,14.8856058860518
"6",11.079431306891,7.67916881592944,14.0496604524468,9.27251514080665,11.9932435721514,17.9654366813586,25.3082856711356,10.8838732813413,10.1196804839593,9.77690675578526,14.0496604524468,9.69462381968931,8.2639495987422,9.18438460965461,12.2392473819621,13.4584643013403,11.3871761672908,4.73754013445057,8.68291724714972,8.82183148497683,14.5252473134773,11.9932435721514,13.0196992967368,11.4318600641236,22.2645620654292,37.7704771563822,16.8283724899868,17.4689299171376,13.3711989514394,11.3871761672908,10.4267762463507,11.9136011998266,14.8085498851861,12.0421576810946,9.35058014461751,15.0584068357436,16.4666920320912,7.67916881592944,8.68291724714972,15.9610496969094,10.2964103147827,10.0170535896966,18.9813750781118,6.2962344884497,10.5568125466132,11.653890597121,15.6790434388214,16.2767448635772,9.0920715910959,11.0211384957946,6.77199006126217,9.94965743941633,16.5480454932306,11.4318600641236,8.68291724714972,9.94965743941633,9.5130352316924,7.31940299692745,13.6874560957395,13.1159541436843,11.523008962906,8.08656067201723,11.3871761672908,21.7807120991562,11.9932435721514,9.18438460965461,11.7975246495811,11.4318600641236,10.4267762463507,11.5704536075892,10.8838732813413,18.7977160719189,15.0584068357436,9.87224573322695,8.08656067201723,7.59135375543174,12.0421576810946,9.94965743941633,14.1164530517464,11.0211384957946,9.27251514080665
"9",13.6113513656732,15.2898601067958,8.82183148497683,14.4523028432128,13.2222459269552,12.113710366473,12.317109879479,16.8283724899868,15.0584068357436,17.3804417874051,16.8283724899868,12.3812760159763,13.2222459269552,12.8927354962363,11.523008962906,9.5130352316924,9.94965743941633,14.4523028432128,12.8185695897031,15.7502936647635,11.9136011998266,14.2070902145124,12.2392473819621,12.4384495531899,8.89593394801544,13.3028073096392,14.8085498851861,9.87224573322695,11.9932435721514,15.0584068357436,10.1780304818515,14.5252473134773,14.4523028432128,16.2767448635772,22.9677856713212,14.8085498851861,14.3730194898383,17.7829115194616,9.27251514080665,14.0496604524468,12.9490981146665,10.7106484444702,12.317109879479,16.1518943731092,13.7863407581405,16.3574524179676,12.5071065209542,14.2887003699131,16.4666920320912,14.5252473134773,15.5654879937685,18.0907982378563,11.7276202082385,11.653890597121,9.94965743941633,14.0496604524468,9.18438460965461,12.6003065443399,17.0556142624647,19.2909063458828,16.0496935664448,8.08656067201723,9.69462381968931,11.653890597121,10.7919269606509,14.9641714833503,11.1685882197122,10.7106484444702,9.87224573322695,12.317109879479,17.2120222361849,11.9932435721514,9.87224573322695,15.6790434388214,16.8283724899868,12.113710366473,7.31940299692745,12.5071065209542,12.9490981146665,15.463153507749,13.5252938919164
"17",16.6964729024874,7.31940299692745,16.3574524179676,15.3767863764062,18.7977160719189,13.2222459269552,6.77199006126217,9.94965743941633,10.9448125102708,11.8609410565078,10.4267762463507,15.463153507749,7.31940299692745,12.7473084742862,16.9557958928337,8.98905970146037,15.2898601067958,10.7106484444702,13.1159541436843,11.7975246495811,18.6761685752494,9.60466566628851,13.5252938919164,16.8283724899868,18.6761685752494,12.8185695897031,12.9490981146665,11.2526946303703,11.7276202082385,11.2526946303703,14.0496604524468,12.6722419043128,10.5023310581843,12.6722419043128,9.45346266873193,11.7276202082385,7.86846924528711,11.3871761672908,9.18438460965461,16.1518943731092,6.2962344884497,13.0196992967368,15.0584068357436,18.7977160719189,11.9932435721514,6.77199006126217,16.0496935664448,9.27251514080665,13.6874560957395,6.2962344884497,11.7276202082385,10.3645727928913,15.2082668919705,10.0170535896966,13.1676143170759,12.6003065443399,15.6790434388214,10.5568125466132,10.1780304818515,15.5654879937685,14.6954323365792,8.08656067201723,6.2962344884497,16.3574524179676,17.6670480800892,12.6003065443399,10.7919269606509,8.98905970146037,10.5023310581843,11.7975246495811,8.2639495987422,11.2526946303703,12.6722419043128,17.5956524054877,9.45346266873193,12.1793178968556,10.4267762463507,15.463153507749,8.17525513537972,11.1685882197122,11.079431306891
"18",15.7502936647635,7.06657259838414,16.4666920320912,11.9932435721514,16.8283724899868,18.0907982378563,9.0920715910959,8.54979462627299,7.67916881592944,7.06657259838414,11.4318600641236,17.0556142624647,9.69462381968931,12.8185695897031,8.54979462627299,13.7863407581405,14.2887003699131,12.7473084742862,13.2222459269552,10.0170535896966,13.7863407581405,12.7473084742862,11.653890597121,12.1793178968556,15.2898601067958,8.08656067201723,10.6386780134075,14.1164530517464,9.5130352316924,8.82183148497683,9.87224573322695,10.1196804839593,9.77690675578526,7.31940299692745,14.2070902145124,7.31940299692745,7.31940299692745,8.42219297588017,10.5568125466132,14.8856058860518,9.45346266873193,9.0920715910959,11.4318600641236,10.1780304818515,9.0920715910959,13.6113513656732,10.8838732813413,9.87224573322695,20.4495626141763,18.2295503476517,14.6954323365792,6.2962344884497,8.98905970146037,7.86846924528711,11.7276202082385,9.60466566628851,16.2767448635772,12.6722419043128,12.0421576810946,9.0920715910959,11.653890597121,10.1780304818515,9.45346266873193,18.2295503476517,13.1159541436843,11.3211015749954,12.5071065209542,10.3645727928913,10.3645727928913,15.6790434388214,11.523008962906,12.4384495531899,14.0496604524468,11.7276202082385,9.60466566628851,10.2964103147827,13.5252938919164,10.8838732813413,10.5568125466132,7.86846924528711,9.94965743941633
"32",8.2639495987422,13.6874560957395,12.5071065209542,8.68291724714972,12.6003065443399,10.7106484444702,10.2964103147827,14.9641714833503,9.27251514080665,10.3645727928913,11.5704536075892,11.2526946303703,11.5704536075892,9.69462381968931,11.9932435721514,7.31940299692745,8.54979462627299,10.7919269606509,11.079431306891,9.27251514080665,11.3871761672908,16.1518943731092,8.2639495987422,9.0920715910959,7.06657259838414,11.3211015749954,15.463153507749,10.5023310581843,10.8838732813413,12.5071065209542,4.73754013445057,6.2962344884497,7.86846924528711,9.5130352316924,6.77199006126217,11.7975246495811,13.6113513656732,14.8856058860518,9.77690675578526,12.3812760159763,9.69462381968931,6.77199006126217,7.50353869493403,20.4495626141763,10.7919269606509,8.54979462627299,16.3574524179676,8.42219297588017,14.5252473134773,20.943178800269,9.27251514080665,10.1196804839593,8.08656067201723,10.1196804839593,8.42219297588017,11.3211015749954,11.9136011998266,12.8927354962363,16.3574524179676,5.28330543170878,8.54979462627299,15.463153507749,13.6113513656732,12.6003065443399,10.5023310581843,8.2639495987422,9.5130352316924,9.45346266873193,11.653890597121,14.2887003699131,7.86846924528711,7.50353869493403,8.42219297588017,11.2526946303703,12.0421576810946,10.4267762463507,8.42219297588017,15.2898601067958,10.6386780134075,14.6062997616616,8.42219297588017
"35",10.9448125102708,11.0211384957946,11.3211015749954,10.7106484444702,7.50353869493403,7.06657259838414,9.69462381968931,10.6386780134075,10.5568125466132,13.0196992967368,8.98905970146037,10.3645727928913,17.0556142624647,8.82183148497683,9.60466566628851,12.0421576810946,9.87224573322695,14.3730194898383,10.5023310581843,9.18438460965461,9.35058014461751,13.4584643013403,9.60466566628851,10.2964103147827,9.18438460965461,13.1676143170759,13.3028073096392,14.0496604524468,8.98905970146037,8.42219297588017,11.8609410565078,7.06657259838414,11.079431306891,11.523008962906,15.3767863764062,8.89593394801544,9.60466566628851,12.317109879479,7.50353869493403,7.86846924528711,9.35058014461751,11.7975246495811,7.67916881592944,10.0170535896966,16.9557958928337,9.69462381968931,16.4666920320912,10.1780304818515,11.0211384957946,9.0920715910959,10.0170535896966,14.8856058860518,12.8927354962363,14.2070902145124,13.1159541436843,12.8185695897031,10.1196804839593,6.2962344884497,11.3871761672908,9.27251514080665,8.2639495987422,11.3871761672908,8.89593394801544,18.0907982378563,13.0196992967368,7.31940299692745,8.2639495987422,9.69462381968931,13.7863407581405,14.4523028432128,8.54979462627299,9.18438460965461,13.1159541436843,8.68291724714972,9.27251514080665,8.89593394801544,19.4379621431179,9.27251514080665,9.45346266873193,12.6722419043128,14.2887003699131
"41",17.9654366813586,23.9898642836904,23.9898642836904,20.7078835753576,18.3706055438786,24.2955192816879,18.0907982378563,6.2962344884497,17.6670480800892,28.5582749000838,17.4689299171376,12.8185695897031,19.7961621614573,20.2215864441996,20.2215864441996,22.9677856713212,17.9654366813586,21.2189032672194,23.4576884341502,12.6003065443399,27.5239080221808,18.3706055438786,18.7977160719189,19.2909063458828,26.4153493987242,19.7961621614573,8.54979462627299,19.4379621431179,23.4576884341502,20.0289555424328,28.5582749000838,19.4379621431179,17.9654366813586,20.2215864441996,11.0211384957946,22.2645620654292,24.7050868871106,13.3711989514394,9.94965743941633,11.523008962906,12.4384495531899,20.7078835753576,14.2070902145124,20.2215864441996,23.9898642836904,16.8283724899868,20.4495626141763,37.7704771563822,12.5071065209542,9.69462381968931,14.0496604524468,19.4379621431179,13.8759254325669,17.7829115194616,13.4584643013403,43.3259217822415,13.6113513656732,6.77199006126217,18.5340738125828,25.3082856711356,13.8759254325669,17.2120222361849,18.0907982378563,27.5239080221808,14.5252473134773,9.77690675578526,15.2082668919705,8.54979462627299,9.69462381968931,15.2898601067958,20.943178800269,29.809629247659,14.8856058860518,18.5340738125828,16.3574524179676,15.2082668919705,32.3808719966865,18.0907982378563,15.7502936647635,12.8185695897031,17.8882881361169
"42",15.2082668919705,24.2955192816879,10.7919269606509,21.7807120991562,10.6386780134075,9.5130352316924,19.4379621431179,11.1685882197122,23.9898642836904,31.1551024869863,14.5252473134773,15.0584068357436,21.4637988284973,16.9557958928337,19.099172892856,12.9490981146665,15.3767863764062,19.634184054028,16.3574524179676,16.2767448635772,20.2215864441996,13.7863407581405,21.4637988284973,19.7961621614573,14.9641714833503,18.5340738125828,43.3259217822415,15.9610496969094,21.7807120991562,23.9898642836904,20.4495626141763,12.5071065209542,21.2189032672194,21.2189032672194,31.1551024869863,18.9813750781118,22.5926376249204,10.6386780134075,14.6062997616616,13.6113513656732,10.6386780134075,14.2070902145124,12.0421576810946,16.3574524179676,22.2645620654292,32.3808719966865,15.7502936647635,21.7807120991562,19.4379621431179,7.86846924528711,9.87224573322695,24.2955192816879,12.7473084742862,10.9448125102708,7.50353869493403,28.5582749000838,12.8185695897031,8.08656067201723,20.4495626141763,22.9677856713212,19.7961621614573,43.3259217822415,20.943178800269,20.2215864441996,26.4153493987242,9.60466566628851,12.9490981146665,14.6954323365792,15.7502936647635,21.9807207907833,10.1780304818515,17.8882881361169,19.4379621431179,18.0907982378563,16.9557958928337,9.77690675578526,14.4523028432128,21.7807120991562,21.2189032672194,9.94965743941633,6.2962344884497
