Gene,Stab_MGS1,Stab_MGS4,Degree_MGS1,Degree_MGS4,Hub_MGS1,Hub_MGS4,Status
ENSG00000159403,0.2,0.77,13,42,0,1,MGS4-specific
ENSG00000204287,0.34,0.63,13,32,0,1,MGS4-specific
ENSG00000182326,0.36,0.62,15,30,0,1,MGS4-specific
ENSG00000125730,0.67,0.61,17,37,1,1,Co-hub
ENSG00000069535,0.69,0.61,19,32,1,1,Co-hub
ENSG00000181804,0.5,0.61,19,32,0,1,MGS4-specific
ENSG00000153029,0.42,0.56,16,37,0,0,Non-hub
ENSG00000231389,0.51,0.55,18,30,0,0,Non-hub
ENSG00000140092,0.35,0.54,15,34,0,0,Non-hub
ENSG00000149131,0.83,0.54,19,37,1,0,MGS1-specific
ENSG00000110092,0.53,0.46,16,36,0,0,Non-hub
ENSG00000243649,0.28,0.43,13,29,0,0,Non-hub
ENSG00000204252,0.29,0.4,14,29,0,0,Non-hub
ENSG00000164761,0.01,0.39,10,30,0,0,Non-hub
ENSG00000150977,0.27,0.37,12,28,0,0,Non-hub
ENSG00000101160,0.94,0.37,19,25,1,0,MGS1-specific
ENSG00000113578,0.16,0.37,13,30,0,0,Non-hub
ENSG00000166278,0.09,0.36,13,25,0,0,Non-hub
ENSG00000204482,0.36,0.35,14,29,0,0,Non-hub
ENSG00000111801,0.34,0.34,15,29,0,0,Non-hub
ENSG00000010704,0.26,0.34,16,30,0,0,Non-hub
ENSG00000163453,0.1,0.33,13,22,0,0,Non-hub
ENSG00000026297,0.23,0.33,15,27,0,0,Non-hub
ENSG00000131386,0.15,0.32,14,19,0,0,Non-hub
ENSG00000249306,0.2,0.32,9,26,0,0,Non-hub
ENSG00000006042,0.38,0.31,14,31,0,0,Non-hub
ENSG00000164106,0.02,0.3,12,24,0,0,Non-hub
ENSG00000112936,0.32,0.29,16,17,0,0,Non-hub
ENSG00000166710,0.72,0.28,18,20,1,0,MGS1-specific
ENSG00000128262,0.04,0.27,12,24,0,0,Non-hub
ENSG00000197943,0.8,0.27,20,26,1,0,MGS1-specific
ENSG00000180638,0.35,0.26,18,27,0,0,Non-hub
ENSG00000205542,0.67,0.25,22,24,1,0,MGS1-specific
ENSG00000100055,0.52,0.25,14,20,0,0,Non-hub
ENSG00000101104,0.14,0.25,12,32,0,0,Non-hub
ENSG00000244509,0.97,0.24,22,30,1,0,MGS1-specific
ENSG00000174348,0.41,0.23,18,20,0,0,Non-hub
ENSG00000240065,0.15,0.22,12,13,0,0,Non-hub
ENSG00000242574,0.06,0.21,11,23,0,0,Non-hub
ENSG00000157150,0.36,0.21,20,23,0,0,Non-hub
ENSG00000139178,0.24,0.21,12,21,0,0,Non-hub
ENSG00000188501,0.2,0.21,13,18,0,0,Non-hub
ENSG00000146122,0.56,0.2,16,22,0,0,Non-hub
ENSG00000129009,0.49,0.2,17,24,0,0,Non-hub
ENSG00000095303,0.35,0.19,13,18,0,0,Non-hub
ENSG00000166741,0.1,0.19,11,20,0,0,Non-hub
ENSG00000163661,0.0,0.18,6,16,0,0,Non-hub
ENSG00000204264,0.45,0.18,14,13,0,0,Non-hub
ENSG00000006756,0.03,0.16,12,24,0,0,Non-hub
ENSG00000196735,0.03,0.15,8,14,0,0,Non-hub
ENSG00000262001,0.17,0.14,12,23,0,0,Non-hub
ENSG00000079931,0.56,0.14,14,21,0,0,Non-hub
ENSG00000204261,0.04,0.14,9,12,0,0,Non-hub
ENSG00000168306,0.43,0.14,17,19,0,0,Non-hub
ENSG00000160307,0.0,0.13,8,16,0,0,Non-hub
ENSG00000198734,0.29,0.12,17,19,0,0,Non-hub
ENSG00000133321,0.92,0.12,22,17,1,0,MGS1-specific
ENSG00000206337,0.14,0.11,11,14,0,0,Non-hub
ENSG00000160219,0.05,0.11,11,17,0,0,Non-hub
ENSG00000171631,0.32,0.11,13,13,0,0,Non-hub
ENSG00000162520,0.05,0.1,13,29,0,0,Non-hub
ENSG00000222009,0.13,0.09,13,24,0,0,Non-hub
ENSG00000188488,0.14,0.09,12,18,0,0,Non-hub
ENSG00000234745,0.34,0.09,15,9,0,0,Non-hub
ENSG00000132274,0.1,0.08,15,24,0,0,Non-hub
ENSG00000148735,0.23,0.08,16,13,0,0,Non-hub
ENSG00000231852,0.14,0.06,11,10,0,0,Non-hub
ENSG00000005243,0.15,0.05,11,17,0,0,Non-hub
ENSG00000130055,0.47,0.05,16,14,0,0,Non-hub
ENSG00000107611,0.14,0.05,15,12,0,0,Non-hub
ENSG00000165633,0.22,0.04,13,22,0,0,Non-hub
ENSG00000250942,0.01,0.04,5,18,0,0,Non-hub
ENSG00000198483,0.3,0.03,14,18,0,0,Non-hub
ENSG00000145721,0.68,0.03,19,10,1,0,MGS1-specific
ENSG00000186204,0.06,0.01,12,9,0,0,Non-hub
ENSG00000163395,0.0,0.0,9,5,0,0,Non-hub
ENSG00000151468,0.1,0.0,14,9,0,0,Non-hub
ENSG00000204257,0.0,0.0,5,7,0,0,Non-hub
ENSG00000134343,0.11,0.0,10,0,0,0,Non-hub
ENSG00000107562,0.0,0.0,9,2,0,0,Non-hub
ENSG00000056998,0.0,0.0,6,12,0,0,Non-hub
