cut.off	FPR	PR	FDR
0	1	1	1
0.01	0.889469135802469	0.999382716049383	0.890018529956763
0.02	0.782018518518519	0.998765432098765	0.782985166872683
0.03	0.676898148148148	0.998148148148148	0.678153988868275
0.04	0.577722222222222	0.998148148148148	0.578794063079777
0.05	0.486515432098765	0.996913580246914	0.488021671826625
0.06	0.403780864197531	0.996604938271605	0.405156395168783
0.07	0.329805555555556	0.995987654320988	0.331134180353269
0.08	0.26616975308642	0.995061728395062	0.267490694789082
0.09	0.211219135802469	0.995061728395062	0.212267369727047
0.1	0.166219135802469	0.995061728395062	0.167044044665012
0.11	0.128888888888889	0.995061728395062	0.129528535980149
0.12	0.0997345679012346	0.994444444444444	0.100291744258225
0.13	0.0763395061728395	0.993518518518518	0.0768375271823548
0.14	0.0584351851851852	0.992901234567901	0.0588529686042897
0.15	0.0443765432098766	0.992901234567901	0.0446938141125272
0.16	0.0336265432098765	0.992592592592593	0.033877487562189
0.17	0.0257037037037037	0.991358024691358	0.0259277708592777
0.18	0.0194876543209877	0.990432098765432	0.0196759114989093
0.19	0.0150802469135802	0.989197530864197	0.0152449297971919
0.2	0.0116512345679012	0.987962962962963	0.0117931896282412
0.21	0.00898456790123458	0.987037037037037	0.00910256410256411
0.22	0.00704938271604938	0.986111111111111	0.00714866979655712
0.23	0.00556481481481482	0.983950617283951	0.0056555834378921
0.24	0.0044320987654321	0.982098765432099	0.00451288497800126
0.25	0.00353395061728395	0.980246913580247	0.0036051637279597
0.26	0.00280555555555556	0.977777777777778	0.00286931818181818
0.27	0.00228086419753086	0.975617283950617	0.00233786776336602
0.28	0.00187962962962963	0.97283950617284	0.00193210659898477
0.29	0.0015216049382716	0.967901234567901	0.00157206632653061
0.3	0.00125	0.965123456790123	0.00129517109050208
0.31	0.00100308641975309	0.959876543209877	0.00104501607717042
0.32	0.000787037037037037	0.954320987654321	0.000824708926261319
0.33	0.000608024691358025	0.946913580246914	0.000642112125162973
0.34	0.000521604938271605	0.941358024691358	0.000554098360655738
0.35	0.000419753086419753	0.934876543209877	0.000448993067018818
0.36	0.000339506172839506	0.929012345679012	0.000365448504983389
0.37	0.000268518518518519	0.920061728395062	0.000291848373029185
0.38	0.000209876543209877	0.913888888888889	0.000229652144545762
0.39	0.000157407407407407	0.905246913580247	0.000173883395840436
0.4	0.000123456790123457	0.890740740740741	0.000138600138600139
0.41	9.87654320987654e-05	0.879938271604938	0.000112241318835496
0.42	7.09876543209877e-05	0.870987654320988	8.15024805102764e-05
0.43	4.62962962962963e-05	0.856481481481482	5.4054054054054e-05
0.44	2.77777777777778e-05	0.840432098765432	3.30517811237606e-05
0.45	1.85185185185185e-05	0.822530864197531	2.25140712945591e-05
0.46	1.23456790123457e-05	0.808641975308642	1.52671755725191e-05
0.47	9.25925925925926e-06	0.795061728395062	1.16459627329193e-05
0.48	9.25925925925926e-06	0.770679012345679	1.20144173007609e-05
0.49	6.17283950617284e-06	0.748765432098765	8.24402308326463e-06
0.5	6.17283950617284e-06	0.729012345679012	8.46740050804403e-06
0.51	3.08641975308642e-06	0.705555555555556	4.37445319335083e-06
0.52	3.08641975308642e-06	0.683024691358025	4.51875282422051e-06
0.53	3.08641975308642e-06	0.651234567901235	4.739336492891e-06
0.54	0	0.625308641975309	0
0.55	0	0.595679012345679	0
0.56	0	0.574691358024691	0
0.57	0	0.543518518518519	0
0.58	0	0.516049382716049	0
0.59	0	0.484876543209877	0
0.6	0	0.457098765432099	0
0.61	0	0.43179012345679	0
0.62	0	0.403086419753086	0
0.63	0	0.369753086419753	0
0.64	0	0.344135802469136	0
0.65	0	0.319753086419753	0
0.66	0	0.292283950617284	0
0.67	0	0.262345679012346	0
0.68	0	0.235185185185185	0
0.69	0	0.215432098765432	0
0.7	0	0.196296296296296	0
0.71	0	0.173148148148148	0
0.72	0	0.15216049382716	0
0.73	0	0.131481481481481	0
0.74	0	0.116975308641975	0
0.75	0	0.102469135802469	0
0.76	0	0.0882716049382716	0
0.77	0	0.0753086419753086	0
0.78	0	0.0638888888888889	0
0.79	0	0.0521604938271605	0
0.8	0	0.0435185185185185	0
0.81	0	0.0351851851851852	0
0.82	0	0.0274691358024691	0
0.83	0	0.0209876543209877	0
0.84	0	0.0175925925925926	0
0.85	0	0.0132716049382716	0
0.86	0	0.0108024691358025	0
0.87	0	0.00864197530864197	0
0.88	0	0.00679012345679012	0
0.89	0	0.0037037037037037	0
0.9	0	0.00246913580246914	0
0.91	0	0.00123456790123457	0
0.92	0	0.000925925925925926	0
0.93	0	0.000617283950617284	0
0.94	0	0.000308641975308642	0
0.95	0	0	0
0.96	0	0	0
0.97	0	0	0
0.98	0	0	0
0.99	0	0	0
1	0	0	0
