sample_id,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,mgs_level
2,0.013948629,-0.0032191575,0.010187104,-0.012361868,0.013358068,0.008743454,0.008770501,-0.0027065054,-0.01373874,-0.00705288,0.0058570467,-0.0036386997,-0.002097316,-0.0004825089,0.014940959,-0.005511373,MGS1
4,0.016206933,-0.00019031763,0.013902591,0.013250111,0.018956807,0.00075343996,-0.017823603,0.0039335415,-0.0016693063,0.009191319,0.0130411275,-0.004630141,0.0042933226,-0.0052674804,0.0019647833,-0.008371321,MGS1
6,-0.008070682,0.0051975213,-0.009082611,0.0062353685,0.0022434965,-0.005508898,-0.0045050653,-0.012841336,0.00800173,-0.0005300343,0.0019831248,0.0050626174,-0.0081181,-0.019914549,-0.0089534065,-0.015044195,MGS1
9,0.004312581,0.012995534,-0.0008588694,0.0003352873,0.013759717,0.009623349,0.0075175688,-0.0028926805,-0.007829156,0.024003148,0.008504938,0.001137644,-0.013116941,-0.0045820605,0.02075661,0.010812685,MGS1
17,0.016010137,0.0021169893,-0.0027396781,0.007755043,-0.002545964,0.009738568,0.007935332,-0.009375185,0.01085623,0.0014256574,0.0070299767,-0.0029115453,0.003804408,0.0015917774,-0.0072649894,0.00049980613,MGS1
18,-0.011314271,0.009923443,-0.0012669219,0.0036881864,0.003184136,0.024074372,0.007066571,0.023867026,-0.008459859,-0.008724924,-0.0022850223,-0.016029153,-0.012894712,0.009039379,0.006852147,-0.018988194,MGS1
32,-0.0018248276,0.0018348992,-0.007857448,0.0045984853,-0.008576747,0.023272075,-0.0017173691,-0.0012562275,-0.0026495494,0.012297045,0.030871097,-0.0005668327,0.011109039,0.00012733974,0.00070343446,-0.023104511,MGS1
35,-0.0013811123,0.015298415,-0.0046514226,0.0011606887,0.0020885877,0.00015734881,0.0010675108,0.018773295,0.0064546354,0.014380097,0.016979527,0.017461427,-0.0033159703,-0.011190079,0.0061021834,0.0025669264,MGS1
41,-0.0146095995,-0.014953798,-0.018758811,-0.0013712775,-0.0138898045,0.0074998774,0.022133179,0.012679458,-0.003804095,0.0057119057,0.0024163611,0.0027925596,0.012716614,0.0012972467,-0.004248536,0.0040926393,MGS1
42,0.013796879,-0.00029548258,0.018858485,0.011826353,0.013938241,0.005205363,-0.020151932,-0.00032617897,-0.010187108,-0.015429612,0.015258912,-0.008722253,-0.0029152036,0.004938904,-0.0053260783,-0.00742473,MGS1
43,-0.017042624,0.027150374,-0.018059876,0.0056247953,0.017095726,0.011247721,0.01734772,0.0019843876,0.002386976,-0.028028596,0.015996221,0.011396714,0.014928207,-0.0211084,-0.00080265105,0.00942665,MGS1
81,0.0058050756,0.01636913,-0.009624104,-0.002539413,-0.0002914369,0.0125519335,0.022878721,-0.005370401,-0.0013274997,-0.031162996,0.018153887,0.021571323,0.0115825385,-0.025172535,0.00446371,-0.007100962,MGS1
89,0.01208367,0.0019373298,0.0023906408,0.0027718078,0.0034151487,0.012136847,0.01081106,-0.0112350285,-0.014913555,-0.03050882,0.008098874,0.008936614,0.008114971,-0.01175423,0.004903947,-0.00023321388,MGS1
99,0.02084777,0.011404071,0.022536432,0.020783855,0.015147075,0.0035378188,0.008520886,-0.0001943782,9.800866e-05,-0.0031261928,0.017073978,-0.0065999925,0.008478656,-0.004241962,-0.0057620993,0.0067013567,MGS1
