sample_id,z0,z1,z2,z3,z4,z5,z6,z7,mgs_level
2,-0.0038929023,-0.0053015426,-0.01118446,0.00641902,-0.0013827989,-0.00736269,0.006528951,-0.014093598,MGS1
4,0.0035104714,-0.0030523539,-0.011843599,0.012191417,-0.012601422,-0.005382132,-2.1830201e-05,-0.0068185925,MGS1
6,-0.0035598986,0.016677044,-0.010390711,0.0017688796,-0.0028883559,0.009886285,0.009486616,-0.0018338598,MGS1
9,0.008541949,-0.011906907,-0.023537401,0.02525966,0.0025175205,0.0055789705,0.0051282197,0.003996808,MGS1
17,-0.0038949363,0.017455727,-0.012917781,0.008007193,-0.0031237751,-0.0118681975,-0.0043959096,0.028861381,MGS1
18,0.01137412,0.002474524,-0.007755312,0.017507913,-0.005058362,0.00075359084,0.011685714,0.03628298,MGS1
32,0.01266782,0.022569448,-0.01674484,-0.017321404,0.0061967066,-0.017705936,-0.00154946,0.015575144,MGS1
35,0.0075824633,0.004682198,-7.8966375e-05,-0.005141761,-0.008879967,-0.0022324137,-0.01286792,0.012369331,MGS1
41,-0.008457467,-0.018300086,-0.0038874536,-0.00065625645,-0.010375837,-0.0026468746,0.010124035,-0.0047480837,MGS1
42,-0.013113931,0.0070906654,-0.0023714998,-0.0035688095,0.0021696268,0.017882425,-0.016832381,0.0041168705,MGS1
43,-0.00500245,0.00997293,-0.012570875,0.024435386,-0.004093046,0.017608162,0.0012694374,0.015851833,MGS1
81,0.0003234297,0.007994674,-0.0016661254,-0.008839689,-0.005352511,0.00883957,-0.02237188,-0.013824437,MGS1
89,0.0035048202,0.029028006,-0.015111805,-0.013928309,-0.012253811,-0.0011493005,-0.035238557,-0.009122793,MGS1
99,-0.009187471,0.012454897,-0.0031871037,-0.020257045,-0.007966829,-0.0061555803,0.0005916059,0.0008520819,MGS1
109,0.012582917,0.014839239,0.008170478,0.011007844,0.005630132,-0.004452627,0.008451164,-0.009498753,MGS1
115,0.0009957142,0.005408451,-0.007096217,-0.0020895284,0.0009987969,0.007955754,0.0064766705,0.0119800605,MGS1
117,-0.018530197,-0.017826825,-0.0120945405,0.001881117,-0.013274115,0.012218086,-0.011795446,-0.00056540966,MGS1
119,-0.0011450648,0.0024400353,-0.020982303,0.0060954615,0.0038249316,0.005274428,0.00919155,0.017929856,MGS1
120,0.007621117,-0.007879637,-0.008967811,-0.007891864,0.0044353968,0.0019075368,0.0014372468,0.019720964,MGS1
126,-0.002699118,0.00922621,0.0010973397,-0.007042546,-0.008098583,0.0024592988,-0.0054343417,0.0034047514,MGS1
137,0.006614022,0.008142345,-0.006063739,0.010571668,-0.013405404,0.0020145457,-0.016295664,0.011951085,MGS1
139,0.014211193,0.0059706494,-0.02743903,0.0048606526,-0.014334809,0.008438991,-0.009759143,0.005892083,MGS1
142,-0.0039137155,0.011898778,-0.016268725,0.015406433,-0.0020604292,0.0032994337,0.002244629,-0.0008411519,MGS1
145,0.0011121295,0.0029507205,-0.007980064,-0.003325399,0.001786733,-0.0014699735,0.0035966784,0.00333957,MGS1
149,-0.006092947,0.0048662126,-0.00378169,0.00088336505,-0.0017339303,-0.0023914985,-0.00391227,0.0053683817,MGS1
153,-0.0068722814,0.010871679,0.0060630976,-0.011175904,-0.008740191,-0.0011453349,0.011615008,0.011980541,MGS1
162,0.012664199,0.006286137,0.000327033,0.017034529,-0.008764777,-0.005030513,-0.031035043,-0.015850062,MGS1
163,-0.020337729,0.015272401,-0.009764323,-0.019355189,-0.011149242,-0.008592501,0.0035554469,-0.0035678223,MGS1
172,0.00048669428,-0.003907196,-0.0051775333,-0.014722612,-0.0075257425,-0.00033918582,-0.018589556,0.010205783,MGS1
173,-0.0049153976,0.005281262,-0.01218991,0.014416626,-0.0013991799,-0.005465742,0.001186423,0.008401684,MGS1
177,0.014190689,0.007836781,-0.011767474,0.0025772285,-0.0013554008,-0.008885615,-0.004252821,0.008327354,MGS1
189,-0.005767677,-0.0022362769,-0.01121161,0.0078021735,-0.0065062298,-0.006254617,0.016074501,-0.01317339,MGS1
217,-0.013223816,-0.0007730797,-0.015899966,-0.0131854005,-0.0040198877,0.0008127019,-0.0061198175,0.015820038,MGS1
218,-0.006631151,-0.008832395,-0.034345806,-0.008805055,-0.0037532742,-0.001921026,-0.012152553,0.007936731,MGS1
229,0.010351613,0.014572322,-0.0045211785,0.005161546,-0.007971091,-0.0003845021,-0.010607019,0.0015238486,MGS1
237,-0.012834031,-0.0066690817,-0.015641164,-0.016136903,-0.012653042,0.017675493,-0.0132559985,0.0024835132,MGS1
243,0.0054909475,0.0025945604,-0.0120911,-0.00552091,0.0030099666,-0.012630094,0.0044337586,0.007383339,MGS1
246,-0.0049337,0.0011865869,0.0034926268,-0.0033170916,0.0048596542,-0.0044661984,-0.0059324577,-0.025965853,MGS1
251,0.0054041743,0.0021054,-0.0027545942,-0.0054899007,-0.0010071718,-0.014401536,0.017647646,0.004169628,MGS1
254,-0.012070637,0.007183142,0.006908651,-0.009077858,-0.019603785,0.002489049,-0.026039444,-0.015600698,MGS1
264,-0.011278275,0.028986134,-0.0021948032,-0.033582143,-0.031803142,-0.015798617,-0.004534565,-0.029506214,MGS1
265,-0.009174455,-0.022852965,-0.015303876,0.019775173,-0.0006139097,0.014153774,0.018401861,0.0066222325,MGS1
266,-0.0046053305,0.014845371,-0.0006519067,0.0067766383,-0.0028717732,0.0019584931,0.0026168525,0.016258389,MGS1
286,-0.006804537,0.013911627,-0.018636782,0.0015689135,-0.01149296,-0.0095475875,-0.008488916,0.018582951,MGS1
288,0.007146258,0.008160636,-0.011417471,0.010646462,-0.016049176,-0.0056878477,-0.009409577,0.007646825,MGS1
291,-0.00063329935,0.023475751,-0.012414422,0.008594181,-0.01664751,0.01879659,-0.006112449,0.011168253,MGS1
292,-0.0026088618,0.0077103227,0.00015483145,-0.02386276,-0.017762221,-0.009970754,-0.00787878,0.0044527613,MGS1
293,-0.0021420494,0.0027974695,-0.03867399,0.0076752417,0.0039773667,0.0043395106,0.003463611,0.023065768,MGS1
295,0.0006378703,0.007859409,-0.012030271,0.004730014,-0.0054839966,-0.0043318495,0.0107006505,0.011455219,MGS1
307,0.0020964667,-0.002546221,-0.0059656147,0.00035822578,-0.016039778,0.0102363825,0.0006372705,0.005352307,MGS1
308,0.008232247,0.011829548,-0.00037998892,0.014896293,0.01082655,0.0015084613,0.0011094958,0.001900509,MGS1
311,-0.0023242198,0.0054208413,-0.011165827,0.006169498,-0.015880626,0.0016713161,-0.017911479,-0.0030407757,MGS1
313,0.007154137,-0.008482538,-0.01994888,0.0076574106,-0.011993337,0.004782697,-0.0116556585,-0.008359078,MGS1
314,0.009826332,-0.016986154,-0.011398701,0.023201194,-0.010338504,0.015928619,-0.0036787689,0.0074245036,MGS1
315,-0.011068672,0.0134522915,-0.002358819,0.008449994,0.004445942,0.00554087,-0.02810561,-0.0019032173,MGS1
316,0.0039914474,0.007002607,-0.028669123,0.0050916746,0.00933185,0.01757814,0.026776914,0.006517511,MGS1
317,0.007657308,-0.007336572,0.0009277859,0.008176532,0.008403091,-0.008056,-0.019989297,0.011949375,MGS1
318,0.00824029,0.017494805,-0.007228117,0.0055019334,0.0006841114,-0.0075471774,-0.0026736334,0.0025140308,MGS1
319,0.013261747,-0.00499703,-0.008800053,0.008860588,-0.0032515577,-0.013282556,-0.0019266233,0.006013602,MGS1
320,0.0058843866,0.009523004,-0.013137304,-0.004062563,-0.019561738,-0.013479043,-0.011473291,-0.0029559694,MGS1
321,0.0109297745,-0.013619348,-0.015652196,0.018481128,-0.004578442,0.007399423,-0.010778561,0.03164099,MGS1
322,-0.002125632,0.012105644,-0.00927868,0.023839032,-5.832594e-05,0.019069158,-0.006318189,0.023105074,MGS1
324,-0.018224493,-0.00021967292,-0.0031107902,0.014459473,-0.015467592,0.015918247,-0.016304202,-0.003118515,MGS1
335,-0.011709243,0.015474938,-0.008085082,-0.017947938,-0.0115622915,-0.003149785,0.0031719357,0.00074106455,MGS1
347,0.02354265,4.7266483e-05,-0.012025627,0.03141577,0.028045509,0.009843605,0.027257804,0.020082902,MGS1
348,-0.00067438185,0.019873627,-0.0082323905,0.0003940966,-0.015477885,0.00218161,0.013612933,0.0090799965,MGS1
349,0.010358758,-0.022472993,-0.018185718,0.017413396,-0.004328797,0.019794852,-0.0002783388,-0.0031114817,MGS1
350,-0.011076976,0.0014872476,-0.020755108,0.001132831,-0.0049970215,0.009152796,-0.01222121,-0.0038950406,MGS1
351,0.009432577,-0.0069201514,0.0023126598,-0.007098723,0.023753766,0.0066111814,0.0071942136,0.024405114,MGS1
352,-0.0043159947,0.0047268346,-0.026594382,-0.0027216207,0.020464197,0.00547312,0.005789757,-7.487461e-05,MGS1
353,0.008728493,-0.0080758855,-0.007785686,0.024254955,0.015230196,0.008704808,0.009437874,0.015173398,MGS1
354,0.011223566,-0.012618922,-0.009092262,0.029775603,0.011392286,0.0057549197,-0.0059147775,-0.015764153,MGS1
355,0.013612397,0.0077206343,-0.02087031,-0.0068928935,-0.004860665,-0.004074365,-0.00110621,0.018331282,MGS1
356,0.01461111,-0.018531427,-0.004318042,-0.0074435286,0.010454141,0.0071011353,0.00079759955,0.0057459623,MGS1
375,0.009961255,-0.026918095,-0.005372939,0.0072581302,-0.0032479963,-0.002567444,0.012027733,0.023176484,MGS1
376,-6.608665e-06,0.004030451,-0.011899613,-0.002374161,-0.0145479245,0.0012341719,0.009032436,0.0021923482,MGS1
377,-0.00047088414,-0.002388373,-0.016547792,0.00016238727,-0.0031470163,-0.0003966149,0.009730376,-0.013920389,MGS1
379,0.004871499,-0.014454119,-0.025074987,0.011250718,-0.0006941189,-0.0012639612,0.00038410723,0.019793585,MGS1
384,0.004113231,0.005363837,0.005720328,0.006313799,-0.012186864,-0.0060030594,-0.0028424934,0.021351274,MGS1
386,0.00012556836,0.015707217,-0.023410032,0.014012964,-0.015536113,0.005939828,-0.0034339651,0.012103334,MGS1
389,0.008572936,0.004321046,-0.010546734,0.010976309,-0.003289258,0.0070534106,-0.003984697,0.00559064,MGS1
394,-0.0153565705,0.005479619,0.0018687746,0.008723656,0.0100941155,0.024179026,-0.011464626,0.018410329,MGS1
396,-0.01355733,0.0149644315,-0.008712401,0.013394526,0.0018628817,-0.006375324,0.00928352,0.003564164,MGS1
404,0.005781915,0.011351794,-0.0066898013,-0.016146295,-0.020710854,0.004050983,-0.015917286,-0.017391136,MGS1
405,0.006741889,0.01894018,-0.0056317546,-0.00063980743,0.009493925,-0.01140295,-0.012570433,-0.0050817393,MGS1
406,-0.02158533,0.020114899,0.004542598,-0.0094132945,-0.021944098,-0.01307182,-0.015778169,-0.019820414,MGS1
413,0.000613641,0.0068391114,-0.005686651,0.0034305975,0.0012876913,-0.015601158,-0.007989079,0.027352102,MGS1
414,0.0041934997,-0.0025982037,6.4089894e-05,0.011656731,-0.0075711417,-0.006020412,-0.0014594048,-0.010666745,MGS1
415,-0.008965481,0.007108733,-0.01109455,-0.010133948,-0.016826889,-0.008445617,-0.014343947,0.010540664,MGS1
425,0.0148580745,0.02355095,-0.010491451,0.009567495,-0.0072065303,0.005062662,-0.020582631,0.0024644807,MGS1
447,-0.00739976,0.0030040517,-0.014626793,-0.0070381425,-0.0022715623,0.014103371,-0.015063919,0.0036787093,MGS1
452,0.0025431626,0.0010114163,0.023113308,-0.00020572357,0.0048396634,-0.0034716167,0.009522028,-0.003253758,MGS1
466,0.0031831563,0.0047640353,0.003100458,0.003021229,0.0016880352,0.00067635067,-0.011026233,0.009471722,MGS1
468,0.00337819,-0.0053789914,-0.016256262,0.012073496,-0.0032092305,0.0017643552,0.019239388,0.01836073,MGS1
480,-0.012707546,0.005140461,0.0013707061,0.00082161836,0.0038538212,0.0008179322,-0.023542821,-0.0022671558,MGS1
490,-0.0042467415,0.010165997,-0.003642071,-0.0024813805,-0.012776645,-0.0077997856,-0.0012461245,0.01928515,MGS1
491,-0.002688475,-0.001331687,-0.018496681,0.0025842693,-0.01929069,0.008939875,-0.0010186657,-0.012754751,MGS1
495,-0.0068275183,0.028275914,-0.017169753,0.0046837013,-0.006027894,0.0037227105,-0.0034123436,-0.0017482266,MGS1
499,0.0063815936,-0.016832598,-0.017805727,0.016205512,-0.009155046,0.0038837437,0.0010697395,0.011653636,MGS1
