sample_id,z0,z1,z2,z3,z4,z5,z6,z7,mgs_level
2,0.003584628,0.0013642143,-0.0023560468,-4.0847808e-05,-0.010413576,-0.010247687,0.005363459,-0.006895773,MGS1
4,-0.0012954129,-0.00016791932,-0.0058100317,-0.009001758,0.0030405335,0.0037084427,0.018585721,-0.003930591,MGS1
6,0.011551847,-0.004522944,0.0060551856,0.0013738014,-0.018731076,-0.0016807858,0.0043165777,-0.019323058,MGS1
9,-0.0067739217,-0.0026951712,-0.0026230235,0.015315961,0.011737149,-0.0009604413,-0.008852443,0.0038113967,MGS1
17,0.010839474,-0.008450909,-0.0015746299,-0.005962182,0.0014246665,-1.3755634e-05,0.008466946,0.017373018,MGS1
18,-0.012930821,-0.0031839292,0.00541169,0.0001424551,-0.012064759,0.0013391506,-0.013918458,0.0036005154,MGS1
32,0.011565787,-0.008456012,-0.004916901,0.013567697,-0.012292046,0.004788911,-0.0025854837,-0.009539314,MGS1
35,0.0127572315,0.017803358,0.013861081,-0.003293153,0.01150791,-0.002919564,0.0075929407,-0.010516189,MGS1
41,0.0027824761,-0.0009645205,0.01269987,-0.003448885,0.011322785,-0.01620868,0.012988972,0.00093015283,MGS1
42,0.0118117975,-0.0023408663,0.0085889455,-0.014115658,-0.0080187805,0.0031785574,0.01634652,0.0095453635,MGS1
43,-0.0095126135,0.013062151,-0.0016959552,0.0069184154,0.0007355027,0.0072067287,-0.010771764,-0.018562846,MGS1
81,0.003835787,-0.006241394,0.0020751413,0.006417975,0.00020144507,0.0014479812,-0.0025066193,-0.012468345,MGS1
89,0.010179837,-0.009304268,-0.0018872563,0.02383804,-0.0026759692,0.02626749,-0.015747083,-0.0050301626,MGS1
99,0.010759887,-0.0063456576,2.2595748e-05,0.005409207,-0.009463001,0.006099021,-0.0051238965,-0.01830221,MGS1
109,0.002365877,-0.0022547822,-0.0002743993,-0.0148324855,0.0014698319,-0.0042077694,0.0068262387,-0.022734977,MGS1
115,0.015577366,-0.009977384,-0.0074466188,0.00023926422,-0.0140580125,0.008808693,-0.0055970084,-0.00457827,MGS1
117,-0.0038240505,-0.021218253,-0.01621862,-0.006654542,-0.001974482,0.008441081,0.0048967097,0.00943765,MGS1
119,-0.002680133,0.00864628,-0.0018253569,0.013098482,0.010344874,0.008844269,-0.006962074,-0.0071281344,MGS1
120,-0.006694014,0.012672694,0.0072661247,-0.0012633465,0.011613559,0.00691553,-0.010975016,-0.0059400722,MGS1
126,0.002769162,0.010038646,0.0004301276,0.008370601,0.0033057146,0.02379041,-0.011980573,-0.009948544,MGS1
137,-0.009226511,0.0019172449,0.010210333,0.004857082,0.011232417,0.014954468,-0.003481632,-0.00024776906,MGS1
139,-0.024328213,-0.022932218,0.0013416614,0.0012335368,0.006922405,0.014781391,0.001255082,0.00086625665,MGS1
142,0.017070431,0.0044473577,0.013544513,0.003160175,0.016565304,0.010719409,0.00082535483,-0.00027956814,MGS1
145,0.00085989106,0.0008550752,0.0041241627,0.0033575818,-0.0024554618,-0.007960716,-0.009003624,-0.0060843304,MGS1
149,-0.0035828156,-0.011607347,0.008078998,-0.0038579106,0.0070439987,0.012365555,-0.006291164,-0.01184646,MGS1
153,0.023122612,-0.00030381046,0.008049028,0.00719494,0.0027472042,-0.008360492,0.0012446288,-0.01294782,MGS1
