sample_id,z0,z1,z2,z3,mgs_level
2,0.0033829436,-0.0003575012,0.018917575,0.023264512,MGS1
4,-0.006492965,0.0002098307,0.002989892,0.0022761598,MGS1
6,0.0031833649,-0.004180476,0.024429373,0.01632882,MGS1
9,-0.0053524524,-0.0059088767,0.006505586,0.019399203,MGS1
17,0.005487874,0.012672067,0.014983527,0.021827228,MGS1
18,-0.00092481077,0.0038169697,0.0140886605,0.013298601,MGS1
32,0.015671983,-0.005141206,0.022395939,0.02452328,MGS1
35,0.0072524846,0.01834596,0.012750842,0.015453987,MGS1
41,-0.014326125,-0.016768359,-0.003741838,-0.021667935,MGS1
42,0.013804838,0.0011771768,-0.004837714,0.0018836632,MGS1
43,-0.0010195747,-0.006542869,0.021060802,0.018626116,MGS1
81,0.0051654503,-0.010527618,0.013455935,0.018772468,MGS1
89,0.0069343373,-0.017550178,0.019018479,0.015547104,MGS1
99,0.007922661,0.002178505,0.018206201,0.013025954,MGS1
109,0.007175766,-0.0059607103,0.0024016872,0.0012354478,MGS1
115,0.008130655,-0.0046081617,0.001057215,0.002858445,MGS1
117,0.002453275,-0.018477745,0.0039638802,0.0077734664,MGS1
119,0.005372718,-0.0026287138,0.009801611,0.0134818405,MGS1
120,-0.0033262745,0.0074863955,0.011321925,0.002958618,MGS1
126,0.0035195872,-0.0025332049,0.008904152,0.014090732,MGS1
137,-0.0009277463,0.0031399354,0.004479915,0.0014658794,MGS1
139,-0.0017965809,-0.0039644316,0.04763005,0.016676135,MGS1
142,0.0018580034,-0.0036147907,0.031005964,0.0008877367,MGS1
145,0.0032763332,-0.0012244806,0.017522812,0.0022637472,MGS1
149,0.0015468672,-0.010651089,0.018545412,0.013845213,MGS1
153,0.008084439,0.007642269,0.013867281,0.009410538,MGS1
162,-0.018481039,-0.0073795915,0.02208209,0.007451512,MGS1
163,0.0021284483,0.004529424,-0.024799488,-0.0023318306,MGS1
172,0.0025154874,-0.006831661,-0.009259932,0.009386152,MGS1
173,0.007714156,-0.0032082573,0.021316878,0.008639209,MGS1
177,0.0072149113,0.0070481524,-0.003405705,0.008476533,MGS1
189,0.0011121109,0.0034182891,0.006962292,-0.002823703,MGS1
217,0.0101511255,-0.008731417,0.007968463,0.012495205,MGS1
218,-0.0006130859,-0.0017783046,-0.01321492,0.0008104965,MGS1
229,-0.009098746,0.0012874529,0.015354745,0.014179669,MGS1
237,-0.0024661236,0.009641774,-0.013876952,0.0005295351,MGS1
243,0.017584316,-0.0008351281,0.0014258102,-0.00018907338,MGS1
246,0.0063169077,0.008517094,0.025488384,0.021523975,MGS1
251,0.0065777972,-0.001019381,0.0044098124,0.011639997,MGS1
254,0.0034568384,-0.0055375174,-0.00050068647,0.0027645007,MGS1
264,-0.0063038394,-0.02028431,0.010777444,-0.012415044,MGS1
265,0.0059204027,0.009994276,-0.0062568933,-0.0031009242,MGS1
266,0.011608936,0.00036955625,0.0037034526,-0.0018369779,MGS1
286,-0.009494793,-0.011540577,0.008037321,0.0105684325,MGS1
288,-0.0017368868,-0.0028500184,0.011135049,0.004543349,MGS1
291,-0.0012734011,-0.02180434,0.01170937,-0.00046349317,MGS1
292,0.017223738,-0.0009730682,0.018212087,0.016496144,MGS1
293,0.0052386485,-0.013190538,0.00031741709,-0.0042010024,MGS1
295,0.0015429184,0.001401253,0.013797902,0.0012324527,MGS1
307,0.007401414,0.0072060153,0.0037112013,-0.0033694208,MGS1
308,-0.0018038191,-0.0008999035,0.018518992,-0.005028747,MGS1
311,0.008518286,-0.009016849,0.007392399,0.016877584,MGS1
313,-0.0056542233,0.0022311732,0.0028419644,-0.0092738345,MGS1
314,0.0030515715,-0.008135237,-0.010614574,-0.0011913627,MGS1
315,-0.0077185407,-0.009632073,0.0129008815,0.004162945,MGS1
316,-4.2013824e-05,0.0017248169,0.017344736,0.032143943,MGS1
317,0.0023608878,0.0058190003,0.007742442,0.005016923,MGS1
318,0.004987158,0.002160959,0.018461905,0.007580176,MGS1
319,0.008267425,-0.0044147,-0.004622571,0.01236622,MGS1
320,-0.0037712082,-0.019863605,0.015220195,-0.00012129545,MGS1
321,-0.0009067133,-0.007655658,0.015772052,-0.0037721097,MGS1
322,0.0034283027,-0.0024321303,0.011841662,0.020242013,MGS1
324,0.0010716841,-0.003294088,0.007020198,0.005557798,MGS1
335,-0.0042499825,-0.0006567314,0.013615832,0.010686092,MGS1
347,0.010838222,-0.0014301017,0.008477278,0.023763694,MGS1
348,-0.0032366887,-0.010383673,0.009484984,0.001331307,MGS1
349,0.016665928,0.015193678,0.009484179,0.008643538,MGS1
350,-0.0054000616,-0.0071386397,0.0063508153,0.0087448135,MGS1
351,-8.498505e-05,-0.013764076,-0.004419729,-0.01827468,MGS1
352,-0.0012130961,-0.010402434,0.013156176,0.021676533,MGS1
353,-0.0013130978,0.006947361,-0.00911314,-0.0094775185,MGS1
354,-0.00648218,-0.0013601407,-0.0037180968,-0.009136595,MGS1
355,0.0035041347,-0.0023524985,0.006520383,0.00062742084,MGS1
356,0.0010462999,-0.007531002,0.0077298395,0.020000547,MGS1
375,0.005549319,0.0077994987,-0.003898643,-0.0016484186,MGS1
376,0.004695516,-0.0005985573,0.0047360733,-0.0021015555,MGS1
377,-0.0018033609,0.0033351332,0.023660704,0.0112048015,MGS1
379,0.006747313,0.0019969419,0.0063040406,0.014365889,MGS1
384,0.0075594783,0.0014398322,-0.004007332,0.014332034,MGS1
386,0.004760377,-0.008078314,0.0034020469,0.017081685,MGS1
389,-0.002093099,0.004412502,0.0018578246,-0.004962124,MGS1
394,0.0020070076,0.011024028,-0.020915486,0.0011382625,MGS1
396,0.018760145,0.016863488,0.008337691,0.02235435,MGS1
404,-0.010228358,-0.003633581,0.0135931,0.015183926,MGS1
405,0.0052712336,0.011617444,-0.003621541,0.00061427057,MGS1
406,0.0061262324,-0.017466277,-0.003557749,-0.0037775263,MGS1
413,0.004648015,0.0050865635,0.012970723,0.011535026,MGS1
414,-0.003636267,-0.010467917,0.0045051724,-0.005401641,MGS1
415,0.004053004,-0.0052532256,0.005121149,-0.0012333244,MGS1
425,-0.0195444,-0.007855453,0.028398521,0.007881351,MGS1
447,0.021792173,-0.003252618,-0.0011710748,0.0044818,MGS1
452,-0.017990164,-0.012608625,-0.011382274,-0.022195563,MGS1
466,0.0023226738,-0.008743741,0.030405924,0.0013742372,MGS1
468,0.011666954,-0.0017255098,-0.00024395436,0.0015786663,MGS1
480,0.0058228523,0.002740167,0.011466451,0.01033441,MGS1
490,-0.009365331,0.0014850721,0.033924274,-0.0014970079,MGS1
491,0.00055324286,-0.0045396686,0.014780499,0.006977886,MGS1
495,-0.0008318946,-0.009667672,0.017370887,0.003090568,MGS1
499,0.0064853355,0.010890625,0.00476142,0.011190854,MGS1
501,0.016043834,-0.007352866,0.007366769,0.009061374,MGS1
503,-0.0065674707,-0.0003867224,0.0066612065,0.007272452,MGS1
506,-0.00891868,-0.0011293963,0.010028273,-0.0069730133,MGS1
517,0.011260118,0.008554235,-0.00016931444,0.007625796,MGS1
518,0.011160262,0.008301742,0.009900205,0.0064834207,MGS1
526,0.0071456805,0.011823975,0.011083119,0.0031783432,MGS1
11,0.0046309084,0.0017418191,-0.008500524,0.012455158,MGS4
33,0.023289524,0.004200466,-0.01164984,0.0071923286,MGS4
