sample_id,z0,z1,z2,z3,mgs_level
2,-0.003166426,0.010297919,0.013525579,-0.0077654123,MGS1
4,-0.014079558,0.0066048354,0.007906046,-0.012994636,MGS1
6,-0.005334787,-0.00092400424,0.021287628,-0.0034664795,MGS1
9,0.0087303,-0.010320866,0.002918873,0.024004357,MGS1
17,-0.014323134,0.006649548,0.013380725,0.0030267239,MGS1
18,-0.005437754,0.0060355756,0.0064306147,0.004151121,MGS1
32,-0.009581424,0.019685382,0.009578839,-0.01789553,MGS1
35,0.012127001,0.00749767,0.021822568,0.007779412,MGS1
41,0.005741939,0.006916294,0.013499789,0.00039172173,MGS1
42,-0.023320533,0.020694358,-0.0052029956,-0.0015381053,MGS1
43,0.022360686,-0.0107853515,0.015723288,0.012285093,MGS1
81,-0.0022174641,-0.005954775,0.025236726,-0.0053400397,MGS1
89,0.0018699244,0.0057437774,0.020118121,-0.011196163,MGS1
99,-0.022157358,0.02491842,0.028095711,-0.017812006,MGS1
109,0.0040209666,0.011170113,0.0069054626,0.009879738,MGS1
115,0.0065041073,-0.00053201057,0.013823006,-0.00032547116,MGS1
117,-0.017339002,0.002493145,-0.010891888,0.0064525437,MGS1
119,-0.007580042,0.0042003244,-0.008571817,0.015757987,MGS1
120,0.017941464,-0.015601064,0.008666627,-0.0031761266,MGS1
126,-0.0015615486,-0.014817493,0.020269766,-4.976988e-05,MGS1
137,0.010359466,0.008904826,0.0071660876,0.017170526,MGS1
139,0.0049745254,-0.0070782853,0.017142974,-0.007216841,MGS1
142,0.010141596,-0.0025039623,0.01106897,0.007645797,MGS1
145,0.0063112676,-0.0064371694,0.009711217,0.0029296726,MGS1
149,-4.958734e-05,-0.00054299086,0.024917271,0.0053275637,MGS1
153,-0.0013568364,0.0029898267,0.011806391,-0.003733158,MGS1
162,0.006829206,-0.0041534994,0.017402425,0.002448082,MGS1
163,-0.0030856878,0.01346782,0.0062934086,-0.006192647,MGS1
172,0.016837157,-0.0056833513,0.010101628,0.00052260235,MGS1
173,-0.013509655,-0.0034926897,0.015618242,-0.012019768,MGS1
177,0.014000606,-0.008397027,0.011980891,0.0074872635,MGS1
189,0.013592057,-0.021160036,0.009169042,0.006345382,MGS1
217,-0.0024339072,-0.023640176,0.009462714,0.015467066,MGS1
218,0.0052638687,-0.017887052,-0.006833937,-0.0043649077,MGS1
229,0.0048941337,-0.004700765,0.014093507,-0.0013877414,MGS1
237,0.01087397,-0.020131264,0.008391906,-0.0079401545,MGS1
243,0.010815665,-0.014070486,0.015514132,-0.0065617897,MGS1
246,-0.013663832,0.0062373932,0.030417286,0.0010710508,MGS1
251,0.0047938265,0.00025104173,0.014268253,-0.01606159,MGS1
254,-0.004123125,-0.0028303294,0.027952816,-0.0028413571,MGS1
264,-0.012066076,0.011443676,0.0017281305,-0.025515962,MGS1
265,0.015455596,-0.029558714,0.0048119146,0.023300253,MGS1
266,0.017347556,-0.021014484,0.005865056,0.014487963,MGS1
286,-0.010808321,-0.0039122244,-0.002888428,-0.0017936602,MGS1
288,0.0079941675,0.0041797124,0.017537788,-0.012302566,MGS1
291,-0.008415874,0.019160306,0.014211334,-0.005189862,MGS1
292,-0.015169783,0.006833175,0.011399753,-0.015112031,MGS1
293,-0.00085924566,-0.0046444563,-0.011959426,0.0036622323,MGS1
295,0.0022417381,-0.014565444,0.008451901,0.0037681088,MGS1
307,0.016789574,-0.007099568,0.020400494,-0.006397553,MGS1
308,0.009219937,0.020836556,-0.00021890551,0.0087742,MGS1
311,0.0037860312,0.0024809372,0.019970495,0.008043591,MGS1
313,0.016947135,-0.013514727,-0.005400574,0.017551674,MGS1
314,-0.010287419,0.0039151628,-0.0028974414,-0.0015435517,MGS1
315,-0.010484854,0.0015946031,0.023169748,-0.004989881,MGS1
316,0.0055782795,-0.004330132,-0.0012486279,0.00838751,MGS1
317,0.011080228,-0.01126066,0.014430366,0.01139413,MGS1
318,0.007560134,0.011920501,0.013493273,-0.0017815568,MGS1
319,0.014354169,-0.0003002435,0.0103895925,0.0002187863,MGS1
320,0.0036854818,0.0007665586,0.008396588,-0.012606833,MGS1
321,0.009693157,-0.014490811,0.009843614,0.015610475,MGS1
322,0.0033456385,-0.006001859,0.0073067807,0.0112065,MGS1
324,-0.008692984,-0.013090885,0.018690355,0.009014586,MGS1
335,-0.011988817,-0.0011342969,0.011645433,-0.001576975,MGS1
347,0.010845035,-0.005971087,-0.00035247393,0.024588753,MGS1
348,0.009171478,0.0067767575,0.018895257,-0.0097544715,MGS1
349,-0.0036725774,-0.009099918,-0.010159105,-0.003971763,MGS1
350,-0.011212569,0.00045931712,0.005220972,-0.012965951,MGS1
351,0.00036881492,0.0078105293,-0.019945905,0.007933678,MGS1
352,-0.015536824,0.005969258,-0.0051019713,-0.012142077,MGS1
353,0.00482364,0.0055631176,0.003199054,0.014128234,MGS1
354,-0.0054210126,0.00075549446,-0.004189089,0.005831184,MGS1
355,0.014770474,-0.026241422,-0.0077482387,0.019102124,MGS1
356,-0.004495535,4.2118132e-05,-0.0018347669,-0.00018487126,MGS1
375,-0.00012603775,-0.007081057,-0.0036037546,0.012836646,MGS1
376,0.012392785,-0.002209547,0.0048839245,-0.00662056,MGS1
377,-0.02292804,0.0015327614,0.010838211,-0.0087675825,MGS1
379,0.0060557984,-0.031550065,-0.0026272647,0.01326835,MGS1
384,0.002676908,-0.00439234,0.007417705,-0.0044077337,MGS1
386,0.0007910952,-0.000850657,0.010907903,-0.010827832,MGS1
389,0.010706138,-0.015498558,-0.0015614796,0.0069529936,MGS1
394,-0.011125358,0.0013335552,0.00076536834,0.00932011,MGS1
396,-0.013885928,0.0101912785,0.009597905,0.01288165,MGS1
404,0.010775231,-0.0043460606,0.022381295,0.00053634495,MGS1
405,0.019038875,-0.017172033,0.014091432,0.0033567064,MGS1
406,-0.0081475265,0.012328103,0.0045823883,0.00312813,MGS1
413,0.0056815967,-0.006886473,0.023191247,0.005945338,MGS1
414,0.010919254,-0.020703416,0.0055323504,0.0058607217,MGS1
415,0.006006576,-0.021061264,0.013782822,0.012243109,MGS1
425,0.025390115,0.007825453,0.020084824,0.0050653666,MGS1
447,0.005031571,-0.01422,0.0069727413,0.00030768663,MGS1
452,-0.013478283,0.013550492,-0.016827442,0.0046504475,MGS1
466,-0.009046419,0.008465802,0.018605918,-0.014869649,MGS1
468,0.013317518,-0.017087348,0.01568292,-0.002225414,MGS1
480,0.012704365,-0.0010674484,0.014294814,0.017967552,MGS1
490,-0.004044123,0.014656013,0.012965202,-0.011278421,MGS1
491,0.0053425655,-0.0033684084,0.009224378,-0.017218493,MGS1
495,0.01201088,0.012440896,0.026583161,0.0003574863,MGS1
499,0.0063538253,-0.028725624,0.002227867,0.014597993,MGS1
501,-0.02353027,-0.00033840165,0.03026554,-0.019817881,MGS1
503,0.008115727,-0.024374772,0.0047767684,0.011594003,MGS1
506,-0.0054898486,0.003955448,0.0019131843,0.008839151,MGS1
517,-0.0002675429,-0.00840382,0.012667492,-0.00515648,MGS1
