,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2,-0.2276208,-0.032004856,0.0048696995,-0.048153833,0.16467522,0.41471213,0.2097678,0.23249625,0.019617252,0.39552152,-0.632445,-0.23285504,0.04383433,-0.110817075,0.18436043,0.4170269,-0.15040126,0.25806892,-0.16130488,-0.0056348694,0.41309288,0.40246597,0.7732383,-0.3835231,0.55206925,0.40422174,-0.2100955,-0.30375203,0.08795877,-0.47431034,-0.21142076,-0.233235
4,-0.17034188,0.0615172,-0.13122457,-0.08840418,-0.4918233,-0.15027624,0.13698785,-0.5703091,0.9279114,0.7827182,-0.10709443,0.14769574,-0.83227795,-0.47795445,-0.3002861,0.35413507,0.021101162,-0.13162075,-0.13829945,0.6365339,0.15634233,0.87967086,0.10389786,-0.32467157,0.32910764,0.092247546,-0.7676833,0.531496,0.5825473,-0.49535927,-0.21790957,0.20549592
6,0.2342397,-0.077356055,0.4065987,0.10853285,-0.28707784,-0.46301496,0.02492501,0.34884664,0.63257414,0.77129275,-1.1055197,-0.14397433,-0.20247872,-0.118957095,-0.19577952,0.20822436,0.12626748,0.67144877,0.26582003,0.05460885,0.6479185,0.13337095,0.26936886,0.19348367,-0.07879535,0.25501338,-0.5197519,-0.11006253,-0.33823696,-0.259794,0.06594817,0.5559036
9,-0.19441521,-0.13466497,0.43869606,-0.2949063,0.0031620238,-0.10806508,0.07492378,-0.5821483,0.07311479,0.30841056,0.74440986,-0.21563752,0.7866963,-0.8015544,-0.63501525,-0.25855422,0.36213687,0.50555193,-0.061503146,-0.21147428,0.4117224,-0.027132686,0.6561856,-0.012452493,-0.12128516,-0.21324411,-0.64066386,-1.2087837,0.7702334,0.12323505,-0.32090804,0.8798809
11,0.49087337,-0.29022816,0.4859557,0.23721394,-0.3204556,0.027569033,-0.11666628,0.6438738,-0.1140967,0.13038981,0.70603585,-0.9718892,-0.19569762,-0.09818286,0.4944837,0.5454327,0.9348729,-0.17627454,0.42514637,0.14319539,0.04072766,0.14096794,0.99204075,0.078435846,-0.38778245,1.028489,-0.23289154,0.24563023,-0.0057497793,0.0932964,0.06432978,-0.009982849
17,-0.055446185,-1.4298412,-1.5214106,0.49275175,0.22550857,-0.6440845,0.104128204,0.1599115,0.14156938,0.2144032,0.32640162,-0.64311534,-0.103607215,-1.283526,0.20134759,-0.8843556,0.66155845,0.2937041,0.06612625,0.4624719,-0.12794213,0.9499559,0.87285775,1.0311906,0.101072565,0.15553656,0.017204516,-0.57661515,-1.0906937,-0.09534304,-0.48724326,-0.23056543
18,-0.20113234,0.033054005,-0.43137297,-0.038031813,0.31946096,-0.16671455,0.28268445,-0.015792945,0.10905659,-0.59535223,-0.4656289,-0.3489311,0.5905219,-0.5541891,-0.7886133,-0.10334516,0.6528933,-0.46035516,0.16113311,1.1649039,-0.06864121,-0.18357138,1.1186976,-0.33392483,0.6464312,0.46910143,-0.7251625,0.36217225,-0.020351851,-0.51564395,-0.63465995,0.6251407
32,0.13522911,0.027980244,0.46234003,-0.10068946,-0.04266413,-0.55054265,0.58177215,-0.97563267,-0.9035758,0.2032691,0.067514226,-0.71962196,0.2743759,-0.33228594,-0.17092766,0.2704241,-0.018222712,0.31330985,0.26813078,0.23889995,0.27075645,0.35710758,0.47046176,-0.25150174,-0.28482825,-0.33320895,-0.46851435,-0.20500827,-0.6825637,-0.3347988,-0.13312112,-0.16118081
33,0.115931734,-0.26563305,0.5802866,-0.10754511,-0.087498434,-0.28635958,0.1049546,0.17718504,0.33638442,-0.017372327,0.11321625,-0.5724765,0.39553612,0.19599073,0.16383114,0.37369603,0.15773469,-0.05904161,-0.2109833,0.16898955,1.2304524,0.07618585,0.6990478,-0.06973732,0.075524546,-0.7532792,-0.5539131,0.42687586,0.5653036,0.6888107,0.33150393,0.37471882
35,0.64056724,0.44876897,0.1717067,0.24531789,0.10435478,-0.4745955,0.43442944,-0.13383766,-0.27075443,-0.097614236,-0.30815083,-0.67570096,0.22847524,-0.36198625,-0.37496006,-0.118348025,0.8474521,0.25640234,0.38945276,-0.10091086,0.10960534,0.15352027,0.39853457,0.34043777,0.36837766,0.10313841,-0.5605885,-0.1198518,0.8902761,-0.1990133,-0.14250644,0.54854095
41,0.1069432,0.12784037,0.15344618,0.2846782,-0.039368954,0.24045217,0.758566,-0.029783983,-0.053674772,0.45033547,-0.12797631,-0.8608377,-0.028002305,-0.56095564,0.25360802,0.14778781,0.17481019,-0.052615356,0.49499536,-0.11660415,0.32711667,0.5239118,0.40142578,0.04456405,0.21076253,0.0851371,0.23036924,-0.31608918,0.16990627,-0.2537094,0.7513498,0.008042414
42,0.023889385,0.6329483,0.71717393,-0.39452663,-0.38668084,-0.85805506,0.7930881,-0.394267,-0.6259767,-0.3835928,0.22079389,-0.35798648,-0.22239159,-0.2960269,0.6767564,0.15537752,0.23387614,-0.28677782,0.33809525,0.7052036,0.223512,0.68847436,0.31793058,0.3807453,0.1988773,-0.25455412,-0.3989084,-0.2971503,0.43248135,0.03253971,-0.072693735,0.28624943
43,0.086428165,-0.18368463,0.12585975,0.2828703,0.069390446,-0.012977087,0.332421,0.52000606,0.3915615,0.10216408,-0.24482451,-0.10701132,0.039606865,0.00038070368,0.34926143,-0.095949195,0.14869802,-0.12093983,0.4666759,-0.23710434,0.7434963,-0.030195847,0.95832574,-0.00857419,0.3390308,-0.42767116,-0.307188,-0.1905697,0.45117027,0.02053324,0.49024215,0.61533964
46,-0.19913264,0.2711441,0.9495188,0.39520985,-0.8513498,-0.18227358,0.31976333,-0.0741375,0.2138386,0.18782341,-0.697294,0.03328956,0.35990113,-0.35826442,-0.32834482,0.065961175,0.40550518,0.38933268,-1.1064374,0.2521311,0.96486574,-0.010753283,0.76535904,-0.25487548,0.0152566545,-0.095521845,-0.21375464,0.7827524,-0.11882228,0.18840602,0.081536055,-0.08506505
47,-0.38309896,-0.20257953,0.004338213,0.21408539,0.8229526,-0.5015579,-0.27411076,0.20361061,0.17917763,0.112942085,0.03214078,-0.703033,-0.5722585,0.93334234,-0.062367473,-0.13738513,0.35909835,0.41351438,0.2761306,0.34975743,0.3050769,0.27649525,0.24199541,0.24996492,0.18747048,0.34194285,-1.2418635,-0.098751195,-0.50956315,-0.63989437,-0.13996555,1.0005049
60,0.42384186,-0.16009957,0.32830927,0.16000646,0.18736999,-0.6005988,0.3493249,0.3564711,0.64464754,0.7071013,0.2779132,-0.5633897,0.05574231,0.3549752,0.109745085,-0.49806952,0.5266265,-0.16408105,-0.11375085,-0.12668356,0.32430086,0.50672215,0.4517881,0.46373272,0.2830113,-0.3469278,-0.47235492,0.2810612,0.80607915,-0.1399771,0.04333885,-0.14048348
73,0.015760854,-0.36736557,-0.00067203026,-0.28265288,0.18776755,0.3507436,0.2651823,-0.25149807,-0.42462242,-0.048318114,0.14175478,0.06917263,0.2604704,0.2422401,-0.50798684,-0.06557436,0.6108787,0.055732064,0.26103994,-0.17737895,0.4633834,1.1757034,0.26104888,-0.21316963,-0.08152429,0.3917015,-1.1017174,0.5115083,-0.48622313,0.10367559,0.19055234,0.36017638
81,0.38136214,-0.52176905,-0.12568162,0.56071126,0.099677496,-0.05153592,0.8951249,-0.46752706,0.60726964,-0.39519975,-0.22211944,-0.760637,0.2101676,0.037665665,0.03612128,-0.24369587,0.16974652,-0.3063472,-0.20406173,0.27053127,0.78072166,0.06301608,0.85038245,0.3924136,-0.055771545,0.07497003,0.14364871,-0.56588566,0.46285936,0.007847109,0.6813748,0.10039657
89,-0.05625007,-0.036500588,-0.16114542,-0.070402905,0.22551942,0.31556916,0.89904624,-0.06793556,-0.3640727,0.4978613,0.11126005,-0.6178437,0.5434,0.4114453,0.37485543,-0.10450059,-0.017236298,-0.1734764,-0.48525855,0.22532922,-0.13054556,0.89954764,0.43864405,0.7759031,0.033515684,-0.46709266,-0.3409585,0.8142358,0.13648972,-0.27861995,-0.58579963,0.17145385
94,0.7380319,-0.0697035,0.07475816,0.034971565,0.27785543,-0.24814136,-0.012354178,-0.22555785,0.5026687,0.41022047,-0.021016179,-0.016780892,-0.072870456,-0.26111966,0.12260617,-0.49750662,0.45459098,0.4761336,-0.39029944,0.21531792,0.041379355,0.32234955,0.5238626,0.3804798,0.48641247,0.08865769,-0.31787866,0.38669905,0.2743321,-0.73172545,0.52534354,0.3634795
95,-0.801727,-0.99895775,-0.35489395,0.11586139,0.4328025,-0.16790445,0.2670836,-0.8057439,-0.38567096,-0.19423984,0.047110893,-0.4524967,0.21214625,-0.37359032,0.08021361,-0.3411871,0.32284212,0.013079147,-1.0312495,-0.05000975,0.291955,0.50971067,0.7497226,0.57599974,-0.2695982,-0.22703354,-0.5669845,0.99600965,-0.9247049,0.072158076,-0.4767951,0.32052338
99,-1.0652527,-0.29608008,0.4143638,0.2610736,0.51730484,0.41087684,0.2111522,-0.7939052,-0.23543337,0.55246377,0.38677198,-0.35646704,0.19630046,-0.41367635,-0.12212133,0.030881466,-0.31334022,0.35556972,-0.8336595,-0.05569281,-0.32838622,0.4777571,0.3223217,0.28153443,-0.5185892,-0.08095295,-0.5086282,-0.2950542,0.37490937,-0.25555152,-0.29265398,1.0801823
106,0.581445,-0.5129305,-0.21142294,0.014662298,-0.33043447,0.06652757,-0.13270272,0.47947526,0.74467576,-0.19916533,-0.40726635,-0.5703405,-0.036152966,-0.21767104,0.09418398,0.3162428,0.39072004,0.30409902,-0.113748856,0.11592529,0.8302906,0.382788,0.31873044,-0.36568385,0.30930665,-0.15285097,-0.7265043,-0.03965671,0.023074795,-0.15809761,0.7823374,0.37549114
107,0.12183985,-0.24762067,-0.04069645,-0.15231442,-0.53315884,0.11598067,-0.10374586,-0.6419423,0.18519406,-0.12276029,0.11560407,-0.5642248,0.44887796,-0.8385005,1.2069709,0.13948524,0.22816795,0.4435683,0.17717321,-0.036333513,0.9202779,0.6776583,0.631514,0.17151892,0.03918597,-0.19863982,-0.517619,0.24672376,-0.2615669,0.6275073,0.34422296,0.6084377
109,-0.4327983,-0.22033414,0.1750607,-0.012632877,-0.14338058,0.107795194,0.19418861,-0.44296357,-0.054980382,-0.18499713,0.04674779,-0.09598905,-0.3173287,-0.13961324,-0.3955072,-0.33217084,0.68160033,-0.069681376,-0.13157532,-0.11874693,0.50254714,0.8744283,0.32524714,-0.18615523,-0.47497794,0.076784626,-1.1032816,0.17463277,-0.49235845,0.2934312,0.32529095,0.20075619
115,-0.35641003,0.029238628,0.1632218,-0.14475843,0.2431007,0.0863313,0.081013255,-0.5742181,-0.18000957,0.7320779,0.7505726,-0.21629316,0.06653144,-0.6046846,-0.4675688,0.23121047,0.12039456,0.34229997,-1.1666863,-0.20862958,0.22614576,0.65756667,0.047742166,0.45857838,-0.5112416,-0.009274393,-0.39806536,-0.41548857,0.13649175,-0.41256613,0.108607195,0.63145256
116,-0.4350934,0.11436858,0.19346865,-0.2462531,0.4362533,0.56842,0.10077998,0.2967463,-0.5618305,0.022528868,-0.5535588,-0.02551177,-0.9972054,-0.62318885,-0.5945016,-0.034922853,0.25590926,-0.10156743,-0.700114,-0.2766815,-0.10714248,0.80110633,0.6921125,0.28315616,0.26342785,0.774953,-0.65693706,0.033665095,0.351311,-0.79786474,-0.062896244,-0.23639442
117,0.41146466,0.083763756,0.24734873,0.035399698,0.6165948,0.109477945,-0.31324545,0.032022096,-0.067095414,0.08066247,-0.85288984,0.23660201,-0.38091928,-0.8678848,0.60978866,0.26853365,0.065004036,-0.022637717,0.39907846,0.22260268,0.78080434,0.3573195,0.9930497,0.40460002,0.03654754,-0.007657982,-0.768244,0.38340068,-0.12900212,-0.6605325,0.68028295,-0.3152837
119,0.14940785,-0.15035039,0.2515065,-0.62257683,-0.80468494,-0.23890907,0.36940578,-0.65984106,0.6193184,0.5206293,0.092100866,-0.008722371,0.43834266,-0.7840943,0.25978687,-0.27775168,0.16265465,0.054413453,0.11233513,0.3083345,-0.019791318,1.1043658,0.612722,0.48929858,0.17384073,0.0090291025,-0.30394787,0.50975865,-0.23084818,0.26071388,-0.775176,-0.52659786
120,-0.7188255,-0.41724342,0.12008551,0.07342312,-0.31638074,0.2943199,0.33041543,-0.15505502,0.58422697,0.23202713,-0.13842787,0.22183883,-1.3984164,-0.6417288,-0.09722793,0.17896196,0.61833507,-0.21873848,-0.41726536,0.43054092,0.09621039,1.0034567,0.015684295,-0.26621303,0.35112157,0.07533553,-0.7990636,0.20735338,-0.246514,0.0029720417,-0.5173861,0.32290477
124,0.11191119,0.2397166,0.1672462,-0.362063,-0.50817955,-0.46851152,0.41516855,0.20396496,0.13016203,0.645529,-0.44618016,0.027549863,0.30205792,0.18078855,-0.105259284,0.13354121,-0.15080991,-0.61288506,0.17633292,0.39816692,0.61574,0.4193055,0.7328008,0.17300059,-0.33012813,0.49964723,-0.0027597293,0.37096423,-0.368357,-0.7818914,-0.21113046,-0.13101491
125,0.12922277,-1.0045005,0.19728053,0.21049808,-0.4442112,0.07950551,0.6937166,-0.11174862,-0.20704791,0.009212877,-0.4346027,0.14178725,0.8563149,0.27060416,-0.6428993,-0.46006158,-0.120064616,-0.15280272,0.469938,-0.23101921,0.099341325,0.49198556,-0.0704334,0.06956846,-0.36880878,0.2942156,-0.9847204,-0.12043001,-0.15020053,-0.8309084,-0.067410454,0.7876079
126,-0.10504942,-0.9365252,0.5744321,0.6952931,-0.3881305,0.2756995,1.1149573,-0.15757994,0.37230667,-0.7010099,-0.17200726,-0.572636,0.35965478,-0.23561285,0.8191866,-0.19860637,-0.4650845,-0.15070234,0.5866837,0.32913467,0.32324982,0.21634753,1.277794,0.61840355,0.3237574,-0.2060696,0.24619177,-0.82811725,0.2108043,0.09655339,0.36660427,0.14174685
133,-1.0248013,-1.0346862,0.20782128,-0.29454094,0.3316676,-0.555174,0.052092418,0.69792366,0.4743115,-0.25034738,-0.10728627,-1.2016641,-0.41316938,-0.3080216,-0.29964447,-0.14240566,-0.32700533,-0.7249675,0.07846645,0.4029654,0.3053239,0.6568559,-0.097343184,0.51967275,-0.333413,-0.12102194,-0.6717217,-0.2947946,-0.11406469,0.0075805658,-0.7536385,0.502735
137,-0.0068917596,-0.36763942,0.70364726,0.63223284,0.15809211,-0.41093463,-0.14141487,0.22371632,-0.05566994,0.3570027,-0.18791987,-0.11364418,0.7607478,-0.27786735,0.35445306,0.53107035,-0.22488856,0.49774113,-0.19878061,0.107342474,0.27255362,0.26936167,0.5374245,0.7399618,-0.07919085,-0.36655986,-0.08517747,0.65122956,-0.3383938,-0.43831888,0.185698,0.23500483
139,-0.00010062168,-0.41000208,0.05450757,-0.10573712,0.04366458,-0.12783214,0.27378073,0.1386037,-0.27046362,0.3766682,-0.17030603,-0.19998601,0.2495697,-0.2216545,0.49310753,0.043651693,0.05783754,0.43042052,0.075763136,-0.18082331,0.10809829,0.08416384,0.6173028,0.6181329,0.52170885,0.08548031,-0.24817063,0.17938691,-0.095541716,-0.45196152,-0.15947756,-0.06535807
142,-0.88915294,-0.75228804,-0.2682714,-0.8599419,-0.28570685,0.16955669,0.16499937,-0.3093045,-0.37674016,-0.16797663,0.44990453,-0.05512509,0.048687443,0.31682092,-0.53683645,0.1841461,-0.6720415,0.31548223,0.7675212,-0.71308714,0.62043947,0.41144428,0.9267076,0.21017389,-0.1896509,0.6301148,-0.6735119,0.08043117,-0.30694804,-0.70428777,0.16567847,0.1394313
145,0.16688424,-0.6942597,0.33656177,-0.005996601,-1.0997642,-0.32714283,-0.15017627,0.43604216,0.46400303,0.62672,-0.28834954,0.2432993,0.25860637,-0.2556174,0.28356412,0.42655692,0.37488005,0.63707674,0.055897824,0.4729779,0.6679241,0.24208464,0.11197429,0.0841016,-0.28599232,0.35720634,-0.037042122,-0.01744473,-0.10458394,-0.34982604,0.07668446,0.75730044
148,-0.76971227,-0.94534165,0.025455981,0.692793,0.1985868,0.016138624,0.43954235,-0.21675403,0.04637203,0.6626869,0.22679098,-0.53433233,-0.032253023,-0.5454573,0.33853927,-0.14171365,-0.22941484,0.104970075,-0.7508307,0.46649387,0.12204004,0.48669776,0.7198027,0.5305475,0.4840959,-0.2561449,0.22923452,0.35749313,-0.13298453,0.23576161,-0.39835665,-0.14225145
149,-0.5692546,-0.36936465,0.21594794,-0.84079903,0.11873725,-0.1294289,-0.13890836,-0.015747838,0.014165607,-0.021111328,-0.10674331,-0.48196366,-0.36949712,-0.43254954,-0.34392536,-0.46185046,0.16507636,-0.044451524,-0.0025787232,-0.41057396,0.2532051,0.55019826,1.0564166,0.07303344,-0.84664315,-0.029113917,-0.4201005,0.101646036,0.016078498,0.123136416,1.1488707,0.50169265
150,-0.18128465,-0.9683157,0.40625003,-0.114333265,-0.17693421,-0.39269173,0.18626504,0.17355962,-0.1311696,0.41152382,0.15770814,-0.25902557,0.07252765,-0.5192864,0.15353669,0.074663185,0.41609684,-0.25469276,-0.2059375,0.2166257,-0.35414472,-0.12732585,1.3828571,0.2900063,0.7383918,0.53176606,0.23550847,-0.14239338,-0.034978066,0.03933319,0.21521233,-0.50348437
