patient_1,patient_2,weight
294,515,0.9705201580637566
133,515,0.9684608225621919
224,516,0.939819294868126
107,428,0.9309773105548775
364,515,0.9218762601930335
459,515,0.9215882382935504
89,149,0.9213542922209321
133,294,0.91969017413445
294,364,0.9194178252211376
81,149,0.9161334074421899
232,351,0.9071901454511905
32,246,0.9066494153817638
81,89,0.9050977421916386
334,516,0.905022556403768
133,364,0.9036746622159566
229,404,0.9031357576113079
294,459,0.896357030811403
107,150,0.8953891898444267
246,292,0.8911178692602733
73,521,0.8899954561453624
133,459,0.8898896526726259
246,318,0.8847708957593972
124,133,0.8841351979576675
81,386,0.8769101673011039
316,352,0.8726469055841138
411,516,0.8716638980444346
32,318,0.8705210683460001
203,452,0.8702915141510437
292,318,0.869902247162382
150,428,0.8637576634337835
150,416,0.8617111494525118
160,384,0.8615897158442704
149,280,0.8615564150700815
89,311,0.8592871215882514
139,142,0.8586794705127827
217,266,0.8579526083833819
417,419,0.8575994678929437
468,517,0.8569214078053273
32,292,0.8564723462598636
18,347,0.8563192762237015
73,411,0.8561105831727638
117,160,0.8553754436809209
89,386,0.854474066224952
150,419,0.8535119059422844
316,322,0.8521913278176696
81,280,0.8501597263412493
411,428,0.849219249093336
411,521,0.8487799425617525
311,386,0.8481795635025173
224,334,0.8474443984445579
43,321,0.8468527618393362
452,497,0.8438028057851383
115,126,0.8424629514027254
364,459,0.8414186018473141
43,518,0.8409330577949823
107,515,0.8406028375378976
32,99,0.8393572364900037
125,284,0.8381076794154075
124,294,0.8376379593959467
42,417,0.8376018891315626
73,516,0.837139489818161
81,291,0.8368762630173654
411,515,0.8356256594587829
81,311,0.8355199832993867
124,515,0.8353375842720598
32,149,0.8352141441305199
316,324,0.8347825624401899
353,364,0.8332544493552617
43,355,0.8328352236613128
288,404,0.8322602680195917
404,495,0.8320880023331985
43,499,0.831614571281729
32,466,0.8300878730682606
81,246,0.8300724218836805
291,311,0.8281922034399998
291,386,0.8273101510309775
41,516,0.8271964724966892
405,468,0.8271951793152691
428,516,0.8271719808204967
73,428,0.8268008392020946
317,503,0.8265302994061164
280,386,0.8264777396440761
9,286,0.8260594994472765
149,386,0.8257223527171639
428,523,0.8253672244369487
107,125,0.8250187977092227
32,81,0.8240508409555708
415,468,0.8240372287647331
411,419,0.8230762370614744
355,388,0.8227896882729084
428,521,0.8225712743521231
229,466,0.8212806253583622
516,521,0.8191753544307427
229,288,0.8184812204076992
292,352,0.8182951439704793
490,491,0.8172940241622048
107,133,0.8167648738222164
142,425,0.8157821208835893
6,350,0.8156777488237626
120,413,0.8151156840272277
203,497,0.8149735930987024
294,411,0.8146932584846328
89,280,0.8141340595611539
322,324,0.8132993951029232
81,404,0.8131715931174104
266,379,0.8125870503706192
217,234,0.8125221398246608
124,459,0.8124859795127962
246,466,0.8121091909835687
246,352,0.8121077400062153
224,521,0.8119044428687273
41,224,0.81139607858004
149,229,0.810300577892459
234,266,0.8102156102462714
89,246,0.8098676487372203
150,417,0.8096306722991491
243,468,0.809516288077081
232,383,0.8093503370521478
294,353,0.8090110760279812
18,246,0.808973870409764
107,294,0.8088801189141364
379,503,0.808860446983751
95,335,0.8088564176057835
41,334,0.8083245340176999
99,246,0.8077651707230238
139,425,0.8076090702478259
218,447,0.807462649936721
18,509,0.8060928821611906
404,466,0.8060612287333664
149,311,0.8058541071022212
295,518,0.8054286034939886
224,411,0.8051329024868048
107,459,0.8044241361642597
32,89,0.8042266438405681
99,318,0.8032374698195168
280,291,0.8022948117991109
411,420,0.8021233857508001
246,386,0.8021158760667149
499,518,0.8020355404942912
149,246,0.801980978324459
133,411,0.8007744181803879
437,484,0.7991620295590737
350,352,0.7986135169952095
124,364,0.798505474105371
223,404,0.7983101423855068
117,384,0.797315907518952
126,266,0.796588887736299
145,317,0.7965578396391824
324,352,0.796546211246778
351,383,0.7962017472004284
516,523,0.7958956992259008
43,295,0.7958614432721824
43,388,0.7957320821158973
428,515,0.7955891227369063
73,224,0.7949972716299624
125,428,0.7947456494894825
352,377,0.7944839793581082
137,383,0.7942906552512651
234,317,0.7940322680389984
515,521,0.7938997094271516
473,516,0.792456055214431
307,321,0.7922829402358298
81,229,0.7920703227733283
163,517,0.7920115656542414
484,521,0.7905692277276459
317,379,0.7905641731555277
321,355,0.7899627696871666
126,217,0.78979727484021
428,477,0.7890371450326752
311,348,0.7874262892789581
321,499,0.7868518455930378
149,291,0.7866033334136
335,396,0.7859947365064059
416,428,0.7859628620987011
73,515,0.7858498069995296
107,284,0.7857138570506106
284,376,0.7855706344727734
295,321,0.785413382669867
347,509,0.7852282466334424
115,266,0.78512415192919
335,466,0.7850405324395024
386,404,0.7847262473939552
145,379,0.7843082189944462
145,266,0.7841816454955193
318,352,0.783837620367194
173,246,0.783318189149963
293,353,0.7832971890676446
177,503,0.7832901302532729
6,322,0.7827700446182608
224,403,0.7825450797530912
466,490,0.7824032010282903
43,404,0.7820757310921846
89,291,0.7817168954473667
419,516,0.7813038615233976
177,266,0.7807111175018342
364,411,0.780300875288919
411,459,0.780191786454898
266,503,0.7800897930330104
47,334,0.77989720683924
107,523,0.77982615025618
318,386,0.7798035803398649
115,379,0.7793465429458143
177,379,0.7792262544808931
388,518,0.7791672175405974
403,516,0.7788484972296431
313,389,0.7781463345473825
149,404,0.7779651425916333
18,517,0.7779213702481258
99,173,0.7778238764065672
355,518,0.7775382900359828
42,60,0.7772398269300678
229,495,0.7770700331206915
149,292,0.7768881001748433
334,411,0.7764014407901372
32,347,0.7760910020656153
177,234,0.7755301827476364
246,347,0.7752943805762291
280,292,0.7750832086140154
150,515,0.7749678326326759
217,280,0.774799004487297
419,428,0.774609737872352
116,315,0.7744733927356053
17,120,0.7741754628240933
243,517,0.7728555898341776
246,280,0.7725376465527751
294,521,0.7724377331725492
126,145,0.7723737689118264
43,413,0.7722856053398663
291,348,0.772068895623388
126,379,0.7720534629199195
73,334,0.7719784389685935
347,517,0.7715032468575482
43,415,0.7713318349082319
115,217,0.7711944964239958
137,232,0.7708650500666326
292,466,0.7708561095440315
142,162,0.7702566494823229
375,459,0.7700096144302209
234,379,0.7698551314166042
375,515,0.7697969342747168
364,403,0.7694822920727127
43,307,0.7694540476922154
157,415,0.7689838471701795
295,499,0.7687364677545648
137,351,0.7687182688264936
403,515,0.7680747086611237
295,355,0.7676911106056232
32,352,0.7676796721267106
224,428,0.7674180532948441
280,311,0.7666041119025797
351,403,0.7665125825139882
73,133,0.7664147074429475
315,404,0.7658865793656877
145,503,0.7656295210111901
139,316,0.7655894896144336
149,266,0.7653613369883101
416,419,0.7650404101604619
355,389,0.7646277732487541
99,292,0.7645833059123965
294,403,0.7645343437577237
348,386,0.7644624294522919
229,280,0.7642123383759343
81,318,0.7636561983506522
2,322,0.7635447701366476
209,302,0.7626825460696751
43,229,0.7626349543537173
139,162,0.7625197741183438
302,480,0.7617583977809285
133,428,0.7616612121906952
411,484,0.7616300030878351
81,348,0.7610904741657627
459,521,0.7610833065931173
73,294,0.7609701087872741
173,386,0.760580096152887
229,315,0.760473109045807
173,318,0.7602629993663979
150,523,0.7594526078897633
246,291,0.7593845787664695
226,497,0.7589040986529473
81,466,0.7587722138000471
217,379,0.7580297292014639
17,18,0.7577671972901863
229,355,0.7576979918635546
419,515,0.7571106396610368
94,473,0.7570464113820683
107,416,0.7565801022623418
18,32,0.7565436559308122
107,364,0.7562948338523601
313,499,0.7557525814407244
266,386,0.755442230475998
314,354,0.7554177850483983
416,417,0.755159390184079
119,308,0.7548935906979304
319,356,0.7544639726710294
466,491,0.7542877578534237
18,251,0.7541618945643158
32,509,0.7540129401055964
150,459,0.7539682345691687
189,503,0.7536562209628471
139,352,0.7533788791626992
32,173,0.7533778457724237
266,317,0.7531080891832687
81,292,0.7530373994760655
115,503,0.7527752800380274
89,495,0.75276244931914
316,347,0.7526463409950894
308,459,0.7521181668581061
73,419,0.7520232438569268
311,495,0.7519141249507376
177,189,0.7517359057003119
414,428,0.7515070935453094
284,428,0.7513860004546551
321,518,0.7512604103459544
355,499,0.750795571624461
94,491,0.750616892237437
133,521,0.7504710312091822
388,499,0.750419366295374
150,397,0.750396107226132
126,503,0.7502541828340137
419,521,0.7501966038055501
237,447,0.7501653007732514
322,352,0.750151816855807
353,515,0.7501500469714582
189,351,0.7499369136958507
89,404,0.7496706556409487
405,517,0.7493572448596623
294,375,0.7492123010350125
232,403,0.7488983027933807
125,150,0.7483612156854381
321,388,0.7482853639497368
42,150,0.7479686716853
294,419,0.7477486504146786
334,451,0.7477091010682562
295,388,0.7476228561415528
133,403,0.7475977709856394
379,386,0.7475743443598777
307,499,0.7469571525547076
315,495,0.7467307979124826
414,416,0.746677287227608
145,217,0.7465604413926683
246,311,0.7464059109943941
251,270,0.7462392172376675
307,495,0.7461668922927037
89,348,0.7459189410885256
41,473,0.7452381960507454
229,291,0.745227201270515
265,468,0.74511763294864
149,318,0.7450279733571485
124,375,0.7446707174059698
126,317,0.7438338384912422
334,403,0.743483986632547
234,503,0.7434386744160585
149,466,0.742999227310222
189,232,0.7428905860285056
115,177,0.7428082443030013
224,523,0.7427971943426765
6,352,0.7427204163377922
243,405,0.7424359149714403
318,466,0.742215960148243
107,148,0.7421925801240635
291,318,0.7421921565607771
178,517,0.7416927927104904
226,452,0.7416149343960987
234,280,0.7413028955043566
137,189,0.7411899702708932
270,292,0.7411643054438888
41,411,0.7410759049816842
295,313,0.7408483115411468
60,397,0.7407400260850556
115,145,0.7406788047828881
246,517,0.7403905863177213
224,473,0.7401377765688771
126,177,0.739695658082087
319,322,0.7396378782659738
173,347,0.739197402360163
6,324,0.7391947581620075
451,516,0.7391896927895795
47,516,0.7391355840726013
124,411,0.7391273561927999
125,477,0.738936787247161
266,347,0.7388482390410955
2,316,0.7388215490150745
133,353,0.7376901410574672
2,6,0.737246845100956
351,451,0.7372215786768812
115,317,0.7371602009021944
355,404,0.7371471899433322
311,318,0.7370211361110377
347,379,0.7370166625640291
404,425,0.7368818903354454
452,516,0.7365531409570905
266,468,0.7362768918831208
335,404,0.7358196385692573
347,396,0.7357506146336186
354,403,0.7355512797637349
515,523,0.7350312020671003
18,318,0.7349485920783949
295,389,0.7345563630371429
81,99,0.7344271757172729
292,335,0.7340916872629693
18,145,0.7337335448012468
404,518,0.7337228904231377
203,334,0.7336955445649233
223,288,0.7335687275966842
265,405,0.7335417880379818
234,386,0.7334503465081055
334,473,0.7332969665448632
246,509,0.7328900944080897
218,415,0.7327624049758392
124,353,0.7325697765145771
324,379,0.7323678896281555
229,335,0.7323638087680153
314,349,0.7322851271519014
81,126,0.7322585441382106
73,420,0.7320231382207031
364,521,0.7317704582361386
189,383,0.7314836808664826
352,356,0.7314778556401633
223,229,0.7314230233999406
288,495,0.7312713572953187
284,403,0.7306185243991896
149,217,0.7297415510373806
351,452,0.7296165957636911
145,234,0.7294298449951988
116,288,0.7289184347236602
33,60,0.7287243546789542
324,350,0.7286368205689151
411,523,0.7285487937198023
466,495,0.7281905087553144
107,272,0.7281593598082683
126,234,0.7278193292326245
73,484,0.7274871846786264
145,311,0.7274725620336144
43,495,0.7270189379119123
172,286,0.7266924427629535
116,495,0.7264629160130159
125,414,0.726282964192777
264,506,0.7254804832773066
160,417,0.725326277348747
420,521,0.7252593108970986
389,403,0.7252127091062488
95,396,0.7249877105816118
47,473,0.7245071548810809
177,217,0.7241729260624281
99,149,0.7239404220706499
6,316,0.7237008124751001
437,501,0.7229854174261402
428,484,0.7227739566663552
139,322,0.7223221226647519
